8494_244431_000000_000000	"If you enlist, come with me," he said to Harry.	"If you enlist, come with me," he said to Harry.	false	0	4.71	21.498613
8494_244431_000000_000001	"I can get you a place on the staff, and that will suit you."	"I can get you a place on the staff, and that will suit you."	false	4.71	12.06	21.444147
8494_244431_000001_000000	Harry accepted his offer gladly, although he felt that he could not take up his new duties for a few days.	Harry accepted his offer gladly, although he felt that he could not take up his new duties for a few days.	false	12.06	19.56	21.932009
8494_244431_000001_000001	Matters of money and other things were to be arranged.	Matters of money and other things were to be arranged.	false	19.56	23.16	20.964933
8494_244431_000002_000000	"All right," said St. Clair.	"All right," said st Clair.	false	23.16	24.93	24
8494_244431_000002_000001	"Take your time.	"Take your time.	false	24.93	26.01	10
8494_244431_000002_000002	I don't think there's any need to hurry."	I don't think there's any need to hurry."	false	26.01	30.9	21.780077
8494_244431_000003_000000	Harry left Madame Delaunay's house immediately after breakfast, still firm in his purpose to avoid Shepard, and went to the bank, on which he held drafts properly attested.	Harry left Madame Delaunay's house immediately after breakfast, still firm in his purpose to avoid Shepard, and went to the bank, on which he held drafts properly attested.	true	30.9	41.29	20
8494_244431_000003_000001	Not knowing what the future held, and inspired perhaps by some counsel of caution, he drew half of it in gold, intending to keep it about his person, risking the chance of robbery.	Not knowing what the future held, and inspired perhaps by some counsel of caution, he drew half of it in gold, intending to keep it about his person, risking the chance of robbery.	true	41.51	52.72	20
8494_244431_000003_000002	Then he went toward the bay, anxious to see the sea and those famous forts, Sumter, Moultrie and the others, of which he had heard so much.	Then he went toward the bay, anxious to see the sea and those famous forts, Sumter, Moultrie and the others, of which he had heard so much.	true	53.12	62.44	23.057514
8494_244431_000004_000000	It was a fine, crisp morning, one to make the heart of youth leap, and he soon noticed that nearly the whole population of the city was going with him toward the harbor.	It was a fine, crisp morning, one to make the heart of youth leap, and he soon noticed that nearly the whole population of the city was going with him toward the harbor.	true	63.11	72.42	19
8494_244431_000004_000001	St. Clair, who had departed for his bank, overtook him, and it was evident to Harry that his friend was not thinking much now of banks.	st Clair, who had departed for his bank, overtook him, and it was evident to Harry that his friend was not thinking much now of banks.	false	72.42	80.86	21.785028
8494_244431_000005_000000	"What is it, Arthur?" asked Harry.	"What is it, Arthur?" asked Harry.	true	82.46	84.52	23.711155
8494_244431_000006_000000	"They stole a march on us yesterday," replied St. Clair.	"They stole a march on us yesterday," replied st Clair.	false	85.28	88.6	26.041885
8494_244431_000006_000001	"See that dark and grim mass rising up sixty feet or more near the center of the harbor, the one with the Stars and Stripes flying so defiantly over it?	"See that dark and grim mass rising up sixty feet or more near the center of the harbor, the one with the Stars and Stripes flying so defiantly over it?	true	88.73	97.51	17
