5712_48848_000003_000000	MRS. DALE IS THANKFUL FOR A GOOD THING.	mrs DALE IS THANKFUL FOR A GOOD THING.
5712_48848_000004_000000	On that day they dined early at the Small House, as they had been in the habit of doing since the packing had commenced.	On that day they dined early at the Small House, as they had been in the habit of doing since the packing had commenced.
5712_48848_000004_000001	And after dinner Mrs. Dale went through the gardens, up to the other house, with a written note in her hand.	And after dinner mrs Dale went through the gardens, up to the other house, with a written note in her hand.
5712_48848_000004_000002	In that note she had told Lady Julia, with many protestations of gratitude, that Lily was unable to go out so soon after her illness, and that she herself was obliged to stay with Lily.	In that note she had told Lady Julia, with many protestations of gratitude, that Lily was unable to go out so soon after her illness, and that she herself was obliged to stay with Lily.
5712_48848_000004_000003	She explained also, that the business of moving was in hand, and that, therefore, she could not herself accept the invitation.	She explained also, that the business of moving was in hand, and that, therefore, she could not herself accept the invitation.
5712_48848_000004_000004	But her other daughter, she said, would be very happy to accompany her uncle to Guestwick Manor.	But her other daughter, she said, would be very happy to accompany her uncle to Guestwick Manor.
5712_48848_000004_000005	Then, without closing her letter, she took it up to the squire in order that it might be decided whether it would or would not suit his views.	Then, without closing her letter, she took it up to the squire in order that it might be decided whether it would or would not suit his views.
5712_48848_000005_000000	"Leave it with me," he said; "that is, if you do not object."	"Leave it with me," he said; "that is, if you do not object."
5712_48848_000006_000000	"Oh dear, no!"	"Oh dear, no!"
5712_48848_000007_000000	"I'll tell you the plain truth at once, Mary.	"I'll tell you the plain truth at once, Mary.
5712_48848_000007_000001	I shall go over myself with it, and see the earl.	I shall go over myself with it, and see the earl.
5712_48848_000007_000002	Then I will decline it or not, according to what passes between me and him.	Then I will decline it or not, according to what passes between me and him.
5712_48848_000007_000003	I wish Lily would have gone."	I wish Lily would have gone."
5712_48848_000009_000000	"I wish she could.	"I wish she could.
5712_48848_000009_000001	I wish she could.	I wish she could.
5712_48848_000009_000002	I wish she could." As he repeated the words over and over again, there was an eagerness in his voice that filled Mrs. Dale's heart with tenderness towards him.	I wish she could." As he repeated the words over and over again, there was an eagerness in his voice that filled mrs Dale's heart with tenderness towards him.
