7754_105383_000000_000000	CHAPTER IV THE LEAGUE OF THE SCARLET PIMPERNEL	CHAPTER four THE LEAGUE OF THE SCARLET PIMPERNEL	false	0.24	23.86	22.761251
7754_105383_000001_000000	They all looked a merry, even a happy party, as they sat round the table; Sir Andrew Ffoulkes and Lord Antony Dewhurst, two typical good-looking, well-born and well-bred Englishmen of that year of grace 1792, and the aristocratic French comtesse with her two children, who had just escaped from such dire perils, and found a safe retreat at last on the shores of protecting England.	They all looked a merry, even a happy party, as they sat round the table; Sir Andrew Ffoulkes and Lord Antony Dewhurst, two typical good looking, well born and well bred Englishmen of that year of grace seventeen ninety two, and the aristocratic French comtesse with her two children, who had just escaped from such dire perils, and found a safe retreat at last on the shores of protecting England.	true	25.04	50.08	22.650276
7754_105383_000002_000000	In the corner the two strangers had apparently finished their game; one of them arose, and standing with his back to the merry company at the table, he adjusted with much deliberation his large triple caped coat. As he did so, he gave one quick glance all around him.	In the corner the two strangers had apparently finished their game; one of them arose, and standing with his back to the merry company at the table, he adjusted with much deliberation his large triple caped coat. As he did so, he gave one quick glance all around him.	true	51.08	68.65	23.177313
7754_105383_000002_000001	Everyone was busy laughing and chatting, and he murmured the words "All safe!": his companion then, with the alertness borne of long practice, slipped on to his knees in a moment, and the next had crept noiselessly under the oak bench.	Everyone was busy laughing and chatting, and he murmured the words "All safe!": his companion then, with the alertness borne of long practice, slipped on to his knees in a moment, and the next had crept noiselessly under the oak bench.	false	68.72	84.19	23.154974
7754_105383_000002_000002	The stranger then, with a loud "Good-night," quietly walked out of the coffee-room.	The stranger then, with a loud "Good night," quietly walked out of the coffee room.	true	84.59	89.71	21.870817
7754_105383_000003_000000	Not one of those at the supper table had noticed this curious and silent manoeuvre, but when the stranger finally closed the door of the coffee-room behind him, they all instinctively sighed a sigh of relief.	Not one of those at the supper table had noticed this curious and silent manoeuvre, but when the stranger finally closed the door of the coffee room behind him, they all instinctively sighed a sigh of relief.	true	90.95	102.91	21.890463
7754_105383_000004_000000	"Alone, at last!" said Lord Antony, jovially.	"Alone, at last!" said Lord Antony, jovially.	true	103.76	107.08	21.547834
7754_105383_000005_000000	Then the young Vicomte de Tournay rose, glass in hand, and with the graceful affection peculiar to the times, he raised it aloft, and said in broken English,--	Then the young Vicomte de Tournay rose, glass in hand, and with the graceful affection peculiar to the times, he raised it aloft, and said in broken English,--	false	107.66	117.01	21
7754_105383_000006_000000	"To His Majesty George Three of England.	"To His Majesty George Three of England.	true	117.77	120.91	21
7754_105383_000006_000001	God bless him for his hospitality to us all, poor exiles from France."	God bless him for his hospitality to us all, poor exiles from France."	true	121.22	126.04	21.791843
7754_105383_000007_000000	"His Majesty the King!" echoed Lord Antony and Sir Andrew as they drank loyally to the toast.	"His Majesty the King!" echoed Lord Antony and Sir Andrew as they drank loyally to the toast.	true	127.25	133.51	22.122334
7754_105383_000008_000000	"To His Majesty King Louis of France," added Sir Andrew, with solemnity. "May God protect him, and give him victory over his enemies."	"To His Majesty King Louis of France," added Sir Andrew, with solemnity. "May God protect him, and give him victory over his enemies."	false	134.9	143.38	21.669142
7754_105383_000009_000000	Everyone rose and drank this toast in silence.	Everyone rose and drank this toast in silence.	true	144.32	147.28	21
7754_105383_000009_000001	The fate of the unfortunate King of France, then a prisoner of his own people, seemed to cast a gloom even over Mr. Jellyband's pleasant countenance.	The fate of the unfortunate King of France, then a prisoner of his own people, seemed to cast a gloom even over mr Jellyband's pleasant countenance.	true	147.65	156.87	25
7754_105383_000010_000000	"And to M. le Comte de Tournay de Basserive," said Lord Antony, merrily. "May we welcome him in England before many days are over."	"And to m le Comte de Tournay de Basserive," said Lord Antony, merrily. "May we welcome him in England before many days are over."	false	156.87	165.99	21.539408
7754_105383_000011_000000	"Ah, Monsieur," said the Comtesse, as with a slightly trembling hand she conveyed her glass to her lips, "I scarcely dare to hope."	"Ah, Monsieur," said the Comtesse, as with a slightly trembling hand she conveyed her glass to her lips, "I scarcely dare to hope."	false	165.99	176.32	22.084852
7754_105383_000012_000000	But already Lord Antony had served out the soup, and for the next few moments all conversation ceased, while Jellyband and Sally handed round the plates and everyone began to eat.	But already Lord Antony had served out the soup, and for the next few moments all conversation ceased, while Jellyband and Sally handed round the plates and everyone began to eat.	true	176.9	187.51	19
7754_105383_000013_000000	"Faith, Madame!" said Lord Antony, after a while, "mine was no idle toast; seeing yourself, Mademoiselle Suzanne and my friend the Vicomte safely in England now, surely you must feel reasurred as to the fate of Monsieur le Comte."	"Faith, Madame!" said Lord Antony, after a while, "mine was no idle toast; seeing yourself, Mademoiselle Suzanne and my friend the Vicomte safely in England now, surely you must feel reasurred as to the fate of Monsieur le Comte."	false	188.21	202.35	20
7754_105383_000014_000000	"Ah, Monsieur," replied the Comtesse, with a heavy sigh, "I trust in God--I can but pray--and hope . . ."	"Ah, Monsieur," replied the Comtesse, with a heavy sigh, "I trust in God-I can but pray-and hope . . ."	false	202.35	211.12	19.815361
7754_105383_000015_000000	"Aye, Madame!" here interposed Sir Andrew Ffoulkes, "trust in God by all means, but believe also a little in your English friends, who have sworn to bring the Count safely across the Channel, even as they have brought you to-day."	"Aye, Madame!" here interposed Sir Andrew Ffoulkes, "trust in God by all means, but believe also a little in your English friends, who have sworn to bring the Count safely across the Channel, even as they have brought you to day."	true	211.19	224.74	22.131536
7754_105383_000016_000000	"Indeed, indeed, Monsieur," she replied, "I have the fullest confidence in you and your friends.	"Indeed, indeed, Monsieur," she replied, "I have the fullest confidence in you and your friends.	true	225.47	232.06	18.960785
7754_105383_000016_000001	Your fame, I assure you, has spread throughout the whole of France.	Your fame, I assure you, has spread throughout the whole of France.	true	232.16	235.81	19.823683
7754_105383_000016_000002	The way some of my own friends have escaped from the clutches of that awful revolutionary tribunal was nothing short of a miracle--and all done by you and your friends--"	The way some of my own friends have escaped from the clutches of that awful revolutionary tribunal was nothing short of a miracle-and all done by you and your friends-"	true	236.15	247.09	21
7754_105383_000017_000000	"We were but the hands, Madame la Comtesse . . ."	"We were but the hands, Madame la Comtesse . . ."	false	247.73	250.36	22.361637
7754_105383_000018_000000	"But my husband, Monsieur," said the Comtesse, whilst unshed tears seemed to veil her voice, "he is in such deadly peril--I would never have left him, only . . . there were my children . . .	"But my husband, Monsieur," said the Comtesse, whilst unshed tears seemed to veil her voice, "he is in such deadly peril-I would never have left him, only . . . there were my children . . .	false	251.18	264.04	22.115318
7754_105383_000018_000001	I was torn between my duty to him, and to them.	I was torn between my duty to him, and to them.	true	264.08	267.64	26.834805
7754_105383_000018_000002	They refused to go without me . . . and you and your friends assured me so solemnly that my husband would be safe. But, oh!	They refused to go without me . . . and you and your friends assured me so solemnly that my husband would be safe. But, oh!	true	267.8	276.22	20.73931
7754_105383_000018_000003	now that I am here--amongst you all--in this beautiful, free England--I think of him, flying for his life, hunted like a poor beast . . . in such peril . . .	now that I am here-amongst you all-in this beautiful, free England-I think of him, flying for his life, hunted like a poor beast . . . in such peril . . .	true	276.38	287.16	23.994831
7754_105383_000018_000004	Ah!	Ah!	false	287.16	288.12	24.737497
