5333_37092_000000_000000	VI	VI	false	26.79	28.14	26.757166
5333_37092_000001_000000	But, perhaps, the height of Shakespeare's conception of life is such that, tho he does not satisfy the esthetic demands, he discloses to us a view of life so new and important for men that, in consideration of its importance, all his failures as an artist become imperceptible.	But, perhaps, the height of Shakespeare's conception of life is such that, tho he does not satisfy the esthetic demands, he discloses to us a view of life so new and important for men that, in consideration of its importance, all his failures as an artist become imperceptible.	true	28.14	44.74	22.89903
5333_37092_000001_000001	So, indeed, say Shakespeare's admirers.	So, indeed, say Shakespeare's admirers.	true	44.78	47.32	21
5333_37092_000001_000002	Gervinus says distinctly that besides Shakespeare's significance in the sphere of dramatic poetry in which, according to his opinion, Shakespeare equals "Homer in the sphere of Epos, Shakespeare being the very greatest judge of the human soul, represents a teacher of most indisputable ethical authority and the most select leader in the world and in life."	Gervinus says distinctly that besides Shakespeare's significance in the sphere of dramatic poetry in which, according to his opinion, Shakespeare equals "Homer in the sphere of e p o's, Shakespeare being the very greatest judge of the human soul, represents a teacher of most indisputable ethical authority and the most select leader in the world and in life."	false	47.69	69.3	20
5333_37092_000002_000000	In what, then, consists this indisputable authority of the most select leader in the world and in life?	In what, then, consists this indisputable authority of the most select leader in the world and in life?	true	69.3	76.12	17
5333_37092_000002_000001	Gervinus devotes the concluding chapter of his second volume, about fifty pages, to an explanation of this.	Gervinus devotes the concluding chapter of his second volume, about fifty pages, to an explanation of this.	true	76.46	82.93	22.390825
5333_37092_000003_000000	The ethical authority of this supreme teacher of life consists in the following: The starting point of Shakespeare's conception of life, says Gervinus, is that man is gifted with powers of activity, and therefore, first of all, according to Gervinus, Shakespeare regarded it as good and necessary for man that he should act (as if it were possible for a man not to act):	The ethical authority of this supreme teacher of life consists in the following: The starting point of Shakespeare's conception of life, says Gervinus, is that man is gifted with powers of activity, and therefore, first of all, according to Gervinus, Shakespeare regarded it as good and necessary for man that he should act (as if it were possible for a man not to act):	true	83.24	105.93	21.962955
5333_37092_000004_000000	"Die thatkraeftigen Maenner, Fortinbras, Bolingbroke, Alcibiades, Octavius spielen hier die gegensaetzlichen Rollen gegen die verschiedenen thatlosen; nicht ihre Charaktere verdienen ihnen Allen ihr Glueck und Gedeihen etwa durch eine grosse Ueberlegenheit ihrer Natur, sondern trotz ihrer geringeren Anlage stellt sich ihre Thatkraft an sich ueber die Unthaetigkeit der Anderen hinaus, gleichviel aus wie schoener Quelle diese Passivitaet, aus wie schlechter jene Thaetigkeit fliesse."	"Die thatkraeftigen Maenner, Fortinbras, Bolingbroke, Alcibiades, Octavius spielen hier die gegensaetzlichen Rollen gegen die verschiedenen thatlosen; nicht i h r e Charaktere verdienen ihnen Allen i h r Glueck und Gedeihen e t w a durch eine grosse Ueberlegenheit ihrer Natur, sondern trotz ihrer geringeren Anlage stellt sich i h r e Thatkraft an sich ueber die Unthaetigkeit der Anderen hinaus, gleichviel aus wie schoener Quelle diese Passivitaet, aus wie schlechter jene Thaetigkeit fliesse."	false	105.93	144.3	22.206844
5333_37092_000005_000000	_I.e._, active people, like Fortinbras, Bolingbroke, Alcibiades, Octavius, says Gervinus, are placed in contrast, by Shakespeare, with various characters who do not exhibit energetic activity.	underscore i e underscore, active people, like Fortinbras, Bolingbroke, Alcibiades, Octavius, says Gervinus, are placed in contrast, by Shakespeare, with various characters who do not exhibit energetic activity.	false	144.3	158.74	22.873007
5333_37092_000005_000001	And happiness and success, according to Shakespeare, are attained by individuals possessing this active character, not at all owing to the superiority of their nature; on the contrary, notwithstanding their inferior gifts, the capacity of activity itself always gives them the advantage over inactivity, quite independent of any consideration whether the inactivity of some persons flows from excellent impulses and the activity of others from bad ones.	And happiness and success, according to Shakespeare, are attained by individuals possessing this active character, not at all owing to the superiority of their nature; on the contrary, notwithstanding their inferior gifts, the capacity of activity itself always gives them the advantage over inactivity, quite independent of any consideration whether the inactivity of some persons flows from excellent impulses and the activity of others from bad ones.	true	158.96	186.85	23
5333_37092_000005_000002	"Activity is good, inactivity is evil. Activity transforms evil into good," says Shakespeare, according to Gervinus.	"Activity is good, inactivity is evil. Activity transforms evil into good," says Shakespeare, according to Gervinus.	true	186.98	195.73	22.730429
5333_37092_000005_000003	Shakespeare prefers the principle of Alexander (of Macedonia) to that of Diogenes, says Gervinus.	Shakespeare prefers the principle of Alexander (of Macedonia) to that of Diogenes, says Gervinus.	false	195.92	202.27	22.04453
5333_37092_000005_000004	In other words, he prefers death and murder due to ambition, to abstinence and wisdom.	In other words, he prefers death and murder due to ambition, to abstinence and wisdom.	true	202.37	207.81	21.39453
5333_37092_000006_000000	According to Gervinus, Shakespeare believes that humanity need not set up ideals, but that only healthy activity and the golden mean are necessary in everything.	According to Gervinus, Shakespeare believes that humanity need not set up ideals, but that only healthy activity and the golden mean are necessary in everything.	false	207.81	217	18.320543
