2294_161707_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	3.795	5.625	13
2294_161707_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	5.625	8.26	11
2294_161707_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	8.33	12.63	9
2294_161707_000001_000000	GULLIVER OF MARS ***	GULLIVER OF MARS asterisk asterisk asterisk	false	12.63	13.74	68
2294_161707_000002_000000	Produced by Judith Boss and Len Budney.	Produced by Judith Boss and Len Budney.	false	13.74	16.05	19.009241
2294_161707_000002_000001	HTML version by Al Haines.	h t m l version by Al Haines.	false	16.05	19.11	14.955667
2294_161707_000003_000000	Gulliver of Mars	Gulliver of Mars	true	19.11	20.4	14
2294_161707_000004_000000	by	by	true	20.4	20.73	12.317402
2294_161707_000005_000000	Edwin L. Arnold	Edwin l Arnold	true	20.73	22.14	12
2294_161707_000006_000000	Original Title: Lieut.	Original Title: Lieut.	false	22.14	22.23	-20
2294_161707_000006_000001	Gulliver Jones	Gulliver Jones	false	22.23	22.32	-20
2294_161707_000007_000000	CHAPTER I	CHAPTER one	true	22.32	23.29	18
2294_161707_000008_000000	Dare I say it?	Dare I say it?	true	24.56	25.81	22.466352
2294_161707_000008_000001	Dare I say that I, a plain, prosaic lieutenant in the republican service have done the incredible things here set out for the love of a woman--for a chimera in female shape; for a pale, vapid ghost of woman-loveliness?	Dare I say that I, a plain, prosaic lieutenant in the republican service have done the incredible things here set out for the love of a woman-for a chimera in female shape; for a pale, vapid ghost of woman loveliness?	true	25.97	38.35	18.826523
2294_161707_000008_000002	At times I tell myself I dare not: that you will laugh, and cast me aside as a fabricator; and then again I pick up my pen and collect the scattered pages, for I MUST write it--the pallid splendour of that thing I loved, and won, and lost is ever before me, and will not be forgotten.	At times I tell myself I dare not: that you will laugh, and cast me aside as a fabricator; and then again I pick up my pen and collect the scattered pages, for I MUST write it-the pallid splendour of that thing I loved, and won, and lost is ever before me, and will not be forgotten.	true	38.75	56.41	22.386497
2294_161707_000008_000003	The tumult of the struggle into which that vision led me still throbs in my mind, the soft, lisping voices of the planet I ransacked for its sake and the roar of the destruction which followed me back from the quest drowns all other sounds in my ears!	The tumult of the struggle into which that vision led me still throbs in my mind, the soft, lisping voices of the planet I ransacked for its sake and the roar of the destruction which followed me back from the quest drowns all other sounds in my ears!	false	56.66	70.03	21.097012
2294_161707_000008_000004	I must and will write--it relieves me; read and believe as you list.	I must and will write-it relieves me; read and believe as you list.	true	70.4	75.25	22.750525
2294_161707_000009_000000	At the moment this story commences I was thinking of grilled steak and tomatoes--steak crisp and brown on both sides, and tomatoes red as a setting sun!	At the moment this story commences I was thinking of grilled steak and tomatoes-steak crisp and brown on both sides, and tomatoes red as a setting sun!	false	75.8	84.49	21.421017
2294_161707_000010_000000	Much else though I have forgotten, THAT fact remains as clear as the last sight of a well-remembered shore in the mind of some wave-tossed traveller.	Much else though I have forgotten, THAT fact remains as clear as the last sight of a well remembered shore in the mind of some wave tossed traveller.	true	84.95	91.8	20
