543_133217_000000_000000	XXX	x x x	false	5.4	7.23	20.612778
543_133217_000001_000000	THE CONCLUSION.	THE CONCLUSION.	true	7.23	8.62	19.705969
543_133217_000002_000000	At the bottom of his heart Candide had no wish to marry Cunegonde.	At the bottom of his heart Candide had no wish to marry Cunegonde.	true	8.96	13.83	12
543_133217_000002_000001	But the extreme impertinence of the Baron determined him to conclude the match, and Cunegonde pressed him so strongly that he could not go from his word.	But the extreme impertinence of the Baron determined him to conclude the match, and Cunegonde pressed him so strongly that he could not go from his word.	true	13.83	23.415	16
543_133217_000002_000002	He consulted Pangloss, Martin, and the faithful Cacambo. Pangloss drew up an excellent memorial, wherein he proved that the Baron had no right over his sister, and that according to all the laws of the empire, she might marry Candide with her left hand.	He consulted Pangloss, Martin, and the faithful Cacambo. Pangloss drew up an excellent memorial, wherein he proved that the Baron had no right over his sister, and that according to all the laws of the empire, she might marry Candide with her left hand.	true	23.415	40.09	15
543_133217_000002_000003	Martin was for throwing the Baron into the sea; Cacambo decided that it would be better to deliver him up again to the captain of the galley, after which they thought to send him back to the General Father of the Order at Rome by the first ship.	Martin was for throwing the Baron into the sea; Cacambo decided that it would be better to deliver him up again to the captain of the galley, after which they thought to send him back to the General Father of the Order at Rome by the first ship.	true	40.16	56.22	15
543_133217_000002_000004	This advice was well received, the old woman approved it; they said not a word to his sister; the thing was executed for a little money, and they had the double pleasure of entrapping a Jesuit, and punishing the pride of a German baron.	This advice was well received, the old woman approved it; they said not a word to his sister; the thing was executed for a little money, and they had the double pleasure of entrapping a Jesuit, and punishing the pride of a German baron.	true	56.22	71.32	16
543_133217_000003_000000	It is natural to imagine that after so many disasters Candide married, and living with the philosopher Pangloss, the philosopher Martin, the prudent Cacambo, and the old woman, having besides brought so many diamonds from the country of the ancient Incas, must have led a very happy life.	It is natural to imagine that after so many disasters Candide married, and living with the philosopher Pangloss, the philosopher Martin, the prudent Cacambo, and the old woman, having besides brought so many diamonds from the country of the ancient Incas, must have led a very happy life.	true	71.39	90.885	14
543_133217_000003_000001	But he was so much imposed upon by the Jews that he had nothing left except his small farm; his wife became uglier every day, more peevish and unsupportable; the old woman was infirm and even more fretful than Cunegonde.	But he was so much imposed upon by the Jews that he had nothing left except his small farm; his wife became uglier every day, more peevish and unsupportable; the old woman was infirm and even more fretful than Cunegonde.	true	90.885	107.59	14
543_133217_000003_000002	Cacambo, who worked in the garden, and took vegetables for sale to Constantinople, was fatigued with hard work, and cursed his destiny.	Cacambo, who worked in the garden, and took vegetables for sale to Constantinople, was fatigued with hard work, and cursed his destiny.	true	107.72	116.98	17
543_133217_000003_000003	Pangloss was in despair at not shining in some German university.	Pangloss was in despair at not shining in some German university.	true	117.05	122.08	14
543_133217_000003_000004	For Martin, he was firmly persuaded that he would be as badly off elsewhere, and therefore bore things patiently.	For Martin, he was firmly persuaded that he would be as badly off elsewhere, and therefore bore things patiently.	true	122.3	130.57	16
543_133217_000003_000005	Candide, Martin, and Pangloss sometimes disputed about morals and metaphysics. They often saw passing under the windows of their farm boats full of Effendis, Pashas, and Cadis, who were going into banishment to Lemnos, Mitylene, or Erzeroum.	Candide, Martin, and Pangloss sometimes disputed about morals and metaphysics. They often saw passing under the windows of their farm boats full of Effendis, Pashas, and Cadis, who were going into banishment to Lemnos, Mitylene, or Erzeroum.	false	130.67	148.44	16
543_133217_000003_000006	And they saw other Cadis, Pashas, and Effendis coming to supply the place of the exiles, and afterwards exiled in their turn.	And they saw other Cadis, Pashas, and Effendis coming to supply the place of the exiles, and afterwards exiled in their turn.	false	148.44	157.15	17
543_133217_000003_000007	They saw heads decently impaled for presentation to the Sublime Porte.	They saw heads decently impaled for presentation to the Sublime Porte.	true	157.22	162.64	15
543_133217_000003_000008	Such spectacles as these increased the number of their dissertations; and when they did not dispute time hung so heavily upon their hands, that one day the old woman ventured to say to them:	Such spectacles as these increased the number of their dissertations; and when they did not dispute time hung so heavily upon their hands, that one day the old woman ventured to say to them:	true	162.77	174.765	14
543_133217_000004_000000	"I want to know which is worse, to be ravished a hundred times by negro pirates, to have a buttock cut off, to run the gauntlet among the Bulgarians, to be whipped and hanged at an _auto-da-fe_, to be dissected, to row in the galleys--in short, to go through all the miseries we have undergone, or to stay here and have nothing to do?"	"I want to know which is worse, to be ravished a hundred times by negro pirates, to have a buttock cut off, to run the gauntlet among the Bulgarians, to be whipped and hanged at an underscore auto da fe underscore, to be dissected, to row in the galleys-in short, to go through all the miseries we have undergone, or to stay here and have nothing to do?"	false	174.765	200.02	18
543_133217_000005_000000	"It is a great question," said Candide.	"It is a great question," said Candide.	true	200.45	203.98	20.225588
543_133217_000006_000000	This discourse gave rise to new reflections, and Martin especially concluded that man was born to live either in a state of distracting inquietude or of lethargic disgust.	This discourse gave rise to new reflections, and Martin especially concluded that man was born to live either in a state of distracting inquietude or of lethargic disgust.	false	203.99	217.635	15
543_133217_000006_000001	Candide did not quite agree to that, but he affirmed nothing.	Candide did not quite agree to that, but he affirmed nothing.	true	217.635	222.06	20.284628
543_133217_000006_000002	Pangloss owned that he had always suffered horribly, but as he had once asserted that everything went wonderfully well, he asserted it still, though he no longer believed it.	Pangloss owned that he had always suffered horribly, but as he had once asserted that everything went wonderfully well, he asserted it still, though he no longer believed it.	true	222.06	234.04	14
543_133217_000007_000000	What helped to confirm Martin in his detestable principles, to stagger Candide more than ever, and to puzzle Pangloss, was that one day they saw Paquette and Friar Giroflee land at the farm in extreme misery.	What helped to confirm Martin in his detestable principles, to stagger Candide more than ever, and to puzzle Pangloss, was that one day they saw Paquette and Friar Giroflee land at the farm in extreme misery.	true	234.08	249.72	14
543_133217_000007_000001	They had soon squandered their three thousand piastres, parted, were reconciled, quarrelled again, were thrown into gaol, had escaped, and Friar Giroflee had at length become Turk.	They had soon squandered their three thousand piastres, parted, were reconciled, quarrelled again, were thrown into gaol, had escaped, and Friar Giroflee had at length become Turk.	false	249.72	262.54	18
543_133217_000007_000002	Paquette continued her trade wherever she went, but made nothing of it.	Paquette continued her trade wherever she went, but made nothing of it.	true	262.85	267.69	20
543_133217_000008_000000	"I foresaw," said Martin to Candide, "that your presents would soon be dissipated, and only make them the more miserable.	"I foresaw," said Martin to Candide, "that your presents would soon be dissipated, and only make them the more miserable.	false	267.69	276.6	15
543_133217_000008_000001	You have rolled in millions of money, you and Cacambo; and yet you are not happier than Friar Giroflee and Paquette."	You have rolled in millions of money, you and Cacambo; and yet you are not happier than Friar Giroflee and Paquette."	true	276.6	285.31	15
