2269_88761_000001_000000	MY SECOND STAGE	MY SECOND STAGE
2269_88761_000002_000000	Bear not false witness, slander not, nor lie; Truth is the speech of inward purity.	Bear not false witness, slander not, nor lie; Truth is the speech of inward purity.
2269_88761_000004_000000	In my first stage the reader will perceive that I was a comparatively weak and harmless little slander, with merely that taint of original sin which was to be expected in one of such parentage.	In my first stage the reader will perceive that I was a comparatively weak and harmless little slander, with merely that taint of original sin which was to be expected in one of such parentage.
2269_88761_000004_000001	But I developed with great rapidity; and I believe men of science will tell you that this is always the case with low organisms.	But I developed with great rapidity; and I believe men of science will tell you that this is always the case with low organisms.
2269_88761_000004_000002	That, for instance, while it takes years to develop the man from the baby, and months to develop the dog from the puppy, the baby monad will grow to maturity in an hour.	That, for instance, while it takes years to develop the man from the baby, and months to develop the dog from the puppy, the baby monad will grow to maturity in an hour.
2269_88761_000005_000000	Personally I should have preferred to linger in Mrs. O'Reilly's pleasant drawing-room, for, as I said before, my victim interested me, and I wanted to observe him more closely and hear what he talked about.	Personally I should have preferred to linger in mrs O'Reilly's pleasant drawing room, for, as I said before, my victim interested me, and I wanted to observe him more closely and hear what he talked about.
2269_88761_000005_000001	But I received orders to attend evensong at the parish church, and to haunt the mind of Lena Houghton.	But I received orders to attend evensong at the parish church, and to haunt the mind of Lena Houghton.
2269_88761_000006_000000	As we passed down the High Street the bells rang out loud and clear, and they made me feel the same slight sense of discomfort that I had felt when I looked at Zaluski; however, I went on, and soon entered the church.	As we passed down the High Street the bells rang out loud and clear, and they made me feel the same slight sense of discomfort that I had felt when I looked at Zaluski; however, I went on, and soon entered the church.
2269_88761_000006_000001	It was a fine old Gothic building, and the afternoon sunshine seemed to flood the whole place; even the white stones in the aisle were glorified here and there with gorgeous patches of colour from the stained glass windows.	It was a fine old Gothic building, and the afternoon sunshine seemed to flood the whole place; even the white stones in the aisle were glorified here and there with gorgeous patches of colour from the stained glass windows.
2269_88761_000006_000002	But the strange stillness and quiet oppressed me, I did not feel nearly so much at home as in Mrs. O'Reilly's drawing-room--to use a terrestrial simile, I felt like a fish out of water.	But the strange stillness and quiet oppressed me, I did not feel nearly so much at home as in mrs O'Reilly's drawing room-to use a terrestrial simile, I felt like a fish out of water.
2269_88761_000007_000001	Try as I would, I could not distract her attention or gain the slightest hold upon her, and I really believe I should have been altogether baffled, had not the rector unconsciously come to my aid.	Try as I would, I could not distract her attention or gain the slightest hold upon her, and I really believe I should have been altogether baffled, had not the rector unconsciously come to my aid.
2269_88761_000008_000000	All through the prayers and psalms I had fought a desperate fight without gaining a single inch.	All through the prayers and psalms I had fought a desperate fight without gaining a single inch.
2269_88761_000008_000001	Then the rector walked over to the lectern, and the moment he opened his mouth I knew that my time had come, and that there was a very fair chance of victory before me.	Then the rector walked over to the lectern, and the moment he opened his mouth I knew that my time had come, and that there was a very fair chance of victory before me.
2269_88761_000008_000002	Whether this clergyman had a toothache, or a headache, or a heavy load on his mind, I cannot say, but his reading was more lugubrious than the wind in an equinoctial gale.	Whether this clergyman had a toothache, or a headache, or a heavy load on his mind, I cannot say, but his reading was more lugubrious than the wind in an equinoctial gale.
2269_88761_000009_000000	Hardly had the rector announced, "Here beginneth the forty-fourth verse of the sixteenth chapter of the book of the prophet Ezekiel," than a sort of relaxation took place in the mind I was attacking.	Hardly had the rector announced, "Here beginneth the forty fourth verse of the sixteenth chapter of the book of the prophet ezekiel," than a sort of relaxation took place in the mind I was attacking.
2269_88761_000009_000001	Lena Houghton's attention could only have been given to the drearily read lesson by a very great effort; she was a little lazy and did not make the effort, she thought how nice it was to sit down again, and then the melancholy voice lulled her into a vague interval of thoughtless inactivity.	Lena Houghton's attention could only have been given to the drearily read lesson by a very great effort; she was a little lazy and did not make the effort, she thought how nice it was to sit down again, and then the melancholy voice lulled her into a vague interval of thoughtless inactivity.
2269_88761_000009_000002	I promptly seized my opportunity, and in a moment her whole mind was full of me.	I promptly seized my opportunity, and in a moment her whole mind was full of me.
2269_88761_000009_000003	She was an excitable, impressionable sort of girl, and when once I had obtained an entrance into her mind I found it the easiest thing in the world to dominate her thoughts.	She was an excitable, impressionable sort of girl, and when once I had obtained an entrance into her mind I found it the easiest thing in the world to dominate her thoughts.
2269_88761_000009_000005	I crowded out the Magnificat with a picture of Zaluski and Gertrude Morley.	I crowded out the Magnificat with a picture of Zaluski and Gertrude Morley.
2269_88761_000009_000006	I led her through more terrible future possibilities in the second lesson than would be required for a three-volume novel.	I led her through more terrible future possibilities in the second lesson than would be required for a three volume novel.
2269_88761_000010_000000	The congregation rose.	The congregation rose.
2269_88761_000010_000001	Lena Houghton, still dominated by me, knelt longer than the rest, but at last she got up and walked down the aisle, and I felt a great sense of relief and satisfaction.	Lena Houghton, still dominated by me, knelt longer than the rest, but at last she got up and walked down the aisle, and I felt a great sense of relief and satisfaction.
2269_88761_000010_000002	We were out in the open air once more, and I had triumphed; I was quite sure that she would tell the first person she met, for, as I have said before, she was entirely taken up with me, and to have kept me to herself would have required far more strength and unselfishness than she at that moment possessed.	We were out in the open air once more, and I had triumphed; I was quite sure that she would tell the first person she met, for, as I have said before, she was entirely taken up with me, and to have kept me to herself would have required far more strength and unselfishness than she at that moment possessed.
2269_88761_000010_000003	She walked slowly through the churchyard, feeling much pleased to see that the curate had just left the vestry door, and that in a few moments their paths must converge.	She walked slowly through the churchyard, feeling much pleased to see that the curate had just left the vestry door, and that in a few moments their paths must converge.
2269_88761_000011_000000	Mr. Blackthorne had only been ordained three or four years, and was a little younger, and much less experienced in the ways of the world, than Sigismund Zaluski.	mr Blackthorne had only been ordained three or four years, and was a little younger, and much less experienced in the ways of the world, than Sigismund Zaluski.
2269_88761_000011_000001	He was a good well-meaning fellow, a little narrow, a little prejudiced, a little spoiled by the devotion of the district visitors and Sunday School teachers; but he was honest and energetic, and as a worker among the poor few could have equalled him.	He was a good well meaning fellow, a little narrow, a little prejudiced, a little spoiled by the devotion of the district visitors and Sunday School teachers; but he was honest and energetic, and as a worker among the poor few could have equalled him.
2269_88761_000011_000002	He seemed to fancy, however, that with the poor his work ended, and he was not always so wise as he might have been in Muddleton society.	He seemed to fancy, however, that with the poor his work ended, and he was not always so wise as he might have been in Muddleton society.
2269_88761_000012_000000	"Good afternoon, Miss Houghton," he exclaimed.	"Good afternoon, Miss Houghton," he exclaimed.
2269_88761_000012_000001	"Do you happen to know if your brother is at home?	"Do you happen to know if your brother is at home?
