8183_282977_000000_000000	His master (Mr.	His master (mr	false	0	0.36	13
8183_282977_000000_000001	Knight), had a wife and seven children, and was a member of the Episcopal Church, in "good and regular standing." He was rich, and, with his family, moved in good society.	Knight), had a wife and seven children, and was a member of the Episcopal Church, in "good and regular standing." He was rich, and, with his family, moved in good society.	false	0.36	9.63	20.290655
8183_282977_000000_000002	"His wife was too stingy to live, and if she was to die, she would die holding on to something," said Jack.	"His wife was too stingy to live, and if she was to die, she would die holding on to something," said Jack.	false	9.63	16.8	22.218662
8183_282977_000000_000003	Jack had once had a wife and three children, but as they belonged to a slave-holder ("Jim Price") Jack's rights were wholly ignored, and he lost them.	Jack had once had a wife and three children, but as they belonged to a slave holder ("Jim Price") Jack's rights were wholly ignored, and he lost them.	false	16.8	25.29	20.61965
8183_282977_000001_000000	ARRIVAL FROM HARFORD CO., 1857.	ARRIVAL FROM HARFORD c o., eighteen fifty seven.	false	25.29	28.75	23.412739
8183_282977_000002_000000	JOHN MYERS.	john MYERS.	true	28.97	30.31	17.19817
8183_282977_000003_000000	John fled from under the yoke of Dr. Joshua R. Nelson.	john fled from under the yoke of dr joshua r Nelson.	true	31.28	35.26	20.708649
8183_282977_000003_000001	Until within two years of "Jack's" flight, the doctor "had been a very fine man," with whom Jack found no fault.	Until within two years of "Jack's" flight, the doctor "had been a very fine man," with whom Jack found no fault.	true	35.36	43.09	21.190666
8183_282977_000003_000002	But suddenly his mode of treatment changed; he became very severe.	But suddenly his mode of treatment changed; he became very severe.	true	43.43	48.31	20.61293
8183_282977_000003_000003	Nothing that Jack could do, met the approval of the doctor.	Nothing that Jack could do, met the approval of the doctor.	true	48.68	51.88	24.959908
8183_282977_000003_000004	Jack was constantly looked upon with suspicion.	Jack was constantly looked upon with suspicion.	true	52.13	55.15	21.361517
8183_282977_000004_000000	The very day that Jack fled, four men approached him (the doctor one of them), with line in hand; that sign was well understood, and Jack resolved that they should not get within tying distance of him.	The very day that Jack fled, four men approached him (the doctor one of them), with line in hand; that sign was well understood, and Jack resolved that they should not get within tying distance of him.	true	55.7	68.77	22.33221
8183_282977_000004_000001	"I dodged them," said Jack.	"I dodged them," said Jack.	true	69.2	71.2	21.812395
8183_282977_000004_000002	Never afterwards was Jack seen in that part of the country, at least as long as a fetter remained.	Never afterwards was Jack seen in that part of the country, at least as long as a fetter remained.	true	71.24	76.96	20.406363
8183_282977_000005_000000	The day that he "dodged" he also took the Underground Rail Road, and although ignorant of letters, he battled his way out of Maryland, and succeeded in reaching Pennsylvania and the Committee.	The day that he "dodged" he also took the Underground Rail Road, and although ignorant of letters, he battled his way out of Maryland, and succeeded in reaching Pennsylvania and the Committee.	true	77.33	88.27	20.667767
8183_282977_000005_000001	He was obliged to leave four children behind--John, Abraham, Jane and Ellen.	He was obliged to leave four children behind-john, Abraham, Jane and Ellen.	true	88.85	94.75	19.3371
8183_282977_000006_000000	Jack's wife had been freed and had come to Philadelphia two years in advance of him.	Jack's wife had been freed and had come to Philadelphia two years in advance of him.	true	95.42	100.45	19.460459
8183_282977_000006_000001	His master evidently supposed that Jack would be mean enough to wish to see his wife, even in a free State, and that no slave, with such an unnatural desire, could be tolerated or trusted, that the sooner such "articles" were turned into cash the better.	His master evidently supposed that Jack would be mean enough to wish to see his wife, even in a free State, and that no slave, with such an unnatural desire, could be tolerated or trusted, that the sooner such "articles" were turned into cash the better.	true	100.94	116.89	21.914284
8183_282977_000006_000002	This in substance, was the way Jack accounted for the sudden change which had come over his master.	This in substance, was the way Jack accounted for the sudden change which had come over his master.	true	117.47	123.13	19.538052
8183_282977_000006_000003	In defense of his course, Jack referred to the treatment which he had received while in servitude under his old master, in something like the following words: "I served under my young master's father, thirty-five years, and from him received kind treatment.	In defense of his course, Jack referred to the treatment which he had received while in servitude under his old master, in something like the following words: "I served under my young master's father, thirty five years, and from him received kind treatment.	true	123.74	138.73	20.890263
8183_282977_000006_000004	I was his head man on the place, and had everything to look after."	I was his head man on the place, and had everything to look after."	true	139.25	143.35	20.764776
8183_282977_000007_000000	ARRIVAL FROM MARYLAND, 1857.	ARRIVAL FROM MARYLAND, eighteen fifty seven.	true	144.83	148.18	20.228561
8183_282977_000008_000000	WILLIAM LEE, SUSAN JANE BOILE AND AMARIAN LUCRETIA RISTER.	WILLIAM LEE, SUSAN JANE b o i l e AND AMARIAN LUCRETIA RISTER.	false	148.37	154.59	20.08245
8183_282977_000009_000000	Although these three passengers arrived in Philadelphia at the same time, they did not come from Maryland together.	Although these three passengers arrived in Philadelphia at the same time, they did not come from Maryland together.	true	154.59	161.53	21.995047
8183_282977_000010_000000	William Lee found himself under the yoke on a farm in the possession of Zechariah Merica, who, Wm. said, was a "low ignorant man, not above a common wood-chopper, and owned no other slave property than William." Against him, however, William brought no accusation of any very severe treatment; on the contrary, his master talked sometimes "as though he wanted to be good and get religion, but said he could not while he was trying to be rich." Everything looked hopeless in William's eyes, so far as the master's riches and his own freedom were concerned.	William Lee found himself under the yoke on a farm in the possession of zechariah Merica, who, w m. said, was a "low ignorant man, not above a common wood chopper, and owned no other slave property than William." Against him, however, William brought no accusation of any very severe treatment; on the contrary, his master talked sometimes "as though he wanted to be good and get religion, but said he could not while he was trying to be rich." Everything looked hopeless in William's eyes, so far as the master's riches and his own freedom were concerned.	false	161.9	201.52	21.116087
8183_282977_000010_000001	He concluded that he would leave him the "bag to hold alone." William therefore laid down "the shovel and the hoe," and, without saying a word to his master, he took his departure, under the privacy of the night, for Canada. William represented the white and colored races about equally; he was about twenty-seven years of age, and looked well fitted for a full day's work on a farm.	He concluded that he would leave him the "bag to hold alone." William therefore laid down "the shovel and the hoe," and, without saying a word to his master, he took his departure, under the privacy of the night, for Canada. William represented the white and colored races about equally; he was about twenty seven years of age, and looked well fitted for a full day's work on a farm.	false	201.83	226.27	20.047905
8183_282977_000011_000000	Susan Jane came from New Market, near Georgetown Cross-Roads, where she had been held to unrequited labor by Hezekiah Masten, a farmer.	Susan Jane came from New Market, near Georgetown Cross Roads, where she had been held to unrequited labor by Hezekiah Masten, a farmer.	true	227.6	237.7	20.26117
8183_282977_000011_000001	Although he was a man of fair pretensions, and a member of the Methodist Church, he knew how to draw the cords very tightly, with regard to his slaves, keeping his feet on their necks, to their sore grievance.	Although he was a man of fair pretensions, and a member of the Methodist Church, he knew how to draw the cords very tightly, with regard to his slaves, keeping his feet on their necks, to their sore grievance.	false	238.19	250.75	20.39252
8183_282977_000011_000002	Susan endured his bad treatment as long as she could, then left, destitute and alone. Her mother and father were at the time living in Elkton, Md.	Susan endured his bad treatment as long as she could, then left, destitute and alone. Her mother and father were at the time living in Elkton, m d.	false	251.09	261.6	19.932413
8183_282977_000011_000003	Whether they ever heard what became of their daughter is not known.	Whether they ever heard what became of their daughter is not known.	true	261.6	265.24	20.809847
8183_282977_000012_000000	Amarian was twenty-one years of age, a person of light color, medium size, with a prepossessing countenance and smart; she could read, write, and play on the piano.	Amarian was twenty one years of age, a person of light color, medium size, with a prepossessing countenance and smart; she could read, write, and play on the piano.	true	266.15	277.36	20.956146
8183_282977_000012_000001	From a child, Amarian had been owned by Mrs. Elizabeth Key Scott, who resided near Braceville, but at the time of her flight she was living at Westminster, in the family of a man named "Boile," said to be the clerk of the court.	From a child, Amarian had been owned by mrs Elizabeth Key Scott, who resided near Braceville, but at the time of her flight she was living at Westminster, in the family of a man named "Boile," said to be the clerk of the court.	true	278.24	292.93	20.628525
8183_282977_000012_000002	In reference to treatment, Amarian said: "I have always been used very well; have had it good all my life, etc." This was a remarkable case, and, at first, somewhat staggered the faith of the Committee, but they could not dispute her testimony, consequently they gave her the benefit of the doubt.	In reference to treatment, Amarian said: "I have always been used very well; have had it good all my life, etc" This was a remarkable case, and, at first, somewhat staggered the faith of the Committee, but they could not dispute her testimony, consequently they gave her the benefit of the doubt.	true	293.33	311.92	21.516304
8183_282977_000012_000003	She spoke of having a mother living in Hagerstown, by the name of Amarian Ballad, also three sisters who were slaves, and two who were free; she also had a brother in chains in Mississippi.	She spoke of having a mother living in Hagerstown, by the name of Amarian Ballad, also three sisters who were slaves, and two who were free; she also had a brother in chains in Mississippi.	true	312.29	325.09	20.156485
8183_282977_000013_000000	ARRIVAL FROM NORFOLK, VA. 1857.	ARRIVAL FROM norfolk virginia eighteen fifty seven.	true	326.03	329.77	21.990429
8183_282977_000014_000000	WILLIAM CARNEY AND ANDREW ALLEN.	WILLIAM CARNEY AND ANDREW ALLEN.	true	329.99	333.01	22.704971
8183_282977_000015_000000	William was about fifty-one years of age, a man of unmixed blood. Physically he was a superior man, and his mental abilities were quite above the average of his class.	William was about fifty one years of age, a man of unmixed blood. Physically he was a superior man, and his mental abilities were quite above the average of his class.	false	333.98	345.13	19.750473
8183_282977_000016_000000	He belonged to the estate of the late Mrs. Sarah Twyne, who bore the reputation of being a lady of wealth, and owned one hundred and twelve slaves.	He belonged to the estate of the late mrs Sarah Twyne, who bore the reputation of being a lady of wealth, and owned one hundred and twelve slaves.	true	345.8	355.48	21.14649
8183_282977_000016_000001	Most of her slave property was kept on her plantation not far from Old Point Comfort.	Most of her slave property was kept on her plantation not far from Old Point Comfort.	true	355.94	361.6	22.446346
8183_282977_000016_000002	According to William's testimony "of times Mrs. Twyne would meddle too freely with the cup, and when under its influence she was very desperate, and acted as though she wanted to kill some of the slaves."	According to William's testimony "of times mrs Twyne would meddle too freely with the cup, and when under its influence she was very desperate, and acted as though she wanted to kill some of the slaves."	true	361.91	374.35	20.728333
8183_282977_000017_000000	After the evil spirit left her and she had regained her wonted composure, she would pretend that she loved her "negroes," and would make a great fuss over them.	After the evil spirit left her and she had regained her wonted composure, she would pretend that she loved her "negroes," and would make a great fuss over them.	true	374.78	384.01	21.506926
8183_282977_000017_000001	Not infrequently she would have very serious difficulty with her overseers.	Not infrequently she would have very serious difficulty with her overseers.	true	384.35	388.99	19.636276
8183_282977_000017_000002	Having license to do as they pleased, they would of course carry their cruelties to the most extreme verge of punishment.	Having license to do as they pleased, they would of course carry their cruelties to the most extreme verge of punishment.	true	389.51	396.25	21.561625
8183_282977_000017_000003	If a slave was maimed or killed under their correction, it was no loss of theirs.	If a slave was maimed or killed under their correction, it was no loss of theirs.	true	397.07	402.28	20.903193
8183_282977_000017_000004	"One of the overseers by the name of Bill Anderson once shot a young slave man called Luke and wounded him so seriously that he was not expected to live." "At another time one of the overseers beat and kicked a slave to death." This barbarity caused the mistress to be very much "stirred up," and she declared that she would not have any more white overseers; condemned them for everything, and decided to change her policy in future and to appoint her overseers from her own slaves, setting the property to watch the property.	"One of the overseers by the name of Bill Anderson once shot a young slave man called luke and wounded him so seriously that he was not expected to live." "At another time one of the overseers beat and kicked a slave to death." This barbarity caused the mistress to be very much "stirred up," and she declared that she would not have any more white overseers; condemned them for everything, and decided to change her policy in future and to appoint her overseers from her own slaves, setting the property to watch the property.	false	403.04	437.47	21.051952
