7120_76055_000004_000000	Section 2	Section two
7120_76055_000005_000000	It was with some surprise that Dr. Martineau received a fresh appeal for aid from Sir Richmond.	It was with some surprise that dr Martineau received a fresh appeal for aid from Sir Richmond.
7120_76055_000005_000001	It was late in October and Sir Richmond was already seriously ill.	It was late in October and Sir Richmond was already seriously ill.
7120_76055_000005_000002	But he was still going about his business as though he was perfectly well.	But he was still going about his business as though he was perfectly well.
7120_76055_000005_000003	He had not mistaken his man.	He had not mistaken his man.
7120_76055_000005_000004	Dr. Martineau received him as though there had never been a shadow of offence between them.	dr Martineau received him as though there had never been a shadow of offence between them.
7120_76055_000006_000000	He came straight to the point.	He came straight to the point.
7120_76055_000006_000001	"Martineau," he said, "I must have those drugs I asked you for when first I came to you now.	"Martineau," he said, "I must have those drugs I asked you for when first I came to you now.
7120_76055_000006_000002	I must be bolstered up.	I must be bolstered up.
7120_76055_000006_000003	I can't last out unless I am.	I can't last out unless I am.
7120_76055_000006_000004	I'm at the end of my energy.	I'm at the end of my energy.
7120_76055_000006_000006	The Commission can't go on now for more than another three weeks.	The Commission can't go on now for more than another three weeks.
7120_76055_000006_000007	Whatever happens afterwards I must keep going until then."	Whatever happens afterwards I must keep going until then."
7120_76055_000007_000000	The doctor did understand.	The doctor did understand.
7120_76055_000007_000001	He made no vain objections.	He made no vain objections.
7120_76055_000007_000002	He did what he could to patch up his friend for his last struggles with the opposition in the Committee.	He did what he could to patch up his friend for his last struggles with the opposition in the Committee.
7120_76055_000007_000003	"Pro forma," he said, stethoscope in hand, "I must order you to bed.	"Pro forma," he said, stethoscope in hand, "I must order you to bed.
7120_76055_000007_000004	You won't go.	You won't go.
7120_76055_000007_000005	But I order you.	But I order you.
7120_76055_000007_000006	You must know that what you are doing is risking your life.	You must know that what you are doing is risking your life.
7120_76055_000007_000007	Your lungs are congested, the bronchial tubes already.	Your lungs are congested, the bronchial tubes already.
7120_76055_000007_000008	That may spread at any time.	That may spread at any time.
7120_76055_000007_000009	If this open weather lasts you may go about and still pull through.	If this open weather lasts you may go about and still pull through.
7120_76055_000007_000010	But at any time this may pass into pneumonia.	But at any time this may pass into pneumonia.
7120_76055_000007_000011	And there's not much in you just now to stand up against pneumonia...."	And there's not much in you just now to stand up against pneumonia...."
7120_76055_000008_000000	"I'll take all reasonable care."	"I'll take all reasonable care."
7120_76055_000009_000000	"Is your wife at home!"	"Is your wife at home!"
7120_76055_000010_000000	"She is in Wales with her people.	"She is in Wales with her people.
