8066_114256_000002_000000	CHAPTER XLIII	CHAPTER forty three
8066_114256_000003_000000	THE KILLER KILLED	THE KILLER KILLED
8066_114256_000004_000000	A rough low cabin of logs, hastily thrown together, housed through the winter months of the Sierra foothills the two men who now, in the warm days of early June, sat by the primitive fireplace cooking a midday meal.	A rough low cabin of logs, hastily thrown together, housed through the winter months of the Sierra foothills the two men who now, in the warm days of early June, sat by the primitive fireplace cooking a midday meal.
8066_114256_000005_000000	That his companion, younger, bearded, dressed also in buckskins, was Will Banion it would have taken closer scrutiny even of a friend to determine, so much had the passing of these few months altered him in appearance and in manner.	That his companion, younger, bearded, dressed also in buckskins, was Will Banion it would have taken closer scrutiny even of a friend to determine, so much had the passing of these few months altered him in appearance and in manner.
8066_114256_000005_000001	Once light of mien, now he smiled never at all.	Once light of mien, now he smiled never at all.
8066_114256_000005_000003	He spoke at last to his ancient and faithful friend, kindly as ever, and with his own alertness and decision.	He spoke at last to his ancient and faithful friend, kindly as ever, and with his own alertness and decision.
8066_114256_000006_000000	"Let's make it our last meal on the Trinity, Bill.	"Let's make it our last meal on the Trinity, Bill.
8066_114256_000007_000000	"Why?	"Why?
8066_114256_000007_000001	What's eatin' ye, boy?	What's eatin' ye, boy?
8066_114256_000008_000000	"Yes, I want to move."	"Yes, I want to move."
8066_114256_000009_000000	"Most does."	"Most does."
8066_114256_000010_000000	"We've got enough, Bill.	"We've got enough, Bill.
8066_114256_000010_000001	The last month has been a crime.	The last month has been a crime.
8066_114256_000010_000002	The spring snows uncovered a fortune for us, and you know it!"	The spring snows uncovered a fortune for us, and you know it!"
8066_114256_000011_000003	Why, rich?	Why, rich?
8066_114256_000012_000001	But if you'll agree, I'll sell this claim to the company below us and let them have the rest.	But if you'll agree, I'll sell this claim to the company below us and let them have the rest.
8066_114256_000012_000002	They offer fifty thousand flat, and it's enough--more than enough.	They offer fifty thousand flat, and it's enough-more than enough.
8066_114256_000012_000003	I want two things--to get Jim Bridger his share safe and sound; and I want to go to Oregon."	I want two things-to get Jim Bridger his share safe and sound; and I want to go to Oregon."
8066_114256_000013_000000	The old man paused in the act of splitting off a deer rib from his roast.	The old man paused in the act of splitting off a deer rib from his roast.
8066_114256_000015_000000	"Well, go on and finish your meal in this plain fireplace of ours, Bill.	"Well, go on and finish your meal in this plain fireplace of ours, Bill.
8066_114256_000016_000001	Moodily he walked along the side of the steep ravine to which the little structure clung.	Moodily he walked along the side of the steep ravine to which the little structure clung.
8066_114256_000016_000002	Below him lay the ripped-open slope where the little stream had been diverted.	Below him lay the ripped open slope where the little stream had been diverted.
8066_114256_000016_000003	Below again lay the bared bed of the exploited water course, floored with bowlders set in deep gravel, at times with seamy dams of flat rock lying under and across the gravel stretches; the bed rock, ages old, holding in its hidden fingers the rich secrets of immemorial time.	Below again lay the bared bed of the exploited water course, floored with bowlders set in deep gravel, at times with seamy dams of flat rock lying under and across the gravel stretches; the bed rock, ages old, holding in its hidden fingers the rich secrets of immemorial time.
8066_114256_000017_000000	Here he and his partner had in a few months of strenuous labor taken from the narrow and unimportant rivulet more wealth than most could save in a lifetime of patient and thrifty toil.	Here he and his partner had in a few months of strenuous labor taken from the narrow and unimportant rivulet more wealth than most could save in a lifetime of patient and thrifty toil.
8066_114256_000017_000002	The hillside now looked like any other hillside, innocent as a woman's eyes, yet covering how much!	The hillside now looked like any other hillside, innocent as a woman's eyes, yet covering how much!
8066_114256_000017_000003	Banion could not realize that now, young though he was, he was a rich man.	Banion could not realize that now, young though he was, he was a rich man.
8066_114256_000018_000000	He climbed down the side of the ravine, the little stones rattling under his feet, until he stood on the bared floor of the bed rock which had proved so unbelievably prolific in coarse gold.	He climbed down the side of the ravine, the little stones rattling under his feet, until he stood on the bared floor of the bed rock which had proved so unbelievably prolific in coarse gold.
8066_114256_000019_000001	As he stood, half musing, Will Banion heard, on the ravine side around the bend, the tinkle of a falling stone, lazily rolling from one impediment to another.	As he stood, half musing, Will Banion heard, on the ravine side around the bend, the tinkle of a falling stone, lazily rolling from one impediment to another.
8066_114256_000019_000002	It might be some deer or other animal, he thought.	It might be some deer or other animal, he thought.
8066_114256_000019_000003	He hastened to get view of the cause, whatever it might be.	He hastened to get view of the cause, whatever it might be.
8066_114256_000020_000000	And then fate, chance, the goddess of fortune which some men say does not exist, but which all wilderness-goers know does exist, for one instant paused, with Will Banion's life and wealth and happiness lightly a-balance in cold, disdainful fingers.	And then fate, chance, the goddess of fortune which some men say does not exist, but which all wilderness goers know does exist, for one instant paused, with Will Banion's life and wealth and happiness lightly a balance in cold, disdainful fingers.
8066_114256_000021_000000	He turned the corner.	He turned the corner.
