1259_72927_000000_000000	CHAPTER XIII: CONCERNING POLITICS	CHAPTER thirteen: CONCERNING POLITICS	false	0	16.21	20.246277
1259_72927_000001_000000	Said I: "How do you manage with politics?"	Said I: "How do you manage with politics?"	true	16.94	20.32	22.040525
1259_72927_000002_000000	Said Hammond, smiling: "I am glad that it is of _me_ that you ask that question; I do believe that anybody else would make you explain yourself, or try to do so, till you were sickened of asking questions.	Said Hammond, smiling: "I am glad that it is of underscore me underscore that you ask that question; I do believe that anybody else would make you explain yourself, or try to do so, till you were sickened of asking questions.	false	20.87	33.34	20.57701
1259_72927_000002_000001	Indeed, I believe I am the only man in England who would know what you mean; and since I know, I will answer your question briefly by saying that we are very well off as to politics,--because we have none.	Indeed, I believe I am the only man in England who would know what you mean; and since I know, I will answer your question briefly by saying that we are very well off as to politics,--because we have none.	true	33.59	45.64	19
1259_72927_000002_000002	If ever you make a book out of this conversation, put this in a chapter by itself, after the model of old Horrebow's Snakes in Iceland."	If ever you make a book out of this conversation, put this in a chapter by itself, after the model of old Horrebow's Snakes in Iceland."	false	46.1	54.73	21
1259_72927_000003_000000	"I will," said I.	"I will," said i	true	55.64	57.55	20.097637
1259_72927_000004_000000	CHAPTER XIV: HOW MATTERS ARE MANAGED	CHAPTER fourteen: HOW MATTERS ARE MANAGED	true	59.81	63.34	21.2037
1259_72927_000005_000000	Said I: "How about your relations with foreign nations?"	Said I: "How about your relations with foreign nations?"	true	64.04	67.75	19.073046
1259_72927_000006_000000	"I will not affect not to know what you mean," said he, "but I will tell you at once that the whole system of rival and contending nations which played so great a part in the 'government' of the world of civilisation has disappeared along with the inequality betwixt man and man in society."	"I will not affect not to know what you mean," said he, "but I will tell you at once that the whole system of rival and contending nations which played so great a part in the 'government' of the world of civilisation has disappeared along with the inequality betwixt man and man in society."	true	68.3	83.98	18
1259_72927_000007_000000	"Does not that make the world duller?" said I.	"Does not that make the world duller?" said i	true	84.77	87.64	22.260752
1259_72927_000008_000000	"Why?" said the old man.	"Why?" said the old man.	true	88.1	90.28	25.676647
1259_72927_000009_000000	"The obliteration of national variety," said I.	"The obliteration of national variety," said i	true	90.74	94.18	20.499819
1259_72927_000010_000000	"Nonsense," he said, somewhat snappishly.	"Nonsense," he said, somewhat snappishly.	true	94.67	97.81	19.491367
1259_72927_000010_000001	"Cross the water and see.	"Cross the water and see.	true	98.03	99.67	20.609863
1259_72927_000010_000002	You will find plenty of variety: the landscape, the building, the diet, the amusements, all various.	You will find plenty of variety: the landscape, the building, the diet, the amusements, all various.	true	99.71	105.67	19
1259_72927_000010_000003	The men and women varying in looks as well as in habits of thought; the costume far more various than in the commercial period.	The men and women varying in looks as well as in habits of thought; the costume far more various than in the commercial period.	true	105.83	112.3	17
1259_72927_000010_000004	How should it add to the variety or dispel the dulness, to coerce certain families or tribes, often heterogeneous and jarring with one another, into certain artificial and mechanical groups, and call them nations, and stimulate their patriotism--_i.e._, their foolish and envious prejudices?"	How should it add to the variety or dispel the dulness, to coerce certain families or tribes, often heterogeneous and jarring with one another, into certain artificial and mechanical groups, and call them nations, and stimulate their patriotism-underscore i e underscore, their foolish and envious prejudices?"	false	112.58	130.45	17
1259_72927_000011_000000	"Well--I don't know how," said I.	"Well-I don't know how," said i	true	131.24	134.71	20.06737
1259_72927_000012_000000	"That's right," said Hammond cheerily; "you can easily understand that now we are freed from this folly it is obvious to us that by means of this very diversity the different strains of blood in the world can be serviceable and pleasant to each other, without in the least wanting to rob each other: we are all bent on the same enterprise, making the most of our lives.	"That's right," said Hammond cheerily; "you can easily understand that now we are freed from this folly it is obvious to us that by means of this very diversity the different strains of blood in the world can be serviceable and pleasant to each other, without in the least wanting to rob each other: we are all bent on the same enterprise, making the most of our lives.	false	135.17	154.93	18
1259_72927_000012_000001	And I must tell you whatever quarrels or misunderstandings arise, they very seldom take place between people of different race; and consequently since there is less unreason in them, they are the more readily appeased."	And I must tell you whatever quarrels or misunderstandings arise, they very seldom take place between people of different race; and consequently since there is less unreason in them, they are the more readily appeased."	false	155	166.57	17
1259_72927_000013_000000	"Good," said I, "but as to those matters of politics; as to general differences of opinion in one and the same community.	"Good," said I, "but as to those matters of politics; as to general differences of opinion in one and the same community.	false	167.12	174.37	20.798838
1259_72927_000013_000001	Do you assert that there are none?"	Do you assert that there are none?"	true	174.62	176.35	20
1259_72927_000014_000000	"No, not at all," said he, somewhat snappishly; "but I do say that differences of opinion about real solid things need not, and with us do not, crystallise people into parties permanently hostile to one another, with different theories as to the build of the universe and the progress of time.	"No, not at all," said he, somewhat snappishly; "but I do say that differences of opinion about real solid things need not, and with us do not, crystallise people into parties permanently hostile to one another, with different theories as to the build of the universe and the progress of time.	false	176.87	193.9	17
1259_72927_000014_000001	Isn't that what politics used to mean?"	Isn't that what politics used to mean?"	true	194.18	196.44	18
1259_72927_000015_000000	"H'm, well," said I, "I am not so sure of that."	"H'm, well," said I, "I am not so sure of that."	false	196.44	201.64	17.767927
1259_72927_000016_000000	Said he: "I take, you, neighbour; they only _pretended_ to this serious difference of opinion; for if it had existed they could not have dealt together in the ordinary business of life; couldn't have eaten together, bought and sold together, gambled together, cheated other people together, but must have fought whenever they met: which would not have suited them at all.	Said he: "I take, you, neighbour; they only underscore pretended underscore to this serious difference of opinion; for if it had existed they could not have dealt together in the ordinary business of life; couldn't have eaten together, bought and sold together, gambled together, cheated other people together, but must have fought whenever they met: which would not have suited them at all.	false	202.19	221.62	22.827301
1259_72927_000016_000001	The game of the masters of politics was to cajole or force the public to pay the expense of a luxurious life and exciting amusement for a few cliques of ambitious persons: and the _pretence_ of serious difference of opinion, belied by every action of their lives, was quite good enough for that.	The game of the masters of politics was to cajole or force the public to pay the expense of a luxurious life and exciting amusement for a few cliques of ambitious persons: and the underscore pretence underscore of serious difference of opinion, belied by every action of their lives, was quite good enough for that.	false	221.72	237.55	19
1259_72927_000016_000002	What has all that got to do with us?"	What has all that got to do with us?"	false	238.01	239.92	26
1259_72927_000017_000000	Said I: "Why, nothing, I should hope.	Said I: "Why, nothing, I should hope.	true	240.71	243.88	22.114618
