1165_135220_000000_000000	I paused for a moment.	I paused for a moment.	false	0	1.92	22.055859
1165_135220_000000_000001	Even though Agnew was dead, I could not bear to leave him, but felt as though I ought to share his fate.	Even though Agnew was dead, I could not bear to leave him, but felt as though I ought to share his fate.	false	1.92	9	21.619186
1165_135220_000000_000002	The savages came nearer.	The savages came nearer.	false	9	9.33	12
1165_135220_000000_000003	At their approach I hesitated no longer.	At their approach I hesitated no longer.	false	9.33	9.9	11
1165_135220_000000_000004	That fate was too terrible: I must fly.	That fate was too terrible: I must fly.	false	9.9	10.56	9
1165_135220_000001_000000	But before I fled I turned in fury to wreak vengeance upon them for their crimes.	But before I fled I turned in fury to wreak vengeance upon them for their crimes.	false	10.56	11.79	18.740717
1165_135220_000001_000001	Full of rage and despair, I discharged my remaining rifle-barrel into the midst of the crowd.	Full of rage and despair, I discharged my remaining rifle barrel into the midst of the crowd.	false	11.79	16.08	22.3017
1165_135220_000001_000002	Then I fled toward the boat. On the way I had a frightful thought that she might have been sent adrift; but, on approaching the place, I found her there just as I had left her.	Then I fled toward the boat. On the way I had a frightful thought that she might have been sent adrift; but, on approaching the place, I found her there just as I had left her.	false	16.08	21.6	22.995321
1165_135220_000001_000003	The savages, with their usual fearlessness, still pursued. For a moment I stood on the shore, with the grapple in my hand and the boat close by, and as they came near I discharged my pistol into the midst of them.	The savages, with their usual fearlessness, still pursued. For a moment I stood on the shore, with the grapple in my hand and the boat close by, and as they came near I discharged my pistol into the midst of them.	false	21.6	23.82	20.690739
1165_135220_000001_000004	Then I sprang into the boat; the swift current bore me away, and in a few minutes the crowd of pursuing demons disappeared from view.	Then I sprang into the boat; the swift current bore me away, and in a few minutes the crowd of pursuing demons disappeared from view.	false	23.82	24.795	-20
1165_135220_000002_000000	CHAPTER V	CHAPTER five	true	24.795	25.995	22.583382
1165_135220_000003_000000	THE TORRENT SWEEPING UNDER THE MOUNTAINS	THE TORRENT SWEEPING UNDER THE MOUNTAINS	true	25.995	28.15	19
1165_135220_000004_000000	The boat drifted on.	The boat drifted on.	true	29.69	31.24	22.485985
1165_135220_000004_000001	The light given by the aurora and the low moon seemed to grow fainter; and as I looked behind I saw that the distant glow from the volcanic fires had become more brilliant in the increasing darkness.	The light given by the aurora and the low moon seemed to grow fainter; and as I looked behind I saw that the distant glow from the volcanic fires had become more brilliant in the increasing darkness.	true	31.61	43.33	21
1165_135220_000004_000002	The sides of the channel grew steeper, until at last they became rocky precipices, rising to an unknown height.	The sides of the channel grew steeper, until at last they became rocky precipices, rising to an unknown height.	true	44.36	51.25	21
1165_135220_000004_000003	The channel itself grew narrower, till from a width of two miles it had contracted to a tenth of those dimensions; but with this lessening width the waters seemed to rush far more swiftly.	The channel itself grew narrower, till from a width of two miles it had contracted to a tenth of those dimensions; but with this lessening width the waters seemed to rush far more swiftly.	true	52.19	63.19	20.43051
1165_135220_000004_000004	Here I drifted helplessly, and saw the gloomy, rocky cliffs sweep past me as I was hurled onward on the breast of the tremendous flood.	Here I drifted helplessly, and saw the gloomy, rocky cliffs sweep past me as I was hurled onward on the breast of the tremendous flood.	true	65.33	73.66	20
1165_135220_000004_000005	I was in despair. The fate of Agnew had prepared me for my own, and I was only thankful that my fate, since it was inevitable, would be less appalling.	I was in despair. The fate of Agnew had prepared me for my own, and I was only thankful that my fate, since it was inevitable, would be less appalling.	true	74.09	83.62	21.32642
1165_135220_000004_000006	Death seemed certain, and my chief thought now was as to the moment when it would come.	Death seemed certain, and my chief thought now was as to the moment when it would come.	true	84.11	88.84	22.264788
1165_135220_000004_000007	I was prepared.	I was prepared.	true	90.44	91.72	26.484774
