335_125943_000000_000000	Line-Art Drawing	Line Art Drawing	false	0	1.92	19.7875
335_125943_000001_000000	120 Full page line-art drawing.	one hundred twenty Full page line art drawing.	false	1.92	5.49	20.436213
335_125943_000002_000000	121 A Nickel-Plated Emperor	one hundred twenty one A Nickel Plated Emperor	false	5.49	21.43	20.726635
335_125943_000003_000000	Tip awoke soon after dawn, but the Scarecrow had already risen and plucked, with his clumsy fingers, a double-handful of ripe berries from some bushes near by.	Tip awoke soon after dawn, but the Scarecrow had already risen and plucked, with his clumsy fingers, a double handful of ripe berries from some bushes near by.	true	23.03	34.63	22.604206
335_125943_000003_000001	These the boy ate greedily, finding them an ample breakfast, and afterward the little party resumed its Journey.	These the boy ate greedily, finding them an ample breakfast, and afterward the little party resumed its Journey.	true	35.33	44.08	21.592453
335_125943_000004_000000	After an hour's ride they reached the summit of a hill from whence they espied the City of the Winkies and noted the tall domes of the Emperor's palace rising from the clusters of more modest dwellings.	After an hour's ride they reached the summit of a hill from whence they espied the City of the Winkies and noted the tall domes of the Emperor's palace rising from the clusters of more modest dwellings.	false	44.99	58.32	21.041483
335_125943_000005_000000	The Scarecrow became greatly animated at this sight, and exclaimed:	The Scarecrow became greatly animated at this sight, and exclaimed:	true	58.32	62.055	18
335_125943_000006_000000	"How delighted I shall be to see my old friend the Tin Woodman again!	"How delighted I shall be to see my old friend the Tin Woodman again!	true	62.055	65.77	13
335_125943_000006_000001	I hope that he rules his people more successfully than I have ruled mine!"	I hope that he rules his people more successfully than I have ruled mine!"	true	65.9	69.91	17
335_125943_000007_000000	Is the Tin Woodman the Emperor of the Winkies?" asked the horse.	Is the Tin Woodman the Emperor of the Winkies?" asked the horse.	true	71.06	74.47	20
335_125943_000008_000000	"Yes, indeed.	"Yes, indeed.	true	74.9	76.365	20.333086
335_125943_000008_000001	They invited him to rule over	They invited him to rule over	true	76.365	77.88	12
335_125943_000009_000000	122 them soon after the Wicked Witch was destroyed; and as Nick Chopper has the best heart in all the world I am sure he has proved an excellent and able emperor."	one hundred twenty two them soon after the Wicked Witch was destroyed; and as Nick Chopper has the best heart in all the world I am sure he has proved an excellent and able emperor."	false	77.88	89.17	21
335_125943_000010_000000	"I thought that 'Emperor' was the title of a person who rules an empire," said Tip, "and the Country of the Winkies is only a Kingdom."	"I thought that 'Emperor' was the title of a person who rules an empire," said Tip, "and the Country of the Winkies is only a Kingdom."	true	90.47	97.69	24.021103
335_125943_000011_000000	"Don't mention that to the Tin Woodman!" exclaimed the Scarecrow, earnestly. "You would hurt his feelings terribly.	"Don't mention that to the Tin Woodman!" exclaimed the Scarecrow, earnestly. "You would hurt his feelings terribly.	true	98.78	104.62	21
335_125943_000011_000001	He is a proud man, as he has every reason to be, and it pleases him to be termed Emperor rather than King."	He is a proud man, as he has every reason to be, and it pleases him to be termed Emperor rather than King."	true	104.66	112.21	21.84731
335_125943_000012_000000	"I'm sure it makes no difference to me," replied the boy.	"I'm sure it makes no difference to me," replied the boy.	true	113.6	116.74	22.438166
335_125943_000013_000000	The Saw-Horse now ambled forward at a pace so fast that its riders had hard work to stick upon its back; so there was little further conversation until they drew up beside the palace steps.	The Saw Horse now ambled forward at a pace so fast that its riders had hard work to stick upon its back; so there was little further conversation until they drew up beside the palace steps.	true	117.44	130.48	21.35949
335_125943_000014_000000	An aged Winkie, dressed in a uniform of silver cloth, came forward to assist them to alight.	An aged Winkie, dressed in a uniform of silver cloth, came forward to assist them to alight.	true	131.33	137.77	19.520905
335_125943_000014_000001	Said the Scarecrow to his personage:	Said the Scarecrow to his personage:	true	138.44	140.74	22.1902
335_125943_000015_000000	"Show us at once to your master, the Emperor."	"Show us at once to your master, the Emperor."	true	141.05	143.44	21.104372
335_125943_000016_000000	The man looked from one to another of the party in an embarrassed way, and finally answered:	The man looked from one to another of the party in an embarrassed way, and finally answered:	true	144.17	149.53	18
335_125943_000017_000000	"I fear I must ask you to wait for a time.	"I fear I must ask you to wait for a time.	true	150.14	153.04	19
335_125943_000017_000001	The Emperor is not receiving this morning."	The Emperor is not receiving this morning."	true	153.05	155.22	13
335_125943_000018_000000	123	one hundred twenty three	false	155.22	156.33	-20
335_125943_000019_000000	"How is that?" enquired the Scarecrow, anxiously." I hope nothing has happened to him."	"How is that?" enquired the Scarecrow, anxiously." I hope nothing has happened to him."	true	156.33	161.08	24.03777
335_125943_000020_000000	"Oh, no; nothing serious," returned the man.	"Oh, no; nothing serious," returned the man.	true	161.48	164.89	23.194088
335_125943_000020_000001	"But this is his Majesty's day for being polished; and just now his august presence is thickly smeared with putz-pomade."	"But this is his Majesty's day for being polished; and just now his august presence is thickly smeared with putz pomade."	true	165.05	172.6	22.195484
335_125943_000021_000000	"Oh, I see!" cried the Scarecrow, greatly reassured.	"Oh, I see!" cried the Scarecrow, greatly reassured.	true	173.48	177.49	19.245405
335_125943_000021_000001	"My friend was ever inclined to be a dandy, and I suppose he is now more proud than ever of his personal appearance."	"My friend was ever inclined to be a dandy, and I suppose he is now more proud than ever of his personal appearance."	true	177.71	185.86	21
335_125943_000022_000000	"He is, indeed," said the man, with a polite bow.	"He is, indeed," said the man, with a polite bow.	true	186.47	189.64	21
335_125943_000022_000001	"Our mighty Emperor has lately caused himself to be nickel-plated."	"Our mighty Emperor has lately caused himself to be nickel plated."	false	189.71	193.72	26
335_125943_000023_000000	"Good Gracious!" the Scarecrow exclaimed at hearing this.	"Good Gracious!" the Scarecrow exclaimed at hearing this.	true	194.75	198.55	20.480238
335_125943_000023_000001	"If his wit bears the same polish, how sparkling it must be!	"If his wit bears the same polish, how sparkling it must be!	true	198.62	202.93	22.74496
335_125943_000023_000002	But show us in--I'm sure the Emperor will receive us, even in his present state"	But show us in-I'm sure the Emperor will receive us, even in his present state"	true	203.18	207.49	19
335_125943_000024_000000	"The Emperor's state is always magnificent," said the man.	"The Emperor's state is always magnificent," said the man.	false	208.64	211.75	20.728582
335_125943_000024_000001	"But I will venture to tell him of your arrival, and will receive his commands concerning you."	"But I will venture to tell him of your arrival, and will receive his commands concerning you."	false	211.88	218.77	20.386694
335_125943_000025_000000	So the party followed the servant into a splendid ante-room, and the Saw- Horse ambled awkwardly after them, having no knowledge that a horse might be expected to remain outside.	So the party followed the servant into a splendid ante room, and the Saw Horse ambled awkwardly after them, having no knowledge that a horse might be expected to remain outside.	true	219.62	228.96	17
335_125943_000026_000000	124	one hundred twenty four	false	228.96	230.16	-9
335_125943_000027_000000	The travelers were at first somewhat awed by their surroundings, and even the Scarecrow seemed impressed as he examined the rich hangings of silver cloth caught up into knots and fastened with tiny silver axes.	The travelers were at first somewhat awed by their surroundings, and even the Scarecrow seemed impressed as he examined the rich hangings of silver cloth caught up into knots and fastened with tiny silver axes.	true	230.16	243.43	20
335_125943_000027_000001	Upon a handsome center-table stood a large silver oil-can, richly engraved with scenes from the past adventures of the Tin Woodman, Dorothy, the Cowardly Lion and the Scarecrow: the lines of the engraving being traced upon the silver in yellow gold.	Upon a handsome center table stood a large silver oil can, richly engraved with scenes from the past adventures of the Tin Woodman, Dorothy, the Cowardly Lion and the Scarecrow: the lines of the engraving being traced upon the silver in yellow gold.	true	244.67	263.28	20.424273
335_125943_000027_000002	On the walls hung several portraits, that of the Scarecrow seeming to be the most prominent and carefully executed, while a the large painting of the famous Wizard of Oz, in act of presenting the Tin Woodman with a heart, covered almost one entire end of the room.	On the walls hung several portraits, that of the Scarecrow seeming to be the most prominent and carefully executed, while a the large painting of the famous Wizard of Oz, in act of presenting the Tin Woodman with a heart, covered almost one entire end of the room.	false	263.28	281.68	21
335_125943_000028_000000	While the visitors gazed at these things in silent admiration they suddenly heard a loud voice in the next room exclaim:	While the visitors gazed at these things in silent admiration they suddenly heard a loud voice in the next room exclaim:	true	282.74	289.3	16
335_125943_000029_000000	"Well! well!	"Well! well!	true	289.46	290.67	25
335_125943_000029_000001	well!	well!	true	290.67	291.06	-5
335_125943_000029_000002	What a great surprise!"	What a great surprise!"	false	291.06	293.22	20.210808
335_125943_000030_000000	And then the door burst open and Nick Chopper rushed into their midst and caught the Scarecrow in a close and loving embrace that creased him into many folds and wrinkles.	And then the door burst open and Nick Chopper rushed into their midst and caught the Scarecrow in a close and loving embrace that creased him into many folds and wrinkles.	true	293.22	304.9	22.953114
335_125943_000031_000000	"My dear old friend!	"My dear old friend!	true	305.66	306.87	23.481857
335_125943_000031_000001	My noble comrade!" cried the Tin Woodman, joyfully. "how delighted!," I am to meet you once again.	My noble comrade!" cried the Tin Woodman, joyfully. "how delighted!," I am to meet you once again.	false	306.87	312.6	22.18852
335_125943_000032_000000	125 Full page line-art drawing.	one hundred twenty five Full page line art drawing.	false	312.6	313.56	-10
335_125943_000033_000000	CAUGHT THE SCARECROW IN A CLOSE AND LOVING EMBRACE	CAUGHT THE SCARECROW IN A CLOSE AND LOVING EMBRACE	false	313.56	314.4	100
335_125943_000034_000000	126	one hundred twenty six	false	314.4	314.4	
335_125943_000035_000000	And then he released the Scarecrow and held him at arms' length while he surveyed the beloved, painted features.	And then he released the Scarecrow and held him at arms' length while he surveyed the beloved, painted features.	false	314.4	322.09	20.894945
335_125943_000036_000000	But, alas! the face of the Scarecrow and many portions of his body bore great blotches of putz-pomade; for the Tin Woodman, in his eagerness to welcome his friend, had quite forgotten the condition of his toilet and had rubbed the thick coating of paste from his own body to that of his comrade.	But, alas! the face of the Scarecrow and many portions of his body bore great blotches of putz pomade; for the Tin Woodman, in his eagerness to welcome his friend, had quite forgotten the condition of his toilet and had rubbed the thick coating of paste from his own body to that of his comrade.	true	322.73	340.69	22.279785
