3521_7591_000000_000000	THE MASQUE OF THE RED DEATH.	THE MASQUE OF THE RED DEATH.
3521_7591_000001_000000	THE "Red Death" had long devastated the country.	THE "Red Death" had long devastated the country.
3521_7591_000001_000002	Blood was its Avatar and its seal--the redness and the horror of blood.	Blood was its Avatar and its seal-the redness and the horror of blood.
3521_7591_000002_000000	But the Prince Prospero was happy and dauntless and sagacious.	But the Prince Prospero was happy and dauntless and sagacious.
3521_7591_000002_000002	This was an extensive and magnificent structure, the creation of the prince's own eccentric yet august taste.	This was an extensive and magnificent structure, the creation of the prince's own eccentric yet august taste.
3521_7591_000002_000003	A strong and lofty wall girdled it in.	A strong and lofty wall girdled it in.
3521_7591_000002_000006	The abbey was amply provisioned.	The abbey was amply provisioned.
3521_7591_000002_000007	With such precautions the courtiers might bid defiance to contagion.	With such precautions the courtiers might bid defiance to contagion.
3521_7591_000002_000008	The external world could take care of itself.	The external world could take care of itself.
3521_7591_000002_000009	In the meantime it was folly to grieve, or to think.	In the meantime it was folly to grieve, or to think.
3521_7591_000002_000010	The prince had provided all the appliances of pleasure.	The prince had provided all the appliances of pleasure.
3521_7591_000002_000011	There were buffoons, there were improvisatori, there were ballet-dancers, there were musicians, there was Beauty, there was wine.	There were buffoons, there were improvisatori, there were ballet dancers, there were musicians, there was Beauty, there was wine.
3521_7591_000002_000012	All these and security were within.	All these and security were within.
3521_7591_000002_000013	Without was the "Red Death."	Without was the "Red Death."
3521_7591_000004_000000	It was a voluptuous scene, that masquerade.	It was a voluptuous scene, that masquerade.
3521_7591_000004_000002	There were seven--an imperial suite.	There were seven-an imperial suite.
3521_7591_000004_000004	Here the case was very different; as might have been expected from the duke's love of the bizarre.	Here the case was very different; as might have been expected from the duke's love of the bizarre.
3521_7591_000004_000006	There was a sharp turn at every twenty or thirty yards, and at each turn a novel effect.	There was a sharp turn at every twenty or thirty yards, and at each turn a novel effect.
3521_7591_000004_000007	To the right and left, in the middle of each wall, a tall and narrow Gothic window looked out upon a closed corridor which pursued the windings of the suite.	To the right and left, in the middle of each wall, a tall and narrow Gothic window looked out upon a closed corridor which pursued the windings of the suite.
3521_7591_000004_000010	The second chamber was purple in its ornaments and tapestries, and here the panes were purple.	The second chamber was purple in its ornaments and tapestries, and here the panes were purple.
3521_7591_000004_000011	The third was green throughout, and so were the casements.	The third was green throughout, and so were the casements.
3521_7591_000004_000012	The fourth was furnished and lighted with orange--the fifth with white--the sixth with violet.	The fourth was furnished and lighted with orange-the fifth with white-the sixth with violet.
3521_7591_000004_000014	But in this chamber only, the color of the windows failed to correspond with the decorations.	But in this chamber only, the color of the windows failed to correspond with the decorations.
3521_7591_000004_000015	The panes here were scarlet--a deep blood color.	The panes here were scarlet-a deep blood color.
3521_7591_000004_000018	But in the corridors that followed the suite, there stood, opposite to each window, a heavy tripod, bearing a brazier of fire that projected its rays through the tinted glass and so glaringly illumined the room.	But in the corridors that followed the suite, there stood, opposite to each window, a heavy tripod, bearing a brazier of fire that projected its rays through the tinted glass and so glaringly illumined the room.
3521_7591_000004_000019	And thus were produced a multitude of gaudy and fantastic appearances.	And thus were produced a multitude of gaudy and fantastic appearances.
3521_7591_000005_000000	It was in this apartment, also, that there stood against the western wall, a gigantic clock of ebony.	It was in this apartment, also, that there stood against the western wall, a gigantic clock of ebony.
3521_7591_000006_000001	He had a fine eye for colors and effects.	He had a fine eye for colors and effects.
3521_7591_000006_000002	He disregarded the decora of mere fashion.	He disregarded the decora of mere fashion.
3521_7591_000006_000004	There are some who would have thought him mad.	There are some who would have thought him mad.
3521_7591_000007_000001	Be sure they were grotesque.	Be sure they were grotesque.
3521_7591_000007_000004	There was much of the beautiful, much of the wanton, much of the bizarre, something of the terrible, and not a little of that which might have excited disgust. To and fro in the seven chambers there stalked, in fact, a multitude of dreams.	There was much of the beautiful, much of the wanton, much of the bizarre, something of the terrible, and not a little of that which might have excited disgust. To and fro in the seven chambers there stalked, in fact, a multitude of dreams.
3521_7591_000007_000007	And then, for a moment, all is still, and all is silent save the voice of the clock.	And then, for a moment, all is still, and all is silent save the voice of the clock.
3521_7591_000007_000008	The dreams are stiff-frozen as they stand.	The dreams are stiff frozen as they stand.
3521_7591_000008_000000	But these other apartments were densely crowded, and in them beat feverishly the heart of life.	But these other apartments were densely crowded, and in them beat feverishly the heart of life.
3521_7591_000008_000001	And the revel went whirlingly on, until at length there commenced the sounding of midnight upon the clock.	And the revel went whirlingly on, until at length there commenced the sounding of midnight upon the clock.
3521_7591_000008_000004	And the rumor of this new presence having spread itself whisperingly around, there arose at length from the whole company a buzz, or murmur, expressive of disapprobation and surprise--then, finally, of terror, of horror, and of disgust.	And the rumor of this new presence having spread itself whisperingly around, there arose at length from the whole company a buzz, or murmur, expressive of disapprobation and surprise-then, finally, of terror, of horror, and of disgust.
3521_7591_000009_000001	There are chords in the hearts of the most reckless which cannot be touched without emotion.	There are chords in the hearts of the most reckless which cannot be touched without emotion.
3521_7591_000009_000004	The figure was tall and gaunt, and shrouded from head to foot in the habiliments of the grave.	The figure was tall and gaunt, and shrouded from head to foot in the habiliments of the grave.
3521_7591_000009_000007	But the mummer had gone so far as to assume the type of the Red Death.	But the mummer had gone so far as to assume the type of the Red Death.
3521_7591_000009_000008	His vesture was dabbled in blood--and his broad brow, with all the features of the face, was besprinkled with the scarlet horror.	His vesture was dabbled in blood-and his broad brow, with all the features of the face, was besprinkled with the scarlet horror.
3521_7591_000011_000000	"Who dares?" he demanded hoarsely of the courtiers who stood near him--"who dares insult us with this blasphemous mockery?	"Who dares?" he demanded hoarsely of the courtiers who stood near him-"who dares insult us with this blasphemous mockery?
3521_7591_000013_000001	At first, as he spoke, there was a slight rushing movement of this group in the direction of the intruder, who at the moment was also near at hand, and now, with deliberate and stately step, made closer approach to the speaker.	At first, as he spoke, there was a slight rushing movement of this group in the direction of the intruder, who at the moment was also near at hand, and now, with deliberate and stately step, made closer approach to the speaker.
3521_7591_000014_000000	And now was acknowledged the presence of the Red Death.	And now was acknowledged the presence of the Red Death.
