3521_7591_000000_000000	THE MASQUE OF THE RED DEATH.	THE MASQUE OF THE RED DEATH.	true	23.115	24.91	25.016039
3521_7591_000001_000000	THE "Red Death" had long devastated the country.	THE "Red Death" had long devastated the country.	true	26	28.9	23.371258
3521_7591_000001_000001	No pestilence had ever been so fatal, or so hideous.	No pestilence had ever been so fatal, or so hideous.	true	29	32.56	18
3521_7591_000001_000002	Blood was its Avatar and its seal--the redness and the horror of blood.	Blood was its Avatar and its seal-the redness and the horror of blood.	true	32.93	37.87	24.582
3521_7591_000001_000003	There were sharp pains, and sudden dizziness, and then profuse bleeding at the pores, with dissolution.	There were sharp pains, and sudden dizziness, and then profuse bleeding at the pores, with dissolution.	true	38.12	43.9	17
3521_7591_000001_000004	The scarlet stains upon the body and especially upon the face of the victim, were the pest ban which shut him out from the aid and from the sympathy of his fellow-men.	The scarlet stains upon the body and especially upon the face of the victim, were the pest ban which shut him out from the aid and from the sympathy of his fellow men.	true	44.24	52.605	19
3521_7591_000001_000005	And the whole seizure, progress and termination of the disease, were the incidents of half an hour.	And the whole seizure, progress and termination of the disease, were the incidents of half an hour.	true	52.605	57.73	18
3521_7591_000002_000000	But the Prince Prospero was happy and dauntless and sagacious.	But the Prince Prospero was happy and dauntless and sagacious.	true	57.74	61.54	23
3521_7591_000002_000001	When his dominions were half depopulated, he summoned to his presence a thousand hale and light-hearted friends from among the knights and dames of his court, and with these retired to the deep seclusion of one of his castellated abbeys.	When his dominions were half depopulated, he summoned to his presence a thousand hale and light-hearted friends from among the knights and dames of his court, and with these retired to the deep seclusion of one of his castellated abbeys.	true	61.7	73.81	18
3521_7591_000002_000002	This was an extensive and magnificent structure, the creation of the prince's own eccentric yet august taste.	This was an extensive and magnificent structure, the creation of the prince's own eccentric yet august taste.	true	74.3	80.43	20
3521_7591_000002_000003	A strong and lofty wall girdled it in.	A strong and lofty wall girdled it in.	true	80.43	83.04	23.570612
3521_7591_000002_000004	This wall had gates of iron.	This wall had gates of iron.	true	83.04	85.21	19
