8404_282926_000000_000000	XI	XI	false	18.06	18.45	-20
8404_282926_000001_000000	THE CABALLERO'S WAY	THE CABALLERO'S WAY	true	18.45	19.93	22.969488
8404_282926_000002_000000	The Cisco Kid had killed six men in more or less fair scrimmages, had murdered twice as many (mostly Mexicans), and had winged a larger number whom he modestly forbore to count.	The Cisco Kid had killed six men in more or less fair scrimmages, had murdered twice as many (mostly Mexicans), and had winged a larger number whom he modestly forbore to count.	false	20.66	32.2	20.581026
8404_282926_000002_000001	Therefore a woman loved him.	Therefore a woman loved him.	true	32.51	34.33	19.984875
8404_282926_000003_000000	The Kid was twenty-five, looked twenty; and a careful insurance company would have estimated the probable time of his demise at, say, twenty-six.	The Kid was twenty five, looked twenty; and a careful insurance company would have estimated the probable time of his demise at, say, twenty six.	true	34.76	44.68	20.957024
8404_282926_000003_000001	His habitat was anywhere between the Frio and the Rio Grande.	His habitat was anywhere between the Frio and the Rio Grande.	true	45.35	49.12	19.501059
8404_282926_000003_000002	He killed for the love of it--because he was quick-tempered-- to avoid arrest--for his own amusement--any reason that came to his mind would suffice.	He killed for the love of it-because he was quick tempered- to avoid arrest-for his own amusement-any reason that came to his mind would suffice.	true	49.61	58.69	21.892788
8404_282926_000003_000003	He had escaped capture because he could shoot five-sixths of a second sooner than any sheriff or ranger in the service, and because he rode a speckled roan horse that knew every cow-path in the mesquite and pear thickets from San Antonio to Matamoras.	He had escaped capture because he could shoot five sixths of a second sooner than any sheriff or ranger in the service, and because he rode a speckled roan horse that knew every cow path in the mesquite and pear thickets from San Antonio to Matamoras.	true	59	75.31	21.880974
8404_282926_000004_000000	Tonia Perez, the girl who loved the Cisco Kid, was half Carmen, half Madonna, and the rest--oh, yes, a woman who is half Carmen and half Madonna can always be something more--the rest, let us say, was humming-bird.	Tonia Perez, the girl who loved the Cisco Kid, was half Carmen, half Madonna, and the rest-oh, yes, a woman who is half Carmen and half Madonna can always be something more-the rest, let us say, was humming bird.	false	75.83	91.21	20.590614
8404_282926_000004_000001	She lived in a grass-roofed /jacal/ near a little Mexican settlement at the Lone Wolf Crossing of the Frio.	She lived in a grass roofed /jacal/ near a little Mexican settlement at the Lone Wolf Crossing of the Frio.	false	91.49	98.05	21.712801
8404_282926_000004_000002	With her lived a father or grandfather, a lineal Aztec, somewhat less than a thousand years old, who herded a hundred goats and lived in a continuous drunken dream from drinking /mescal/.	With her lived a father or grandfather, a lineal Aztec, somewhat less than a thousand years old, who herded a hundred goats and lived in a continuous drunken dream from drinking /mescal/.	false	98.63	110.94	21.143915
