8404_282926_000001_000000	THE CABALLERO'S WAY	THE CABALLERO'S WAY
8404_282926_000003_000000	The Kid was twenty-five, looked twenty; and a careful insurance company would have estimated the probable time of his demise at, say, twenty-six.	The Kid was twenty five, looked twenty; and a careful insurance company would have estimated the probable time of his demise at, say, twenty six.
8404_282926_000003_000002	He killed for the love of it--because he was quick-tempered-- to avoid arrest--for his own amusement--any reason that came to his mind would suffice.	He killed for the love of it-because he was quick tempered- to avoid arrest-for his own amusement-any reason that came to his mind would suffice.
8404_282926_000003_000003	He had escaped capture because he could shoot five-sixths of a second sooner than any sheriff or ranger in the service, and because he rode a speckled roan horse that knew every cow-path in the mesquite and pear thickets from San Antonio to Matamoras.	He had escaped capture because he could shoot five sixths of a second sooner than any sheriff or ranger in the service, and because he rode a speckled roan horse that knew every cow path in the mesquite and pear thickets from San Antonio to Matamoras.
8404_282926_000006_000000	The captain turned the colour of brick dust under his tan, and forwarded the letter, after adding a few comments, per ranger Private Bill Adamson, to ranger Lieutenant Sandridge, camped at a water hole on the Nueces with a squad of five men in preservation of law and order.	The captain turned the colour of brick dust under his tan, and forwarded the letter, after adding a few comments, per ranger Private Bill Adamson, to ranger Lieutenant Sandridge, camped at a water hole on the Nueces with a squad of five men in preservation of law and order.
8404_282926_000007_000000	Lieutenant Sandridge turned a beautiful /couleur de rose/ through his ordinary strawberry complexion, tucked the letter in his hip pocket, and chewed off the ends of his gamboge moustache.	Lieutenant Sandridge turned a beautiful /couleur de rose/ through his ordinary strawberry complexion, tucked the letter in his hip pocket, and chewed off the ends of his gamboge moustache.
8404_282926_000010_000001	It had been one of the Kid's pastimes to shoot Mexicans "to see them kick": if he demanded from them moribund Terpsichorean feats, simply that he might be entertained, what terrible and extreme penalties would be certain to follow should they anger him!	It had been one of the Kid's pastimes to shoot Mexicans "to see them kick": if he demanded from them moribund Terpsichorean feats, simply that he might be entertained, what terrible and extreme penalties would be certain to follow should they anger him!
8404_282926_000010_000002	One and all they lounged with upturned palms and shrugging shoulders, filling the air with "/quien sabes/" and denials of the Kid's acquaintance.	One and all they lounged with upturned palms and shrugging shoulders, filling the air with "/quien sabes/" and denials of the Kid's acquaintance.
8404_282926_000011_000000	But there was a man named Fink who kept a store at the Crossing--a man of many nationalities, tongues, interests, and ways of thinking.	But there was a man named Fink who kept a store at the Crossing-a man of many nationalities, tongues, interests, and ways of thinking.
8404_282926_000012_000001	"They're afraid to tell.	"They're afraid to tell.
8404_282926_000012_000002	This /hombre/ they call the Kid--Goodall is his name, ain't it?--he's been in my store once or twice.	This /hombre/ they call the Kid-Goodall is his name, ain't it?--he's been in my store once or twice.
