718_129594_000004_000000	XVIII.	eighteen.
718_129594_000004_000001	THE FINDING OF MOREAU.	THE FINDING OF MOREAU.
718_129594_000005_000001	He was already more than half fuddled. I told him that some serious thing must have happened to Moreau by this time, or he would have returned before this, and that it behoved us to ascertain what that catastrophe was. Montgomery raised some feeble objections, and at last agreed. We had some food, and then all three of us started.	He was already more than half fuddled. I told him that some serious thing must have happened to Moreau by this time, or he would have returned before this, and that it behoved us to ascertain what that catastrophe was. Montgomery raised some feeble objections, and at last agreed. We had some food, and then all three of us started.
718_129594_000006_000000	It is possibly due to the tension of my mind, at the time, but even now that start into the hot stillness of the tropical afternoon is a singularly vivid impression.	It is possibly due to the tension of my mind, at the time, but even now that start into the hot stillness of the tropical afternoon is a singularly vivid impression.
718_129594_000006_000003	My left arm was in a sling (it was lucky it was my left), and I carried my revolver in my right. Soon we traced a narrow path through the wild luxuriance of the island, going northwestward; and presently M'ling stopped, and became rigid with watchfulness.	My left arm was in a sling (it was lucky it was my left), and I carried my revolver in my right. Soon we traced a narrow path through the wild luxuriance of the island, going northwestward; and presently M'ling stopped, and became rigid with watchfulness.
718_129594_000006_000004	Montgomery almost staggered into him, and then stopped too.	Montgomery almost staggered into him, and then stopped too.
718_129594_000006_000005	Then, listening intently, we heard coming through the trees the sound of voices and footsteps approaching us.	Then, listening intently, we heard coming through the trees the sound of voices and footsteps approaching us.
718_129594_000010_000000	"Hullo!" suddenly shouted Montgomery, "Hullo, there!"	"Hullo!" suddenly shouted Montgomery, "Hullo, there!"
718_129594_000011_000000	"Confound you!" said I, and gripped my pistol.	"Confound you!" said I, and gripped my pistol.
718_129594_000013_000000	For a space no one spoke.	For a space no one spoke.
718_129594_000013_000001	Then Montgomery hiccoughed, "Who--said he was dead?"	Then Montgomery hiccoughed, "Who-said he was dead?"
718_129594_000014_000001	"He is dead," said this monster.	"He is dead," said this monster.
718_129594_000014_000002	"They saw."	"They saw."
718_129594_000015_000000	There was nothing threatening about this detachment, at any rate. They seemed awestricken and puzzled.	There was nothing threatening about this detachment, at any rate. They seemed awestricken and puzzled.
718_129594_000016_000000	"Where is he?" said Montgomery.	"Where is he?" said Montgomery.
718_129594_000018_000000	"Is there a Law now?" asked the Monkey-man.	"Is there a Law now?" asked the Monkey man.
718_129594_000018_000001	"Is it still to be this and that?	"Is it still to be this and that?
718_129594_000019_000001	"Is there a Law, thou Other with the Whip?"	"Is there a Law, thou Other with the Whip?"
718_129594_000020_000001	And they all stood watching us.	And they all stood watching us.
718_129594_000021_000000	"Prendick," said Montgomery, turning his dull eyes to me. "He's dead, evidently."	"Prendick," said Montgomery, turning his dull eyes to me. "He's dead, evidently."
718_129594_000022_000000	I had been standing behind him during this colloquy. I began to see how things lay with them.	I had been standing behind him during this colloquy. I began to see how things lay with them.
718_129594_000022_000002	He is--there," I pointed upward, "where he can watch you.	He is-there," I pointed upward, "where he can watch you.
718_129594_000022_000003	You cannot see him, but he can see you. Fear the Law!"	You cannot see him, but he can see you. Fear the Law!"
718_129594_000023_000000	I looked at them squarely.	I looked at them squarely.
718_129594_000023_000001	They flinched.	They flinched.
718_129594_000024_000000	"He is great, he is good," said the Ape-man, peering fearfully upward among the dense trees.	"He is great, he is good," said the Ape man, peering fearfully upward among the dense trees.
718_129594_000025_000000	"And the other Thing?" I demanded.	"And the other Thing?" I demanded.
718_129594_000028_000000	"The Other with the Whip--" began the grey Thing.	"The Other with the Whip-" began the grey Thing.
718_129594_000029_000000	"Well?" said I.	"Well?" said i
718_129594_000032_000000	"Some," said I, "have broken the Law: they will die.	"Some," said I, "have broken the Law: they will die.
718_129594_000032_000001	Some have died. Show us now where his old body lies,--the body he cast away because he had no more need of it."	Some have died. Show us now where his old body lies,--the body he cast away because he had no more need of it."
718_129594_000033_000000	"It is this way, Man who walked in the Sea," said the grey Thing.	"It is this way, Man who walked in the Sea," said the grey Thing.
718_129594_000034_000000	And with these six creatures guiding us, we went through the tumult of ferns and creepers and tree-stems towards the northwest. Then came a yelling, a crashing among the branches, and a little pink homunculus rushed by us shrieking.	And with these six creatures guiding us, we went through the tumult of ferns and creepers and tree stems towards the northwest. Then came a yelling, a crashing among the branches, and a little pink homunculus rushed by us shrieking.
718_129594_000034_000002	The grey Thing leapt aside. M'ling, with a snarl, flew at it, and was struck aside.	The grey Thing leapt aside. M'ling, with a snarl, flew at it, and was struck aside.
718_129594_000034_000003	Montgomery fired and missed, bowed his head, threw up his arm, and turned to run. I fired, and the Thing still came on; fired again, point-blank, into its ugly face.	Montgomery fired and missed, bowed his head, threw up his arm, and turned to run. I fired, and the Thing still came on; fired again, point blank, into its ugly face.
718_129594_000034_000005	Yet it passed me, gripped Montgomery, and holding him, fell headlong beside him and pulled him sprawling upon itself in its death-agony.	Yet it passed me, gripped Montgomery, and holding him, fell headlong beside him and pulled him sprawling upon itself in its death agony.
718_129594_000036_000000	"See," said I, pointing to the dead brute, "is the Law not alive? This came of breaking the Law."	"See," said I, pointing to the dead brute, "is the Law not alive? This came of breaking the Law."
718_129594_000037_000000	He peered at the body.	He peered at the body.
718_129594_000038_000003	Montgomery turned him over. Resting at intervals, and with the help of the seven Beast People (for he was a heavy man), we carried Moreau back to the enclosure. The night was darkling.	Montgomery turned him over. Resting at intervals, and with the help of the seven Beast People (for he was a heavy man), we carried Moreau back to the enclosure. The night was darkling.
718_129594_000038_000004	Twice we heard unseen creatures howling and shrieking past our little band, and once the little pink sloth-creature appeared and stared at us, and vanished again. But we were not attacked again.	Twice we heard unseen creatures howling and shrieking past our little band, and once the little pink sloth creature appeared and stared at us, and vanished again. But we were not attacked again.
