93_123172_000000_000000	BUTTER, CHEESE, COFFEE, TEA, &c.	BUTTER, CHEESE, COFFEE, TEA, and c.	false	29.85	34.26	23.771183
93_123172_000001_000000	Butter.	Butter.	true	34.26	34.81	23.928997
93_123172_000002_000000	It is of the first importance that every thing connected with milk and butter should be kept clean; if the milk acquires an unpleasant taste, it communicates it to the butter.	It is of the first importance that every thing connected with milk and butter should be kept clean; if the milk acquires an unpleasant taste, it communicates it to the butter.	true	35.39	44.98	23.565435
93_123172_000002_000001	Tin pans are best to keep milk in, and they should be painted on the outside to keep them from rusting when they are put in water.	Tin pans are best to keep milk in, and they should be painted on the outside to keep them from rusting when they are put in water.	true	45.41	52.3	23.701979
93_123172_000003_000000	In summer, milk should be kept as cool as possible; before it is strained, the pans and strainer should be rinsed with cold water, and the milk not covered until it is cold, as soon as the cream rises sufficiently, it should be skimmed, and put in a large tin bucket with a lid that fits down tight, and stirred every day.	In summer, milk should be kept as cool as possible; before it is strained, the pans and strainer should be rinsed with cold water, and the milk not covered until it is cold, as soon as the cream rises sufficiently, it should be skimmed, and put in a large tin bucket with a lid that fits down tight, and stirred every day.	true	52.61	71.11	21.980263
93_123172_000003_000001	Butter will be spoiled by neglecting to stir the cream, a yellow scum will form on it, which gives it an unpleasant taste.	Butter will be spoiled by neglecting to stir the cream, a yellow scum will form on it, which gives it an unpleasant taste.	true	71.69	78.76	23.631638
93_123172_000003_000002	And if you leave a pan of milk till the cream is covered with spots of mould, you had better throw it away than put it in, as it will spoil the taste of a whole churning.	And if you leave a pan of milk till the cream is covered with spots of mould, you had better throw it away than put it in, as it will spoil the taste of a whole churning.	false	79.04	87.58	24.784674
93_123172_000004_000000	If you have no way of keeping your cream cool in hot weather, it ought to be churned twice a week, the earlier in the morning the better. Always put cold water in your churn the night before you use it, and change it in the morning just before you put in the cream.	If you have no way of keeping your cream cool in hot weather, it ought to be churned twice a week, the earlier in the morning the better. Always put cold water in your churn the night before you use it, and change it in the morning just before you put in the cream.	true	88.19	102.43	24.02916
93_123172_000004_000001	When the butter is gathering, take off the lid of the churn to let the heated air escape, and move it gently, have your butter ladle and pan scalded and cooled, take out the butter and work it till all the milk is out, scrape some lumps of salt, and work in, cover it up, and set away in a cool place till the next morning, when work it again.	When the butter is gathering, take off the lid of the churn to let the heated air escape, and move it gently, have your butter ladle and pan scalded and cooled, take out the butter and work it till all the milk is out, scrape some lumps of salt, and work in, cover it up, and set away in a cool place till the next morning, when work it again.	true	102.53	122.2	24.514282
93_123172_000005_000000	If you have neither an ice, or spring house, a box by the side of the pump, with a cover over it, is very convenient to put cream and butter down the well, put them in tin kettles with covers to fit tight, and fasten them to strong tarred ropes twenty feet long.	If you have neither an ice, or spring house, a box by the side of the pump, with a cover over it, is very convenient to put cream and butter down the well, put them in tin kettles with covers to fit tight, and fasten them to strong tarred ropes twenty feet long.	false	122.42	137.35	21.257368
93_123172_000005_000001	The air of a well will keep butter sweet for several weeks in the hottest weather.	The air of a well will keep butter sweet for several weeks in the hottest weather.	true	137.6	142.12	21.387283
