5126_27504_000002_000000	Chapter 44	Chapter forty four
5126_27504_000003_000000	'The "Banner" comes next,' says Starlight, tearing it open.	'The "Banner" comes next,' says Starlight, tearing it open.
5126_27504_000003_000001	'We shall have something short and sweet after the "Star".	'We shall have something short and sweet after the "Star".
5126_27504_000003_000002	How's this?	How's this?
5126_27504_000005_000000	This mercurial brigand, it would appear, has paid Turon another visit, but, with the exception of what may be considered the legalised robbery of the betting ring, has not levied contributions.	This mercurial brigand, it would appear, has paid Turon another visit, but, with the exception of what may be considered the legalised robbery of the betting ring, has not levied contributions.
5126_27504_000005_000001	Rather the other way, indeed.	Rather the other way, indeed.
5126_27504_000005_000002	A hasty note for Mr. Dawson, whom he had tricked into temporary association by adopting one of the disguises he can so wonderfully assume, requested that gentleman to receive the Handicap Stakes, won by his horse, Darkie, alias Rainbow, and to hand them over to the treasurer of the Turon Hospital, which was accordingly done.	A hasty note for mr Dawson, whom he had tricked into temporary association by adopting one of the disguises he can so wonderfully assume, requested that gentleman to receive the Handicap Stakes, won by his horse, Darkie, alias Rainbow, and to hand them over to the treasurer of the Turon Hospital, which was accordingly done.
5126_27504_000006_000002	We have always regarded the present system--facetiously called police protection--as a farce.	We have always regarded the present system-facetiously called police protection-as a farce.
5126_27504_000006_000004	We, unlike a contemporary, have no morbid sympathy with crime--embroidered or otherwise; our wishes, as loyal subjects, are confined to a short shrift and a high gallows for all who dare to obstruct the Queen's highway.'	We, unlike a contemporary, have no morbid sympathy with crime-embroidered or otherwise; our wishes, as loyal subjects, are confined to a short shrift and a high gallows for all who dare to obstruct the Queen's highway.'
5126_27504_000007_000000	'That's easy to understand, barrin' a word here and there,' says father, taking his pipe out of his mouth and laying it down; 'that's the way they used to talk to us in the old days.	'That's easy to understand, barrin' a word here and there,' says father, taking his pipe out of his mouth and laying it down; 'that's the way they used to talk to us in the old days.
5126_27504_000007_000001	Dashed if I don't think it's the best way after all.	Dashed if I don't think it's the best way after all.
5126_27504_000007_000002	You know where you are.	You know where you are.
5126_27504_000007_000003	The rest's flummery.	The rest's flummery.
5126_27504_000007_000004	All on us as takes to the cross does it with our eyes open, and deserves all we gets.'	All on us as takes to the cross does it with our eyes open, and deserves all we gets.'
5126_27504_000009_000000	'Why?' says father, getting up and glaring with his eyes, 'because I was a blind, ignorant dog when I was young, as had never been taught nothing, and knowed nothing, not so much as him there' (pointing to Crib), 'for he knows what his business is, and I didn't.	'Why?' says father, getting up and glaring with his eyes, 'because I was a blind, ignorant dog when I was young, as had never been taught nothing, and knowed nothing, not so much as him there' (pointing to Crib), 'for he knows what his business is, and I didn't.
5126_27504_000009_000002	Whose business was it to have learned me better?	Whose business was it to have learned me better?
5126_27504_000009_000004	Was that justice?	Was that justice?
5126_27504_000010_000000	We none of us felt in the humour to say much after that.	We none of us felt in the humour to say much after that.
5126_27504_000010_000001	Father had got into one of his tantrums, and when he did he was fit to be tied; only I'd not have took the contract for something.	Father had got into one of his tantrums, and when he did he was fit to be tied; only I'd not have took the contract for something.
5126_27504_000010_000002	Whatever it was that had happened to him in the old times when he was a Government man he didn't talk about.	Whatever it was that had happened to him in the old times when he was a Government man he didn't talk about.
5126_27504_000011_000000	The next dust we got into was all along of a Mr. Knightley, who lived a good way down to the south, and it was one of the worst things we ever were mixed up in.	The next dust we got into was all along of a mr Knightley, who lived a good way down to the south, and it was one of the worst things we ever were mixed up in.
5126_27504_000011_000001	After the Turon races and all that shine, somehow or other we found that things had been made hotter for us than ever since we first turned out.	After the Turon races and all that shine, somehow or other we found that things had been made hotter for us than ever since we first turned out.
5126_27504_000011_000002	Go where we would, we found the police always quick on our trail, and we had two or three very close shaves of it.	Go where we would, we found the police always quick on our trail, and we had two or three very close shaves of it.
