707_161166_000000_000000	WHAT THE FROST GIANTS DID TO NANNIE'S RUN	WHAT THE FROST GIANTS DID TO NANNIE'S RUN	true	24.99	28.27	22.785685
707_161166_000001_000000	THE FROST GIANTS	THE FROST GIANTS	true	29.36	30.64	30.711931
707_161166_000002_000000	Do you believe in giants?	Do you believe in giants?	true	31.82	33.4	20.362661
707_161166_000002_000001	No, do you say?	No, do you say?	true	33.8	35.05	21.627975
707_161166_000002_000002	Well, listen to my story, which is a really true one, and then answer my question.	Well, listen to my story, which is a really true one, and then answer my question.	true	35.3	39.82	21.873587
707_161166_000003_000000	Many hundreds of years ago, certain people who lived in the North, and were therefore called Northmen, had a strange idea of the form and situation of the earth: they thought it was a flat, circular piece of land, surrounded by a great ocean; and that this ocean was again surrounded by a wall of snow-covered mountains, where lived the race of Frost Giants.	Many hundreds of years ago, certain people who lived in the North, and were therefore called Northmen, had a strange idea of the form and situation of the earth: they thought it was a flat, circular piece of land, surrounded by a great ocean; and that this ocean was again surrounded by a wall of snow covered mountains, where lived the race of Frost Giants.	false	40.64	63.28	19.605349
707_161166_000004_000000	I have seen a pretty picture of this world of theirs, with a lovely rainbow bridge arching up over the sea to the earth, and a great coiled serpent, holding his tail in his mouth, lying in mid-ocean like a ring around the land.	I have seen a pretty picture of this world of theirs, with a lovely rainbow bridge arching up over the sea to the earth, and a great coiled serpent, holding his tail in his mouth, lying in mid ocean like a ring around the land.	false	63.35	76.93	20
707_161166_000004_000001	Perhaps you will some day read about it all, but at present we have only to do with the Frost Giants; for I want to tell you, that, although no one now thinks of believing about the serpent or the flat earth or the rainbow bridge, yet the Frost Giants still live, and their home is really among the mountains.	Perhaps you will some day read about it all, but at present we have only to do with the Frost Giants; for I want to tell you, that, although no one now thinks of believing about the serpent or the flat earth or the rainbow bridge, yet the Frost Giants still live, and their home is really among the mountains.	true	77.57	97.21	21.93479
707_161166_000005_000000	You may call them by what name you like, and we may all know certainly that they are not what the old Northmen believed them to be, but are God's workmen, a part of Nature's family, employed to work in the great garden of the world; but, whenever we look at their work, we cannot fail to admit that to do it needed a giant's strength, and so they deserve their title.	You may call them by what name you like, and we may all know certainly that they are not what the old Northmen believed them to be, but are God's workmen, a part of Nature's family, employed to work in the great garden of the world; but, whenever we look at their work, we cannot fail to admit that to do it needed a giant's strength, and so they deserve their title.	false	98.39	120.88	22.433197
707_161166_000006_000000	Have you sometimes seen great boulder stones, as big as a small house, that stand alone by themselves in some field, or on some seashore, where no other rocks are near?	Have you sometimes seen great boulder stones, as big as a small house, that stand alone by themselves in some field, or on some seashore, where no other rocks are near?	true	121.91	134.46	21.428392
707_161166_000006_000001	Well, the Frost Giants carried these boulders about, and dropped them down miles away from their homes, as you might take a pocketful of pebbles, and drop them along the road as you walk. Sometimes they roll great rocks down the mountain-sides, playing a desperate game of ball with each other.	Well, the Frost Giants carried these boulders about, and dropped them down miles away from their homes, as you might take a pocketful of pebbles, and drop them along the road as you walk. Sometimes they roll great rocks down the mountain sides, playing a desperate game of ball with each other.	false	134.46	153.31	20.404966
707_161166_000006_000002	Sometimes they are sent to make a bridge over Niagara Falls, or to build a dam across a mountain torrent in an hour's time.	Sometimes they are sent to make a bridge over Niagara Falls, or to build a dam across a mountain torrent in an hour's time.	true	153.65	161.53	20.609524
707_161166_000006_000003	Now and then they have to rake off a steep mountain- side as you might a garden-bed; and sometimes to bury a whole village so quickly that the poor inhabitants do not know what strange hand brought such sudden destruction upon them.	Now and then they have to rake off a steep mountain side as you might a garden bed; and sometimes to bury a whole village so quickly that the poor inhabitants do not know what strange hand brought such sudden destruction upon them.	true	161.93	176.08	21.378893
707_161166_000006_000004	Their deeds often seem to be cruel, and we cannot understand their meaning; but we shall some time know that the loving Father who sent them orders nothing for our hurt, but has always a loving purpose, though it may be hidden.	Their deeds often seem to be cruel, and we cannot understand their meaning; but we shall some time know that the loving Father who sent them orders nothing for our hurt, but has always a loving purpose, though it may be hidden.	true	176.75	190.75	22.645624
707_161166_000007_000000	While I thus introduce to you the Frost Giants, let me also present their tiny brethren and sisters, the Frost Fairies, who always accompany them on their expeditions; and, however terrible is the deed that has to be done, these little people adorn it with the most lovely handiwork,-- tiny flowers and crystals and veils of delicate lace-work, fringes and spangles and star-work and carving; so that nothing is so hard and ugly and bare that they cannot beautify it.	While I thus introduce to you the Frost Giants, let me also present their tiny brethren and sisters, the Frost Fairies, who always accompany them on their expeditions; and, however terrible is the deed that has to be done, these little people adorn it with the most lovely handiwork,-- tiny flowers and crystals and veils of delicate lace work, fringes and spangles and star work and carving; so that nothing is so hard and ugly and bare that they cannot beautify it.	true	191.75	223.69	22.520746
707_161166_000008_000000	Now that you are introduced, you will perhaps like to join a Frost party that started out to work, one day in the early spring of 1861, from their homes among the Olympic Mountains.	Now that you are introduced, you will perhaps like to join a Frost party that started out to work, one day in the early spring of eighteen sixty one, from their homes among the Olympic Mountains.	true	224.54	237.37	23.86864
707_161166_000009_000000	NANNIE'S RUN	NANNIE'S RUN	true	238.37	239.86	20.0041
707_161166_000010_000000	Can you imagine a beautiful oval-shaped bay, almost encircled by a long arm of sand stretching out from the mainland?	Can you imagine a beautiful oval shaped bay, almost encircled by a long arm of sand stretching out from the mainland?	true	241.04	249.76	21.590162
707_161166_000010_000001	In its deep water the largest vessels might ride at anchor, but at the time of my story a lonelier place could scarcely be found.	In its deep water the largest vessels might ride at anchor, but at the time of my story a lonelier place could scarcely be found.	true	250.28	259.09	24.944403
707_161166_000010_000002	Now and then Indian canoes glided over the water, and at long intervals some vessel from the great island away yonder to the North visited the little settlement upon the shore of the bay.	Now and then Indian canoes glided over the water, and at long intervals some vessel from the great island away yonder to the North visited the little settlement upon the shore of the bay.	true	259.4	271.42	19.594877
707_161166_000010_000003	It is indeed a very little settlement,--a few houses clustered together upon the sandy beach close to the blue water; behind the houses rises a cliff crowned with great fir-trees, standing tall and dark in thick ranks, making a dense forest; and beyond this forest, cold, snow-covered mountains lift their peaks against the sky,--a fitting home for the Frost Giants.	It is indeed a very little settlement,--a few houses clustered together upon the sandy beach close to the blue water; behind the houses rises a cliff crowned with great fir trees, standing tall and dark in thick ranks, making a dense forest; and beyond this forest, cold, snow covered mountains lift their peaks against the sky,--a fitting home for the Frost Giants.	true	272.09	298.66	22.134779
