5731_50777_000000_000000	V.	V.	false	9.42	11.91	26.271393
5731_50777_000001_000000	SOME OTHER BIRDS ARE TAUGHT TO FLY.	SOME OTHER BIRDS ARE TAUGHT TO FLY.	true	11.91	14.11	28.87027
5731_50777_000002_000000	Before the earliest Ruggles could wake and toot his five-cent tin horn, Mrs. Ruggles was up and stirring about the house, for it was a gala day in the family.	Before the earliest Ruggles could wake and toot his five cent tin horn, mrs Ruggles was up and stirring about the house, for it was a gala day in the family.	true	15.32	24.43	25.300678
5731_50777_000002_000001	Gala day!	Gala day!	true	24.65	25.9	23.42464
5731_50777_000002_000002	I should think so!	I should think so!	true	25.91	27.43	26.180695
5731_50777_000002_000003	Were not her nine "childern" invited to a dinner-party at the great house, and weren't they going to sit down free and equal with the mightiest in the land? She had been preparing for this grand occasion ever since the receipt of the invitation, which, by the way, had been speedily enshrined in an old photograph frame and hung under the looking-glass in the most prominent place in the kitchen, where it stared the occasional visitor directly in the eye, and made him pale with envy:	Were not her nine "childern" invited to a dinner party at the great house, and weren't they going to sit down free and equal with the mightiest in the land? She had been preparing for this grand occasion ever since the receipt of the invitation, which, by the way, had been speedily enshrined in an old photograph frame and hung under the looking glass in the most prominent place in the kitchen, where it stared the occasional visitor directly in the eye, and made him pale with envy:	false	27.59	54.34	25.036907
5731_50777_000003_000000	"BIRDS' NEST, Dec. 17th, 188-.	"BIRDS' NEST, december seventeenth one eighty eight-.	false	54.98	59.22	22.766304
5731_50777_000004_000000	DEAR MRS.	DEAR mrs	true	59.22	59.85	17.446075
5731_50777_000004_000001	RUGGLES,--	RUGGLES,--	true	59.85	60.7	32.085636
5731_50777_000005_000000	I am going to have a dinner-party on Christmas day, and would like to have all your children come.	I am going to have a dinner party on Christmas day, and would like to have all your children come.	false	61.16	66.49	24.43897
5731_50777_000005_000001	I want them every one, please, from Sarah Maud to Baby Larry.	I want them every one, please, from Sarah Maud to Baby Larry.	true	66.68	70.36	25.277536
5731_50777_000005_000002	Mama says dinner will be at half-past five, and the Christmas tree at seven; so you may expect them home at nine o'clock.	Mama says dinner will be at half past five, and the Christmas tree at seven; so you may expect them home at nine o'clock.	true	70.58	77.62	27.621332
5731_50777_000005_000003	Wishing you a Merry Christmas and a Happy New Year, I am, yours truly,	Wishing you a Merry Christmas and a Happy New Year, I am, yours truly,	true	77.66	82.84	25.973656
5731_50777_000006_000000	CAROL BIRD."	CAROL BIRD."	true	83.15	84.4	29.742067
5731_50777_000007_000000	Breakfast was on the table promptly at seven o'clock, and there was very little of it, too; for it was an excellent day for short rations, though Mrs. Ruggles heaved a sigh as she reflected that even the boys, with their India-rubber stomachs, would be just as hungry the day after the dinner-party as if they had never had any at all.	Breakfast was on the table promptly at seven o'clock, and there was very little of it, too; for it was an excellent day for short rations, though mrs Ruggles heaved a sigh as she reflected that even the boys, with their India rubber stomachs, would be just as hungry the day after the dinner party as if they had never had any at all.	true	85.13	104.17	24.442072
5731_50777_000008_000000	As soon as the scanty meal was over, she announced the plan of the campaign: "Now Susan, you an' Kitty wash up the dishes; an' Peter, can't you spread up the beds, so't I can git ter cuttin' out Larry's new suit?	As soon as the scanty meal was over, she announced the plan of the campaign: "Now Susan, you an' Kitty wash up the dishes; an' peter, can't you spread up the beds, so't I can git ter cuttin' out Larry's new suit?	false	104.75	117.495	27.676598
5731_50777_000008_000001	I ain't satisfied with his close, an' I thought in the night of a way to make him a dress out of my old plaid shawl--kind o' Scotch style, yer know.	I ain't satisfied with his close, an' I thought in the night of a way to make him a dress out of my old plaid shawl-kind o' Scotch style, yer know.	false	117.495	125.43	23
5731_50777_000008_000002	You other boys clear out from under foot!	You other boys clear out from under foot!	true	125.43	127.665	26.78842
5731_50777_000008_000003	Clem, you and Con hop into bed with Larry while I wash yer underflannins; 'twont take long to dry 'em.	Clem, you and Con hop into bed with Larry while I wash yer underflannins; 'twont take long to dry 'em.	true	127.665	133.42	24.904564
5731_50777_000008_000004	Sarah Maud, I think 'twould be perfeckly han'som if you ripped them brass buttons off yer uncle's policeman's coat an' sewed 'em in a row up the front o' yer green skirt.	Sarah Maud, I think 'twould be perfeckly han'som if you ripped them brass buttons off yer uncle's policeman's coat an' sewed 'em in a row up the front o' yer green skirt.	false	133.46	142.24	23.581167
5731_50777_000008_000005	Susan, you must iron out yours an' Kitty's apurns; an' there, I came mighty near forgettin' Peory's stockin's!	Susan, you must iron out yours an' Kitty's apurns; an' there, I came mighty near forgettin' Peory's stockin's!	false	142.31	148.72	24.803814
