5731_50777_000001_000000	SOME OTHER BIRDS ARE TAUGHT TO FLY.	SOME OTHER BIRDS ARE TAUGHT TO FLY.
5731_50777_000002_000000	Before the earliest Ruggles could wake and toot his five-cent tin horn, Mrs. Ruggles was up and stirring about the house, for it was a gala day in the family.	Before the earliest Ruggles could wake and toot his five cent tin horn, mrs Ruggles was up and stirring about the house, for it was a gala day in the family.
5731_50777_000002_000001	Gala day!	Gala day!
5731_50777_000002_000002	I should think so!	I should think so!
5731_50777_000004_000001	RUGGLES,--	RUGGLES,--
5731_50777_000005_000001	I want them every one, please, from Sarah Maud to Baby Larry.	I want them every one, please, from Sarah Maud to Baby Larry.
5731_50777_000005_000002	Mama says dinner will be at half-past five, and the Christmas tree at seven; so you may expect them home at nine o'clock.	Mama says dinner will be at half past five, and the Christmas tree at seven; so you may expect them home at nine o'clock.
5731_50777_000005_000003	Wishing you a Merry Christmas and a Happy New Year, I am, yours truly,	Wishing you a Merry Christmas and a Happy New Year, I am, yours truly,
5731_50777_000006_000000	CAROL BIRD."	CAROL BIRD."
5731_50777_000007_000000	Breakfast was on the table promptly at seven o'clock, and there was very little of it, too; for it was an excellent day for short rations, though Mrs. Ruggles heaved a sigh as she reflected that even the boys, with their India-rubber stomachs, would be just as hungry the day after the dinner-party as if they had never had any at all.	Breakfast was on the table promptly at seven o'clock, and there was very little of it, too; for it was an excellent day for short rations, though mrs Ruggles heaved a sigh as she reflected that even the boys, with their India rubber stomachs, would be just as hungry the day after the dinner party as if they had never had any at all.
5731_50777_000008_000002	You other boys clear out from under foot!	You other boys clear out from under foot!
5731_50777_000008_000003	Clem, you and Con hop into bed with Larry while I wash yer underflannins; 'twont take long to dry 'em.	Clem, you and Con hop into bed with Larry while I wash yer underflannins; 'twont take long to dry 'em.
5731_50777_000008_000008	Won't yer, Peory?"	Won't yer, Peory?"
5731_50777_000010_000000	"That's a lady;" cried her mother.	"That's a lady;" cried her mother.
