501_125128_000002_000001	Mr Boffin's face denoted Care and Complication.	Mr Boffin's face denoted Care and Complication.
501_125128_000002_000004	It is curious to consider, in such a case as Mr Boffin's, what a cheap article ink is, and how far it may be made to go.	It is curious to consider, in such a case as Mr Boffin's, what a cheap article ink is, and how far it may be made to go.
501_125128_000005_000000	Mr Boffin drew a long breath, laid down his pen, looked at his notes as doubting whether he had the pleasure of their acquaintance, and appeared, on a second perusal of their countenances, to be confirmed in his impression that he had not, when there was announced by the hammer-headed young man:	Mr Boffin drew a long breath, laid down his pen, looked at his notes as doubting whether he had the pleasure of their acquaintance, and appeared, on a second perusal of their countenances, to be confirmed in his impression that he had not, when there was announced by the hammer headed young man:
501_125128_000006_000000	'Mr Rokesmith.'	'Mr Rokesmith.'
501_125128_000007_000000	'Oh!' said Mr Boffin. 'Oh indeed!	'Oh!' said Mr Boffin. 'Oh indeed!
501_125128_000007_000002	Yes.	Yes.
501_125128_000007_000003	Ask him to come in.'	Ask him to come in.'
501_125128_000008_000000	Mr Rokesmith appeared.	Mr Rokesmith appeared.
501_125128_000009_000001	'Mrs Boffin you're already acquainted with.	'Mrs Boffin you're already acquainted with.
501_125128_000009_000002	Well, sir, I am rather unprepared to see you, for, to tell you the truth, I've been so busy with one thing and another, that I've not had time to turn your offer over.'	Well, sir, I am rather unprepared to see you, for, to tell you the truth, I've been so busy with one thing and another, that I've not had time to turn your offer over.'
501_125128_000010_000000	'That's apology for both of us: for Mr Boffin, and for me as well,' said the smiling Mrs Boffin. 'But Lor! we can talk it over now; can't us?'	'That's apology for both of us: for Mr Boffin, and for me as well,' said the smiling Mrs Boffin. 'But Lor! we can talk it over now; can't us?'
501_125128_000012_000001	'It was Secretary that you named; wasn't it?'	'It was Secretary that you named; wasn't it?'
501_125128_000013_000000	'I said Secretary,' assented Mr Rokesmith.	'I said Secretary,' assented Mr Rokesmith.
501_125128_000014_000000	'It rather puzzled me at the time,' said Mr Boffin, 'and it rather puzzled me and Mrs Boffin when we spoke of it afterwards, because (not to make a mystery of our belief) we have always believed a Secretary to be a piece of furniture, mostly of mahogany, lined with green baize or leather, with a lot of little drawers in it.	'It rather puzzled me at the time,' said Mr Boffin, 'and it rather puzzled me and Mrs Boffin when we spoke of it afterwards, because (not to make a mystery of our belief) we have always believed a Secretary to be a piece of furniture, mostly of mahogany, lined with green baize or leather, with a lot of little drawers in it.
501_125128_000015_000000	Certainly not, said Mr Rokesmith.	Certainly not, said Mr Rokesmith.
