6519_69412_000003_000000	The library again! but how changed!	The library again! but how changed!
6519_69412_000003_000001	Evening light now instead of blazing sunshine; and evening light so shaded that the corners seemed far and the many articles of furniture, cumbering the spaces between, larger for the shadows in which they stood hidden.	Evening light now instead of blazing sunshine; and evening light so shaded that the corners seemed far and the many articles of furniture, cumbering the spaces between, larger for the shadows in which they stood hidden.
6519_69412_000003_000002	Perhaps the man who sat there in company with the judge regretted this.	Perhaps the man who sat there in company with the judge regretted this.
6519_69412_000005_000000	These were slow in coming, and they were unexpected when they came.	These were slow in coming, and they were unexpected when they came.
6519_69412_000006_000000	"Sergeant, I have lost a faithful servant under circumstances which have called an unfortunate attention to my house.	"Sergeant, I have lost a faithful servant under circumstances which have called an unfortunate attention to my house.
6519_69412_000006_000001	I should like to have this place guarded--carefully guarded, you understand--from any and all intrusion till I can look about me and secure protection of my own.	I should like to have this place guarded-carefully guarded, you understand-from any and all intrusion till I can look about me and secure protection of my own.
6519_69412_000007_000000	"Two men are already detailed for the job, your honour.	"Two men are already detailed for the job, your honour.
6519_69412_000007_000001	I heard the order given just as I left Headquarters."	I heard the order given just as I left Headquarters."
6519_69412_000008_000000	The judge showed small satisfaction.	The judge showed small satisfaction.
6519_69412_000008_000002	This surprised Sergeant Doolittle and led him to attempt to read its cause in his host's countenance.	This surprised Sergeant Doolittle and led him to attempt to read its cause in his host's countenance.
6519_69412_000008_000003	But the shade of the lamp intervened too completely, and he had to be content to wait till the judge chose to speak, which he presently did, though not in the exact tones the Sergeant expected.	But the shade of the lamp intervened too completely, and he had to be content to wait till the judge chose to speak, which he presently did, though not in the exact tones the Sergeant expected.
6519_69412_000009_000001	Couldn't I have three?	Couldn't I have three?
6519_69412_000010_000000	The sergeant hesitated; he felt an emotion of wonder--a sense of something more nearly approaching the uncanny than was usual to his matter-of-fact mind.	The sergeant hesitated; he felt an emotion of wonder-a sense of something more nearly approaching the uncanny than was usual to his matter of fact mind.
6519_69412_000011_000000	"If two men are not enough to ensure you a quiet sleep, you shall have three or four or even more, Judge Ostrander.	"If two men are not enough to ensure you a quiet sleep, you shall have three or four or even more, Judge Ostrander.
6519_69412_000011_000001	Do you want one of them to stay inside?	Do you want one of them to stay inside?
6519_69412_000011_000002	That might do the business better than a dozen out."	That might do the business better than a dozen out."
6519_69412_000012_000000	"No.	"no
