7188_104637_000001_000000	CHAPTER VI	CHAPTER six
7188_104637_000003_000000	"Whoa, Pink-eye!" muttered the lad, stirring restlessly.	"Whoa, Pink eye!" muttered the lad, stirring restlessly.
7188_104637_000004_000001	The darkness about him was deep and impenetrable and he was conscious of a heavy weight on his chest.	The darkness about him was deep and impenetrable and he was conscious of a heavy weight on his chest.
7188_104637_000005_000000	All at once he recollected.	All at once he recollected.
7188_104637_000006_000000	"It was the bear," he murmured.	"It was the bear," he murmured.
7188_104637_000007_000000	No, he could feel the ground under him, and a rock that his right hand rested on, felt cold and chilling.	No, he could feel the ground under him, and a rock that his right hand rested on, felt cold and chilling.
7188_104637_000007_000001	But what of the pressure on his chest?	But what of the pressure on his chest?
7188_104637_000008_000001	His fingers lightly touched it.	His fingers lightly touched it.
7188_104637_000009_000000	Tad could scarce repress a yell.	Tad could scarce repress a yell.
7188_104637_000011_000000	The boy was satisfied, however, that by exerting all his strength he would be able to pull himself away before the beast could awaken, even, providing it were still alive.	The boy was satisfied, however, that by exerting all his strength he would be able to pull himself away before the beast could awaken, even, providing it were still alive.
7188_104637_000012_000000	First he sought cautiously for his weapon, his fingers groping about over the ground at his right hand.	First he sought cautiously for his weapon, his fingers groping about over the ground at his right hand.
7188_104637_000012_000001	He could not find it.	He could not find it.
7188_104637_000012_000002	Undoubtedly it had fallen underneath the bear.	Undoubtedly it had fallen underneath the bear.
7188_104637_000015_000001	There he stood listening intently for several minutes.	There he stood listening intently for several minutes.
7188_104637_000016_000001	The leaves of the trees hung limp and lifeless, for no breeze was stirring.	The leaves of the trees hung limp and lifeless, for no breeze was stirring.
7188_104637_000017_000000	"I wonder if he's dead," whispered the lad, almost afraid to trust his voice out loud.	"I wonder if he's dead," whispered the lad, almost afraid to trust his voice out loud.
7188_104637_000017_000001	"Maybe that shot finished him.	"Maybe that shot finished him.
7188_104637_000018_000000	Tad searched his clothes for matches, finally finding his match safe.	Tad searched his clothes for matches, finally finding his match safe.
7188_104637_000018_000001	Next he sought to gather some sticks with which to make a torch, but the only wood he was able to find was of oak and so green that it would not burn.	Next he sought to gather some sticks with which to make a torch, but the only wood he was able to find was of oak and so green that it would not burn.
7188_104637_000020_000000	Lighting one he picked his way carefully toward the place where he had been lying, peering into the shadows ahead of him suspiciously as he went.	Lighting one he picked his way carefully toward the place where he had been lying, peering into the shadows ahead of him suspiciously as he went.
7188_104637_000022_000000	He could faintly make out the figure of the bear lying half on its side as it had been before, the only difference being that the animal's head was stretched out on the ground instead of on the lad's chest.	He could faintly make out the figure of the bear lying half on its side as it had been before, the only difference being that the animal's head was stretched out on the ground instead of on the lad's chest.
7188_104637_000024_000000	Mustering his courage, Tad continued his cautious approach, lighting match after match, shading the flame with his hands so that the light would not get into his eyes and prevent him from seeing anything ahead of him.	Mustering his courage, Tad continued his cautious approach, lighting match after match, shading the flame with his hands so that the light would not get into his eyes and prevent him from seeing anything ahead of him.
7188_104637_000025_000000	It required no little courage for a boy alone in the mountains to walk up to a bear, not knowing whether the animal were dead or alive.	It required no little courage for a boy alone in the mountains to walk up to a bear, not knowing whether the animal were dead or alive.
7188_104637_000025_000001	Yet when Tad Butler made up his mind to do a certain thing, he persisted until he had accomplished it.	Yet when Tad Butler made up his mind to do a certain thing, he persisted until he had accomplished it.
7188_104637_000026_000000	He reached the side of the animal, that is, close enough so that he could get a good view of it.	He reached the side of the animal, that is, close enough so that he could get a good view of it.
7188_104637_000027_000000	The bear never moved and Tad drew closer, walking on his toes that he might make no sound.	The bear never moved and Tad drew closer, walking on his toes that he might make no sound.
7188_104637_000027_000001	There seemed no other way to make certain except to stir the animal.	There seemed no other way to make certain except to stir the animal.
7188_104637_000029_000000	Cautiously lighting another match he drew back his left foot and administered a sound kick to the beast's side.	Cautiously lighting another match he drew back his left foot and administered a sound kick to the beast's side.
7188_104637_000030_000000	Thinking that the bear had moved under the blow, Tad whirled and ran tittering a loud "Oh!"	Thinking that the bear had moved under the blow, Tad whirled and ran tittering a loud "Oh!"
7188_104637_000031_000000	He waited, but could hear no sound.	He waited, but could hear no sound.
7188_104637_000032_000002	I'm going back this time and make sure."	I'm going back this time and make sure."
7188_104637_000033_000000	He did.	He did.
7188_104637_000033_000002	There was no movement other than a slight tremor caused by the impact of the kick.	There was no movement other than a slight tremor caused by the impact of the kick.
7188_104637_000036_000000	"I know," he cried.	"I know," he cried.
7188_104637_000036_000002	But where is that pony?"	But where is that pony?"
7188_104637_000037_000000	All at once the realization came to him that the pony had thrown him off.	All at once the realization came to him that the pony had thrown him off.
7188_104637_000038_000000	Tad whistled and called, listening after each attempt without the slightest result.	Tad whistled and called, listening after each attempt without the slightest result.
7188_104637_000039_000000	"He's gone.	"He's gone.
7188_104637_000040_000000	The compass, however, was nowhere to be found.	The compass, however, was nowhere to be found.
7188_104637_000040_000001	The lad went through his pockets twice in search of it.	The lad went through his pockets twice in search of it.
7188_104637_000042_000000	Tad picked up the weapon joyfully.	Tad picked up the weapon joyfully.
7188_104637_000043_000000	"I've got something to defend myself with, at least," he told himself.	"I've got something to defend myself with, at least," he told himself.
7188_104637_000045_000000	The lad struck out confidently.	The lad struck out confidently.
7188_104637_000045_000001	He had been lost in the wilderness before, and though he felt a slight uneasiness he had no doubt of his ability to find the camp eventually.	He had been lost in the wilderness before, and though he felt a slight uneasiness he had no doubt of his ability to find the camp eventually.
7188_104637_000046_000000	He walked vigorously for half an hour.	He walked vigorously for half an hour.
7188_104637_000046_000001	Then he halted.	Then he halted.
7188_104637_000046_000002	The same impressive silence surrounded him.	The same impressive silence surrounded him.
7188_104637_000047_000001	He changed his course and plodded on methodically again.	He changed his course and plodded on methodically again.
7188_104637_000052_000000	The panic of the lost seized him and Tad ran this way and that, plunging ahead for some distance, then swerving to the right or to the left in a desperate attempt to free himself from the endless thicket, bruising his body from contact with the trunks of the trees and cutting his hands as they struck the rocks violently when he fell.	The panic of the lost seized him and Tad ran this way and that, plunging ahead for some distance, then swerving to the right or to the left in a desperate attempt to free himself from the endless thicket, bruising his body from contact with the trunks of the trees and cutting his hands as they struck the rocks violently when he fell.
7188_104637_000053_000000	"Tad Butler, you stop this!" he commanded sternly, bringing himself up sharply.	"Tad Butler, you stop this!" he commanded sternly, bringing himself up sharply.
7188_104637_000053_000001	"I didn't think you were such a silly kid as to be afraid of the dark." But in his innermost heart the lad knew that it was not the shadows that had so upset him.	"I didn't think you were such a silly kid as to be afraid of the dark." But in his innermost heart the lad knew that it was not the shadows that had so upset him.
7188_104637_000053_000002	It was the feeling of being lost in an unknown forest.	It was the feeling of being lost in an unknown forest.
7188_104637_000054_000000	Instead of being in the foothills as he had supposed, he was penetrating the fastnesses of the Rosebud Mountains themselves.	Instead of being in the foothills as he had supposed, he was penetrating the fastnesses of the Rosebud Mountains themselves.
7188_104637_000055_000001	"I'll sit down and wait for daylight.	"I'll sit down and wait for daylight.
7188_104637_000055_000002	That's all I can do.	That's all I can do.
7188_104637_000055_000003	I surely can find my way back to camp when the light comes again."	I surely can find my way back to camp when the light comes again."
7188_104637_000056_000001	Tad remembered with a start that there were bears in the range.	Tad remembered with a start that there were bears in the range.
7188_104637_000058_000001	Up this he clambered.	Up this he clambered.
7188_104637_000058_000002	It would give him a good view in the morning anyway, besides protecting him from any prowling animals that might chance in that part of the forest.	It would give him a good view in the morning anyway, besides protecting him from any prowling animals that might chance in that part of the forest.
7188_104637_000059_000000	Tad ensconced himself in a slight depression, and with a flat rock for a resting place, leaned back determined to make the best of his position.	Tad ensconced himself in a slight depression, and with a flat rock for a resting place, leaned back determined to make the best of his position.
7188_104637_000060_000000	A gentle breeze now stirred the foliage above his head and all about him until the sound became a restless murmur, as if Nature were holding council over the lad's predicament.	A gentle breeze now stirred the foliage above his head and all about him until the sound became a restless murmur, as if Nature were holding council over the lad's predicament.
7188_104637_000061_000000	The lost boy did not so interpret the sounds, however.	The lost boy did not so interpret the sounds, however.
7188_104637_000061_000001	He made a more practical application of them.	He made a more practical application of them.
7188_104637_000062_000000	"It's going to rain," he decided wisely, casting a glance above him at the sky, which was becoming rapidly overcast.	"It's going to rain," he decided wisely, casting a glance above him at the sky, which was becoming rapidly overcast.
7188_104637_000062_000001	"And I haven't any umbrella," he added, grinning at his own feeble joke.	"And I haven't any umbrella," he added, grinning at his own feeble joke.
7188_104637_000062_000002	"Well, I've been wet before.	"Well, I've been wet before.
7188_104637_000062_000003	I cannot well be any more so than I was last night.	I cannot well be any more so than I was last night.
7188_104637_000062_000004	I'll bet the rainwater will be warmer than the waters in the East Fork.	I'll bet the rainwater will be warmer than the waters in the East Fork.
7188_104637_000063_000000	Fortunately he had worn his coat when he left the camp, else he would now have suffered from the cold.	Fortunately he had worn his coat when he left the camp, else he would now have suffered from the cold.
7188_104637_000063_000001	As it was, he shivered, but more from nervousness than from the chill night air.	As it was, he shivered, but more from nervousness than from the chill night air.
