2060_150855_000000_000000	XVIII	eighteen
2060_150855_000001_000001	Perhaps his union should have been emphasized before.	Perhaps his union should have been emphasized before.
2060_150855_000001_000002	The crown of life had been attained, the vague yearnings, the misread impulses, had found accomplishment at last.	The crown of life had been attained, the vague yearnings, the misread impulses, had found accomplishment at last.
2060_150855_000001_000004	So he reasoned, and at first took the accomplishment for granted.	So he reasoned, and at first took the accomplishment for granted.
2060_150855_000001_000008	Surely the dust would settle soon: in Italy, at Easter, he might perceive the infinities of love.	Surely the dust would settle soon: in Italy, at Easter, he might perceive the infinities of love.
2060_150855_000002_000000	She ran about the house looking handsomer than ever.	She ran about the house looking handsomer than ever.
2060_150855_000002_000001	Her cheerful voice gave orders to the servants.	Her cheerful voice gave orders to the servants.
2060_150855_000002_000004	The tone of their marriage life was soon set.	The tone of their marriage life was soon set.
2060_150855_000003_000002	The air was pure and quiet.	The air was pure and quiet.
2060_150855_000003_000003	Tomorrow the fog might be here, but today one said, "It is like the country." Arm in arm they strolled in the side-garden, stopping at times to notice the crocuses, or to wonder when the daffodils would flower.	Tomorrow the fog might be here, but today one said, "It is like the country." Arm in arm they strolled in the side garden, stopping at times to notice the crocuses, or to wonder when the daffodils would flower.
2060_150855_000003_000004	Suddenly he tightened his pressure, and said, "Darling, why don't you still wear ear-rings?"	Suddenly he tightened his pressure, and said, "Darling, why don't you still wear ear rings?"
2060_150855_000004_000000	"Ear-rings?"	"Ear rings?"
2060_150855_000004_000002	"My taste has improved, perhaps."	"My taste has improved, perhaps."
2060_150855_000005_000000	So after all they never mentioned Gerald's name.	So after all they never mentioned Gerald's name.
2060_150855_000005_000002	He did not want her to forget the greatest moment in her life.	He did not want her to forget the greatest moment in her life.
2060_150855_000006_000000	He valued emotion--not for itself, but because it is the only final path to intimacy.	He valued emotion-not for itself, but because it is the only final path to intimacy.
2060_150855_000006_000001	She, ever robust and practical, always discouraged him. She was not cold; she would willingly embrace him.	She, ever robust and practical, always discouraged him. She was not cold; she would willingly embrace him.
2060_150855_000006_000003	But his mother--he had never concealed it from himself--had glories to which his wife would never attain: glories that had unfolded against a life of horror--a life even more horrible than he had guessed.	But his mother-he had never concealed it from himself-had glories to which his wife would never attain: glories that had unfolded against a life of horror-a life even more horrible than he had guessed.
2060_150855_000006_000004	He thought of her often during these earlier months.	He thought of her often during these earlier months.
2060_150855_000006_000006	Did she love his wife?	Did she love his wife?
2060_150855_000006_000007	He tried to speak of her to Agnes, but again she was reluctant.	He tried to speak of her to Agnes, but again she was reluctant.
2060_150855_000007_000000	They conversed and differed healthily upon other topics.	They conversed and differed healthily upon other topics.
2060_150855_000007_000001	A rifle corps was to be formed: she hoped that the boys would have proper uniforms, instead of shooting in their old clothes, as Mr. Jackson had suggested. There was Tewson; could nothing be done about him?	A rifle corps was to be formed: she hoped that the boys would have proper uniforms, instead of shooting in their old clothes, as mr Jackson had suggested. There was Tewson; could nothing be done about him?
2060_150855_000007_000002	He would slink away from the other prefects and go with boys of his own age.	He would slink away from the other prefects and go with boys of his own age.
