1535_141644_000000_000000	"We are glad to be free!" said these strange people.	"We are glad to be free!" said these strange people.	false	0	6.39	21.360777
1535_141644_000001_000000	Thus Iya was killed; and no more are the camp grounds in danger of being swallowed up in a single night time.	Thus i y a was killed; and no more are the camp grounds in danger of being swallowed up in a single night time.	false	6.39	21.87	21.169472
1535_141644_000002_000000	MANSTIN, THE RABBIT	m a n s t i n, THE RABBIT	false	21.87	27.51	19.890596
1535_141644_000003_000000	MANSTIN was an adventurous brave, but very kind-hearted.	m a n s t i n was an adventurous brave, but very kind hearted.	false	27.51	33.73	19.634363
1535_141644_000003_000001	Stamping a moccasined foot as he drew on his buckskin leggins, he said: "Grandmother, beware of Iktomi!	Stamping a moccasined foot as he drew on his buckskin leggins, he said: "Grandmother, beware of Iktomi!	false	34.28	44.13	21.913895
1535_141644_000003_000002	Do not let him lure you into some cunning trap.	Do not let him lure you into some cunning trap.	true	44.13	48.01	17.83234
1535_141644_000003_000003	I am going to the North country on a long hunt."	I am going to the North country on a long hunt."	true	48.23	51.85	23.619389
1535_141644_000004_000000	With these words of caution to the bent old rabbit grandmother with whom he had lived since he was a tiny babe, Manstin started off toward the north.	With these words of caution to the bent old rabbit grandmother with whom he had lived since he was a tiny babe, Manstin started off toward the north.	true	52.94	65.62	20.389599
1535_141644_000004_000001	He was scarce over the great high hills when he heard the shrieking of a human child.	He was scarce over the great high hills when he heard the shrieking of a human child.	true	66.05	72.64	20.787636
1535_141644_000005_000000	"Wan!" he ejaculated, pointing his long ears toward the direction of the sound; "Wan! that is the work of cruel Double-Face.	"Wan!" he ejaculated, pointing his long ears toward the direction of the sound; "Wan! that is the work of cruel Double Face.	true	73.76	84.37	19.637474
1535_141644_000005_000001	Shameless coward!	Shameless coward!	true	84.98	86.74	21.0284
1535_141644_000005_000002	he delights in torturing helpless creatures!"	he delights in torturing helpless creatures!"	true	86.96	90.7	21.99652
1535_141644_000006_000000	Muttering indistinct words, Manstin ran up the last hill and lo! in the ravine beyond stood the terrible monster with a face in front and one in the back of his head!	Muttering indistinct words, Manstin ran up the last hill and lo! in the ravine beyond stood the terrible monster with a face in front and one in the back of his head!	true	91.97	107.56	20.247303
1535_141644_000007_000000	This brown giant was without clothes save for a wild-cat-skin about his loins.	This brown giant was without clothes save for a wild cat skin about his loins.	true	108.47	116.02	21.073523
1535_141644_000007_000001	With a wicked gleaming eye, he watched the little black-haired baby he held in his strong arm.	With a wicked gleaming eye, he watched the little black haired baby he held in his strong arm.	false	116.42	124	20.972145
1535_141644_000007_000002	In a laughing voice he hummed an Indian mother's lullaby, "A-boo!	In a laughing voice he hummed an Indian mother's lullaby, "A boo!	true	124.28	131.355	20.010374
1535_141644_000007_000003	Aboo!" and at the same time he switched the naked baby with a thorny wild-rose bush.	Aboo!" and at the same time he switched the naked baby with a thorny wild rose bush.	true	131.355	139.57	21.727266
1535_141644_000008_000000	Quickly Manstin jumped behind a large sage bush on the brow of the hill. He bent his bow and the sinewy string twanged.	Quickly Manstin jumped behind a large sage bush on the brow of the hill. He bent his bow and the sinewy string twanged.	false	140.99	152.28	21.657877
1535_141644_000008_000001	Now an arrow stuck above the ear of Double-Face.	Now an arrow stuck above the ear of Double Face.	true	152.28	156.73	22.01931
1535_141644_000008_000002	It was a poisoned arrow, and the giant fell dead.	It was a poisoned arrow, and the giant fell dead.	true	157.31	161.47	23.030907
1535_141644_000008_000003	Then Manstin took the little brown baby and hurried away from the ravine.	Then Manstin took the little brown baby and hurried away from the ravine.	true	161.99	168.13	19.308575
1535_141644_000008_000004	Soon he came to a teepee from whence loud wailing voices broke.	Soon he came to a teepee from whence loud wailing voices broke.	true	169.25	175.12	20.703867
1535_141644_000008_000005	It was the teepee of the stolen baby and the mourners were its heart-broken parents.	It was the teepee of the stolen baby and the mourners were its heart broken parents.	true	175.25	182.5	21.887112
1535_141644_000009_000000	When gallant Manstin returned the child to the eager arms of the mother there came a sudden terror into the eyes of both the Dakotas.	When gallant Manstin returned the child to the eager arms of the mother there came a sudden terror into the eyes of both the Dakotas.	true	183.5	195.07	21.658253
