1535_141644_000003_000003	I am going to the North country on a long hunt."	I am going to the North country on a long hunt."
1535_141644_000004_000000	With these words of caution to the bent old rabbit grandmother with whom he had lived since he was a tiny babe, Manstin started off toward the north.	With these words of caution to the bent old rabbit grandmother with whom he had lived since he was a tiny babe, Manstin started off toward the north.
1535_141644_000004_000001	He was scarce over the great high hills when he heard the shrieking of a human child.	He was scarce over the great high hills when he heard the shrieking of a human child.
1535_141644_000005_000001	Shameless coward!	Shameless coward!
1535_141644_000005_000002	he delights in torturing helpless creatures!"	he delights in torturing helpless creatures!"
1535_141644_000006_000000	Muttering indistinct words, Manstin ran up the last hill and lo! in the ravine beyond stood the terrible monster with a face in front and one in the back of his head!	Muttering indistinct words, Manstin ran up the last hill and lo! in the ravine beyond stood the terrible monster with a face in front and one in the back of his head!
1535_141644_000007_000000	This brown giant was without clothes save for a wild-cat-skin about his loins.	This brown giant was without clothes save for a wild cat skin about his loins.
1535_141644_000007_000002	In a laughing voice he hummed an Indian mother's lullaby, "A-boo!	In a laughing voice he hummed an Indian mother's lullaby, "A boo!
1535_141644_000007_000003	Aboo!" and at the same time he switched the naked baby with a thorny wild-rose bush.	Aboo!" and at the same time he switched the naked baby with a thorny wild rose bush.
1535_141644_000008_000001	Now an arrow stuck above the ear of Double-Face.	Now an arrow stuck above the ear of Double Face.
1535_141644_000008_000002	It was a poisoned arrow, and the giant fell dead.	It was a poisoned arrow, and the giant fell dead.
1535_141644_000008_000004	Soon he came to a teepee from whence loud wailing voices broke.	Soon he came to a teepee from whence loud wailing voices broke.
1535_141644_000008_000005	It was the teepee of the stolen baby and the mourners were its heart-broken parents.	It was the teepee of the stolen baby and the mourners were its heart broken parents.
1535_141644_000009_000000	When gallant Manstin returned the child to the eager arms of the mother there came a sudden terror into the eyes of both the Dakotas.	When gallant Manstin returned the child to the eager arms of the mother there came a sudden terror into the eyes of both the Dakotas.
1535_141644_000009_000003	Do not fear."	Do not fear."
1535_141644_000010_000000	That night a strange thing happened.	That night a strange thing happened.
1535_141644_000010_000002	With his feet placed gently yet firmly upon the tiny toes of the little child, he drew upward by each small hand the sleeping child till he was a full-grown man.	With his feet placed gently yet firmly upon the tiny toes of the little child, he drew upward by each small hand the sleeping child till he was a full grown man.
1535_141644_000011_000000	"Henceforth we are friends, to help each other," said Manstin, shaking a right hand in farewell.	"Henceforth we are friends, to help each other," said Manstin, shaking a right hand in farewell.
1535_141644_000012_000000	"Ho! Be it so!" answered the newly made man.	"Ho! Be it so!" answered the newly made man.
1535_141644_000013_000002	His alert eye caught sight of a rawhide rope staked to the water's brink, which led away toward a small round hut in the distance. The ground was trodden into a deep groove beneath the loosely drawn rawhide rope.	His alert eye caught sight of a rawhide rope staked to the water's brink, which led away toward a small round hut in the distance. The ground was trodden into a deep groove beneath the loosely drawn rawhide rope.
1535_141644_000014_000000	"Hun-he!" exclaimed Manstin, bending over the freshly made footprints in the moist bank of the brook.	"Hun he!" exclaimed Manstin, bending over the freshly made footprints in the moist bank of the brook.
1535_141644_000014_000002	This rope is his guide by which he comes for his daily water!" surmised Manstin, who knew all the peculiar contrivances of the people.	This rope is his guide by which he comes for his daily water!" surmised Manstin, who knew all the peculiar contrivances of the people.
1535_141644_000014_000003	At once his eyes became fixed upon the solitary dwelling and hither he followed his curiosity,--a real blind man's rope.	At once his eyes became fixed upon the solitary dwelling and hither he followed his curiosity,--a real blind man's rope.
1535_141644_000015_000000	Quietly he lifted the door-flap and entered in.	Quietly he lifted the door flap and entered in.
1535_141644_000015_000001	An old toothless grandfather, blind and shaky with age, sat upon the ground.	An old toothless grandfather, blind and shaky with age, sat upon the ground.
1535_141644_000015_000002	He was not deaf however.	He was not deaf however.
1535_141644_000016_000000	"How, grandchild," he mumbled, for he was old enough to be grandparent to every living thing, "how!	"How, grandchild," he mumbled, for he was old enough to be grandparent to every living thing, "how!
1535_141644_000016_000001	I cannot see you.	I cannot see you.
1535_141644_000016_000002	Pray, speak your name!"	Pray, speak your name!"
1535_141644_000017_000000	"Grandfather, I am Manstin," answered the rabbit, all the while looking with curious eyes about the wigwam.	"Grandfather, I am Manstin," answered the rabbit, all the while looking with curious eyes about the wigwam.
1535_141644_000018_000000	"Grandfather, what is it so tightly packed in all these buckskin bags placed against the tent poles?" he asked.	"Grandfather, what is it so tightly packed in all these buckskin bags placed against the tent poles?" he asked.
1535_141644_000019_000001	These are magic bags which never grow empty.	These are magic bags which never grow empty.
1535_141644_000021_000000	"Grandfather, I wish I lived in such sure luxury!	"Grandfather, I wish I lived in such sure luxury!
1535_141644_000022_000000	"My grandchild, your eyes are your luxury! you would be unhappy without them!" the old man replied.	"My grandchild, your eyes are your luxury! you would be unhappy without them!" the old man replied.
1535_141644_000023_000000	"Grandfather, I would give you my two eyes for your place!" cried Manstin.	"Grandfather, I would give you my two eyes for your place!" cried Manstin.
1535_141644_000024_000000	"How! you have said it.	"How! you have said it.
1535_141644_000024_000001	Arise.	Arise.
1535_141644_000025_000001	For a short time it was a most pleasant pastime to smoke willow bark and to eat from the magic bags.	For a short time it was a most pleasant pastime to smoke willow bark and to eat from the magic bags.
1535_141644_000026_000000	Manstin grew thirsty, but there was no water in the small dwelling. Taking one of the rawhide ropes he started toward the brook to quench his thirst.	Manstin grew thirsty, but there was no water in the small dwelling. Taking one of the rawhide ropes he started toward the brook to quench his thirst.
1535_141644_000026_000001	He was young and unwilling to trudge slowly in the old man's footpath.	He was young and unwilling to trudge slowly in the old man's footpath.
1535_141644_000026_000002	He was full of glee, for it had been many long moons since he had tasted such good food.	He was full of glee, for it had been many long moons since he had tasted such good food.
