8459_292348_000000_000000	'AEDH,' 'HANRAHAN' AND 'MICHAEL ROBARTES' IN THESE POEMS.	'a e d h,' 'HANRAHAN' AND 'MICHAEL r o b a r t e s' IN THESE POEMS.	false	4.89	17.35	20.953323
8459_292348_000001_000000	These are personages in 'The Secret Rose;' but, with the exception of some of Hanrahan's and one of Aedh's poems, the poems are not out of that book.	These are personages in 'The Secret Rose;' but, with the exception of some of Hanrahan's and one of Aedh's poems, the poems are not out of that book.	false	19.49	28.09	21.926556
8459_292348_000001_000001	I have used them in this book more as principles of the mind than as actual personages.	I have used them in this book more as principles of the mind than as actual personages.	true	28.37	33.94	22.69551
8459_292348_000001_000002	It is probable that only students of the magical tradition will understand me when I say that 'Michael Robartes' is fire reflected in water, and that Hanrahan is fire blown by the wind, and that Aedh, whose name is not merely the Irish form of Hugh, but the Irish for fire, is fire burning by itself.	It is probable that only students of the magical tradition will understand me when I say that 'Michael Robartes' is fire reflected in water, and that Hanrahan is fire blown by the wind, and that a e d h, whose name is not merely the Irish form of Hugh, but the Irish for fire, is fire burning by itself.	false	34.49	54.49	20.295935
8459_292348_000001_000003	To put it in a different way, Hanrahan is the simplicity of an imagination too changeable to gather permanent possessions, or the adoration of the shepherds; and Michael Robartes is the pride of the imagination brooding upon the greatness of its possessions, or the adoration of the Magi; while Aedh is the myrrh and frankincense that the imagination offers continually before all that it loves.	To put it in a different way, Hanrahan is the simplicity of an imagination too changeable to gather permanent possessions, or the adoration of the shepherds; and Michael Robartes is the pride of the imagination brooding upon the greatness of its possessions, or the adoration of the Magi; while a e d h is the myrrh and frankincense that the imagination offers continually before all that it loves.	false	55.22	80.74	19.803423
8459_292348_000002_000000	AEDH PLEADS WITH THE ELEMENTAL POWERS.	a e d h PLEADS WITH THE ELEMENTAL POWERS.	false	81.89	84.13	22.913212
8459_292348_000003_000000	MONGAN THINKS OF HIS PAST GREATNESS.	MONGAN THINKS OF HIS PAST GREATNESS.	true	84.23	86.41	20.723965
8459_292348_000004_000000	AEDH HEARS THE CRY OF THE SEDGE.	a e d h HEARS THE CRY OF THE SEDGE.	false	86.75	88.75	20.778296
8459_292348_000005_000000	The Rose has been for many centuries a symbol of spiritual love and supreme beauty.	The Rose has been for many centuries a symbol of spiritual love and supreme beauty.	true	90.02	95.26	20
8459_292348_000005_000001	The Count Goblet D'Alviella thinks that it was once a symbol of the sun,--itself a principal symbol of the divine nature, and the symbolic heart of things.	The Count Goblet D'Alviella thinks that it was once a symbol of the sun,--itself a principal symbol of the divine nature, and the symbolic heart of things.	false	96.53	105.58	18.335653
8459_292348_000005_000002	The lotus was in some Eastern countries imagined blossoming upon the Tree of Life, as the Flower of Life, and is thus represented in Assyrian bas-reliefs.	The lotus was in some Eastern countries imagined blossoming upon the Tree of Life, as the Flower of Life, and is thus represented in Assyrian bas reliefs.	true	106.19	116.32	18.366472
8459_292348_000005_000003	Because the Rose, the flower sacred to the Virgin Mary, and the flower that Apuleius' adventurer ate, when he was changed out of the ass's shape and received into the fellowship of Isis, is the western Flower of Life, I have imagined it growing upon the Tree of Life.	Because the Rose, the flower sacred to the Virgin Mary, and the flower that Apuleius' adventurer ate, when he was changed out of the ass's shape and received into the fellowship of Isis, is the western Flower of Life, I have imagined it growing upon the Tree of Life.	false	116.6	132.61	19.431097
8459_292348_000005_000004	I once stood beside a man in Ireland when he saw it growing there in a vision, that seemed to have rapt him out of his body.	I once stood beside a man in Ireland when he saw it growing there in a vision, that seemed to have rapt him out of his body.	true	133.04	139.54	17.819057
8459_292348_000005_000005	He saw the garden of Eden walled about, and on the top of a high mountain, as in certain mediaeval diagrams, and after passing the Tree of Knowledge, on which grew fruit full of troubled faces, and through whose branches flowed, he was told, sap that was human souls, he came to a tall, dark tree, with little bitter fruits, and was shown a kind of stair or ladder going up through the tree, and told to go up; and near the top of the tree, a beautiful woman, like the Goddess of Life associated with the tree in Assyria, gave him a rose that seemed to have been growing upon the tree.	He saw the garden of Eden walled about, and on the top of a high mountain, as in certain mediaeval diagrams, and after passing the Tree of Knowledge, on which grew fruit full of troubled faces, and through whose branches flowed, he was told, sap that was human souls, he came to a tall, dark tree, with little bitter fruits, and was shown a kind of stair or ladder going up through the tree, and told to go up; and near the top of the tree, a beautiful woman, like the Goddess of Life associated with the tree in Assyria, gave him a rose that seemed to have been growing upon the tree.	true	139.88	176.86	18.47803
