3889_9915_000000_000000	The little fellow will grow up.	The little fellow will grow up.	false	0	0.72	4
3889_9915_000001_000000	Of what clay is he made?	Of what clay is he made?	false	0.72	1.98	17.95487
3889_9915_000001_000001	Of the first mud that comes to hand.	Of the first mud that comes to hand.	false	1.98	2.7	25.592417
3889_9915_000001_000002	A handful of dirt, a breath, and behold Adam.	A handful of dirt, a breath, and behold Adam.	false	2.7	5.82	21.519232
3889_9915_000001_000003	It suffices for a God to pass by.	It suffices for a God to pass by.	false	5.82	7.92	25.04035
3889_9915_000001_000004	A God has always passed over the street Arab.	A God has always passed over the street Arab.	false	7.92	9.3	32.840904
3889_9915_000001_000005	Fortune labors at this tiny being.	Fortune labors at this tiny being.	false	9.3	10.71	18.101534
3889_9915_000001_000006	By the word "fortune" we mean chance, to some extent.	By the word "fortune" we mean chance, to some extent.	false	10.71	13.65	21.01872
3889_9915_000001_000007	That pigmy kneaded out of common earth, ignorant, unlettered, giddy, vulgar, low. Will that become an Ionian or a Boeotian?	That pigmy kneaded out of common earth, ignorant, unlettered, giddy, vulgar, low. Will that become an Ionian or a Boeotian?	false	13.65	18.15	26.492878
3889_9915_000001_000008	Wait, currit rota, the Spirit of Paris, that demon which creates the children of chance and the men of destiny, reversing the process of the Latin potter, makes of a jug an amphora.	Wait, currit rota, the Spirit of Paris, that demon which creates the children of chance and the men of destiny, reversing the process of the Latin potter, makes of a jug an amphora.	false	18.15	31.23	20.229
3889_9915_000002_000000	CHAPTER V--HIS FRONTIERS	CHAPTER five-HIS FRONTIERS	true	31.23	33.49	24.392212
3889_9915_000003_000000	The gamin loves the city, he also loves solitude, since he has something of the sage in him.	The gamin loves the city, he also loves solitude, since he has something of the sage in him.	true	34.67	40.27	21.5521
3889_9915_000003_000001	Urbis amator, like Fuscus; ruris amator, like Flaccus.	Urbis amator, like Fuscus; ruris amator, like Flaccus.	true	40.67	44.89	22.566319
3889_9915_000004_000000	To roam thoughtfully about, that is to say, to lounge, is a fine employment of time in the eyes of the philosopher; particularly in that rather illegitimate species of campaign, which is tolerably ugly but odd and composed of two natures, which surrounds certain great cities, notably Paris.	To roam thoughtfully about, that is to say, to lounge, is a fine employment of time in the eyes of the philosopher; particularly in that rather illegitimate species of campaign, which is tolerably ugly but odd and composed of two natures, which surrounds certain great cities, notably Paris.	true	45.56	64.87	22.740128
3889_9915_000004_000001	To study the suburbs is to study the amphibious animal. End of the trees, beginning of the roofs; end of the grass, beginning of the pavements; end of the furrows, beginning of the shops, end of the wheel-ruts, beginning of the passions; end of the divine murmur, beginning of the human uproar; hence an extraordinary interest.	To study the suburbs is to study the amphibious animal. End of the trees, beginning of the roofs; end of the grass, beginning of the pavements; end of the furrows, beginning of the shops, end of the wheel ruts, beginning of the passions; end of the divine murmur, beginning of the human uproar; hence an extraordinary interest.	true	65.57	87.46	20.680462
3889_9915_000005_000000	Hence, in these not very attractive places, indelibly stamped by the passing stroller with the epithet: melancholy, the apparently objectless promenades of the dreamer.	Hence, in these not very attractive places, indelibly stamped by the passing stroller with the epithet: melancholy, the apparently objectless promenades of the dreamer.	false	88.91	100.09	22.413162
3889_9915_000006_000000	He who writes these lines has long been a prowler about the barriers of Paris, and it is for him a source of profound souvenirs.	He who writes these lines has long been a prowler about the barriers of Paris, and it is for him a source of profound souvenirs.	true	101	109	21
3889_9915_000006_000001	That close-shaven turf, those pebbly paths, that chalk, those pools, those harsh monotonies of waste and fallow lands, the plants of early market-garden suddenly springing into sight in a bottom, that mixture of the savage and the citizen, those vast desert nooks where the garrison drums practise noisily, and produce a sort of lisping of battle, those hermits by day and cut-throats by night, that clumsy mill which turns in the wind, the hoisting-wheels of the quarries, the tea-gardens at the corners of the cemeteries; the mysterious charm of great, sombre walls squarely intersecting immense, vague stretches of land inundated with sunshine and full of butterflies,--all this attracted him.	That close shaven turf, those pebbly paths, that chalk, those pools, those harsh monotonies of waste and fallow lands, the plants of early market garden suddenly springing into sight in a bottom, that mixture of the savage and the citizen, those vast desert nooks where the garrison drums practise noisily, and produce a sort of lisping of battle, those hermits by day and cut throats by night, that clumsy mill which turns in the wind, the hoisting wheels of the quarries, the tea gardens at the corners of the cemeteries; the mysterious charm of great, sombre walls squarely intersecting immense, vague stretches of land inundated with sunshine and full of butterflies,--all this attracted him.	false	109.61	156.19	21.087513
3889_9915_000007_000000	There is hardly any one on earth who is not acquainted with those singular spots, the Glaciere, the Cunette, the hideous wall of Grenelle all speckled with balls, Mont-Parnasse, the Fosse-aux-Loups, Aubiers on the bank of the Marne, Mont-Souris, the Tombe-Issoire, the Pierre-Plate de Chatillon, where there is an old, exhausted quarry which no longer serves any purpose except to raise mushrooms, and which is closed, on a level with the ground, by a trap-door of rotten planks.	There is hardly any one on earth who is not acquainted with those singular spots, the Glaciere, the Cunette, the hideous wall of Grenelle all speckled with balls, Mont Parnasse, the Fosse aux Loups, Aubiers on the bank of the Marne, Mont Souris, the Tombe Issoire, the Pierre Plate de Chatillon, where there is an old, exhausted quarry which no longer serves any purpose except to raise mushrooms, and which is closed, on a level with the ground, by a trap door of rotten planks.	false	157.49	189.67	21.807602
3889_9915_000007_000001	The campagna of Rome is one idea, the banlieue of Paris is another; to behold nothing but fields, houses, or trees in what a stretch of country offers us, is to remain on the surface; all aspects of things are thoughts of God.	The campagna of Rome is one idea, the banlieue of Paris is another; to behold nothing but fields, houses, or trees in what a stretch of country offers us, is to remain on the surface; all aspects of things are thoughts of God.	true	191.24	207.04	21.22756
3889_9915_000007_000002	The spot where a plain effects its junction with a city is always stamped with a certain piercing melancholy.	The spot where a plain effects its junction with a city is always stamped with a certain piercing melancholy.	true	207.47	213.79	22.19373
3889_9915_000007_000003	Nature and humanity both appeal to you at the same time there.	Nature and humanity both appeal to you at the same time there.	true	214.04	218.05	23.61532
3889_9915_000007_000004	Local originalities there make their appearance.	Local originalities there make their appearance.	true	218.27	221.17	24.121176
3889_9915_000008_000000	Any one who, like ourselves, has wandered about in these solitudes contiguous to our faubourgs, which may be designated as the limbos of Paris, has seen here and there, in the most desert spot, at the most unexpected moment, behind a meagre hedge, or in the corner of a lugubrious wall, children grouped tumultuously, fetid, muddy, dusty, ragged, dishevelled, playing hide-and-seek, and crowned with corn-flowers.	Any one who, like ourselves, has wandered about in these solitudes contiguous to our faubourgs, which may be designated as the limbos of Paris, has seen here and there, in the most desert spot, at the most unexpected moment, behind a meagre hedge, or in the corner of a lugubrious wall, children grouped tumultuously, fetid, muddy, dusty, ragged, dishevelled, playing hide and seek, and crowned with corn flowers.	false	223.25	251.11	21.658312
3889_9915_000008_000001	All of them are little ones who have made their escape from poor families.	All of them are little ones who have made their escape from poor families.	false	251.78	255.7	20.722353
3889_9915_000008_000002	The outer boulevard is their breathing space; the suburbs belong to them.	The outer boulevard is their breathing space; the suburbs belong to them.	true	256.1	261.46	23.924501
3889_9915_000008_000003	There they are eternally playing truant.	There they are eternally playing truant.	true	261.71	264.19	24.546442
3889_9915_000008_000004	There they innocently sing their repertory of dirty songs.	There they innocently sing their repertory of dirty songs.	true	264.38	268.06	22.887066
3889_9915_000008_000005	There they are, or rather, there they exist, far from every eye, in the sweet light of May or June, kneeling round a hole in the ground, snapping marbles with their thumbs, quarrelling over half-farthings, irresponsible, volatile, free and happy; and, no sooner do they catch sight of you than they recollect that they have an industry, and that they must earn their living, and they offer to sell you an old woollen stocking filled with cockchafers, or a bunch of lilacs.	There they are, or rather, there they exist, far from every eye, in the sweet light of May or June, kneeling round a hole in the ground, snapping marbles with their thumbs, quarrelling over half farthings, irresponsible, volatile, free and happy; and, no sooner do they catch sight of you than they recollect that they have an industry, and that they must earn their living, and they offer to sell you an old woollen stocking filled with cockchafers, or a bunch of lilacs.	false	268.28	297.61	23.052067
3889_9915_000008_000006	These encounters with strange children are one of the charming and at the same time poignant graces of the environs of Paris.	These encounters with strange children are one of the charming and at the same time poignant graces of the environs of Paris.	true	297.98	305.47	20
3889_9915_000009_000000	Sometimes there are little girls among the throng of boys,--are they their sisters?--who are almost young maidens, thin, feverish, with sunburnt hands, covered with freckles, crowned with poppies and ears of rye, gay, haggard, barefooted.	Sometimes there are little girls among the throng of boys,--are they their sisters?--who are almost young maidens, thin, feverish, with sunburnt hands, covered with freckles, crowned with poppies and ears of rye, gay, haggard, barefooted.	true	306.17	321.61	22.061184
3889_9915_000009_000001	They can be seen devouring cherries among the wheat.	They can be seen devouring cherries among the wheat.	true	321.95	324.91	21.912914
3889_9915_000009_000002	In the evening they can be heard laughing.	In the evening they can be heard laughing.	true	325.19	327.07	21.3179
3889_9915_000009_000003	These groups, warmly illuminated by the full glow of midday, or indistinctly seen in the twilight, occupy the thoughtful man for a very long time, and these visions mingle with his dreams.	These groups, warmly illuminated by the full glow of midday, or indistinctly seen in the twilight, occupy the thoughtful man for a very long time, and these visions mingle with his dreams.	false	327.47	339.07	21.40196
3889_9915_000010_000000	Paris, centre, banlieue, circumference; this constitutes all the earth to those children.	Paris, centre, banlieue, circumference; this constitutes all the earth to those children.	true	340.04	347.41	21.104126
3889_9915_000010_000001	They never venture beyond this.	They never venture beyond this.	true	347.69	349.54	22.881666
3889_9915_000010_000002	They can no more escape from the Parisian atmosphere than fish can escape from the water.	They can no more escape from the Parisian atmosphere than fish can escape from the water.	true	349.64	354.01	21.682863
3889_9915_000010_000003	For them, nothing exists two leagues beyond the barriers: Ivry, Gentilly, Arcueil, Belleville, Aubervilliers, Menilmontant, Choisy-le-Roi, Billancourt, Mendon, Issy, Vanvre, Sevres, Puteaux, Neuilly, Gennevilliers, Colombes, Romainville, Chatou, Asnieres, Bougival, Nanterre, Enghien, Noisy-le-Sec, Nogent, Gournay, Drancy, Gonesse; the universe ends there.	For them, nothing exists two leagues beyond the barriers: Ivry, Gentilly, Arcueil, Belleville, Aubervilliers, Menilmontant, Choisy le Roi, Billancourt, Mendon, Issy, Vanvre, Sevres, Puteaux, Neuilly, Gennevilliers, Colombes, Romainville, Chatou, Asnieres, Bougival, Nanterre, Enghien, Noisy le Sec, Nogent, Gournay, Drancy, Gonesse; the universe ends there.	false	354.47	391	20.316093
3889_9915_000011_000000	CHAPTER VI--A BIT OF HISTORY	CHAPTER six-A BIT OF HISTORY	true	392.57	395.05	25.276714
3889_9915_000012_000000	At the epoch, nearly contemporary by the way, when the action of this book takes place, there was not, as there is to-day, a policeman at the corner of every street (a benefit which there is no time to discuss here); stray children abounded in Paris.	At the epoch, nearly contemporary by the way, when the action of this book takes place, there was not, as there is to day, a policeman at the corner of every street (a benefit which there is no time to discuss here); stray children abounded in Paris.	false	395.69	411.22	21.61786
3889_9915_000012_000001	The statistics give an average of two hundred and sixty homeless children picked up annually at that period, by the police patrols, in unenclosed lands, in houses in process of construction, and under the arches of the bridges.	The statistics give an average of two hundred and sixty homeless children picked up annually at that period, by the police patrols, in unenclosed lands, in houses in process of construction, and under the arches of the bridges.	true	412.04	425.14	20
3889_9915_000012_000002	One of these nests, which has become famous, produced "the swallows of the bridge of Arcola." This is, moreover, the most disastrous of social symptoms.	One of these nests, which has become famous, produced "the swallows of the bridge of Arcola." This is, moreover, the most disastrous of social symptoms.	true	425.48	435.31	21.658834
3889_9915_000012_000003	All crimes of the man begin in the vagabondage of the child.	All crimes of the man begin in the vagabondage of the child.	false	435.35	441.24	18.59903
3889_9915_000013_000000	Let us make an exception in favor of Paris, nevertheless.	Let us make an exception in favor of Paris, nevertheless.	true	441.24	445.3	22.638847
3889_9915_000013_000001	In a relative measure, and in spite of the souvenir which we have just recalled, the exception is just.	In a relative measure, and in spite of the souvenir which we have just recalled, the exception is just.	true	445.73	452.08	24.012402
3889_9915_000013_000002	While in any other great city the vagabond child is a lost man, while nearly everywhere the child left to itself is, in some sort, sacrificed and abandoned to a kind of fatal immersion in the public vices which devour in him honesty and conscience, the street boy of Paris, we insist on this point, however defaced and injured on the surface, is almost intact on the interior.	While in any other great city the vagabond child is a lost man, while nearly everywhere the child left to itself is, in some sort, sacrificed and abandoned to a kind of fatal immersion in the public vices which devour in him honesty and conscience, the street boy of Paris, we insist on this point, however defaced and injured on the surface, is almost intact on the interior.	true	452.21	476.2	21.988356
3889_9915_000013_000003	It is a magnificent thing to put on record, and one which shines forth in the splendid probity of our popular revolutions, that a certain incorruptibility results from the idea which exists in the air of Paris, as salt exists in the water of the ocean.	It is a magnificent thing to put on record, and one which shines forth in the splendid probity of our popular revolutions, that a certain incorruptibility results from the idea which exists in the air of Paris, as salt exists in the water of the ocean.	true	476.72	493.09	22.93333
3889_9915_000013_000004	To breathe Paris preserves the soul.	To breathe Paris preserves the soul.	true	493.43	496.36	19.799726
3889_9915_000014_000000	What we have just said takes away nothing of the anguish of heart which one experiences every time that one meets one of these children around whom one fancies that he beholds floating the threads of a broken family.	What we have just said takes away nothing of the anguish of heart which one experiences every time that one meets one of these children around whom one fancies that he beholds floating the threads of a broken family.	true	497.75	510.4	23
3889_9915_000014_000001	In the civilization of the present day, incomplete as it still is, it is not a very abnormal thing to behold these fractured families pouring themselves out into the darkness, not knowing clearly what has become of their children, and allowing their own entrails to fall on the public highway.	In the civilization of the present day, incomplete as it still is, it is not a very abnormal thing to behold these fractured families pouring themselves out into the darkness, not knowing clearly what has become of their children, and allowing their own entrails to fall on the public highway.	true	511.16	527.89	21.647
3889_9915_000014_000002	Hence these obscure destinies.	Hence these obscure destinies.	true	529.25	531.07	20.854954
3889_9915_000014_000003	This is called, for this sad thing has given rise to an expression, "to be cast on the pavements of Paris."	This is called, for this sad thing has given rise to an expression, "to be cast on the pavements of Paris."	false	531.62	538.39	20.866457
3889_9915_000015_000000	Let it be said by the way, that this abandonment of children was not discouraged by the ancient monarchy.	Let it be said by the way, that this abandonment of children was not discouraged by the ancient monarchy.	true	539.36	544.9	21.667324
3889_9915_000015_000001	A little of Egypt and Bohemia in the lower regions suited the upper spheres, and compassed the aims of the powerful.	A little of Egypt and Bohemia in the lower regions suited the upper spheres, and compassed the aims of the powerful.	true	545.3	551.89	23.029505
3889_9915_000015_000002	The hatred of instruction for the children of the people was a dogma.	The hatred of instruction for the children of the people was a dogma.	true	552.26	556.065	22.527458
3889_9915_000015_000003	What is the use of "half-lights"?	What is the use of "half lights"?	true	556.065	558.04	18.681309
3889_9915_000015_000004	Such was the countersign. Now, the erring child is the corollary of the ignorant child.	Such was the countersign. Now, the erring child is the corollary of the ignorant child.	true	558.44	565.09	22.42175
3889_9915_000016_000000	Besides this, the monarchy sometimes was in need of children, and in that case it skimmed the streets.	Besides this, the monarchy sometimes was in need of children, and in that case it skimmed the streets.	true	566.03	572.26	22.596931
3889_9915_000017_000000	Under Louis XIV., not to go any further back, the king rightly desired to create a fleet.	Under Louis the fourteenth., not to go any further back, the king rightly desired to create a fleet.	true	573.53	580.2	23.481277
3889_9915_000017_000001	The idea was a good one.	The idea was a good one.	true	580.2	581.65	23.459063
3889_9915_000017_000002	But let us consider the means.	But let us consider the means.	true	582.17	584.16	20.6573
3889_9915_000017_000003	There can be no fleet, if, beside the sailing ship, that plaything of the winds, and for the purpose of towing it, in case of necessity, there is not the vessel which goes where it pleases, either by means of oars or of steam; the galleys were then to the marine what steamers are to-day.	There can be no fleet, if, beside the sailing ship, that plaything of the winds, and for the purpose of towing it, in case of necessity, there is not the vessel which goes where it pleases, either by means of oars or of steam; the galleys were then to the marine what steamers are to day.	false	584.16	602.02	20.292742
3889_9915_000017_000004	Therefore, galleys were necessary; but the galley is moved only by the galley-slave; hence, galley-slaves were required. Colbert had the commissioners of provinces and the parliaments make as many convicts as possible.	Therefore, galleys were necessary; but the galley is moved only by the galley slave; hence, galley slaves were required. Colbert had the commissioners of provinces and the parliaments make as many convicts as possible.	true	602.39	616.24	19.723179
3889_9915_000017_000005	The magistracy showed a great deal of complaisance in the matter.	The magistracy showed a great deal of complaisance in the matter.	false	616.52	620.71	21.67986
3889_9915_000017_000006	A man kept his hat on in the presence of a procession--it was a Huguenot attitude; he was sent to the galleys.	A man kept his hat on in the presence of a procession-it was a Huguenot attitude; he was sent to the galleys.	true	620.99	627.49	21.454073
