7959_109176_000002_000000	Borne on a gentle breeze, a large crane-fly comes sailing out of the wood.	Borne on a gentle breeze, a large crane fly comes sailing out of the wood.
7959_109176_000002_000001	It likes to cool its long legs, as it flies, by trailing them along the surface of the water.	It likes to cool its long legs, as it flies, by trailing them along the surface of the water.
7959_109176_000002_000002	The whirligigs are after it, but it easily avoids them.	The whirligigs are after it, but it easily avoids them.
7959_109176_000002_000003	Then comes a sudden surprise: a fish pops up its mouth, and closes its scissor-jaws with a snap on the insect's legs, and it disappears in the centre of a rocking series of rings.	Then comes a sudden surprise: a fish pops up its mouth, and closes its scissor jaws with a snap on the insect's legs, and it disappears in the centre of a rocking series of rings.
7959_109176_000003_000000	The lake is perfectly calm, its green-black surface smooth and shining, and full of drifting summer clouds.	The lake is perfectly calm, its green black surface smooth and shining, and full of drifting summer clouds.
7959_109176_000003_000001	The reeds are reflected in it and look double their height, and the trees mirror their branches there, seeming twice as leafy; and a red house with a white flagstaff on one of the banks becomes quite a little submarine palace.	The reeds are reflected in it and look double their height, and the trees mirror their branches there, seeming twice as leafy; and a red house with a white flagstaff on one of the banks becomes quite a little submarine palace.
7959_109176_000005_000000	It is in one of the valleys in the submarine mountainous region that this shoal of thousands of bleak lies.	It is in one of the valleys in the submarine mountainous region that this shoal of thousands of bleak lies.
7959_109176_000005_000001	It covers the area of a market-place, and makes the water alive for fathoms down.	It covers the area of a market place, and makes the water alive for fathoms down.
7959_109176_000006_000001	In front and behind, the valley winds on between the hill-sides until it widens out and finally loses itself in the barren, sandy desert.	In front and behind, the valley winds on between the hill sides until it widens out and finally loses itself in the barren, sandy desert.
7959_109176_000007_000000	Suddenly, at the end of the neighbouring valley, the water seethes and foams.	Suddenly, at the end of the neighbouring valley, the water seethes and foams.
7959_109176_000007_000001	It is cleft incessantly from bottom to surface, bubbles rise and whirlpools are formed, and a long strip of lake foams and spurts.	It is cleft incessantly from bottom to surface, bubbles rise and whirlpools are formed, and a long strip of lake foams and spurts.
7959_109176_000008_000000	It is not like a single large animal darting forward with rapidly twisting tail, and leaving a wake and waves behind it; but a general effervescence that makes the depths gleam with millions of scales.	It is not like a single large animal darting forward with rapidly twisting tail, and leaving a wake and waves behind it; but a general effervescence that makes the depths gleam with millions of scales.
7959_109176_000010_000000	They go together in a large company, like soldiers in an army, rows of them above, beside, and behind one another.	They go together in a large company, like soldiers in an army, rows of them above, beside, and behind one another.
7959_109176_000011_000000	With their uppermost layer only a couple of inches below the surface of the water they hasten on.	With their uppermost layer only a couple of inches below the surface of the water they hasten on.
7959_109176_000011_000001	Then all turn at once, changing from the long, narrow marching column into compact formation.	Then all turn at once, changing from the long, narrow marching column into compact formation.
7959_109176_000011_000002	A fresh signal, inaudible, imperceptible to all but themselves, and once more, in a trice, the narrow, smoothly-gliding hunting-column is reformed.	A fresh signal, inaudible, imperceptible to all but themselves, and once more, in a trice, the narrow, smoothly gliding hunting column is reformed.
7959_109176_000012_000000	Just as they twist and turn in the horizontal plane, so do they in the vertical.	Just as they twist and turn in the horizontal plane, so do they in the vertical.
7959_109176_000012_000001	They go suddenly and headlong from the surface to the depths, spinning out from their compact mass a long, living thread.	They go suddenly and headlong from the surface to the depths, spinning out from their compact mass a long, living thread.
7959_109176_000014_000001	Now they are in the valley where it lies.	Now they are in the valley where it lies.
7959_109176_000015_000000	The lively little freshwater herring as yet suspect no danger; they are in constant motion, occupied in snapping up the fallen, half-drowned insects.	The lively little freshwater herring as yet suspect no danger; they are in constant motion, occupied in snapping up the fallen, half drowned insects.
7959_109176_000015_000001	Noses are pushed up, and little thimble-like mouths open; the water streams in, and with it the food.	Noses are pushed up, and little thimble like mouths open; the water streams in, and with it the food.
7959_109176_000015_000002	An eager interchange from bottom to surface goes on; for when the upper layer is satiated, it likes to enjoy its feeling of well-being in peace, until voracity once more makes them all rivals.	An eager interchange from bottom to surface goes on; for when the upper layer is satiated, it likes to enjoy its feeling of well-being in peace, until voracity once more makes them all rivals.
7959_109176_000016_000000	The splash of the waves on the surface lifts the gluttons up and down, while the ground-swell rocks the satiated to rest.	The splash of the waves on the surface lifts the gluttons up and down, while the ground swell rocks the satiated to rest.
7959_109176_000017_000000	The perch have quickened their pace; involuntarily the speed is increased; they already scent their prey.	The perch have quickened their pace; involuntarily the speed is increased; they already scent their prey.
7959_109176_000018_000000	Foremost of the company, with a dark-golden, high-backed leader at their head, swim a couple of hundred of the finest perch.	Foremost of the company, with a dark golden, high backed leader at their head, swim a couple of hundred of the finest perch.
7959_109176_000018_000002	They lead, and with frolicsome eagerness push past one another, so as to be the first to arrive.	They lead, and with frolicsome eagerness push past one another, so as to be the first to arrive.
7959_109176_000019_000000	After them comes the great mass of the horde, big, heavily-laden craft, their round backs and swelling bellies testifying to their success in their toil for material needs.	After them comes the great mass of the horde, big, heavily laden craft, their round backs and swelling bellies testifying to their success in their toil for material needs.
7959_109176_000019_000002	Sheaves of silvery-gleaming rays flicker far out in their wake.	Sheaves of silvery gleaming rays flicker far out in their wake.
7959_109176_000021_000000	For the present the whole flock keeps to the bottom, darting along with dorsal fin erect, the stiff spines bristling menacingly.	For the present the whole flock keeps to the bottom, darting along with dorsal fin erect, the stiff spines bristling menacingly.
7959_109176_000021_000001	It is as well to have bayonets fixed in case of the sudden appearance of a pike.	It is as well to have bayonets fixed in case of the sudden appearance of a pike.
7959_109176_000022_000000	All at once the van slips away from the rest, and the latter have to exert themselves to catch up, twisting and turning their tails, and unfurling the stiff sail of their dorsal fin.	All at once the van slips away from the rest, and the latter have to exert themselves to catch up, twisting and turning their tails, and unfurling the stiff sail of their dorsal fin.
7959_109176_000022_000001	There must be nothing now to check their speed; fair-weather sailing is over, and the privateering expedition has begun.	There must be nothing now to check their speed; fair weather sailing is over, and the privateering expedition has begun.
7959_109176_000023_000000	The certainty of booty fills them all.	The certainty of booty fills them all.
7959_109176_000024_000001	All order among the assailants instantly ceases, and each member thinks only of its own mouth, and cares for nothing but getting it filled.	All order among the assailants instantly ceases, and each member thinks only of its own mouth, and cares for nothing but getting it filled.
7959_109176_000025_000000	Like yellow flashes of water-lightning the perch dart into the shoal of little fish, and like grain among a flock of chickens, masses of bleak disappear into their mouths.	Like yellow flashes of water lightning the perch dart into the shoal of little fish, and like grain among a flock of chickens, masses of bleak disappear into their mouths.
7959_109176_000025_000001	They kill and devour--and it will be still worse when the rear-guard comes up.	They kill and devour-and it will be still worse when the rear guard comes up.
7959_109176_000026_000000	Now they arrive, and the alarm in the swarm of bleak below spreads with magical swiftness to the upper layers, where the bewildered little creatures make off at full speed.	Now they arrive, and the alarm in the swarm of bleak below spreads with magical swiftness to the upper layers, where the bewildered little creatures make off at full speed.
7959_109176_000026_000001	Gleam after gleam flashes up as the little shining fish, uncertain of their way, twist and turn about.	Gleam after gleam flashes up as the little shining fish, uncertain of their way, twist and turn about.
7959_109176_000026_000002	Each makes itself as long and thin as it can, so as to show as little as possible, and disappear, as it were, in the water.	Each makes itself as long and thin as it can, so as to show as little as possible, and disappear, as it were, in the water.
7959_109176_000027_000000	But now the fierce horde becomes still fiercer.	But now the fierce horde becomes still fiercer.
7959_109176_000027_000001	The rear-guard overtakes the fugitives and cuts off their retreat; and smack after smack is heard after their charge.	The rear guard overtakes the fugitives and cuts off their retreat; and smack after smack is heard after their charge.
7959_109176_000028_000000	The swarm of bleak scatters in wild panic.	The swarm of bleak scatters in wild panic.
7959_109176_000028_000002	They tumble over one another and try in their bewilderment which can leap highest and farthest.	They tumble over one another and try in their bewilderment which can leap highest and farthest.
7959_109176_000028_000003	They rise like flying-fish out of the water with a flash, and once more disappear with a splash into the water.	They rise like flying fish out of the water with a flash, and once more disappear with a splash into the water.
7959_109176_000028_000004	There is a splash when they rise, and a splash when they again reach the surface of the water; making a sound like the falling of torrents of rain.	There is a splash when they rise, and a splash when they again reach the surface of the water; making a sound like the falling of torrents of rain.
7959_109176_000029_000000	Hell is beneath them in the water!	Hell is beneath them in the water!
7959_109176_000029_000001	The yellow devils not only menace them from the side; they come upon them from all directions.	The yellow devils not only menace them from the side; they come upon them from all directions.
7959_109176_000029_000002	When they descend in crowds from their flight into the air, they grow stiff with terror on finding themselves face to face with great, amber eyes that seem starting out of their sockets to go greedily hunting on their own account.	When they descend in crowds from their flight into the air, they grow stiff with terror on finding themselves face to face with great, amber eyes that seem starting out of their sockets to go greedily hunting on their own account.
7959_109176_000029_000003	Then a mouth opens, shoots out a pair of concertina-like lips, and changes into a funnel; and the poor little fish disappear into a chasm, like threads into a vacuum cleaner.	Then a mouth opens, shoots out a pair of concertina like lips, and changes into a funnel; and the poor little fish disappear into a chasm, like threads into a vacuum cleaner.
7959_109176_000030_000000	Above the spot a cloud of terns is circling.	Above the spot a cloud of terns is circling.
7959_109176_000030_000001	They fly low with half-extended legs and drooping wings, ready to dart down.	They fly low with half extended legs and drooping wings, ready to dart down.
7959_109176_000030_000002	Sometimes they make a catch, sometimes miss their aim, but have the good fortune to take a fish that inadvertently appears close by; indeed the bleak often leap straight into the birds' open beak.	Sometimes they make a catch, sometimes miss their aim, but have the good fortune to take a fish that inadvertently appears close by; indeed the bleak often leap straight into the birds' open beak.
7959_109176_000030_000003	The birds hold them at all sorts of angles in their beak, and fly away with them, shrieking and screaming, pursued by their fellows.	The birds hold them at all sorts of angles in their beak, and fly away with them, shrieking and screaming, pursued by their fellows.
7959_109176_000031_000000	Poor little bleak! they were so pretty to look at.	Poor little bleak! they were so pretty to look at.
7959_109176_000031_000001	An emerald green colour extended from the back right over the head and nose; and the rims of their eyes when they blinked could sparkle and shine like the gem itself.	An emerald green colour extended from the back right over the head and nose; and the rims of their eyes when they blinked could sparkle and shine like the gem itself.
7959_109176_000031_000002	Their shining breast was whiter than a swan's, and their plump sides gleamed and sparkled like ice under a wintry moon.	Their shining breast was whiter than a swan's, and their plump sides gleamed and sparkled like ice under a wintry moon.
7959_109176_000033_000000	A boat lay anchored a few hundred yards off.	A boat lay anchored a few hundred yards off.
7959_109176_000033_000001	In it was an elderly man.	In it was an elderly man.
7959_109176_000034_000000	An angler this.	An angler this.
7959_109176_000034_000001	He had been out since early morning, and had a delightful day.	He had been out since early morning, and had a delightful day.
7959_109176_000035_000000	Not a single bite.	Not a single bite.
7959_109176_000035_000001	But what did that matter?	But what did that matter?
7959_109176_000036_000000	He was lying now at the bottom of the boat, dreaming.	He was lying now at the bottom of the boat, dreaming.
7959_109176_000037_000000	He was a regular visitor to the lake.	He was a regular visitor to the lake.
7959_109176_000037_000001	His ancestors' love of a free, out-of-door life had entered into his blood.	His ancestors' love of a free, out of door life had entered into his blood.
7959_109176_000038_000000	It is well known that it takes three generations to make a gentleman; but it would take three times as many to create, out of a race that ever since the morning of time had lived out of doors, a generation that did not care to handle either gun or rod.	It is well known that it takes three generations to make a gentleman; but it would take three times as many to create, out of a race that ever since the morning of time had lived out of doors, a generation that did not care to handle either gun or rod.
7959_109176_000039_000000	In his youth his gun had been his best friend; but the chase demands much of legs and muscles and heart.	In his youth his gun had been his best friend; but the chase demands much of legs and muscles and heart.
7959_109176_000039_000001	When a man is no longer in his prime, he should beware of paying ardent court to Dame Diana.	When a man is no longer in his prime, he should beware of paying ardent court to Dame Diana.
7959_109176_000039_000002	In her suite--it is useless to deny it--the old man is seldom looked upon with favour: he has had his day.	In her suite-it is useless to deny it-the old man is seldom looked upon with favour: he has had his day.
7959_109176_000039_000003	But Father Neptune clasps him rapturously in his wet embrace, and sets the fish around his boat leaping and playing.	But Father Neptune clasps him rapturously in his wet embrace, and sets the fish around his boat leaping and playing.
7959_109176_000040_000000	It was thus in his later years that his fishing rod had become the old man's joy and companion.	It was thus in his later years that his fishing rod had become the old man's joy and companion.
7959_109176_000041_000000	Season after season he made his weekly journey from town by rail, and then drove out to the lake.	Season after season he made his weekly journey from town by rail, and then drove out to the lake.
7959_109176_000042_000000	The weather to-day, from a fisherman's point of view, is the worst possible.	The weather to day, from a fisherman's point of view, is the worst possible.
7959_109176_000042_000001	The July sun is shining hotly, and sends its beams deep down into the water.	The July sun is shining hotly, and sends its beams deep down into the water.
7959_109176_000043_000000	The lake slumbers.	The lake slumbers.
7959_109176_000043_000001	There is a bottle-green hue above the deep water, and a lilac shade in the shallows; but over the sandy bottom the colour is drab.	There is a bottle green hue above the deep water, and a lilac shade in the shallows; but over the sandy bottom the colour is drab.
7959_109176_000043_000002	Far off a flock of wild ducks rising raise some little, gentle waves, that look so blue, so blue!	Far off a flock of wild ducks rising raise some little, gentle waves, that look so blue, so blue!
