7959_109176_000000_000000	Here a great fringe of forest encircled the lake, and Grim turned headlong back.	Here a great fringe of forest encircled the lake, and Grim turned headlong back.	false	3.27	27.51	24.77443
7959_109176_000001_000000	IV: THE MARAUDERS	i v: THE MARAUDERS	false	27.51	31.84	22.917196
7959_109176_000002_000000	Borne on a gentle breeze, a large crane-fly comes sailing out of the wood.	Borne on a gentle breeze, a large crane fly comes sailing out of the wood.	true	32.75	38.47	24.97833
7959_109176_000002_000001	It likes to cool its long legs, as it flies, by trailing them along the surface of the water.	It likes to cool its long legs, as it flies, by trailing them along the surface of the water.	true	38.9	45.34	21
7959_109176_000002_000002	The whirligigs are after it, but it easily avoids them.	The whirligigs are after it, but it easily avoids them.	true	45.71	49.78	27.791248
7959_109176_000002_000003	Then comes a sudden surprise: a fish pops up its mouth, and closes its scissor-jaws with a snap on the insect's legs, and it disappears in the centre of a rocking series of rings.	Then comes a sudden surprise: a fish pops up its mouth, and closes its scissor jaws with a snap on the insect's legs, and it disappears in the centre of a rocking series of rings.	true	50.33	65.29	25.98832
7959_109176_000003_000000	The lake is perfectly calm, its green-black surface smooth and shining, and full of drifting summer clouds.	The lake is perfectly calm, its green black surface smooth and shining, and full of drifting summer clouds.	true	66.44	76.36	23.545012
7959_109176_000003_000001	The reeds are reflected in it and look double their height, and the trees mirror their branches there, seeming twice as leafy; and a red house with a white flagstaff on one of the banks becomes quite a little submarine palace.	The reeds are reflected in it and look double their height, and the trees mirror their branches there, seeming twice as leafy; and a red house with a white flagstaff on one of the banks becomes quite a little submarine palace.	true	76.7	93.31	25.9775
7959_109176_000004_000000	More crane-flies arrive, and circle after circle breaks the stillness of the water, just as mole-hills break the uniform smoothness of the meadow, as fishes' mouths dart up by the score side by side.	More crane flies arrive, and circle after circle breaks the stillness of the water, just as mole hills break the uniform smoothness of the meadow, as fishes' mouths dart up by the score side by side.	false	94.1	110.71	24.083567
7959_109176_000005_000000	It is in one of the valleys in the submarine mountainous region that this shoal of thousands of bleak lies.	It is in one of the valleys in the submarine mountainous region that this shoal of thousands of bleak lies.	true	111.47	119.23	21
7959_109176_000005_000001	It covers the area of a market-place, and makes the water alive for fathoms down.	It covers the area of a market place, and makes the water alive for fathoms down.	true	119.42	126.52	24.847382
7959_109176_000006_000000	On the one side rises the forest of weed, like a fir-forest on a Norwegian mountain; on the other the thick green water-grass waves and bends like the corn on some fertile plain in Hungary.	On the one side rises the forest of weed, like a fir forest on a Norwegian mountain; on the other the thick green water grass waves and bends like the corn on some fertile plain in Hungary.	false	127.13	142.9	21.821768
7959_109176_000006_000001	In front and behind, the valley winds on between the hill-sides until it widens out and finally loses itself in the barren, sandy desert.	In front and behind, the valley winds on between the hill sides until it widens out and finally loses itself in the barren, sandy desert.	true	143.51	155.56	21.689577
7959_109176_000007_000000	Suddenly, at the end of the neighbouring valley, the water seethes and foams.	Suddenly, at the end of the neighbouring valley, the water seethes and foams.	true	156.77	163.08	23.074497
7959_109176_000007_000001	It is cleft incessantly from bottom to surface, bubbles rise and whirlpools are formed, and a long strip of lake foams and spurts.	It is cleft incessantly from bottom to surface, bubbles rise and whirlpools are formed, and a long strip of lake foams and spurts.	true	163.08	173.17	24.569714
7959_109176_000008_000000	It is not like a single large animal darting forward with rapidly twisting tail, and leaving a wake and waves behind it; but a general effervescence that makes the depths gleam with millions of scales.	It is not like a single large animal darting forward with rapidly twisting tail, and leaving a wake and waves behind it; but a general effervescence that makes the depths gleam with millions of scales.	true	174.05	188.41	20
7959_109176_000009_000000	It is the perch, the marauders of the lake, on a hunting expedition!	It is the perch, the marauders of the lake, on a hunting expedition!	false	189.02	195.64	28.369349
7959_109176_000010_000000	They go together in a large company, like soldiers in an army, rows of them above, beside, and behind one another.	They go together in a large company, like soldiers in an army, rows of them above, beside, and behind one another.	true	196.46	206.22	24.919615
7959_109176_000010_000001	There are hundreds upon hundreds of them, and yet a single unit.	There are hundreds upon hundreds of them, and yet a single unit.	false	206.22	212.44	21.121136
7959_109176_000011_000000	With their uppermost layer only a couple of inches below the surface of the water they hasten on.	With their uppermost layer only a couple of inches below the surface of the water they hasten on.	true	213.29	219.73	24.807953
7959_109176_000011_000001	Then all turn at once, changing from the long, narrow marching column into compact formation.	Then all turn at once, changing from the long, narrow marching column into compact formation.	true	220.07	227.26	23.991724
7959_109176_000011_000002	A fresh signal, inaudible, imperceptible to all but themselves, and once more, in a trice, the narrow, smoothly-gliding hunting-column is reformed.	A fresh signal, inaudible, imperceptible to all but themselves, and once more, in a trice, the narrow, smoothly gliding hunting column is reformed.	true	227.72	240.31	21.684473
7959_109176_000012_000000	Just as they twist and turn in the horizontal plane, so do they in the vertical.	Just as they twist and turn in the horizontal plane, so do they in the vertical.	true	241.19	247.12	24.493744
7959_109176_000012_000001	They go suddenly and headlong from the surface to the depths, spinning out from their compact mass a long, living thread.	They go suddenly and headlong from the surface to the depths, spinning out from their compact mass a long, living thread.	true	247.28	256.33	23.25599
7959_109176_000013_000000	And the thread becomes longer and longer, and thinner and thinner, while they pass through one of the narrows in the submarine mountainous region.	And the thread becomes longer and longer, and thinner and thinner, while they pass through one of the narrows in the submarine mountainous region.	false	257.03	266.89	20
7959_109176_000014_000000	It is the shoal of bleak they are after.	It is the shoal of bleak they are after.	false	267.77	270.73	22.958122
7959_109176_000014_000001	Now they are in the valley where it lies.	Now they are in the valley where it lies.	true	271.16	274.48	23.51242
7959_109176_000015_000000	The lively little freshwater herring as yet suspect no danger; they are in constant motion, occupied in snapping up the fallen, half-drowned insects.	The lively little freshwater herring as yet suspect no danger; they are in constant motion, occupied in snapping up the fallen, half drowned insects.	true	275.45	287.11	23.716087
7959_109176_000015_000001	Noses are pushed up, and little thimble-like mouths open; the water streams in, and with it the food.	Noses are pushed up, and little thimble like mouths open; the water streams in, and with it the food.	true	287.18	294.97	23.711897
7959_109176_000015_000002	An eager interchange from bottom to surface goes on; for when the upper layer is satiated, it likes to enjoy its feeling of well-being in peace, until voracity once more makes them all rivals.	An eager interchange from bottom to surface goes on; for when the upper layer is satiated, it likes to enjoy its feeling of well-being in peace, until voracity once more makes them all rivals.	true	295.07	308.56	22
7959_109176_000016_000000	The splash of the waves on the surface lifts the gluttons up and down, while the ground-swell rocks the satiated to rest.	The splash of the waves on the surface lifts the gluttons up and down, while the ground swell rocks the satiated to rest.	true	309.47	317.98	24.717485
7959_109176_000017_000000	The perch have quickened their pace; involuntarily the speed is increased; they already scent their prey.	The perch have quickened their pace; involuntarily the speed is increased; they already scent their prey.	true	319.07	327.22	25.19687
7959_109176_000018_000000	Foremost of the company, with a dark-golden, high-backed leader at their head, swim a couple of hundred of the finest perch.	Foremost of the company, with a dark golden, high backed leader at their head, swim a couple of hundred of the finest perch.	true	327.98	336.28	25.800474
7959_109176_000018_000001	They are at their strongest age, and in best possible condition, suffering neither from too great a weight of fatness, nor from the nervous lassitude of insufficient nourishment.	They are at their strongest age, and in best possible condition, suffering neither from too great a weight of fatness, nor from the nervous lassitude of insufficient nourishment.	false	336.62	348.43	22.7518
7959_109176_000018_000002	They lead, and with frolicsome eagerness push past one another, so as to be the first to arrive.	They lead, and with frolicsome eagerness push past one another, so as to be the first to arrive.	true	348.89	355.96	25.946848
7959_109176_000019_000000	After them comes the great mass of the horde, big, heavily-laden craft, their round backs and swelling bellies testifying to their success in their toil for material needs.	After them comes the great mass of the horde, big, heavily laden craft, their round backs and swelling bellies testifying to their success in their toil for material needs.	true	356.84	370.29	24.1428
7959_109176_000019_000001	There are perch among them of half an arm's-length, and the thickness of the biggest of wrists.	There are perch among them of half an arm's length, and the thickness of the biggest of wrists.	false	370.29	376.87	22.853292
7959_109176_000019_000002	Sheaves of silvery-gleaming rays flicker far out in their wake.	Sheaves of silvery gleaming rays flicker far out in their wake.	true	377.18	382	21.176655
7959_109176_000020_000000	The rest of the fierce horde are large and small mingled--hundreds of perch of half-a-pound's weight, and rank upon rank of others well over two pounds.	The rest of the fierce horde are large and small mingled-hundreds of perch of half a pound's weight, and rank upon rank of others well over two pounds.	false	382.76	393.4	25.046013
7959_109176_000021_000000	For the present the whole flock keeps to the bottom, darting along with dorsal fin erect, the stiff spines bristling menacingly.	For the present the whole flock keeps to the bottom, darting along with dorsal fin erect, the stiff spines bristling menacingly.	true	395.03	403.93	23.581718
7959_109176_000021_000001	It is as well to have bayonets fixed in case of the sudden appearance of a pike.	It is as well to have bayonets fixed in case of the sudden appearance of a pike.	true	404.36	409.99	27.146513
7959_109176_000022_000000	All at once the van slips away from the rest, and the latter have to exert themselves to catch up, twisting and turning their tails, and unfurling the stiff sail of their dorsal fin.	All at once the van slips away from the rest, and the latter have to exert themselves to catch up, twisting and turning their tails, and unfurling the stiff sail of their dorsal fin.	true	411.11	422.26	23
7959_109176_000022_000001	There must be nothing now to check their speed; fair-weather sailing is over, and the privateering expedition has begun.	There must be nothing now to check their speed; fair weather sailing is over, and the privateering expedition has begun.	true	422.51	431.26	23.664494
7959_109176_000023_000000	The certainty of booty fills them all.	The certainty of booty fills them all.	true	432.08	435.43	26.994638
7959_109176_000024_000000	The vanguard has led the marauders well; they have come _under_ their prey, and now shoot up among the unfortunate, unsuspecting bleak.	The vanguard has led the marauders well; they have come underscore under underscore their prey, and now shoot up among the unfortunate, unsuspecting bleak.	false	436.22	446.05	28.157263
7959_109176_000024_000001	All order among the assailants instantly ceases, and each member thinks only of its own mouth, and cares for nothing but getting it filled.	All order among the assailants instantly ceases, and each member thinks only of its own mouth, and cares for nothing but getting it filled.	true	446.15	456.1	22.69543
