5239_31629_000000_000000	"My interview with the captain brought out this account.	"My interview with the captain brought out this account.	false	0	8.37	25.556515
5239_31629_000000_000001	I left him in good spirits and receiving every comfort.	I left him in good spirits and receiving every comfort.	false	8.37	21.375	24.608511
5239_31629_000000_000002	The sight of his face would frighten anyone not prepared to see it."	The sight of his face would frighten anyone not prepared to see it."	false	21.375	28.74	27.689478
5239_31629_000001_000000	THE VIVID ACCOUNT OF M. ALBERT	THE VIVID ACCOUNT OF m ALBERT	false	28.74	30.73	17
5239_31629_000002_000000	To the accounts given by the survivors of the Roraima and the officers of the Etona, it will be well to add the following graphic story told by M. Albert, a planter of the island, the owner of an estate situated only a mile to the northeast of the burning crater of Mont Pelee.	To the accounts given by the survivors of the Roraima and the officers of the Etona, it will be well to add the following graphic story told by m Albert, a planter of the island, the owner of an estate situated only a mile to the northeast of the burning crater of Mont Pelee.	false	31.16	48.54	18
5239_31629_000002_000001	His escape from death had in it something of the marvellous.	His escape from death had in it something of the marvellous.	true	48.54	52.08	21
5239_31629_000002_000002	He says:	He says:	true	52.08	53.11	23.74534
5239_31629_000003_000000	"Mont Pelee had given warning of the destruction that was to come, but we, who had looked upon the volcano as harmless, did not believe that it would do more than spout fire and steam, as it had done on other occasions.	"Mont Pelee had given warning of the destruction that was to come, but we, who had looked upon the volcano as harmless, did not believe that it would do more than spout fire and steam, as it had done on other occasions.	true	53.27	65.26	17
5239_31629_000003_000001	It was a little before eight o'clock on the morning of May 8 that the end came.	It was a little before eight o'clock on the morning of may eighth that the end came.	true	65.3	70.18	22.24056
5239_31629_000003_000002	I was in one of the fields of my estate when the ground trembled under my feet, not as it does when the earth quakes, but as though a terrible struggle was going on within the mountain.	I was in one of the fields of my estate when the ground trembled under my feet, not as it does when the earth quakes, but as though a terrible struggle was going on within the mountain.	true	70.43	79.845	19
5239_31629_000003_000003	A terror came upon me, but I could not explain my fear.	A terror came upon me, but I could not explain my fear.	true	79.845	83.05	21
5239_31629_000004_000000	"As I stood still Mont Pelee seemed to shudder, and a moaning sound issued from its crater.	"As I stood still Mont Pelee seemed to shudder, and a moaning sound issued from its crater.	true	83.24	88.93	17
5239_31629_000004_000001	It was quite dark, the sun being obscured by ashes and fine volcanic dust.	It was quite dark, the sun being obscured by ashes and fine volcanic dust.	true	89.21	94.12	23.981848
5239_31629_000004_000002	The air was dead about me, so dead that the floating dust seemingly was not disturbed.	The air was dead about me, so dead that the floating dust seemingly was not disturbed.	true	94.28	99.76	22.957582
5239_31629_000004_000003	Then there was a rending, crashing, grinding noise, which I can only describe as sounding as though every bit of machinery in the world had suddenly broken down.	Then there was a rending, crashing, grinding noise, which I can only describe as sounding as though every bit of machinery in the world had suddenly broken down.	true	100.01	111.07	15
