5740_97593_000003_000000	Jimmy Scarecrow led a sad life in the winter.	Jimmy Scarecrow led a sad life in the winter.
5740_97593_000003_000001	Jimmy's greatest grief was his lack of occupation.	Jimmy's greatest grief was his lack of occupation.
5740_97593_000003_000002	He liked to be useful, and in winter he was absolutely of no use at all.	He liked to be useful, and in winter he was absolutely of no use at all.
5740_97593_000004_000000	He wondered how many such miserable winters he would have to endure.	He wondered how many such miserable winters he would have to endure.
5740_97593_000004_000001	He was a young Scarecrow, and this was his first one.	He was a young Scarecrow, and this was his first one.
5740_97593_000004_000003	Every morning, when the wintry sun peered like a hard yellow eye across the dry corn-stubble, Jimmy felt sad, but at Christmas time his heart nearly broke.	Every morning, when the wintry sun peered like a hard yellow eye across the dry corn stubble, Jimmy felt sad, but at Christmas time his heart nearly broke.
5740_97593_000005_000000	On Christmas Eve Santa Claus came in his sledge heaped high with presents, urging his team of reindeer across the field.	On Christmas Eve Santa Claus came in his sledge heaped high with presents, urging his team of reindeer across the field.
5740_97593_000005_000001	He was on his way to the farmhouse where Betsey lived with her Aunt Hannah.	He was on his way to the farmhouse where Betsey lived with her Aunt Hannah.
5740_97593_000006_000001	Santa Claus had a large wax doll-baby for her on his arm, tucked up against the fur collar of his coat.	Santa Claus had a large wax doll baby for her on his arm, tucked up against the fur collar of his coat.
5740_97593_000006_000002	He was afraid to trust it in the pack, lest it get broken.	He was afraid to trust it in the pack, lest it get broken.
5740_97593_000007_000001	Here I am!" he cried out, but Santa Claus did not hear him.	Here I am!" he cried out, but Santa Claus did not hear him.
5740_97593_000008_000000	"Santa Claus, please give me a little present.	"Santa Claus, please give me a little present.
5740_97593_000009_000000	Then Jimmy Scarecrow stood in the corn-stubble and shook with sobs until his joints creaked.	Then Jimmy Scarecrow stood in the corn stubble and shook with sobs until his joints creaked.
5740_97593_000009_000002	But he was mistaken.	But he was mistaken.
5740_97593_000011_000000	"Aunt Hannah?" said she.	"Aunt Hannah?" said she.
5740_97593_000011_000001	Aunt Hannah was making a crazy patchwork quilt, and she frowned hard at a triangular piece of red silk and circular piece of pink, wondering how to fit them together.	Aunt Hannah was making a crazy patchwork quilt, and she frowned hard at a triangular piece of red silk and circular piece of pink, wondering how to fit them together.
5740_97593_000011_000002	"Well?" said she.	"Well?" said she.
5740_97593_000013_000000	"No, of course he didn't."	"No, of course he didn't."
5740_97593_000015_000000	"Because he's a Scarecrow.	"Because he's a Scarecrow.
5740_97593_000015_000001	Don't ask silly questions."	Don't ask silly questions."
5740_97593_000017_000002	Sometimes he almost vanished in the thick white storm.	Sometimes he almost vanished in the thick white storm.
5740_97593_000017_000004	Then she got up and spread it out over the sofa with an air of pride.	Then she got up and spread it out over the sofa with an air of pride.
5740_97593_000018_000001	I've got one for every bed in the house, and I've given four away.	I've got one for every bed in the house, and I've given four away.
5740_97593_000019_000002	She carried her new doll-baby smuggled up under her shawl.	She carried her new doll baby smuggled up under her shawl.
5740_97593_000020_000000	"Wish you Merry Christmas!" she said to Jimmy Scarecrow.	"Wish you Merry Christmas!" she said to Jimmy Scarecrow.
5740_97593_000021_000000	"Wish you the same," said Jimmy, but his voice was choked with sobs, and was also muffled, for his old hat had slipped down to his chin.	"Wish you the same," said Jimmy, but his voice was choked with sobs, and was also muffled, for his old hat had slipped down to his chin.
5740_97593_000021_000001	Betsey looked pitifully at the old hat fringed with icicles, like frozen tears, and the old snow-laden coat.	Betsey looked pitifully at the old hat fringed with icicles, like frozen tears, and the old snow laden coat.
5740_97593_000022_000000	"Thank you," said Jimmy Scarecrow faintly.	"Thank you," said Jimmy Scarecrow faintly.
5740_97593_000023_000000	"You're welcome," said she.	"You're welcome," said she.
5740_97593_000023_000001	"Keep her under your overcoat, so the snow won't wet her, and she won't catch cold, she's delicate."	"Keep her under your overcoat, so the snow won't wet her, and she won't catch cold, she's delicate."
5740_97593_000024_000000	"Yes, I will," said Jimmy Scarecrow, and he tried hard to bring one of his stiff, outstretched arms around to clasp the doll-baby.	"Yes, I will," said Jimmy Scarecrow, and he tried hard to bring one of his stiff, outstretched arms around to clasp the doll baby.
5740_97593_000025_000000	"Don't you feel cold in that old summer coat?" asked Betsey.	"Don't you feel cold in that old summer coat?" asked Betsey.
5740_97593_000027_000000	"You wait a minute," said Betsey, and was off across the field.	"You wait a minute," said Betsey, and was off across the field.
5740_97593_000028_000000	Jimmy Scarecrow stood in the corn-stubble, with the doll-baby under his coat and waited, and soon Betsey was back again with Aunt Hannah's crazy quilt trailing in the snow behind her.	Jimmy Scarecrow stood in the corn stubble, with the doll baby under his coat and waited, and soon Betsey was back again with Aunt Hannah's crazy quilt trailing in the snow behind her.
5740_97593_000029_000000	"Here," said she, "here is something to keep you warm," and she folded the crazy quilt around the Scarecrow and pinned it.	"Here," said she, "here is something to keep you warm," and she folded the crazy quilt around the Scarecrow and pinned it.
5740_97593_000030_000000	"Aunt Hannah wants to give it away if anybody wants it," she explained. "She's got so many crazy quilts in the house now she doesn't know what to do with them.	"Aunt Hannah wants to give it away if anybody wants it," she explained. "She's got so many crazy quilts in the house now she doesn't know what to do with them.
5740_97593_000031_000000	The bright flash of colours under Jimmy's hat-brim dazzled his eyes, and he felt a little alarmed.	The bright flash of colours under Jimmy's hat brim dazzled his eyes, and he felt a little alarmed.
5740_97593_000031_000001	"I hope this quilt is harmless if it IS crazy," he said.	"I hope this quilt is harmless if it IS crazy," he said.
5740_97593_000031_000002	But the quilt was warm, and he dismissed his fears. Soon the doll-baby whimpered, but he creaked his joints a little, and that amused it, and he heard it cooing inside his coat.	But the quilt was warm, and he dismissed his fears. Soon the doll baby whimpered, but he creaked his joints a little, and that amused it, and he heard it cooing inside his coat.
5740_97593_000032_000001	But after that the snow began to turn to rain, and the crazy quilt was soaked through and through: and not only that, but his coat and the poor doll-baby.	But after that the snow began to turn to rain, and the crazy quilt was soaked through and through: and not only that, but his coat and the poor doll baby.
5740_97593_000033_000002	It was after midnight, Christmas was over, and Santa was hastening home to the North Pole.	It was after midnight, Christmas was over, and Santa was hastening home to the North Pole.
5740_97593_000034_000000	"Santa Claus! dear Santa Claus!" cried Jimmy Scarecrow with a great sob, and that time Santa Claus heard him and drew rein.	"Santa Claus! dear Santa Claus!" cried Jimmy Scarecrow with a great sob, and that time Santa Claus heard him and drew rein.
5740_97593_000037_000000	"Who's me?" shouted Santa Claus.	"Who's me?" shouted Santa Claus.
5740_97593_000038_000000	"Jimmy Scarecrow!"	"Jimmy Scarecrow!"
5740_97593_000039_000001	"Have you been standing here ever since corn was ripe?" he asked pityingly, and Jimmy replied that he had.	"Have you been standing here ever since corn was ripe?" he asked pityingly, and Jimmy replied that he had.
5740_97593_000040_000000	"What's that over your shoulders?" Santa Claus continued, holding up his lantern.	"What's that over your shoulders?" Santa Claus continued, holding up his lantern.
5740_97593_000044_000000	"Nonsense!" cried Santa Claus.	"Nonsense!" cried Santa Claus.
5740_97593_000044_000001	"Let me see it!" And with that he pulled the doll-baby out from under the Scarecrow's coat, and patted its back, and shook it a little, and it began to cry, and then to crow.	"Let me see it!" And with that he pulled the doll baby out from under the Scarecrow's coat, and patted its back, and shook it a little, and it began to cry, and then to crow.
5740_97593_000044_000002	"It's all right," said Santa Claus.	"It's all right," said Santa Claus.
5740_97593_000044_000003	"This is the doll-baby I gave Betsey, and it is not at all delicate.	"This is the doll baby I gave Betsey, and it is not at all delicate.
5740_97593_000044_000004	It went through the measles, and the chicken-pox, and the mumps, and the whooping-cough, before it left the North Pole.	It went through the measles, and the chicken pox, and the mumps, and the whooping cough, before it left the North Pole.
5740_97593_000045_000000	"Get in, Jimmy Scarecrow, and come with me to the North Pole!" he cried.	"Get in, Jimmy Scarecrow, and come with me to the North Pole!" he cried.
5740_97593_000046_000000	"Please, how long shall I stay?" asked Jimmy Scarecrow.	"Please, how long shall I stay?" asked Jimmy Scarecrow.
5740_97593_000047_000000	"Why, you are going to live with me," replied Santa Claus.	"Why, you are going to live with me," replied Santa Claus.
5740_97593_000047_000001	"I've been looking for a person like you for a long time."	"I've been looking for a person like you for a long time."
5740_97593_000048_000000	"Are there any crows to scare away at the North Pole?	"Are there any crows to scare away at the North Pole?
5740_97593_000049_000000	"No," answered Santa Claus, "but I don't want you to scare away crows. I want you to scare away Arctic Explorers.	"No," answered Santa Claus, "but I don't want you to scare away crows. I want you to scare away Arctic Explorers.
5740_97593_000049_000001	I can keep you in work for a thousand years, and scaring away Arctic Explorers from the North Pole is much more important than scaring away crows from corn.	I can keep you in work for a thousand years, and scaring away Arctic Explorers from the North Pole is much more important than scaring away crows from corn.
5740_97593_000049_000002	Why, if they found the Pole, there wouldn't be a piece an inch long left in a week's time, and the earth would cave in like an apple without a core!	Why, if they found the Pole, there wouldn't be a piece an inch long left in a week's time, and the earth would cave in like an apple without a core!
5740_97593_000049_000003	They would whittle it all to pieces, and carry it away in their pockets for souvenirs.	They would whittle it all to pieces, and carry it away in their pockets for souvenirs.
5740_97593_000049_000004	Come along; I am in a hurry."	Come along; I am in a hurry."
5740_97593_000050_000000	"I will go on two conditions," said Jimmy.	"I will go on two conditions," said Jimmy.
5740_97593_000050_000001	"First, I want to make a present to Aunt Hannah and Betsey, next Christmas."	"First, I want to make a present to Aunt Hannah and Betsey, next Christmas."
5740_97593_000051_000000	"You shall make them any present you choose.	"You shall make them any present you choose.
5740_97593_000051_000001	What else?"	What else?"
5740_97593_000053_000001	"Just wait a minute."	"Just wait a minute."
5740_97593_000054_000000	Santa took his stylographic pen out of his pocket, went with his lantern close to one of the fence-posts, and wrote these words upon it:	Santa took his stylographic pen out of his pocket, went with his lantern close to one of the fence posts, and wrote these words upon it:
5740_97593_000055_000000	NOTICE TO CROWS	NOTICE TO CROWS
