7434_75939_000000_000001	Monsieur is Jealous of Guiche.	Monsieur is Jealous of Guiche.
7434_75939_000001_000000	Monsieur entered the room abruptly, as persons do who mean well and think they confer pleasure, or as those who hope to surprise some secret, the terrible reward of jealous people.	Monsieur entered the room abruptly, as persons do who mean well and think they confer pleasure, or as those who hope to surprise some secret, the terrible reward of jealous people.
7434_75939_000001_000003	The princess was dancing round him with a responsive smile, and the same air of alluring seductiveness.	The princess was dancing round him with a responsive smile, and the same air of alluring seductiveness.
7434_75939_000001_000006	The Comte de Guiche had no power to move; Madame remained in the middle of one of the figures and of an attitude, unable to utter a word.	The Comte de Guiche had no power to move; Madame remained in the middle of one of the figures and of an attitude, unable to utter a word.
7434_75939_000001_000007	The Chevalier de Lorraine, leaning his back against the doorway, smiled like a man in the very height of the frankest admiration.	The Chevalier de Lorraine, leaning his back against the doorway, smiled like a man in the very height of the frankest admiration.
7434_75939_000001_000008	The pallor of the prince, and the convulsive twitching of his hands and limbs, were the first symptoms that struck those present.	The pallor of the prince, and the convulsive twitching of his hands and limbs, were the first symptoms that struck those present.
7434_75939_000001_000009	A dead silence succeeded the merry music of the dance. The Chevalier de Lorraine took advantage of this interval to salute Madame and De Guiche most respectfully, affecting to join them together in his reverences as though they were the master and mistress of the house.	A dead silence succeeded the merry music of the dance. The Chevalier de Lorraine took advantage of this interval to salute Madame and De Guiche most respectfully, affecting to join them together in his reverences as though they were the master and mistress of the house.
7434_75939_000001_000010	Monsieur then approached them, saying, in a hoarse tone of voice, "I am delighted; I came here expecting to find you ill and low-spirited, and I find you abandoning yourself to new amusements; really, it is most fortunate.	Monsieur then approached them, saying, in a hoarse tone of voice, "I am delighted; I came here expecting to find you ill and low spirited, and I find you abandoning yourself to new amusements; really, it is most fortunate.
7434_75939_000003_000000	"And you are perfectly right," said the prince, coldly.	"And you are perfectly right," said the prince, coldly.
7434_75939_000003_000002	If you wish to dine without me you have your ladies.	If you wish to dine without me you have your ladies.
7434_75939_000004_000000	Madame felt the reproach and the lesson, and the color rushed to her face.	Madame felt the reproach and the lesson, and the color rushed to her face.
7434_75939_000004_000001	"Monsieur," she replied, "I was not aware, when I came to the court of France, that princesses of my rank were to be regarded as the women in Turkey are.	"Monsieur," she replied, "I was not aware, when I came to the court of France, that princesses of my rank were to be regarded as the women in Turkey are.
7434_75939_000005_000000	This repartee, which made Montalais and De Guiche smile, rekindled the prince's anger, no inconsiderable portion of which had already evaporated in words.	This repartee, which made Montalais and De Guiche smile, rekindled the prince's anger, no inconsiderable portion of which had already evaporated in words.
7434_75939_000008_000000	"Come," replied the prince, as his only answer to the remark, hurrying him away, and turning round with so hasty a movement that he almost ran against Madame.	"Come," replied the prince, as his only answer to the remark, hurrying him away, and turning round with so hasty a movement that he almost ran against Madame.
7434_75939_000009_000000	"Give me your opinion," exclaimed the prince.	"Give me your opinion," exclaimed the prince.
7434_75939_000010_000000	"Upon what?"	"Upon what?"
7434_75939_000011_000000	"Upon what is taking place here."	"Upon what is taking place here."
7434_75939_000013_000000	"It is abominable!	"It is abominable!
7434_75939_000013_000001	I cannot live in this manner."	I cannot live in this manner."
7434_75939_000014_000001	"We hoped to enjoy tranquillity after that madman Buckingham had left."	"We hoped to enjoy tranquillity after that madman Buckingham had left."
7434_75939_000021_000000	"Yes, yes," exclaimed the prince, exciting himself like a self-willed child; "but I will not endure it any longer, I must learn what is really going on."	"Yes, yes," exclaimed the prince, exciting himself like a self willed child; "but I will not endure it any longer, I must learn what is really going on."
7434_75939_000022_000000	"Oh, monseigneur, an exposure--"	"Oh, monseigneur, an exposure-"
7434_75939_000023_000001	Wait for me here, chevalier, wait for me here." The prince disappeared in the neighboring apartment and inquired of the gentleman in attendance if the queen-mother had returned from chapel.	Wait for me here, chevalier, wait for me here." The prince disappeared in the neighboring apartment and inquired of the gentleman in attendance if the queen mother had returned from chapel.
7434_75939_000024_000000	Anne of Austria felt that her happiness was now complete; peace restored to her family, a nation delighted with the presence of a young monarch who had shown an aptitude for affairs of great importance; the revenues of the state increased; external peace assured; everything seemed to promise a tranquil future.	Anne of Austria felt that her happiness was now complete; peace restored to her family, a nation delighted with the presence of a young monarch who had shown an aptitude for affairs of great importance; the revenues of the state increased; external peace assured; everything seemed to promise a tranquil future.
7434_75939_000024_000001	Her thoughts recurred, now and then, to the poor young nobleman whom she had received as a mother, and had driven away as a hard-hearted step-mother, and she sighed as she thought of him.	Her thoughts recurred, now and then, to the poor young nobleman whom she had received as a mother, and had driven away as a hard hearted step mother, and she sighed as she thought of him.
7434_75939_000025_000001	"Dear mother," he exclaimed hurriedly, closing the door, "things cannot go on as they are now."	"Dear mother," he exclaimed hurriedly, closing the door, "things cannot go on as they are now."
7434_75939_000026_000000	Anne of Austria raised her beautiful eyes towards him, and with an unmoved suavity of manner, said, "What do you allude to?"	Anne of Austria raised her beautiful eyes towards him, and with an unmoved suavity of manner, said, "What do you allude to?"
7434_75939_000027_000000	"I wish to speak of Madame."	"I wish to speak of Madame."
7434_75939_000028_000000	"Your wife?"	"Your wife?"
7434_75939_000029_000000	"Yes, madame."	"Yes, madame."
7434_75939_000030_000000	"I suppose that silly fellow Buckingham has been writing a farewell letter to her."	"I suppose that silly fellow Buckingham has been writing a farewell letter to her."
7434_75939_000031_000000	"Oh! yes, madame; of course, it is a question of Buckingham."	"Oh! yes, madame; of course, it is a question of Buckingham."
7434_75939_000032_000000	"Of whom else could it be, then? for that poor fellow was, wrongly enough, the object of your jealousy, and I thought--"	"Of whom else could it be, then? for that poor fellow was, wrongly enough, the object of your jealousy, and I thought-"
7434_75939_000033_000000	"My wife, madame, has already replaced the Duke of Buckingham."	"My wife, madame, has already replaced the Duke of Buckingham."
7434_75939_000034_000001	You are speaking very heedlessly."	You are speaking very heedlessly."
7434_75939_000035_000000	"No, no. Madame has so managed matters, that I am still jealous."	"No, no Madame has so managed matters, that I am still jealous."
7434_75939_000037_000000	"Is it possible you have not remarked it?	"Is it possible you have not remarked it?
7434_75939_000038_000000	The queen clapped her hands together, and began to laugh.	The queen clapped her hands together, and began to laugh.
7434_75939_000038_000001	"Philip," she said, "your jealousy is not merely a defect, it is a disease."	"Philip," she said, "your jealousy is not merely a defect, it is a disease."
7434_75939_000039_000000	"Whether a defect or a disease, madame, I am the sufferer from it."	"Whether a defect or a disease, madame, I am the sufferer from it."
7434_75939_000040_000001	You wish it to be said you are right in being jealous, when there is no ground whatever for your jealousy."	You wish it to be said you are right in being jealous, when there is no ground whatever for your jealousy."
7434_75939_000041_000000	"Of course, you will begin to say for this gentleman what you already said on the behalf of the other."	"Of course, you will begin to say for this gentleman what you already said on the behalf of the other."
7434_75939_000042_000000	"Because, Philip," said the queen dryly, "what you did for the other, you are going to do for this one."	"Because, Philip," said the queen dryly, "what you did for the other, you are going to do for this one."
7434_75939_000043_000000	The prince bowed, slightly annoyed.	The prince bowed, slightly annoyed.
7434_75939_000043_000001	"If I give you facts," he said, "will you believe me?"	"If I give you facts," he said, "will you believe me?"
7434_75939_000044_000000	"If it regarded anything else but jealousy, I would believe you without your bringing facts forward; but as jealousy is the case, I promise nothing."	"If it regarded anything else but jealousy, I would believe you without your bringing facts forward; but as jealousy is the case, I promise nothing."
7434_75939_000045_000000	"It is just the same as if your majesty were to desire me to hold my tongue, and sent me away unheard."	"It is just the same as if your majesty were to desire me to hold my tongue, and sent me away unheard."
7434_75939_000046_000000	"Far from it; you are my son, I owe you a mother's indulgence."	"Far from it; you are my son, I owe you a mother's indulgence."
7434_75939_000047_000000	"Oh, say what you think; you owe me as much indulgence as a madman deserves."	"Oh, say what you think; you owe me as much indulgence as a madman deserves."
7434_75939_000048_000000	"Do not exaggerate, Philip, and take care how you represent your wife to me as a woman of depraved mind--"	"Do not exaggerate, Philip, and take care how you represent your wife to me as a woman of depraved mind-"
7434_75939_000049_000000	"But facts, mother, facts!"	"But facts, mother, facts!"
7434_75939_000051_000000	"This morning at ten o'clock they were playing music in Madame's apartments."	"This morning at ten o'clock they were playing music in Madame's apartments."
7434_75939_000052_000000	"No harm in that, surely."	"No harm in that, surely."
7434_75939_000053_000001	I forgot to tell you, that, during the last ten days, he has never left her side."	I forgot to tell you, that, during the last ten days, he has never left her side."
7434_75939_000055_000000	"Very good," exclaimed the duke, "I expected you to say that.	"Very good," exclaimed the duke, "I expected you to say that.
7434_75939_000055_000001	Pray remember with precision the words you have just uttered.	Pray remember with precision the words you have just uttered.
7434_75939_000055_000002	This morning I took them by surprise, and showed my dissatisfaction in a very marked manner."	This morning I took them by surprise, and showed my dissatisfaction in a very marked manner."
