7434_75939_000000_000000	Chapter XXXII.	Chapter thirty two.	false	0.48	21.58	24.3996
7434_75939_000000_000001	Monsieur is Jealous of Guiche.	Monsieur is Jealous of Guiche.	true	21.68	23.86	22.948017
7434_75939_000001_000000	Monsieur entered the room abruptly, as persons do who mean well and think they confer pleasure, or as those who hope to surprise some secret, the terrible reward of jealous people.	Monsieur entered the room abruptly, as persons do who mean well and think they confer pleasure, or as those who hope to surprise some secret, the terrible reward of jealous people.	true	25.22	36.1	21.727232
7434_75939_000001_000001	Madame, almost out of her senses with joy at the first bars of music, was dancing in the most unrestrained manner, leaving the dinner, which had been already begun, unfinished.	Madame, almost out of her senses with joy at the first bars of music, was dancing in the most unrestrained manner, leaving the dinner, which had been already begun, unfinished.	false	36.44	46.48	24.218254
7434_75939_000001_000002	Her partner was M. de Guiche, who, with his arms raised, and his eyes half closed, was kneeling on one knee, like the Spanish dancers, with looks full of passion, and gestures of the most caressing character.	Her partner was m de Guiche, who, with his arms raised, and his eyes half closed, was kneeling on one knee, like the Spanish dancers, with looks full of passion, and gestures of the most caressing character.	false	47.12	59.56	21.334185
7434_75939_000001_000003	The princess was dancing round him with a responsive smile, and the same air of alluring seductiveness.	The princess was dancing round him with a responsive smile, and the same air of alluring seductiveness.	true	60.17	65.74	21.235926
7434_75939_000001_000004	Montalais stood by admiringly; La Valliere, seated in a corner of the room, looked on thoughtfully.	Montalais stood by admiringly; La Valliere, seated in a corner of the room, looked on thoughtfully.	false	66.32	72.52	21.250616
7434_75939_000001_000005	It is impossible to describe the effect which the presence of the prince produced upon this gleeful company, and it would be equally impossible to describe the effect which the sight of their happiness produced upon Philip.	It is impossible to describe the effect which the presence of the prince produced upon this gleeful company, and it would be equally impossible to describe the effect which the sight of their happiness produced upon Philip.	false	73.13	84.46	25.853287
7434_75939_000001_000006	The Comte de Guiche had no power to move; Madame remained in the middle of one of the figures and of an attitude, unable to utter a word.	The Comte de Guiche had no power to move; Madame remained in the middle of one of the figures and of an attitude, unable to utter a word.	true	85.04	92.71	22.679028
7434_75939_000001_000007	The Chevalier de Lorraine, leaning his back against the doorway, smiled like a man in the very height of the frankest admiration.	The Chevalier de Lorraine, leaning his back against the doorway, smiled like a man in the very height of the frankest admiration.	true	92.96	100.45	22
7434_75939_000001_000008	The pallor of the prince, and the convulsive twitching of his hands and limbs, were the first symptoms that struck those present.	The pallor of the prince, and the convulsive twitching of his hands and limbs, were the first symptoms that struck those present.	true	100.88	107.68	24.526424
7434_75939_000001_000009	A dead silence succeeded the merry music of the dance. The Chevalier de Lorraine took advantage of this interval to salute Madame and De Guiche most respectfully, affecting to join them together in his reverences as though they were the master and mistress of the house.	A dead silence succeeded the merry music of the dance. The Chevalier de Lorraine took advantage of this interval to salute Madame and De Guiche most respectfully, affecting to join them together in his reverences as though they were the master and mistress of the house.	true	108.17	123.7	23.29947
