7484_39971_000000_000000	Summary.	Summary.	false	0	0.21	11
7484_39971_000000_000001	Interest and discipline are correlative aspects of activity having an aim.	Interest and discipline are correlative aspects of activity having an aim.	false	0.21	1.89	23.632938
7484_39971_000000_000002	Interest means that one is identified with the objects which define the activity and which furnish the means and obstacles to its realization.	Interest means that one is identified with the objects which define the activity and which furnish the means and obstacles to its realization.	false	1.89	3.87	20
7484_39971_000000_000003	Any activity with an aim implies a distinction between an earlier incomplete phase and later completing phase; it implies also intermediate steps.	Any activity with an aim implies a distinction between an earlier incomplete phase and later completing phase; it implies also intermediate steps.	false	3.87	5.025	19.747145
7484_39971_000000_000004	To have an interest is to take things as entering into such a continuously developing situation, instead of taking them in isolation.	To have an interest is to take things as entering into such a continuously developing situation, instead of taking them in isolation.	false	5.025	5.16	10
7484_39971_000000_000005	The time difference between the given incomplete state of affairs and the desired fulfillment exacts effort in transformation, it demands continuity of attention and endurance.	The time difference between the given incomplete state of affairs and the desired fulfillment exacts effort in transformation, it demands continuity of attention and endurance.	false	5.16	7.95	20.965242
7484_39971_000000_000006	This attitude is what is practically meant by will.	This attitude is what is practically meant by will.	false	7.95	8.85	18
7484_39971_000000_000007	Discipline or development of power of continuous attention is its fruit.	Discipline or development of power of continuous attention is its fruit.	false	8.85	9.72	21
7484_39971_000000_000008	The significance of this doctrine for the theory of education is twofold.	The significance of this doctrine for the theory of education is twofold.	false	9.72	10.65	15.270559
7484_39971_000000_000009	On the one hand it protects us from the notion that mind and mental states are something complete in themselves, which then happen to be applied to some ready-made objects and topics so that knowledge results.	On the one hand it protects us from the notion that mind and mental states are something complete in themselves, which then happen to be applied to some ready made objects and topics so that knowledge results.	false	10.65	14.25	22.966105
7484_39971_000000_000010	It shows that mind and intelligent or purposeful engagement in a course of action into which things enter are identical.	It shows that mind and intelligent or purposeful engagement in a course of action into which things enter are identical.	false	14.25	15.12	13
7484_39971_000000_000011	Hence to develop and train mind is to provide an environment which induces such activity.	Hence to develop and train mind is to provide an environment which induces such activity.	false	15.12	17.88	21.802135
7484_39971_000000_000012	On the other side, it protects us from the notion that subject matter on its side is something isolated and independent.	On the other side, it protects us from the notion that subject matter on its side is something isolated and independent.	false	17.88	20.73	23.027876
7484_39971_000000_000013	It shows that subject matter of learning is identical with all the objects, ideas, and principles which enter as resources or obstacles into the continuous intentional pursuit of a course of action. The developing course of action, whose end and conditions are perceived, is the unity which holds together what are often divided into an independent mind on one side and an independent world of objects and facts on the other.	It shows that subject matter of learning is identical with all the objects, ideas, and principles which enter as resources or obstacles into the continuous intentional pursuit of a course of action. The developing course of action, whose end and conditions are perceived, is the unity which holds together what are often divided into an independent mind on one side and an independent world of objects and facts on the other.	false	20.73	27.48	20.065414
7484_39971_000001_000000	Chapter Eleven: Experience and Thinking	Chapter Eleven: Experience and Thinking	true	27.48	31.48	20.033276
7484_39971_000002_000000	1.	one.	true	32.39	33.13	19.849188
7484_39971_000002_000001	The Nature of Experience.	The Nature of Experience.	true	33.62	35.53	25.981977
7484_39971_000002_000002	The nature of experience can be understood only by noting that it includes an active and a passive element peculiarly combined.	The nature of experience can be understood only by noting that it includes an active and a passive element peculiarly combined.	true	36.29	44.89	25.05994
7484_39971_000002_000003	On the active hand, experience is trying--a meaning which is made explicit in the connected term experiment.	On the active hand, experience is trying-a meaning which is made explicit in the connected term experiment.	true	45.35	53.65	25.855083
7484_39971_000002_000004	On the passive, it is undergoing.	On the passive, it is undergoing.	true	54.29	56.8	23.197466
7484_39971_000002_000005	When we experience something we act upon it, we do something with it; then we suffer or undergo the consequences.	When we experience something we act upon it, we do something with it; then we suffer or undergo the consequences.	true	57.41	65.2	22.63764
7484_39971_000002_000006	We do something to the thing and then it does something to us in return: such is the peculiar combination.	We do something to the thing and then it does something to us in return: such is the peculiar combination.	true	65.54	73	23.39171
7484_39971_000002_000007	The connection of these two phases of experience measures the fruitfulness or value of the experience.	The connection of these two phases of experience measures the fruitfulness or value of the experience.	true	74.57	81.07	22.49657
7484_39971_000002_000008	Mere activity does not constitute experience.	Mere activity does not constitute experience.	true	81.44	84.73	26.339958
7484_39971_000002_000009	It is dispersive, centrifugal, dissipating.	It is dispersive, centrifugal, dissipating.	true	85.13	89.08	25.358452
7484_39971_000002_000010	Experience as trying involves change, but change is meaningless transition unless it is consciously connected with the return wave of consequences which flow from it.	Experience as trying involves change, but change is meaningless transition unless it is consciously connected with the return wave of consequences which flow from it.	true	89.66	101.74	21.135906
7484_39971_000002_000011	When an activity is continued into the undergoing of consequences, when the change made by action is reflected back into a change made in us, the mere flux is loaded with significance.	When an activity is continued into the undergoing of consequences, when the change made by action is reflected back into a change made in us, the mere flux is loaded with significance.	true	103.82	116.95	22.621521
7484_39971_000002_000012	We learn something.	We learn something.	true	117.35	118.78	18.778309
7484_39971_000002_000013	It is not experience when a child merely sticks his finger into a flame; it is experience when the movement is connected with the pain which he undergoes in consequence. Henceforth the sticking of the finger into flame means a burn.	It is not experience when a child merely sticks his finger into a flame; it is experience when the movement is connected with the pain which he undergoes in consequence. Henceforth the sticking of the finger into flame means a burn.	true	120.38	136.48	23.019186
7484_39971_000002_000014	Being burned is a mere physical change, like the burning of a stick of wood, if it is not perceived as a consequence of some other action.	Being burned is a mere physical change, like the burning of a stick of wood, if it is not perceived as a consequence of some other action.	true	136.88	146.2	21.622498
7484_39971_000002_000015	Blind and capricious impulses hurry us on heedlessly from one thing to another.	Blind and capricious impulses hurry us on heedlessly from one thing to another.	true	147.08	153.82	23.376266
7484_39971_000002_000016	So far as this happens, everything is writ in water.	So far as this happens, everything is writ in water.	true	154.22	158.17	24.355682
7484_39971_000002_000017	There is none of that cumulative growth which makes an experience in any vital sense of that term.	There is none of that cumulative growth which makes an experience in any vital sense of that term.	true	159.02	165.49	19.169588
7484_39971_000002_000018	On the other hand, many things happen to us in the way of pleasure and pain which we do not connect with any prior activity of our own. They are mere accidents so far as we are concerned.	On the other hand, many things happen to us in the way of pleasure and pain which we do not connect with any prior activity of our own. They are mere accidents so far as we are concerned.	true	165.95	178.75	21.975815
7484_39971_000002_000019	There is no before or after to such experience; no retrospect nor outlook, and consequently no meaning.	There is no before or after to such experience; no retrospect nor outlook, and consequently no meaning.	true	179.36	187.15	25.147846
7484_39971_000002_000020	We get nothing which may be carried over to foresee what is likely to happen next, and no gain in ability to adjust ourselves to what is coming--no added control.	We get nothing which may be carried over to foresee what is likely to happen next, and no gain in ability to adjust ourselves to what is coming-no added control.	true	188.24	199.15	21.740574
7484_39971_000002_000021	Only by courtesy can such an experience be called experience.	Only by courtesy can such an experience be called experience.	true	199.73	203.98	19.853899
7484_39971_000002_000022	To "learn from experience" is to make a backward and forward connection between what we do to things and what we enjoy or suffer from things in consequence.	To "learn from experience" is to make a backward and forward connection between what we do to things and what we enjoy or suffer from things in consequence.	true	204.5	214.81	21.47121
7484_39971_000002_000023	Under such conditions, doing becomes a trying; an experiment with the world to find out what it is like; the undergoing becomes instruction--discovery of the connection of things.	Under such conditions, doing becomes a trying; an experiment with the world to find out what it is like; the undergoing becomes instruction-discovery of the connection of things.	true	216.62	228.58	21.361237
7484_39971_000003_000000	Two conclusions important for education follow. (1) Experience is primarily an active-passive affair; it is not primarily cognitive.	Two conclusions important for education follow. (one) Experience is primarily an active passive affair; it is not primarily cognitive.	true	230.18	241.06	23.69727
7484_39971_000003_000001	But (2) the measure of the value of an experience lies in the perception of relationships or continuities to which it leads up.	But (two) the measure of the value of an experience lies in the perception of relationships or continuities to which it leads up.	true	241.46	250.75	20.685371
7484_39971_000003_000002	It includes cognition in the degree in which it is cumulative or amounts to something, or has meaning.	It includes cognition in the degree in which it is cumulative or amounts to something, or has meaning.	true	251.36	258.76	19.282372
7484_39971_000003_000003	In schools, those under instruction are too customarily looked upon as acquiring knowledge as theoretical spectators, minds which appropriate knowledge by direct energy of intellect.	In schools, those under instruction are too customarily looked upon as acquiring knowledge as theoretical spectators, minds which appropriate knowledge by direct energy of intellect.	true	259.25	273.1	23.067299
7484_39971_000003_000004	The very word pupil has almost come to mean one who is engaged not in having fruitful experiences but in absorbing knowledge directly.	The very word pupil has almost come to mean one who is engaged not in having fruitful experiences but in absorbing knowledge directly.	true	274.04	283.96	20.947151
7484_39971_000003_000005	Something which is called mind or consciousness is severed from the physical organs of activity.	Something which is called mind or consciousness is severed from the physical organs of activity.	true	284.93	291.13	21.380247
7484_39971_000003_000006	The former is then thought to be purely intellectual and cognitive; the latter to be an irrelevant and intruding physical factor.	The former is then thought to be purely intellectual and cognitive; the latter to be an irrelevant and intruding physical factor.	true	291.59	300.19	22.12936
7484_39971_000003_000007	The intimate union of activity and undergoing its consequences which leads to recognition of meaning is broken; instead we have two fragments: mere bodily action on one side, and meaning directly grasped by "spiritual" activity on the other.	The intimate union of activity and undergoing its consequences which leads to recognition of meaning is broken; instead we have two fragments: mere bodily action on one side, and meaning directly grasped by "spiritual" activity on the other.	true	300.53	318.88	21.915438
7484_39971_000004_000000	It would be impossible to state adequately the evil results which have flowed from this dualism of mind and body, much less to exaggerate them. Some of the more striking effects, may, however, be enumerated.	It would be impossible to state adequately the evil results which have flowed from this dualism of mind and body, much less to exaggerate them. Some of the more striking effects, may, however, be enumerated.	true	320.69	334.36	21.314
7484_39971_000004_000001	(a) In part bodily activity becomes an intruder.	(a) In part bodily activity becomes an intruder.	true	334.73	339.52	21.817728
7484_39971_000004_000002	Having nothing, so it is thought, to do with mental activity, it becomes a distraction, an evil to be contended with.	Having nothing, so it is thought, to do with mental activity, it becomes a distraction, an evil to be contended with.	true	339.86	347.86	23.78653
7484_39971_000004_000003	For the pupil has a body, and brings it to school along with his mind.	For the pupil has a body, and brings it to school along with his mind.	true	348.32	352.87	22.865414
7484_39971_000004_000004	And the body is, of necessity, a wellspring of energy; it has to do something.	And the body is, of necessity, a wellspring of energy; it has to do something.	true	353.18	359.08	20.871105
7484_39971_000004_000005	But its activities, not being utilized in occupation with things which yield significant results, have to be frowned upon.	But its activities, not being utilized in occupation with things which yield significant results, have to be frowned upon.	true	359.45	367.69	22.418318
7484_39971_000004_000006	They lead the pupil away from the lesson with which his "mind" ought to be occupied; they are sources of mischief.	They lead the pupil away from the lesson with which his "mind" ought to be occupied; they are sources of mischief.	true	368.12	375.37	21.492008
7484_39971_000004_000007	The chief source of the "problem of discipline" in schools is that the teacher has often to spend the larger part of the time in suppressing the bodily activities which take the mind away from its material.	The chief source of the "problem of discipline" in schools is that the teacher has often to spend the larger part of the time in suppressing the bodily activities which take the mind away from its material.	true	375.95	389.4	21.90131
