7484_39971_000001_000000	Chapter Eleven: Experience and Thinking	Chapter Eleven: Experience and Thinking
7484_39971_000002_000001	The Nature of Experience.	The Nature of Experience.
7484_39971_000002_000002	The nature of experience can be understood only by noting that it includes an active and a passive element peculiarly combined.	The nature of experience can be understood only by noting that it includes an active and a passive element peculiarly combined.
7484_39971_000002_000003	On the active hand, experience is trying--a meaning which is made explicit in the connected term experiment.	On the active hand, experience is trying-a meaning which is made explicit in the connected term experiment.
7484_39971_000002_000004	On the passive, it is undergoing.	On the passive, it is undergoing.
7484_39971_000002_000005	When we experience something we act upon it, we do something with it; then we suffer or undergo the consequences.	When we experience something we act upon it, we do something with it; then we suffer or undergo the consequences.
7484_39971_000002_000006	We do something to the thing and then it does something to us in return: such is the peculiar combination.	We do something to the thing and then it does something to us in return: such is the peculiar combination.
7484_39971_000002_000007	The connection of these two phases of experience measures the fruitfulness or value of the experience.	The connection of these two phases of experience measures the fruitfulness or value of the experience.
7484_39971_000002_000008	Mere activity does not constitute experience.	Mere activity does not constitute experience.
7484_39971_000002_000009	It is dispersive, centrifugal, dissipating.	It is dispersive, centrifugal, dissipating.
7484_39971_000002_000010	Experience as trying involves change, but change is meaningless transition unless it is consciously connected with the return wave of consequences which flow from it.	Experience as trying involves change, but change is meaningless transition unless it is consciously connected with the return wave of consequences which flow from it.
7484_39971_000002_000011	When an activity is continued into the undergoing of consequences, when the change made by action is reflected back into a change made in us, the mere flux is loaded with significance.	When an activity is continued into the undergoing of consequences, when the change made by action is reflected back into a change made in us, the mere flux is loaded with significance.
7484_39971_000002_000013	It is not experience when a child merely sticks his finger into a flame; it is experience when the movement is connected with the pain which he undergoes in consequence. Henceforth the sticking of the finger into flame means a burn.	It is not experience when a child merely sticks his finger into a flame; it is experience when the movement is connected with the pain which he undergoes in consequence. Henceforth the sticking of the finger into flame means a burn.
7484_39971_000002_000014	Being burned is a mere physical change, like the burning of a stick of wood, if it is not perceived as a consequence of some other action.	Being burned is a mere physical change, like the burning of a stick of wood, if it is not perceived as a consequence of some other action.
7484_39971_000002_000015	Blind and capricious impulses hurry us on heedlessly from one thing to another.	Blind and capricious impulses hurry us on heedlessly from one thing to another.
7484_39971_000002_000016	So far as this happens, everything is writ in water.	So far as this happens, everything is writ in water.
7484_39971_000002_000018	On the other hand, many things happen to us in the way of pleasure and pain which we do not connect with any prior activity of our own. They are mere accidents so far as we are concerned.	On the other hand, many things happen to us in the way of pleasure and pain which we do not connect with any prior activity of our own. They are mere accidents so far as we are concerned.
7484_39971_000002_000019	There is no before or after to such experience; no retrospect nor outlook, and consequently no meaning.	There is no before or after to such experience; no retrospect nor outlook, and consequently no meaning.
7484_39971_000002_000020	We get nothing which may be carried over to foresee what is likely to happen next, and no gain in ability to adjust ourselves to what is coming--no added control.	We get nothing which may be carried over to foresee what is likely to happen next, and no gain in ability to adjust ourselves to what is coming-no added control.
7484_39971_000002_000022	To "learn from experience" is to make a backward and forward connection between what we do to things and what we enjoy or suffer from things in consequence.	To "learn from experience" is to make a backward and forward connection between what we do to things and what we enjoy or suffer from things in consequence.
7484_39971_000002_000023	Under such conditions, doing becomes a trying; an experiment with the world to find out what it is like; the undergoing becomes instruction--discovery of the connection of things.	Under such conditions, doing becomes a trying; an experiment with the world to find out what it is like; the undergoing becomes instruction-discovery of the connection of things.
7484_39971_000003_000000	Two conclusions important for education follow. (1) Experience is primarily an active-passive affair; it is not primarily cognitive.	Two conclusions important for education follow. (one) Experience is primarily an active passive affair; it is not primarily cognitive.
7484_39971_000003_000001	But (2) the measure of the value of an experience lies in the perception of relationships or continuities to which it leads up.	But (two) the measure of the value of an experience lies in the perception of relationships or continuities to which it leads up.
7484_39971_000003_000003	In schools, those under instruction are too customarily looked upon as acquiring knowledge as theoretical spectators, minds which appropriate knowledge by direct energy of intellect.	In schools, those under instruction are too customarily looked upon as acquiring knowledge as theoretical spectators, minds which appropriate knowledge by direct energy of intellect.
7484_39971_000003_000004	The very word pupil has almost come to mean one who is engaged not in having fruitful experiences but in absorbing knowledge directly.	The very word pupil has almost come to mean one who is engaged not in having fruitful experiences but in absorbing knowledge directly.
7484_39971_000003_000005	Something which is called mind or consciousness is severed from the physical organs of activity.	Something which is called mind or consciousness is severed from the physical organs of activity.
7484_39971_000003_000006	The former is then thought to be purely intellectual and cognitive; the latter to be an irrelevant and intruding physical factor.	The former is then thought to be purely intellectual and cognitive; the latter to be an irrelevant and intruding physical factor.
7484_39971_000003_000007	The intimate union of activity and undergoing its consequences which leads to recognition of meaning is broken; instead we have two fragments: mere bodily action on one side, and meaning directly grasped by "spiritual" activity on the other.	The intimate union of activity and undergoing its consequences which leads to recognition of meaning is broken; instead we have two fragments: mere bodily action on one side, and meaning directly grasped by "spiritual" activity on the other.
7484_39971_000004_000000	It would be impossible to state adequately the evil results which have flowed from this dualism of mind and body, much less to exaggerate them. Some of the more striking effects, may, however, be enumerated.	It would be impossible to state adequately the evil results which have flowed from this dualism of mind and body, much less to exaggerate them. Some of the more striking effects, may, however, be enumerated.
7484_39971_000004_000001	(a) In part bodily activity becomes an intruder.	(a) In part bodily activity becomes an intruder.
7484_39971_000004_000002	Having nothing, so it is thought, to do with mental activity, it becomes a distraction, an evil to be contended with.	Having nothing, so it is thought, to do with mental activity, it becomes a distraction, an evil to be contended with.
7484_39971_000004_000003	For the pupil has a body, and brings it to school along with his mind.	For the pupil has a body, and brings it to school along with his mind.
7484_39971_000004_000004	And the body is, of necessity, a wellspring of energy; it has to do something.	And the body is, of necessity, a wellspring of energy; it has to do something.
7484_39971_000004_000005	But its activities, not being utilized in occupation with things which yield significant results, have to be frowned upon.	But its activities, not being utilized in occupation with things which yield significant results, have to be frowned upon.
7484_39971_000004_000006	They lead the pupil away from the lesson with which his "mind" ought to be occupied; they are sources of mischief.	They lead the pupil away from the lesson with which his "mind" ought to be occupied; they are sources of mischief.
7484_39971_000004_000007	The chief source of the "problem of discipline" in schools is that the teacher has often to spend the larger part of the time in suppressing the bodily activities which take the mind away from its material.	The chief source of the "problem of discipline" in schools is that the teacher has often to spend the larger part of the time in suppressing the bodily activities which take the mind away from its material.
7484_39971_000004_000008	A premium is put on physical quietude; on silence, on rigid uniformity of posture and movement; upon a machine-like simulation of the attitudes of intelligent interest.	A premium is put on physical quietude; on silence, on rigid uniformity of posture and movement; upon a machine like simulation of the attitudes of intelligent interest.
7484_39971_000004_000009	The teachers' business is to hold the pupils up to these requirements and to punish the inevitable deviations which occur.	The teachers' business is to hold the pupils up to these requirements and to punish the inevitable deviations which occur.
7484_39971_000005_000000	The nervous strain and fatigue which result with both teacher and pupil are a necessary consequence of the abnormality of the situation in which bodily activity is divorced from the perception of meaning.	The nervous strain and fatigue which result with both teacher and pupil are a necessary consequence of the abnormality of the situation in which bodily activity is divorced from the perception of meaning.
7484_39971_000005_000001	Callous indifference and explosions from strain alternate.	Callous indifference and explosions from strain alternate.
7484_39971_000005_000002	The neglected body, having no organized fruitful channels of activity, breaks forth, without knowing why or how, into meaningless boisterousness, or settles into equally meaningless fooling--both very different from the normal play of children.	The neglected body, having no organized fruitful channels of activity, breaks forth, without knowing why or how, into meaningless boisterousness, or settles into equally meaningless fooling-both very different from the normal play of children.
7484_39971_000005_000003	Physically active children become restless and unruly; the more quiescent, so-called conscientious ones spend what energy they have in the negative task of keeping their instincts and active tendencies suppressed, instead of in a positive one of constructive planning and execution; they are thus educated not into responsibility for the significant and graceful use of bodily powers, but into an enforced duty not to give them free play.	Physically active children become restless and unruly; the more quiescent, so-called conscientious ones spend what energy they have in the negative task of keeping their instincts and active tendencies suppressed, instead of in a positive one of constructive planning and execution; they are thus educated not into responsibility for the significant and graceful use of bodily powers, but into an enforced duty not to give them free play.
7484_39971_000005_000004	It may be seriously asserted that a chief cause for the remarkable achievements of Greek education was that it was never misled by false notions into an attempted separation of mind and body.	It may be seriously asserted that a chief cause for the remarkable achievements of Greek education was that it was never misled by false notions into an attempted separation of mind and body.
7484_39971_000006_000000	(b) Even, however, with respect to the lessons which have to be learned by the application of "mind," some bodily activities have to be used. The senses--especially the eye and ear--have to be employed to take in what the book, the map, the blackboard, and the teacher say.	(b) Even, however, with respect to the lessons which have to be learned by the application of "mind," some bodily activities have to be used. The senses-especially the eye and ear-have to be employed to take in what the book, the map, the blackboard, and the teacher say.
7484_39971_000006_000001	The lips and vocal organs, and the hands, have to be used to reproduce in speech and writing what has been stowed away.	The lips and vocal organs, and the hands, have to be used to reproduce in speech and writing what has been stowed away.
7484_39971_000006_000002	The senses are then regarded as a kind of mysterious conduit through which information is conducted from the external world into the mind; they are spoken of as gateways and avenues of knowledge.	The senses are then regarded as a kind of mysterious conduit through which information is conducted from the external world into the mind; they are spoken of as gateways and avenues of knowledge.
7484_39971_000006_000003	To keep the eyes on the book and the ears open to the teacher's words is a mysterious source of intellectual grace. Moreover, reading, writing, and figuring--important school arts--demand muscular or motor training.	To keep the eyes on the book and the ears open to the teacher's words is a mysterious source of intellectual grace. Moreover, reading, writing, and figuring-important school arts-demand muscular or motor training.
7484_39971_000006_000004	The muscles of eye, hand, and vocal organs accordingly have to be trained to act as pipes for carrying knowledge back out of the mind into external action.	The muscles of eye, hand, and vocal organs accordingly have to be trained to act as pipes for carrying knowledge back out of the mind into external action.
7484_39971_000007_000000	The obvious result is a mechanical use of the bodily activities which (in spite of the generally obtrusive and interfering character of the body in mental action) have to be employed more or less.	The obvious result is a mechanical use of the bodily activities which (in spite of the generally obtrusive and interfering character of the body in mental action) have to be employed more or less.
7484_39971_000007_000002	The boy flying a kite has to keep his eye on the kite, and has to note the various pressures of the string on his hand.	The boy flying a kite has to keep his eye on the kite, and has to note the various pressures of the string on his hand.
7484_39971_000007_000003	His senses are avenues of knowledge not because external facts are somehow "conveyed" to the brain, but because they are used in doing something with a purpose.	His senses are avenues of knowledge not because external facts are somehow "conveyed" to the brain, but because they are used in doing something with a purpose.
7484_39971_000007_000006	It is such isolation of an act from a purpose which makes it mechanical.	It is such isolation of an act from a purpose which makes it mechanical.
7484_39971_000007_000007	It is customary for teachers to urge children to read with expression, so as to bring out the meaning.	It is customary for teachers to urge children to read with expression, so as to bring out the meaning.
7484_39971_000007_000008	But if they originally learned the sensory-motor technique of reading--the ability to identify forms and to reproduce the sounds they stand for--by methods which did not call for attention to meaning, a mechanical habit was established which makes it difficult to read subsequently with intelligence.	But if they originally learned the sensory motor technique of reading-the ability to identify forms and to reproduce the sounds they stand for-by methods which did not call for attention to meaning, a mechanical habit was established which makes it difficult to read subsequently with intelligence.
7484_39971_000007_000011	Mathematics, even in its higher branches, when undue emphasis is put upon the technique of calculation, and science, when laboratory exercises are given for their own sake, suffer from the same evil.	Mathematics, even in its higher branches, when undue emphasis is put upon the technique of calculation, and science, when laboratory exercises are given for their own sake, suffer from the same evil.
7484_39971_000008_000000	(c) On the intellectual side, the separation of "mind" from direct occupation with things throws emphasis on things at the expense of relations or connections.	(c) On the intellectual side, the separation of "mind" from direct occupation with things throws emphasis on things at the expense of relations or connections.
7484_39971_000008_000001	It is altogether too common to separate perceptions and even ideas from judgments.	It is altogether too common to separate perceptions and even ideas from judgments.
7484_39971_000008_000002	The latter are thought to come after the former in order to compare them.	The latter are thought to come after the former in order to compare them.
7484_39971_000008_000003	It is alleged that the mind perceives things apart from relations; that it forms ideas of them in isolation from their connections--with what goes before and comes after.	It is alleged that the mind perceives things apart from relations; that it forms ideas of them in isolation from their connections-with what goes before and comes after.
7484_39971_000008_000004	Then judgment or thought is called upon to combine the separated items of "knowledge" so that their resemblance or causal connection shall be brought out.	Then judgment or thought is called upon to combine the separated items of "knowledge" so that their resemblance or causal connection shall be brought out.
7484_39971_000008_000006	We do not really know a chair or have an idea of it by inventorying and enumerating its various isolated qualities, but only by bringing these qualities into connection with something else--the purpose which makes it a chair and not a table; or its difference from the kind of chair we are accustomed to, or the "period" which it represents, and so on.	We do not really know a chair or have an idea of it by inventorying and enumerating its various isolated qualities, but only by bringing these qualities into connection with something else-the purpose which makes it a chair and not a table; or its difference from the kind of chair we are accustomed to, or the "period" which it represents, and so on.
7484_39971_000008_000007	A wagon is not perceived when all its parts are summed up; it is the characteristic connection of the parts which makes it a wagon.	A wagon is not perceived when all its parts are summed up; it is the characteristic connection of the parts which makes it a wagon.
7484_39971_000008_000008	And these connections are not those of mere physical juxtaposition; they involve connection with the animals that draw it, the things that are carried on it, and so on.	And these connections are not those of mere physical juxtaposition; they involve connection with the animals that draw it, the things that are carried on it, and so on.
7484_39971_000008_000009	Judgment is employed in the perception; otherwise the perception is mere sensory excitation or else a recognition of the result of a prior judgment, as in the case of familiar objects.	Judgment is employed in the perception; otherwise the perception is mere sensory excitation or else a recognition of the result of a prior judgment, as in the case of familiar objects.
7484_39971_000009_000002	There is no difference of opinion as to the theory of the matter.	There is no difference of opinion as to the theory of the matter.
7484_39971_000009_000004	The failure arises in supposing that relationships can become perceptible without experience--without that conjoint trying and undergoing of which we have spoken.	The failure arises in supposing that relationships can become perceptible without experience-without that conjoint trying and undergoing of which we have spoken.
7484_39971_000009_000005	It is assumed that "mind" can grasp them if it will only give attention, and that this attention may be given at will irrespective of the situation.	It is assumed that "mind" can grasp them if it will only give attention, and that this attention may be given at will irrespective of the situation.
7484_39971_000009_000006	Hence the deluge of half-observations, of verbal ideas, and unassimilated "knowledge" which afflicts the world.	Hence the deluge of half observations, of verbal ideas, and unassimilated "knowledge" which afflicts the world.
7484_39971_000009_000007	An ounce of experience is better than a ton of theory simply because it is only in experience that any theory has vital and verifiable significance.	An ounce of experience is better than a ton of theory simply because it is only in experience that any theory has vital and verifiable significance.
7484_39971_000009_000008	An experience, a very humble experience, is capable of generating and carrying any amount of theory (or intellectual content), but a theory apart from an experience cannot be definitely grasped even as theory.	An experience, a very humble experience, is capable of generating and carrying any amount of theory (or intellectual content), but a theory apart from an experience cannot be definitely grasped even as theory.
7484_39971_000009_000009	It tends to become a mere verbal formula, a set of catchwords used to render thinking, or genuine theorizing, unnecessary and impossible.	It tends to become a mere verbal formula, a set of catchwords used to render thinking, or genuine theorizing, unnecessary and impossible.
7484_39971_000009_000010	Because of our education we use words, thinking they are ideas, to dispose of questions, the disposal being in reality simply such an obscuring of perception as prevents us from seeing any longer the difficulty.	Because of our education we use words, thinking they are ideas, to dispose of questions, the disposal being in reality simply such an obscuring of perception as prevents us from seeing any longer the difficulty.
7484_39971_000010_000001	Reflection in Experience.	Reflection in Experience.
7484_39971_000010_000002	Thought or reflection, as we have already seen virtually if not explicitly, is the discernment of the relation between what we try to do and what happens in consequence.	Thought or reflection, as we have already seen virtually if not explicitly, is the discernment of the relation between what we try to do and what happens in consequence.
7484_39971_000010_000003	No experience having a meaning is possible without some element of thought.	No experience having a meaning is possible without some element of thought.
7484_39971_000010_000004	But we may contrast two types of experience according to the proportion of reflection found in them.	But we may contrast two types of experience according to the proportion of reflection found in them.
7484_39971_000010_000006	We simply do something, and when it fails, we do something else, and keep on trying till we hit upon something which works, and then we adopt that method as a rule of thumb measure in subsequent procedure.	We simply do something, and when it fails, we do something else, and keep on trying till we hit upon something which works, and then we adopt that method as a rule of thumb measure in subsequent procedure.
7484_39971_000010_000007	Some experiences have very little else in them than this hit and miss or succeed process.	Some experiences have very little else in them than this hit and miss or succeed process.
7484_39971_000010_000008	We see that a certain way of acting and a certain consequence are connected, but we do not see how they are.	We see that a certain way of acting and a certain consequence are connected, but we do not see how they are.
7484_39971_000010_000009	We do not see the details of the connection; the links are missing.	We do not see the details of the connection; the links are missing.
7484_39971_000010_000010	Our discernment is very gross.	Our discernment is very gross.
7484_39971_000010_000011	In other cases we push our observation farther.	In other cases we push our observation farther.
7484_39971_000010_000012	We analyze to see just what lies between so as to bind together cause and effect, activity and consequence.	We analyze to see just what lies between so as to bind together cause and effect, activity and consequence.
7484_39971_000010_000013	This extension of our insight makes foresight more accurate and comprehensive.	This extension of our insight makes foresight more accurate and comprehensive.
7484_39971_000010_000014	The action which rests simply upon the trial and error method is at the mercy of circumstances; they may change so that the act performed does not operate in the way it was expected to.	The action which rests simply upon the trial and error method is at the mercy of circumstances; they may change so that the act performed does not operate in the way it was expected to.
7484_39971_000010_000015	But if we know in detail upon what the result depends, we can look to see whether the required conditions are there.	But if we know in detail upon what the result depends, we can look to see whether the required conditions are there.
7484_39971_000010_000016	The method extends our practical control.	The method extends our practical control.
7484_39971_000011_000000	In discovery of the detailed connections of our activities and what happens in consequence, the thought implied in cut and try experience is made explicit.	In discovery of the detailed connections of our activities and what happens in consequence, the thought implied in cut and try experience is made explicit.
7484_39971_000011_000001	Its quantity increases so that its proportionate value is very different.	Its quantity increases so that its proportionate value is very different.
7484_39971_000011_000002	Hence the quality of the experience changes; the change is so significant that we may call this type of experience reflective--that is, reflective par excellence.	Hence the quality of the experience changes; the change is so significant that we may call this type of experience reflective-that is, reflective par excellence.
7484_39971_000011_000003	The deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.	The deliberate cultivation of this phase of thought constitutes thinking as a distinctive experience.
7484_39971_000011_000004	Thinking, in other words, is the intentional endeavor to discover specific connections between something which we do and the consequences which result, so that the two become continuous. Their isolation, and consequently their purely arbitrary going together, is canceled; a unified developing situation takes its place.	Thinking, in other words, is the intentional endeavor to discover specific connections between something which we do and the consequences which result, so that the two become continuous. Their isolation, and consequently their purely arbitrary going together, is canceled; a unified developing situation takes its place.
7484_39971_000011_000005	The occurrence is now understood; it is explained; it is reasonable, as we say, that the thing should happen as it does.	The occurrence is now understood; it is explained; it is reasonable, as we say, that the thing should happen as it does.
7484_39971_000012_000000	Thinking is thus equivalent to an explicit rendering of the intelligent element in our experience.	Thinking is thus equivalent to an explicit rendering of the intelligent element in our experience.
7484_39971_000012_000001	It makes it possible to act with an end in view.	It makes it possible to act with an end in view.
7484_39971_000012_000002	It is the condition of our having aims.	It is the condition of our having aims.
7484_39971_000012_000003	As soon as an infant begins to expect he begins to use something which is now going on as a sign of something to follow; he is, in however simple a fashion, judging.	As soon as an infant begins to expect he begins to use something which is now going on as a sign of something to follow; he is, in however simple a fashion, judging.
7484_39971_000012_000004	For he takes one thing as evidence of something else, and so recognizes a relationship.	For he takes one thing as evidence of something else, and so recognizes a relationship.
7484_39971_000012_000007	The opposites, once more, to thoughtful action are routine and capricious behavior.	The opposites, once more, to thoughtful action are routine and capricious behavior.
7484_39971_000012_000008	The former accepts what has been customary as a full measure of possibility and omits to take into account the connections of the particular things done.	The former accepts what has been customary as a full measure of possibility and omits to take into account the connections of the particular things done.
7484_39971_000012_000009	The latter makes the momentary act a measure of value, and ignores the connections of our personal action with the energies of the environment.	The latter makes the momentary act a measure of value, and ignores the connections of our personal action with the energies of the environment.
7484_39971_000012_000010	It says, virtually, "things are to be just as I happen to like them at this instant," as routine says in effect "let things continue just as I have found them in the past." Both refuse to acknowledge responsibility for the future consequences which flow from present action.	It says, virtually, "things are to be just as I happen to like them at this instant," as routine says in effect "let things continue just as I have found them in the past." Both refuse to acknowledge responsibility for the future consequences which flow from present action.
7484_39971_000012_000011	Reflection is the acceptance of such responsibility.	Reflection is the acceptance of such responsibility.
7484_39971_000013_000000	The starting point of any process of thinking is something going on, something which just as it stands is incomplete or unfulfilled.	The starting point of any process of thinking is something going on, something which just as it stands is incomplete or unfulfilled.
7484_39971_000013_000001	Its point, its meaning lies literally in what it is going to be, in how it is going to turn out.	Its point, its meaning lies literally in what it is going to be, in how it is going to turn out.
7484_39971_000013_000002	As this is written, the world is filled with the clang of contending armies.	As this is written, the world is filled with the clang of contending armies.
7484_39971_000013_000003	For an active participant in the war, it is clear that the momentous thing is the issue, the future consequences, of this and that happening.	For an active participant in the war, it is clear that the momentous thing is the issue, the future consequences, of this and that happening.
7484_39971_000013_000004	He is identified, for the time at least, with the issue; his fate hangs upon the course things are taking.	He is identified, for the time at least, with the issue; his fate hangs upon the course things are taking.
7484_39971_000013_000005	But even for an onlooker in a neutral country, the significance of every move made, of every advance here and retreat there, lies in what it portends. To think upon the news as it comes to us is to attempt to see what is indicated as probable or possible regarding an outcome.	But even for an onlooker in a neutral country, the significance of every move made, of every advance here and retreat there, lies in what it portends. To think upon the news as it comes to us is to attempt to see what is indicated as probable or possible regarding an outcome.
7484_39971_000013_000006	To fill our heads, like a scrapbook, with this and that item as a finished and done-for thing, is not to think.	To fill our heads, like a scrapbook, with this and that item as a finished and done for thing, is not to think.
7484_39971_000013_000007	It is to turn ourselves into a piece of registering apparatus.	It is to turn ourselves into a piece of registering apparatus.
7484_39971_000013_000008	To consider the bearing of the occurrence upon what may be, but is not yet, is to think.	To consider the bearing of the occurrence upon what may be, but is not yet, is to think.
7484_39971_000013_000009	Nor will the reflective experience be different in kind if we substitute distance in time for separation in space.	Nor will the reflective experience be different in kind if we substitute distance in time for separation in space.
