8713_302111_000000_000000	_Argument_	underscore Argument underscore	false	22.77	24.39	18.191538
8713_302111_000001_000000	On his journey Vainamoinen encounters the magnificently-clad Maiden of Pohja, and makes advances to her (1-50).	On his journey Vainamoinen encounters the magnificently clad Maiden of Pohja, and makes advances to her (one to fifty).	false	24.39	32.04	21.160217
8713_302111_000001_000001	The maiden at length consents to his wishes if he will make a boat from the splinters of her spindle, and move it into the water without touching it (51-132).	The maiden at length consents to his wishes if he will make a boat from the splinters of her spindle, and move it into the water without touching it (fifty one to one hundred thirty two).	false	32.04	41.085	22.979689
8713_302111_000001_000002	Vainamoinen sets to work, but wounds his knee severely with his axe, and cannot stanch the flow of blood (133-204).	Vainamoinen sets to work, but wounds his knee severely with his axe, and cannot stanch the flow of blood (one hundred thirty three to two hundred four).	false	41.085	48.54	23.126291
8713_302111_000001_000003	He goes in search of some magic remedy and finds an old man who promises to stop the bleeding (205-282).	He goes in search of some magic remedy and finds an old man who promises to stop the bleeding (two hundred five to two hundred eighty two).	false	48.54	56.61	20.064104
8713_302111_000002_000000	Lovely was the maid of Pohja, Famed on land, on water peerless, On the arch of air high-seated, Brightly shining on the rainbow, Clad in robes of dazzling lustre, Clad in raiment white and shining. There she wove a golden fabric, Interwoven all with silver, And her shuttle was all golden, And her comb was all of silver.	Lovely was the maid of Pohja, Famed on land, on water peerless, On the arch of air high seated, Brightly shining on the rainbow, Clad in robes of dazzling lustre, Clad in raiment white and shining. There she wove a golden fabric, Interwoven all with silver, And her shuttle was all golden, And her comb was all of silver.	true	56.61	80.1	20.503
8713_302111_000002_000001	10	ten	false	80.1	80.91	-20
8713_302111_000003_000000	From her hand flew swift the shuttle, In her hands the reel was turning, And the copper shafts they clattered, And the silver comb resounded, As the maiden wove the fabric, And with silver interwove it.	From her hand flew swift the shuttle, In her hands the reel was turning, And the copper shafts they clattered, And the silver comb resounded, As the maiden wove the fabric, And with silver interwove it.	true	80.91	94.27	22.092442
8713_302111_000004_000000	Vainamoinen, old and steadfast, Thundered on upon his journey, From the gloomy land of Pohja, Sariola for ever misty.	Vainamoinen, old and steadfast, Thundered on upon his journey, From the gloomy land of Pohja, Sariola for ever misty.	true	94.43	103.56	23.199488
8713_302111_000004_000001	20 Short the distance he had travelled, Short the way that he had journeyed, When he heard the shuttle whizzing, High above his head he heard it.	twenty Short the distance he had travelled, Short the way that he had journeyed, When he heard the shuttle whizzing, High above his head he heard it.	false	103.56	112.12	20.913717
8713_302111_000005_000000	Thereupon his head he lifted, And he gazed aloft to heaven, And beheld a glorious rainbow; On the arch the maiden seated As she wove a golden fabric. As the silver comb resounded.	Thereupon his head he lifted, And he gazed aloft to heaven, And beheld a glorious rainbow; On the arch the maiden seated As she wove a golden fabric. As the silver comb resounded.	true	112.37	125.91	21.664793
8713_302111_000005_000001	30	thirty	false	125.91	126.12	6
8713_302111_000006_000000	Vainamoinen, old and steadfast, Stayed his horse upon the instant. And he raised his voice, and speaking, In such words as these addressed her: "Come into my sledge, O maiden, In the sledge beside me seat thee."	Vainamoinen, old and steadfast, Stayed his horse upon the instant. And he raised his voice, and speaking, In such words as these addressed her: "Come into my sledge, O maiden, In the sledge beside me seat thee."	true	126.12	141.31	21.656443
8713_302111_000007_000000	Then the maiden made him answer, And in words like these responded: "Wherefore should the maiden join you, In the sledge beside you seated?" 40	Then the maiden made him answer, And in words like these responded: "Wherefore should the maiden join you, In the sledge beside you seated?" forty	false	141.68	151.23	19.99825
8713_302111_000008_000000	Vainamoinen, old and steadfast. Heard her words, and then responded: "Therefore should the maiden join me, In the sledge beside me seat her; Bread of honey to prepare me, And the best of beer to brew me, Singing blithely on the benches, Gaily talking at the window, When in Vainola I sojourn, At my home in Kalevala." 50	Vainamoinen, old and steadfast. Heard her words, and then responded: "Therefore should the maiden join me, In the sledge beside me seat her; Bread of honey to prepare me, And the best of beer to brew me, Singing blithely on the benches, Gaily talking at the window, When in Vainola I sojourn, At my home in Kalevala." fifty	false	151.23	173.88	21.151367
8713_302111_000009_000000	Then the maiden gave him answer, And in words like these addressed him: "As I wandered through the bedstraws Tripping o'er the yellow meadows, Yesterday, in time of evening, As the sun was slowly sinking, In the bush a bird was singing, And I heard the fieldfare trilling, Singing of the whims of maidens, And the whims of new-wed damsels.	Then the maiden gave him answer, And in words like these addressed him: "As I wandered through the bedstraws Tripping o'er the yellow meadows, Yesterday, in time of evening, As the sun was slowly sinking, In the bush a bird was singing, And I heard the fieldfare trilling, Singing of the whims of maidens, And the whims of new wed damsels.	true	173.88	196.05	20.898985
8713_302111_000009_000001	60	sixty	false	196.05	196.35	6
8713_302111_000010_000000	"Thus the bird was speaking to me, And I questioned it in this wise:	"Thus the bird was speaking to me, And I questioned it in this wise:	true	196.35	200.56	21.622355
8713_302111_000011_000000	'Tell me O thou little fieldfare, Sing thou, that my ears may hear it, Whether it indeed is better, Whether thou hast heard 'tis better, For a girl in father's dwelling, Or in household of a husband?'	'Tell me O thou little fieldfare, Sing thou, that my ears may hear it, Whether it indeed is better, Whether thou hast heard 'tis better, For a girl in father's dwelling, Or in household of a husband?'	true	200.72	214.6	22.290806
8713_302111_000012_000000	"Thereupon the bird made answer, And the fieldfare answered chirping: 70	"Thereupon the bird made answer, And the fieldfare answered chirping: seventy	false	215.06	219.51	23.323816
8713_302111_000013_000000	'Brilliant is the day in summer, But a maiden's lot is brighter. And the frost makes cold the iron, Yet the new bride's lot is colder. In her father's house a maiden Lives like strawberry in the garden, But a bride in house of husband, Lives like house-dog tightly fettered. To a slave comes rarely pleasure; To a wedded damsel never.'" 80	'Brilliant is the day in summer, But a maiden's lot is brighter. And the frost makes cold the iron, Yet the new bride's lot is colder. In her father's house a maiden Lives like strawberry in the garden, But a bride in house of husband, Lives like house dog tightly fettered. To a slave comes rarely pleasure; To a wedded damsel never.'" eighty	false	219.51	244.2	21.107565
8713_302111_000014_000000	Vainamoinen, old and steadfast, Answered in the words which follow: "Song of birds is idle chatter, And the throstle's, merely chirping; As a child a daughter's treated, But a maid must needs be married. Come into my sledge, O maiden, In the sledge beside me seat thee. I am not a man unworthy, Lazier not than other heroes." 90	Vainamoinen, old and steadfast, Answered in the words which follow: "Song of birds is idle chatter, And the throstle's, merely chirping; As a child a daughter's treated, But a maid must needs be married. Come into my sledge, O maiden, In the sledge beside me seat thee. I am not a man unworthy, Lazier not than other heroes." ninety	false	244.2	267.6	21.219112
