2517_135229_000000_000000	"Who were the victims of the Mista Kosek?"	"Who were the victims of the Mista Kosek?"	false	0	5.58	18.795671
2517_135229_000001_000000	"They?" said he, with an agreeable smile.	"They?" said he, with an agreeable smile.	false	5.58	7.98	21.274624
2517_135229_000001_000001	"Oh, they were the victims of the sacrifice."	"Oh, they were the victims of the sacrifice."	false	7.98	10.41	21.229677
2517_135229_000002_000000	I sank back in my seat, and said no more.	I sank back in my seat, and said no more.	false	10.41	14.46	23.355429
2517_135229_000002_000001	The Kohen then took Almah's lute, played and sang in a very sweet voice, and at length, with his usual consideration, seeing that I looked weary, he retired.	The Kohen then took Almah's lute, played and sang in a very sweet voice, and at length, with his usual consideration, seeing that I looked weary, he retired.	false	14.46	25.665	23.563229
2517_135229_000003_000000	CHAPTER XIV	CHAPTER fourteen	true	25.665	27	27.709625
2517_135229_000004_000000	I LEARN MY DOOM	I LEARN MY DOOM	true	27	28.48	21.61516
2517_135229_000005_000000	Horror is a feeling that cannot last long; human nature is incapable of supporting it.	Horror is a feeling that cannot last long; human nature is incapable of supporting it.	true	29.48	34.6	23.95538
2517_135229_000005_000001	Sadness, whether from bereavement, or disappointment, or misfortune of any kind, may linger on through life. In my case, however, the milder and more enduring feeling of sadness had no sufficient cause for existence.	Sadness, whether from bereavement, or disappointment, or misfortune of any kind, may linger on through life. In my case, however, the milder and more enduring feeling of sadness had no sufficient cause for existence.	true	34.76	47.26	23
2517_135229_000005_000002	The sights which I had seen inspired horror, and horror only.	The sights which I had seen inspired horror, and horror only.	true	47.42	50.805	23
2517_135229_000005_000003	But when the first rush of this feeling had passed there came a reaction.	But when the first rush of this feeling had passed there came a reaction.	true	50.805	54.67	23.747389
2517_135229_000005_000004	Calmness followed, and then all the circumstances of my life here conspired to perpetuate that calm.	Calmness followed, and then all the circumstances of my life here conspired to perpetuate that calm.	true	54.74	60.4	26.431095
2517_135229_000005_000005	For here all on the surface was pleasant and beautiful; all the people were amiable and courteous and most generous.	For here all on the surface was pleasant and beautiful; all the people were amiable and courteous and most generous.	false	60.44	66.7	19
2517_135229_000005_000006	I had light and luxury and amusements.	I had light and luxury and amusements.	true	66.71	69.315	21.175209
2517_135229_000005_000007	Around me there were thousands of faces, all greeting me with cordial affection, and thousands of hands all ready to perform my slightest wish.	Around me there were thousands of faces, all greeting me with cordial affection, and thousands of hands all ready to perform my slightest wish.	true	69.315	77.295	20
2517_135229_000005_000008	Above all, there was Almah.	Above all, there was Almah.	true	77.295	79.36	23.882149
2517_135229_000005_000009	Everything combined to make her most dear to me.	Everything combined to make her most dear to me.	true	79.55	82.36	27
