2517_135229_000003_000000	CHAPTER XIV	CHAPTER fourteen
2517_135229_000004_000000	I LEARN MY DOOM	I LEARN MY DOOM
2517_135229_000005_000000	Horror is a feeling that cannot last long; human nature is incapable of supporting it.	Horror is a feeling that cannot last long; human nature is incapable of supporting it.
2517_135229_000005_000001	Sadness, whether from bereavement, or disappointment, or misfortune of any kind, may linger on through life. In my case, however, the milder and more enduring feeling of sadness had no sufficient cause for existence.	Sadness, whether from bereavement, or disappointment, or misfortune of any kind, may linger on through life. In my case, however, the milder and more enduring feeling of sadness had no sufficient cause for existence.
2517_135229_000005_000002	The sights which I had seen inspired horror, and horror only.	The sights which I had seen inspired horror, and horror only.
2517_135229_000005_000003	But when the first rush of this feeling had passed there came a reaction.	But when the first rush of this feeling had passed there came a reaction.
2517_135229_000005_000004	Calmness followed, and then all the circumstances of my life here conspired to perpetuate that calm.	Calmness followed, and then all the circumstances of my life here conspired to perpetuate that calm.
2517_135229_000005_000006	I had light and luxury and amusements.	I had light and luxury and amusements.
2517_135229_000005_000007	Around me there were thousands of faces, all greeting me with cordial affection, and thousands of hands all ready to perform my slightest wish.	Around me there were thousands of faces, all greeting me with cordial affection, and thousands of hands all ready to perform my slightest wish.
2517_135229_000005_000008	Above all, there was Almah.	Above all, there was Almah.
2517_135229_000005_000009	Everything combined to make her most dear to me.	Everything combined to make her most dear to me.
2517_135229_000005_000010	My life had been such that I never before had seen anyone whom I loved; and here Almah was the one congenial associate in a whole world of aliens: she was beautiful and gentle and sympathetic, and I loved her dearly, even before I understood what my feelings were.	My life had been such that I never before had seen anyone whom I loved; and here Almah was the one congenial associate in a whole world of aliens: she was beautiful and gentle and sympathetic, and I loved her dearly, even before I understood what my feelings were.
2517_135229_000005_000011	One day I learned all, and found that she was more precious to me than all the world.	One day I learned all, and found that she was more precious to me than all the world.
2517_135229_000006_000001	On asking after her I learned that she was ill.	On asking after her I learned that she was ill.
2517_135229_000006_000007	While she was absent, life was nothing; all its value, all its light, its flavor, its beauty, were gone.	While she was absent, life was nothing; all its value, all its light, its flavor, its beauty, were gone.
2517_135229_000006_000008	I felt utterly crushed. I forgot all else save her illness, and all that I had endured seemed as nothing when compared with this.	I felt utterly crushed. I forgot all else save her illness, and all that I had endured seemed as nothing when compared with this.
2517_135229_000007_000000	In the midst of my own anxiety I was surprised to find that the whole community was most profoundly agitated.	In the midst of my own anxiety I was surprised to find that the whole community was most profoundly agitated.
2517_135229_000007_000001	Among all classes there seemed to be but one thought--her illness.	Among all classes there seemed to be but one thought-her illness.
2517_135229_000007_000003	It seemed to be the one subject of interest, beside which all others were forgotten.	It seemed to be the one subject of interest, beside which all others were forgotten.
2517_135229_000007_000005	I was somewhat perplexed, however, at their manner.	I was somewhat perplexed, however, at their manner.
2517_135229_000007_000006	They were certainly agitated and intensely interested, yet not exactly sad.	They were certainly agitated and intensely interested, yet not exactly sad.
2517_135229_000007_000007	Indeed, from what I heard it seemed as though this strange people regarded sickness as rather a blessing than otherwise.	Indeed, from what I heard it seemed as though this strange people regarded sickness as rather a blessing than otherwise.
2517_135229_000007_000008	This, however, did not interfere in the slightest degree with the most intense interest in her, and the most assiduous attention.	This, however, did not interfere in the slightest degree with the most intense interest in her, and the most assiduous attention.
2517_135229_000007_000009	The Kohen in particular was devoted to her. He was absent-minded, silent, and full of care.	The Kohen in particular was devoted to her. He was absent minded, silent, and full of care.
2517_135229_000007_000010	On the whole, I felt more than ever puzzled, and less able than ever to understand these people.	On the whole, I felt more than ever puzzled, and less able than ever to understand these people.
2517_135229_000007_000012	He looked like an anxious father, full of tenderest love for a sick child--full also of delicate sympathy with me; and yet I knew all the time that he was quite capable of plunging the sacrificial knife in Almah's heart and of eating her afterward.	He looked like an anxious father, full of tenderest love for a sick child-full also of delicate sympathy with me; and yet I knew all the time that he was quite capable of plunging the sacrificial knife in Almah's heart and of eating her afterward.
