3781_156977_000000_000000	(2) Origin of the Jehovah Religion.	(two) Origin of the Jehovah Religion.	false	0.75	3.39	26.467165
3781_156977_000000_000001	Budde, _Religion of Israel_, 1-38; Gordon, _Early Traditions of Gen_., 106-110; Hastings, _Dict. of the Bible_, Extra Vol. 626-627.	Budde, underscore Religion of Israel underscore, one to thirty eight; Gordon, underscore Early Traditions of Gen underscore., one hundred six to one hundred ten; Hastings, underscore Dict. of the Bible underscore, Extra vol six hundred twenty six to six hundred twenty seven.	false	3.39	10.53	20.954626
3781_156977_000001_000000	(3) The Practical Training for Statesmanship of Augustus, Gladstone and Lincoln.	(three) The Practical Training for Statesmanship of Augustus, Gladstone and Lincoln.	false	10.53	13.92	21.913
3781_156977_000001_000001	Plutarch, _Lives of the Emperors_; Morley, _Life of Gladstone_; A. good Biographical Dictionary; Brown, _The Message of the Modern Pulpit_.	Plutarch, underscore Lives of the Emperors underscore; Morley, underscore Life of Gladstone underscore; a good Biographical Dictionary; Brown, underscore The Message of the Modern Pulpit underscore.	false	13.92	19.08	22.404022
3781_156977_000002_000000	(4) Compare the government of Egypt under Pharaoh with that in China in the days of Confucius and with that of Greece in the days of the siege of Troy.	(four) Compare the government of Egypt under Pharaoh with that in China in the days of Confucius and with that of Greece in the days of the siege of Troy.	false	19.08	21.51	18.9981
3781_156977_000002_000001	Homer, _Iliad and Odyssey; Life of Confucius_.	Homer, underscore Iliad and Odyssey; Life of Confucius underscore.	false	21.51	24.93	25.297659
3781_156977_000003_000000	STUDY IX	STUDY IX	false	24.93	25.74	24.29037
3781_156977_000004_000000	THE ORIGIN AND GROWTH OF LAW.	THE ORIGIN AND GROWTH OF LAW.	true	25.74	28.09	18
3781_156977_000005_000000	MOSES' WORK AS JUDGE AND PROPHET.--Ex. 18; 1-27; 33:5-11.	MOSES' WORK AS JUDGE AND PROPHET.--Ex. eighteen; one to twenty seven; thirty three to five minus eleven.	false	28.28	37.44	21.374138
3781_156977_000006_000000	_Parallel References_.	underscore Parallel References underscore.	false	37.44	39.54	22.666498
3781_156977_000007_000000	_Hist.	underscore Hist.	false	39.54	40.44	24.5374
3781_156977_000007_000001	Bible_ I, 198-203. _Prin. of Politics_, Ch.	Bible underscore I, one hundred ninety eight to two hundred three. underscore Prin. of Politics underscore, c h.	false	40.44	48.45	22.441833
3781_156977_000007_000002	VI. Maine, _Ancient Law_.	VI. Maine, underscore Ancient Law underscore.	false	48.45	51.54	19.402765
3781_156977_000008_000000	Jehovah spake to Moses face to face, as a man speaketh unto his friend--Ex. 33: 11.	Jehovah spake to Moses face to face, as a man speaketh unto his friend-Ex. thirty three to eleven.	false	51.54	59.65	18
3781_156977_000009_000000	And Moses chose able men out of all Israel, and made them heads over the people, rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens.	And Moses chose able men out of all Israel, and made them heads over the people, rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens.	true	60.23	73.035	21
3781_156977_000009_000001	And they judged the people at all seasons: the hard cases they brought unto Moses, but every small matter they judged themselves--Ex. 18:25, 26.	And they judged the people at all seasons: the hard cases they brought unto Moses, but every small matter they judged themselves-Ex. eighteen twenty five, twenty six.	false	73.035	86.32	21
3781_156977_000010_000000	Love is the fulfilling of the law.--St. Paul.	Love is the fulfilling of the law.--saint Paul.	true	86.6	90.88	22.304474
3781_156977_000011_000000	Now this is the Law of the Jungle--as old and as true as the sky; And the Wolf that shall keep it may prosper, but the Wolf that shall break it must die. As the creeper that girdles the tree-trunk the Law runneth forward and back-- For the strength of the Pack is the Wolf, and the strength of the Wolf is the Pack. Now these are the Laws of the Jungle, and many and mighty are they; But the head and the hoof of the Law and the haunch and the bump is "_Obey_!" --_Kipling_.	Now this is the Law of the Jungle-as old and as true as the sky; And the Wolf that shall keep it may prosper, but the Wolf that shall break it must die. As the creeper that girdles the tree trunk the Law runneth forward and back- For the strength of the Pack is the Wolf, and the strength of the Wolf is the Pack. Now these are the Laws of the Jungle, and many and mighty are they; But the head and the hoof of the Law and the haunch and the bump is "underscore Obey underscore!" --underscore Kipling underscore.	false	90.92	129.78	21.036121
