1165_135216_000001_000001	Forward were the crew; some asleep, others smoking, others playing cards.	Forward were the crew; some asleep, others smoking, others playing cards.
1165_135216_000001_000004	The fourth member of the party, Melick, was seated near the mainmast, folding some papers in a peculiar way.	The fourth member of the party, Melick, was seated near the mainmast, folding some papers in a peculiar way.
1165_135216_000001_000005	His occupation at length attracted the roving eyes of Featherstone, who poked forth his head from his hammock, and said in a sleepy voice:	His occupation at length attracted the roving eyes of Featherstone, who poked forth his head from his hammock, and said in a sleepy voice:
1165_135216_000002_000001	By Jove! you're the only one aboard that's busy.	By Jove! you're the only one aboard that's busy.
1165_135216_000002_000002	What are you doing?"	What are you doing?"
1165_135216_000003_000000	"Paper boats," said Melick, in a business-like tone.	"Paper boats," said Melick, in a business like tone.
1165_135216_000004_000000	"Paper boats!	"Paper boats!
1165_135216_000004_000002	"What for?"	"What for?"
1165_135216_000005_000001	"Anything to kill time, you know."	"Anything to kill time, you know."
1165_135216_000006_000000	"By Jove!" exclaimed Featherstone again, raising himself higher in his hammock, "that's not a bad idea.	"By Jove!" exclaimed Featherstone again, raising himself higher in his hammock, "that's not a bad idea.
1165_135216_000006_000002	By Jove! glowious! glowious!	By Jove! glowious! glowious!
1165_135216_000006_000003	I say, Oxenden, did you hear that?"	I say, Oxenden, did you hear that?"
1165_135216_000008_000000	"Oh, I mean a race with these paper boats.	"Oh, I mean a race with these paper boats.
1165_135216_000008_000001	We can bet on them, you know."	We can bet on them, you know."
1165_135216_000009_000000	At this Featherstone sat upright, with his legs dangling out of the hammock.	At this Featherstone sat upright, with his legs dangling out of the hammock.
1165_135216_000010_000000	"By Jove!" he exclaimed again.	"By Jove!" he exclaimed again.
1165_135216_000010_000002	So we can.	So we can.
1165_135216_000010_000003	Do you know, Melick, old chap, I think that's a wegular piece of inspiration. A wegatta! and we can bet on the best boat."	Do you know, Melick, old chap, I think that's a wegular piece of inspiration. A wegatta! and we can bet on the best boat."
1165_135216_000012_000000	"Well, you know, that's the fun of it," said Melick, who went solemnly on as he spoke, folding his paper boats; "that's the fun of it.	"Well, you know, that's the fun of it," said Melick, who went solemnly on as he spoke, folding his paper boats; "that's the fun of it.
1165_135216_000012_000001	For you see if there was a wind we should be going on ourselves, and the regatta couldn't come off; but, as it is, the water is just right. You pick out your boat, and lay your bet on her to race to some given point."	For you see if there was a wind we should be going on ourselves, and the regatta couldn't come off; but, as it is, the water is just right. You pick out your boat, and lay your bet on her to race to some given point."
1165_135216_000013_000000	"A given point?	"A given point?
1165_135216_000014_000000	"Oh, easily enough; something or anything--a bubble'll do, or we can pitch out a bit of wood."	"Oh, easily enough; something or anything-a bubble'll do, or we can pitch out a bit of wood."
1165_135216_000015_000000	Upon this Featherstone descended from his perch, and came near to examine the proceedings, while the other two, eager to take advantage of the new excitement, soon joined him.	Upon this Featherstone descended from his perch, and came near to examine the proceedings, while the other two, eager to take advantage of the new excitement, soon joined him.
1165_135216_000015_000001	By this time Melick had finished his paper boats.	By this time Melick had finished his paper boats.
1165_135216_000015_000002	There were four of them, and they were made of different colors, namely, red, green, yellow, and white.	There were four of them, and they were made of different colors, namely, red, green, yellow, and white.
1165_135216_000016_000000	"I'll put these in the water," said Melick, "and then we can lay our bets on them as we choose.	"I'll put these in the water," said Melick, "and then we can lay our bets on them as we choose.
1165_135216_000016_000001	But first let us see if there is anything that can be taken as a point of arrival.	But first let us see if there is anything that can be taken as a point of arrival.
1165_135216_000016_000002	If there isn't anything, I can pitch out a bit of wood, in any direction which may seem best."	If there isn't anything, I can pitch out a bit of wood, in any direction which may seem best."
1165_135216_000017_000000	Saying this, he went to the side, followed by the others, and all looked out carefully over the water.	Saying this, he went to the side, followed by the others, and all looked out carefully over the water.
1165_135216_000018_000000	"There's a black speck out there," said Oxenden.	"There's a black speck out there," said Oxenden.
1165_135216_000019_000001	"That'll do.	"That'll do.
1165_135216_000019_000002	I wonder what it is?"	I wonder what it is?"
1165_135216_000020_000001	"Probably the spar of some ship."	"Probably the spar of some ship."
1165_135216_000022_000000	"Oh, it's a spar," said Melick.	"Oh, it's a spar," said Melick.
1165_135216_000022_000001	"It's one end of it, the rest is under water."	"It's one end of it, the rest is under water."
1165_135216_000023_000000	The spot thus chosen was a dark, circular object, about a hundred yards away, and certainly did look very much like the extremity of some spar, the rest of which was under water.	The spot thus chosen was a dark, circular object, about a hundred yards away, and certainly did look very much like the extremity of some spar, the rest of which was under water.
1165_135216_000024_000001	After this the four stood watching the little fleet in silence.	After this the four stood watching the little fleet in silence.
1165_135216_000024_000003	Gradually they drew apart, the green one drifting astern, the yellow one remaining under the vessel, while the red and the white were carried out in the direction where they were expected to go, with about a foot of space between them.	Gradually they drew apart, the green one drifting astern, the yellow one remaining under the vessel, while the red and the white were carried out in the direction where they were expected to go, with about a foot of space between them.
1165_135216_000025_000000	"Two to one on the red!" cried Featherstone, betting on the one which had gained the lead.	"Two to one on the red!" cried Featherstone, betting on the one which had gained the lead.
1165_135216_000027_000000	Oxenden made the same bet, which was taken by Melick and the doctor.	Oxenden made the same bet, which was taken by Melick and the doctor.
1165_135216_000028_000001	All took part in this; the excitement rose high and the betting went on merrily.	All took part in this; the excitement rose high and the betting went on merrily.
1165_135216_000028_000002	At length it was noticed that the white was overhauling the red.	At length it was noticed that the white was overhauling the red.
1165_135216_000028_000003	The excitement grew intense; the betting changed its form, but was still kept up, until at last the two paper boats seemed blended together in one dim spot which gradually faded out of sight.	The excitement grew intense; the betting changed its form, but was still kept up, until at last the two paper boats seemed blended together in one dim spot which gradually faded out of sight.
