1058_133263_000000_000000	Chapter II: Origin Of The Anglo-Americans--Part I	Chapter two: Origin Of The Anglo Americans-Part one	false	38.97	49	20.84181
1058_133263_000001_000000	Chapter Summary	Chapter Summary	true	50.66	52.45	17.130323
1058_133263_000002_000000	Utility of knowing the origin of nations in order to understand their social condition and their laws--America the only country in which the starting-point of a great people has been clearly observable--In what respects all who emigrated to British America were similar--In what they differed--Remark applicable to all Europeans who established themselves on the shores of the New World--Colonization of Virginia--Colonization of New England--Original character of the first inhabitants of New England--Their arrival--Their first laws--Their social contract--Penal code borrowed from the Hebrew legislation--Religious fervor--Republican spirit--Intimate union of the spirit of religion with the spirit of liberty.	Utility of knowing the origin of nations in order to understand their social condition and their laws-America the only country in which the starting point of a great people has been clearly observable-In what respects all who emigrated to British America were similar-In what they differed-Remark applicable to all Europeans who established themselves on the shores of the New World-Colonization of Virginia-Colonization of New England-Original character of the first inhabitants of New England-Their arrival-Their first laws-Their social contract-Penal code borrowed from the Hebrew legislation-Religious fervor-Republican spirit-Intimate union of the spirit of religion with the spirit of liberty.	true	52.82	111.94	18
1058_133263_000003_000000	Origin Of The Anglo-Americans, And Its Importance In Relation To Their Future Condition.	Origin Of The Anglo Americans, And Its Importance In Relation To Their Future Condition.	true	112.64	119.5	16
1058_133263_000004_000000	After the birth of a human being his early years are obscurely spent in the toils or pleasures of childhood.	After the birth of a human being his early years are obscurely spent in the toils or pleasures of childhood.	true	120.17	128.56	17.275242
1058_133263_000004_000001	As he grows up the world receives him, when his manhood begins, and he enters into contact with his fellows.	As he grows up the world receives him, when his manhood begins, and he enters into contact with his fellows.	true	128.78	136.84	16
1058_133263_000004_000002	He is then studied for the first time, and it is imagined that the germ of the vices and the virtues of his maturer years is then formed.	He is then studied for the first time, and it is imagined that the germ of the vices and the virtues of his maturer years is then formed.	true	137.63	147.7	16
1058_133263_000004_000003	This, if I am not mistaken, is a great error.	This, if I am not mistaken, is a great error.	true	147.95	151.99	21.449955
1058_133263_000004_000004	We must begin higher up; we must watch the infant in its mother's arms; we must see the first images which the external world casts upon the dark mirror of his mind; the first occurrences which he witnesses; we must hear the first words which awaken the sleeping powers of thought, and stand by his earliest efforts, if we would understand the prejudices, the habits, and the passions which will rule his life.	We must begin higher up; we must watch the infant in its mother's arms; we must see the first images which the external world casts upon the dark mirror of his mind; the first occurrences which he witnesses; we must hear the first words which awaken the sleeping powers of thought, and stand by his earliest efforts, if we would understand the prejudices, the habits, and the passions which will rule his life.	true	152.3	186.97	18.515528
1058_133263_000004_000005	The entire man is, so to speak, to be seen in the cradle of the child.	The entire man is, so to speak, to be seen in the cradle of the child.	true	186.98	193.39	17.15882
1058_133263_000005_000000	The growth of nations presents something analogous to this: they all bear some marks of their origin; and the circumstances which accompanied their birth and contributed to their rise affect the whole term of their being.	The growth of nations presents something analogous to this: they all bear some marks of their origin; and the circumstances which accompanied their birth and contributed to their rise affect the whole term of their being.	true	193.49	208.69	17
1058_133263_000005_000001	If we were able to go back to the elements of states, and to examine the oldest monuments of their history, I doubt not that we should discover the primal cause of the prejudices, the habits, the ruling passions, and, in short, of all that constitutes what is called the national character; we should then find the explanation of certain customs which now seem at variance with the prevailing manners; of such laws as conflict with established principles; and of such incoherent opinions as are here and there to be met with in society, like those fragments of broken chains which we sometimes see hanging from the vault of an edifice, and supporting nothing.	If we were able to go back to the elements of states, and to examine the oldest monuments of their history, I doubt not that we should discover the primal cause of the prejudices, the habits, the ruling passions, and, in short, of all that constitutes what is called the national character; we should then find the explanation of certain customs which now seem at variance with the prevailing manners; of such laws as conflict with established principles; and of such incoherent opinions as are here and there to be met with in society, like those fragments of broken chains which we sometimes see hanging from the vault of an edifice, and supporting nothing.	false	208.97	259.39	18
1058_133263_000005_000002	This might explain the destinies of certain nations, which seem borne on by an unknown force to ends of which they themselves are ignorant.	This might explain the destinies of certain nations, which seem borne on by an unknown force to ends of which they themselves are ignorant.	true	259.79	271.36	15
1058_133263_000005_000003	But hitherto facts have been wanting to researches of this kind: the spirit of inquiry has only come upon communities in their latter days; and when they at length contemplated their origin, time had already obscured it, or ignorance and pride adorned it with truth-concealing fables.	But hitherto facts have been wanting to researches of this kind: the spirit of inquiry has only come upon communities in their latter days; and when they at length contemplated their origin, time had already obscured it, or ignorance and pride adorned it with truth concealing fables.	false	272.12	297.01	17
1058_133263_000006_000000	America is the only country in which it has been possible to witness the natural and tranquil growth of society, and where the influences exercised on the future condition of states by their origin is clearly distinguishable.	America is the only country in which it has been possible to witness the natural and tranquil growth of society, and where the influences exercised on the future condition of states by their origin is clearly distinguishable.	true	297.92	314.8	14
1058_133263_000006_000001	At the period when the peoples of Europe landed in the New World their national characteristics were already completely formed; each of them had a physiognomy of its own; and as they had already attained that stage of civilization at which men are led to study themselves, they have transmitted to us a faithful picture of their opinions, their manners, and their laws.	At the period when the peoples of Europe landed in the New World their national characteristics were already completely formed; each of them had a physiognomy of its own; and as they had already attained that stage of civilization at which men are led to study themselves, they have transmitted to us a faithful picture of their opinions, their manners, and their laws.	true	315.53	344.95	16
