6518_66470_000000_000000	NOVEMBER	NOVEMBER	false	1.02	11.34	25.429913
6518_66470_000001_000000	1.	one.	false	11.34	12.12	18
6518_66470_000002_000000	THOU art of this world, Christ.	THOU art of this world, Christ.	false	12.12	26.805	24.773119
6518_66470_000002_000001	Thou know'st it all; Thou know'st our evens, our morns, our red and gray; How moons, and hearts, and seasons rise and fall; How we grow weary plodding on the way; Of future joy how present pain bereaves, Rounding us with a dark of mere decay, Tossed with a drift Of summer-fallen leaves.	Thou know'st it all; Thou know'st our evens, our morns, our red and gray; How moons, and hearts, and seasons rise and fall; How we grow weary plodding on the way; Of future joy how present pain bereaves, Rounding us with a dark of mere decay, Tossed with a drift Of summer fallen leaves.	false	26.805	48.96	22.810139
6518_66470_000003_000000	2.	two.	false	48.96	50.235	24.488867
6518_66470_000004_000000	Thou knowest all our weeping, fainting, striving; Thou know'st how very hard it is to be; How hard to rouse faint will not yet reviving; To do the pure thing, trusting all to thee; To hold thou art there, for all no face we see; How hard to think, through cold and dark and dearth, That thou art nearer now than when eye-seen on earth.	Thou knowest all our weeping, fainting, striving; Thou know'st how very hard it is to be; How hard to rouse faint will not yet reviving; To do the pure thing, trusting all to thee; To hold thou art there, for all no face we see; How hard to think, through cold and dark and dearth, That thou art nearer now than when eye seen on earth.	false	50.235	74.4	25.874378
6518_66470_000005_000000	3.	three.	false	74.4	75.615	25.539661
6518_66470_000006_000000	Have pity on us for the look of things, When blank denial stares us in the face. Although the serpent mask have lied before, It fascinates the bird that darkling sings, And numbs the little prayer-bird's beating wings. For how believe thee somewhere in blank space, If through the darkness come no knocking to our door?	Have pity on us for the look of things, When blank denial stares us in the face. Although the serpent mask have lied before, It fascinates the bird that darkling sings, And numbs the little prayer bird's beating wings. For how believe thee somewhere in blank space, If through the darkness come no knocking to our door?	false	75.615	97.59	23.659744
6518_66470_000007_000000	4.	four.	false	97.59	99.27	26.780773
6518_66470_000008_000000	If we might sit until the darkness go, Possess our souls in patience perhaps we might; But there is always something to be done, And no heart left to do it.	If we might sit until the darkness go, Possess our souls in patience perhaps we might; But there is always something to be done, And no heart left to do it.	true	99.27	109	26.334475
6518_66470_000008_000001	To and fro The dull thought surges, as the driven waves fight In gulfy channels.	To and fro The dull thought surges, as the driven waves fight In gulfy channels.	true	109.25	114.7	22.788095
6518_66470_000008_000002	Oh! victorious one, Give strength to rise, go out, and meet thee in the night.	Oh! victorious one, Give strength to rise, go out, and meet thee in the night.	false	114.86	121.65	26.217113
6518_66470_000009_000000	5.	five.	false	121.65	122.88	22.616282
6518_66470_000010_000000	"Wake, thou that sleepest; rise up from the dead, And Christ will give thee light." I do not know What sleep is, what is death, or what is light; But I am waked enough to feel a woe, To rise and leave death.	"Wake, thou that sleepest; rise up from the dead, And Christ will give thee light." I do not know What sleep is, what is death, or what is light; But I am waked enough to feel a woe, To rise and leave death.	true	122.88	136.48	24.040491
6518_66470_000010_000001	Stumbling through the night, To my dim lattice, O calling Christ!	Stumbling through the night, To my dim lattice, O calling Christ!	true	136.52	140.23	21.304186
6518_66470_000010_000002	I go, And out into the dark look for thy star-crowned head.	I go, And out into the dark look for thy star crowned head.	false	140.24	146.4	28.317184
6518_66470_000011_000000	6.	six.	true	146.4	147.19	34.813824
6518_66470_000012_000000	There are who come to me, and write, and send, Whom I would love, giving good things to all, But friend--that name I cannot on them spend; 'Tis from the centre of self-love they call For cherishing--for which they first must know How to be still, and take the seat that's low: When, Lord, shall I be fit--when wilt thou call me friend?	There are who come to me, and write, and send, Whom I would love, giving good things to all, But friend-that name I cannot on them spend; 'tis from the centre of self love they call For cherishing-for which they first must know How to be still, and take the seat that's low: When, Lord, shall I be fit-when wilt thou call me friend?	false	147.71	171.06	24.96693
6518_66470_000013_000000	7.	seven.	false	171.06	172.68	20.79605
6518_66470_000014_000000	Wilt thou not one day, Lord?	Wilt thou not one day, Lord?	true	172.68	174.49	22.424036
6518_66470_000014_000001	In all my wrong, Self-love and weakness, laziness and fear, This one thing I can say: I am content To be and have what in thy heart I am meant To be and have.	In all my wrong, Self love and weakness, laziness and fear, This one thing I can say: I am content To be and have what in thy heart I am meant To be and have.	true	174.59	185.59	24.904116
6518_66470_000014_000002	In my best times I long After thy will, and think it glorious-dear; Even in my worst, perforce my will to thine is bent.	In my best times I long After thy will, and think it glorious dear; Even in my worst, perforce my will to thine is bent.	true	185.84	194.58	24.367954
6518_66470_000015_000000	8.	eight.	false	194.58	197.7	26.331741
6518_66470_000016_000000	My God, I look to thee for tenderness Such as I could not seek from any man, Or in a human heart fancy or plan-- A something deepest prayer will not express: Lord, with thy breath blow on my being's fires, Until, even to the soul with self-love wan, I yield the primal love, that no return desires.	My God, I look to thee for tenderness Such as I could not seek from any man, Or in a human heart fancy or plan- A something deepest prayer will not express: Lord, with thy breath blow on my being's fires, Until, even to the soul with self love wan, I yield the primal love, that no return desires.	false	197.7	218.25	24.580647
6518_66470_000017_000000	9.	nine.	false	218.25	221.64	21.389404
6518_66470_000018_000000	Only no word of mine must ever foster The self that in a brother's bosom gnaws; I may not fondle failing, nor the boaster Encourage with the breath of my applause. Weakness needs pity, sometimes love's rebuke; Strength only sympathy deserves and draws-- And grows by every faithful loving look.	Only no word of mine must ever foster The self that in a brother's bosom gnaws; I may not fondle failing, nor the boaster Encourage with the breath of my applause. Weakness needs pity, sometimes love's rebuke; Strength only sympathy deserves and draws- And grows by every faithful loving look.	false	221.64	243.57	23.895252
6518_66470_000019_000000	10.	ten.	true	243.57	244.63	34.23448
6518_66470_000020_000000	'Tis but as men draw nigh to thee, my Lord, They can draw nigh each other and not hurt. Who with the gospel of thy peace are girt, The belt from which doth hang the Spirit's sword, Shall breathe on dead bones, and the bones shall live, Sweet poison to the evil self shall give, And, clean themselves, lift men clean from the mire abhorred.	'tis but as men draw nigh to thee, my Lord, They can draw nigh each other and not hurt. Who with the gospel of thy peace are girt, The belt from which doth hang the Spirit's sword, Shall breathe on dead bones, and the bones shall live, Sweet poison to the evil self shall give, And, clean themselves, lift men clean from the mire abhorred.	false	244.91	268.05	25.329165
6518_66470_000021_000000	11.	eleven.	true	268.05	268.84	21.975197
6518_66470_000022_000000	My Lord, I have no clothes to come to thee; My shoes are pierced and broken with the road; I am torn and weathered, wounded with the goad, And soiled with tugging at my weary load: The more I need thee!	My Lord, I have no clothes to come to thee; My shoes are pierced and broken with the road; I am torn and weathered, wounded with the goad, And soiled with tugging at my weary load: The more I need thee!	true	269.33	282.28	27.059496
6518_66470_000022_000001	A very prodigal I stagger into thy presence, Lord of me: One look, my Christ, and at thy feet I fall!	A very prodigal I stagger into thy presence, Lord of me: One look, my Christ, and at thy feet I fall!	false	282.38	291.09	27.441814
6518_66470_000023_000000	12.	twelve.	true	291.09	291.97	23.588776
6518_66470_000024_000000	Why should I still hang back, like one in a dream, Who vainly strives to clothe himself aright, That in great presence he may seemly seem? Why call up feeling?--dress me in the faint, Worn, faded, cast-off nimbus of some saint? Why of old mood bring back a ghostly gleam-- While there He waits, love's heart and loss's blight!	Why should I still hang back, like one in a dream, Who vainly strives to clothe himself aright, That in great presence he may seemly seem? Why call up feeling?--dress me in the faint, Worn, faded, cast off nimbus of some saint? Why of old mood bring back a ghostly gleam- While there He waits, love's heart and loss's blight!	false	292.37	316.68	23.567911
6518_66470_000025_000000	13.	thirteen.	true	316.68	317.62	34.031807
6518_66470_000026_000000	Son of the Father, elder brother mine, See thy poor brother's plight; See how he stands Defiled and feeble, hanging down his hands! Make me clean, brother, with thy burning shine; From thy rich treasures, householder divine, Bring forth fair garments, old and new, I pray, And like thy brother dress me, in the old home-bred way.	Son of the Father, elder brother mine, See thy poor brother's plight; See how he stands Defiled and feeble, hanging down his hands! Make me clean, brother, with thy burning shine; From thy rich treasures, householder divine, Bring forth fair garments, old and new, I pray, And like thy brother dress me, in the old home bred way.	false	317.93	341.52	24.535866
6518_66470_000027_000000	14.	fourteen.	true	341.52	342.52	34.309147
6518_66470_000028_000000	My prayer-bird was cold--would not away, Although I set it on the edge of the nest. Then I bethought me of the story old-- Love-fact or loving fable, thou know'st best-- How, when the children had made sparrows of clay, Thou mad'st them birds, with wings to flutter and fold: Take, Lord, my prayer in thy hand, and make it pray.	My prayer bird was cold-would not away, Although I set it on the edge of the nest. Then I bethought me of the story old- Love fact or loving fable, thou know'st best- How, when the children had made sparrows of clay, Thou mad'st them birds, with wings to flutter and fold: Take, Lord, my prayer in thy hand, and make it pray.	false	343.04	362.79	25.9001
6518_66470_000029_000000	15.	fifteen.	false	362.79	362.79	
