5984_63095_000001_000000	CHAPTER XI	CHAPTER eleven
5984_63095_000002_000000	NOT PATS BUT SCRATCHES	NOT PATS BUT SCRATCHES
5984_63095_000003_000000	Mrs. Colebrook went home the next day.	mrs Colebrook went home the next day.
5984_63095_000003_000001	She wore the air of an injured martyr at breakfast.	She wore the air of an injured martyr at breakfast.
5984_63095_000003_000002	She told her brother that, of course, if he preferred to have an ignorant servant girl take care of his poor afflicted son, she had nothing to say; but that certainly he could not expect HER to stay, too, especially after being insulted as she had been.	She told her brother that, of course, if he preferred to have an ignorant servant girl take care of his poor afflicted son, she had nothing to say; but that certainly he could not expect HER to stay, too, especially after being insulted as she had been.
5984_63095_000005_000000	Susan, in the kitchen, went doggedly about her work, singing, meanwhile, what Keith called her "mad" song.	Susan, in the kitchen, went doggedly about her work, singing, meanwhile, what Keith called her "mad" song.
5984_63095_000006_000001	Hurrah!	Hurrah!
5984_63095_000009_000000	Upstairs, Keith, wearily indifferent as to everything that was taking place about him, lay motionless as usual, his face turned toward the wall.	Upstairs, Keith, wearily indifferent as to everything that was taking place about him, lay motionless as usual, his face turned toward the wall.
5984_63095_000010_000000	And at ten o'clock Mrs. Colebrook went.	And at ten o'clock mrs Colebrook went.
5984_63095_000010_000001	Five minutes later Daniel Burton entered the kitchen--a proceeding so extraordinary that Susan broke off her song in the middle of a "Hurrah" and grew actually pale.	Five minutes later Daniel Burton entered the kitchen-a proceeding so extraordinary that Susan broke off her song in the middle of a "Hurrah" and grew actually pale.
5984_63095_000011_000000	"What is it?--KEITH?	"What is it?--KEITH?
5984_63095_000011_000001	Is anything the matter with Keith?" she faltered.	Is anything the matter with Keith?" she faltered.
5984_63095_000012_000000	Ignoring her question the man strode into the room.	Ignoring her question the man strode into the room.
5984_63095_000013_000000	"Well, Susan, this time you've done it," he ejaculated tersely.	"Well, Susan, this time you've done it," he ejaculated tersely.
5984_63095_000014_000000	"Done it--to Keith--ME?	"Done it-to Keith-ME?
5984_63095_000014_000001	Why, Mr. Burton, what do you mean?	Why, mr Burton, what do you mean?
5984_63095_000014_000002	Is Keith--worse?" chattered Susan, with dry lips.	Is Keith-worse?" chattered Susan, with dry lips.
5984_63095_000015_000000	"No, no, I don't mean the hash," interrupted the man irritably.	"No, no, I don't mean the hash," interrupted the man irritably.
5984_63095_000015_000001	"Keith is all right--that is, he is just as he has been.	"Keith is all right-that is, he is just as he has been.
5984_63095_000015_000002	It's my sister, Mrs. Colebrook.	It's my sister, mrs Colebrook.
5984_63095_000015_000003	She's gone."	She's gone."
5984_63095_000016_000000	"Gone--for good?"	"Gone-for good?"
