7437_117899_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	6.645	8.23	16
7437_117899_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	8.33	10.59	16
7437_117899_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	10.59	13.65	13
7437_117899_000001_000000	The Project Gutenberg eBook, The Economic Consequences of the Peace, by John Maynard Keynes	The Project Gutenberg eBook, The Economic Consequences of the Peace, by john Maynard Keynes	false	13.65	14.34	17
7437_117899_000002_000000	This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.	false	14.34	14.37	-20
7437_117899_000002_000001	You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.net	You may copy it, give it away or re use it under the terms of the Project Gutenberg License included with this eBook or online at w w w dot gutenberg dot net	false	14.37	14.43	3
7437_117899_000003_000000	Title: The Economic Consequences of the Peace	Title: The Economic Consequences of the Peace	false	14.43	14.43	
7437_117899_000004_000000	Author: John Maynard Keynes	Author: john Maynard Keynes	false	14.43	14.46	-20
7437_117899_000005_000000	Release Date: May 6, 2005 [eBook #15776] Most recently updated: July 15, 2013	Release Date: may sixth two thousand five [eBook # fifteen thousand seven hundred seventy six] Most recently updated: july fifteenth twenty thirteen	false	14.46	14.49	-20
7437_117899_000006_000000	Language: English	Language: English	false	14.49	14.49	
7437_117899_000007_000000	Character set encoding: ISO-646-US (US-ASCII)	Character set encoding: i s o six four six u s (u s ASCII)	false	14.49	14.52	-20
7437_117899_000008_000000	***START OF THE PROJECT GUTENBERG EBOOK THE ECONOMIC CONSEQUENCES OF THE PEACE***	asterisk asterisk START OF THE PROJECT GUTENBERG EBOOK THE ECONOMIC CONSEQUENCES OF THE PEACE asterisk asterisk	false	14.52	14.55	-20
7437_117899_000009_000000	E-text prepared by Rick Niles, Jon King, and the Project Gutenberg Online Distributed Proofreading Team	E text prepared by Rick Niles, Jon King, and the Project Gutenberg Online Distributed Proofreading Team	false	14.55	16.38	19.269915
7437_117899_000010_000000	THE ECONOMIC CONSEQUENCES OF THE PEACE	THE ECONOMIC CONSEQUENCES OF THE PEACE	true	16.38	18.31	14
7437_117899_000011_000000	by	by	true	18.59	18.81	33
