3549_8890_000000_000000	CHAPTER X.	CHAPTER ten	true	19.515	20.74	23.255993
3549_8890_000001_000000	Supper-time came, and with it the hot-baked from the oven, laid on a snowy cloth fresh from the press, and reticulated with folds, as in Flemish "Last Suppers." Creedle and the boy fetched and carried with amazing alacrity, the latter, to mollify his superior and make things pleasant, expressing his admiration of Creedle's cleverness when they were alone.	Supper time came, and with it the hot baked from the oven, laid on a snowy cloth fresh from the press, and reticulated with folds, as in Flemish "Last Suppers." Creedle and the boy fetched and carried with amazing alacrity, the latter, to mollify his superior and make things pleasant, expressing his admiration of Creedle's cleverness when they were alone.	false	21.68	46.93	22.674831
3549_8890_000002_000000	"I s'pose the time when you learned all these knowing things, Mr. Creedle, was when you was in the militia?"	"I s'pose the time when you learned all these knowing things, mr Creedle, was when you was in the militia?"	true	47.93	54.61	20.704096
3549_8890_000003_000000	"Well, yes.	"Well, yes.	true	55.16	56.41	26.873478
3549_8890_000003_000001	I seed the world at that time somewhat, certainly, and many ways of strange dashing life.	I seed the world at that time somewhat, certainly, and many ways of strange dashing life.	true	56.6	62.8	20.8008
3549_8890_000003_000002	Not but that Giles has worked hard in helping me to bring things to such perfection to-day. 'Giles,' says I, though he's maister.	Not but that Giles has worked hard in helping me to bring things to such perfection to day. 'Giles,' says I, though he's maister.	true	63.35	71.86	22.17602
3549_8890_000003_000003	Not that I should call'n maister by rights, for his father growed up side by side with me, as if one mother had twinned us and been our nourishing."	Not that I should call'n maister by rights, for his father growed up side by side with me, as if one mother had twinned us and been our nourishing."	true	71.96	80.53	23.075583
3549_8890_000004_000000	"I s'pose your memory can reach a long way back into history, Mr. Creedle?"	"I s'pose your memory can reach a long way back into history, mr Creedle?"	true	81.53	85.12	21
3549_8890_000005_000000	"Oh yes.	"Oh yes.	true	85.64	86.505	18.353424
3549_8890_000005_000001	Ancient days, when there was battles and famines and hang-fairs and other pomps, seem to me as yesterday.	Ancient days, when there was battles and famines and hang fairs and other pomps, seem to me as yesterday.	true	86.505	92.85	20
3549_8890_000005_000002	Ah, many's the patriarch I've seed come and go in this parish!	Ah, many's the patriarch I've seed come and go in this parish!	false	92.85	97.42	21.167898
3549_8890_000005_000003	There, he's calling for more plates.	There, he's calling for more plates.	true	98.06	100.24	24.286789
3549_8890_000005_000004	Lord, why can't 'em turn their plates bottom upward for pudding, as they used to do in former days?"	Lord, why can't 'em turn their plates bottom upward for pudding, as they used to do in former days?"	false	100.46	106.18	24.34621
3549_8890_000006_000000	Meanwhile, in the adjoining room Giles was presiding in a half-unconscious state.	Meanwhile, in the adjoining room Giles was presiding in a half unconscious state.	true	107.3	112.24	19.529114
3549_8890_000006_000001	He could not get over the initial failures in his scheme for advancing his suit, and hence he did not know that he was eating mouthfuls of bread and nothing else, and continually snuffing the two candles next him till he had reduced them to mere glimmers drowned in their own grease.	He could not get over the initial failures in his scheme for advancing his suit, and hence he did not know that he was eating mouthfuls of bread and nothing else, and continually snuffing the two candles next him till he had reduced them to mere glimmers drowned in their own grease.	true	112.52	130.24	21.969187
3549_8890_000006_000002	Creedle now appeared with a specially prepared dish, which he served by elevating the little three-legged pot that contained it, and tilting the contents into a dish, exclaiming, simultaneously, "Draw back, gentlemen and ladies, please!"	Creedle now appeared with a specially prepared dish, which he served by elevating the little three legged pot that contained it, and tilting the contents into a dish, exclaiming, simultaneously, "Draw back, gentlemen and ladies, please!"	false	131.57	147.19	23.974747
3549_8890_000007_000000	A splash followed.	A splash followed.	true	147.92	149.59	23.976948
3549_8890_000007_000001	Grace gave a quick, involuntary nod and blink, and put her handkerchief to her face.	Grace gave a quick, involuntary nod and blink, and put her handkerchief to her face.	true	149.84	155.44	23.046886
3549_8890_000008_000000	"Good heavens! what did you do that for, Creedle?" said Giles, sternly, and jumping up.	"Good heavens! what did you do that for, Creedle?" said Giles, sternly, and jumping up.	true	157.4	162.79	22.245483
3549_8890_000009_000000	"'Tis how I do it when they baint here, maister," mildly expostulated Creedle, in an aside audible to all the company.	"'tis how I do it when they baint here, maister," mildly expostulated Creedle, in an aside audible to all the company.	true	164	172.21	20.371956
3549_8890_000010_000000	"Well, yes--but--" replied Giles.	"Well, yes-but-" replied Giles.	true	173.12	176.17	27.91414
3549_8890_000010_000001	He went over to Grace, and hoped none of it had gone into her eye.	He went over to Grace, and hoped none of it had gone into her eye.	false	176.6	180.96	18.966143
3549_8890_000011_000000	"Oh no," she said.	"Oh no," she said.	true	180.96	182.29	22.531305
3549_8890_000011_000001	"Only a sprinkle on my face.	"Only a sprinkle on my face.	true	182.33	184.05	22.008093
3549_8890_000011_000002	It was nothing."	It was nothing."	true	184.05	185.14	28.320621
3549_8890_000012_000000	"Kiss it and make it well," gallantly observed Mr. Bawtree.	"Kiss it and make it well," gallantly observed mr Bawtree.	true	186.26	189.97	23.181042
3549_8890_000013_000000	Miss Melbury blushed.	Miss Melbury blushed.	true	191.33	193.18	22.664827
3549_8890_000014_000000	The timber-merchant said, quickly, "Oh, it is nothing!	The timber merchant said, quickly, "Oh, it is nothing!	true	194.21	198	21.660166
3549_8890_000014_000001	She must bear these little mishaps." But there could be discerned in his face something which said "I ought to have foreseen this."	She must bear these little mishaps." But there could be discerned in his face something which said "I ought to have foreseen this."	true	198	205.75	21.886843
3549_8890_000015_000000	Giles himself, since the untoward beginning of the feast, had not quite liked to see Grace present.	Giles himself, since the untoward beginning of the feast, had not quite liked to see Grace present.	true	207.2	213.64	23.167631
3549_8890_000015_000001	He wished he had not asked such people as Bawtree and the hollow-turner.	He wished he had not asked such people as Bawtree and the hollow turner.	false	214.28	218.53	23.031796
3549_8890_000015_000002	He had done it, in dearth of other friends, that the room might not appear empty.	He had done it, in dearth of other friends, that the room might not appear empty.	true	218.9	223.65	23.143507
3549_8890_000015_000003	In his mind's eye, before the event, they had been the mere background or padding of the scene, but somehow in reality they were the most prominent personages there.	In his mind's eye, before the event, they had been the mere background or padding of the scene, but somehow in reality they were the most prominent personages there.	false	223.65	235.63	21.619951
3549_8890_000016_000000	After supper they played cards, Bawtree and the hollow-turner monopolizing the new packs for an interminable game, in which a lump of chalk was incessantly used--a game those two always played wherever they were, taking a solitary candle and going to a private table in a corner with the mien of persons bent on weighty matters.	After supper they played cards, Bawtree and the hollow turner monopolizing the new packs for an interminable game, in which a lump of chalk was incessantly used-a game those two always played wherever they were, taking a solitary candle and going to a private table in a corner with the mien of persons bent on weighty matters.	false	236.93	259.81	23.142937
3549_8890_000016_000001	The rest of the company on this account were obliged to put up with old packs for their round game, that had been lying by in a drawer ever since the time that Giles's grandmother was alive.	The rest of the company on this account were obliged to put up with old packs for their round game, that had been lying by in a drawer ever since the time that Giles's grandmother was alive.	false	260.33	271.66	22.700123
3549_8890_000016_000002	Each card had a great stain in the middle of its back, produced by the touch of generations of damp and excited thumbs now fleshless in the grave; and the kings and queens wore a decayed expression of feature, as if they were rather an impecunious dethroned race of monarchs hiding in obscure slums than real regal characters.	Each card had a great stain in the middle of its back, produced by the touch of generations of damp and excited thumbs now fleshless in the grave; and the kings and queens wore a decayed expression of feature, as if they were rather an impecunious dethroned race of monarchs hiding in obscure slums than real regal characters.	false	272.3	294.25	22.423365
3549_8890_000016_000003	Every now and then the comparatively few remarks of the players at the round game were harshly intruded on by the measured jingle of Farmer Bawtree and the hollow-turner from the back of the room:	Every now and then the comparatively few remarks of the players at the round game were harshly intruded on by the measured jingle of Farmer Bawtree and the hollow turner from the back of the room:	true	294.98	306.73	21.855574
3549_8890_000017_000000	"And I' will hold' a wa'-ger with you' That all' these marks' are thirt'-y two!"	"And I' will hold' a wa'-g e r with you' That all' these marks' are thirt'-y two!"	false	307.16	313.08	20.86091
3549_8890_000018_000000	accompanied by rapping strokes with the chalk on the table; then an exclamation, an argument, a dealing of the cards; then the commencement of the rhymes anew.	accompanied by rapping strokes with the chalk on the table; then an exclamation, an argument, a dealing of the cards; then the commencement of the rhymes anew.	false	313.08	323.89	24.067686
3549_8890_000019_000000	The timber-merchant showed his feelings by talking with a satisfied sense of weight in his words, and by praising the party in a patronizing tone, when Winterborne expressed his fear that he and his were not enjoying themselves.	The timber merchant showed his feelings by talking with a satisfied sense of weight in his words, and by praising the party in a patronizing tone, when Winterborne expressed his fear that he and his were not enjoying themselves.	true	324.8	338.47	22.406504
