3549_8890_000000_000000	CHAPTER X.	CHAPTER ten
3549_8890_000002_000000	"I s'pose the time when you learned all these knowing things, Mr. Creedle, was when you was in the militia?"	"I s'pose the time when you learned all these knowing things, mr Creedle, was when you was in the militia?"
3549_8890_000003_000000	"Well, yes.	"Well, yes.
3549_8890_000003_000001	I seed the world at that time somewhat, certainly, and many ways of strange dashing life.	I seed the world at that time somewhat, certainly, and many ways of strange dashing life.
3549_8890_000003_000002	Not but that Giles has worked hard in helping me to bring things to such perfection to-day. 'Giles,' says I, though he's maister.	Not but that Giles has worked hard in helping me to bring things to such perfection to day. 'Giles,' says I, though he's maister.
3549_8890_000003_000003	Not that I should call'n maister by rights, for his father growed up side by side with me, as if one mother had twinned us and been our nourishing."	Not that I should call'n maister by rights, for his father growed up side by side with me, as if one mother had twinned us and been our nourishing."
3549_8890_000004_000000	"I s'pose your memory can reach a long way back into history, Mr. Creedle?"	"I s'pose your memory can reach a long way back into history, mr Creedle?"
3549_8890_000005_000001	Ancient days, when there was battles and famines and hang-fairs and other pomps, seem to me as yesterday.	Ancient days, when there was battles and famines and hang fairs and other pomps, seem to me as yesterday.
3549_8890_000005_000003	There, he's calling for more plates.	There, he's calling for more plates.
3549_8890_000006_000001	He could not get over the initial failures in his scheme for advancing his suit, and hence he did not know that he was eating mouthfuls of bread and nothing else, and continually snuffing the two candles next him till he had reduced them to mere glimmers drowned in their own grease.	He could not get over the initial failures in his scheme for advancing his suit, and hence he did not know that he was eating mouthfuls of bread and nothing else, and continually snuffing the two candles next him till he had reduced them to mere glimmers drowned in their own grease.
3549_8890_000007_000000	A splash followed.	A splash followed.
3549_8890_000007_000001	Grace gave a quick, involuntary nod and blink, and put her handkerchief to her face.	Grace gave a quick, involuntary nod and blink, and put her handkerchief to her face.
3549_8890_000008_000000	"Good heavens! what did you do that for, Creedle?" said Giles, sternly, and jumping up.	"Good heavens! what did you do that for, Creedle?" said Giles, sternly, and jumping up.
3549_8890_000009_000000	"'Tis how I do it when they baint here, maister," mildly expostulated Creedle, in an aside audible to all the company.	"'tis how I do it when they baint here, maister," mildly expostulated Creedle, in an aside audible to all the company.
3549_8890_000010_000000	"Well, yes--but--" replied Giles.	"Well, yes-but-" replied Giles.
3549_8890_000011_000000	"Oh no," she said.	"Oh no," she said.
3549_8890_000011_000001	"Only a sprinkle on my face.	"Only a sprinkle on my face.
3549_8890_000011_000002	It was nothing."	It was nothing."
3549_8890_000012_000000	"Kiss it and make it well," gallantly observed Mr. Bawtree.	"Kiss it and make it well," gallantly observed mr Bawtree.
3549_8890_000013_000000	Miss Melbury blushed.	Miss Melbury blushed.
3549_8890_000014_000000	The timber-merchant said, quickly, "Oh, it is nothing!	The timber merchant said, quickly, "Oh, it is nothing!
3549_8890_000014_000001	She must bear these little mishaps." But there could be discerned in his face something which said "I ought to have foreseen this."	She must bear these little mishaps." But there could be discerned in his face something which said "I ought to have foreseen this."
3549_8890_000015_000000	Giles himself, since the untoward beginning of the feast, had not quite liked to see Grace present.	Giles himself, since the untoward beginning of the feast, had not quite liked to see Grace present.
3549_8890_000015_000002	He had done it, in dearth of other friends, that the room might not appear empty.	He had done it, in dearth of other friends, that the room might not appear empty.
