2573_178450_000000_000000	CHAPTER XX	CHAPTER twenty
2573_178450_000001_000001	Bibbs went in and stood before him.	Bibbs went in and stood before him.
2573_178450_000001_000002	"I'm cured, father," he said.	"I'm cured, father," he said.
2573_178450_000001_000003	"When do I go back to the shop?	"When do I go back to the shop?
2573_178450_000001_000004	I'm ready."	I'm ready."
2573_178450_000002_000000	The desolate and grim old man did not relax.	The desolate and grim old man did not relax.
2573_178450_000002_000001	"I was sittin' up to give you a last chance to say something like that.	"I was sittin' up to give you a last chance to say something like that.
2573_178450_000002_000002	I reckon it's about time! I just wanted to see if you'd have manhood enough not to make me take you over there by the collar.	I reckon it's about time! I just wanted to see if you'd have manhood enough not to make me take you over there by the collar.
2573_178450_000002_000003	Last night I made up my mind I'd give you just one more day.	Last night I made up my mind I'd give you just one more day.
2573_178450_000002_000004	Well, you got to it before I did--pretty close to the eleventh hour!	Well, you got to it before I did-pretty close to the eleventh hour!
2573_178450_000002_000005	All right.	All right.
2573_178450_000002_000008	Think you can get up in time?"	Think you can get up in time?"
2573_178450_000003_000000	"Six o'clock," Bibbs responded, briskly.	"Six o'clock," Bibbs responded, briskly.
2573_178450_000004_000000	"That's YOUR lookout!" his father grunted.	"That's YOUR lookout!" his father grunted.
2573_178450_000004_000001	"They'll put you back on the clippin'-machine.	"They'll put you back on the clippin'-machine.
2573_178450_000004_000002	You get nine dollars a week."	You get nine dollars a week."
2573_178450_000005_000001	"That reminds me, I didn't mean YOU by 'Midas' in that nonsense I'd been writing.	"That reminds me, I didn't mean YOU by 'Midas' in that nonsense I'd been writing.
2573_178450_000005_000002	I meant--"	I meant-"
2573_178450_000007_000000	"I just wanted you to know.	"I just wanted you to know.
2573_178450_000007_000001	Good night, father."	Good night, father."
2573_178450_000008_000000	"G'night!"	"G'night!"
2573_178450_000009_000000	The sound of the young man's footsteps ascending the stairs became inaudible, and the house was quiet.	The sound of the young man's footsteps ascending the stairs became inaudible, and the house was quiet.
2573_178450_000009_000001	But presently, as Sheridan sat staring angrily at the fire, the shuffling of a pair of slippers could be heard descending, and Mrs. Sheridan made her appearance, her oblique expression and the state of her toilette being those of a person who, after trying unsuccessfully to sleep on one side, has got up to look for burglars.	But presently, as Sheridan sat staring angrily at the fire, the shuffling of a pair of slippers could be heard descending, and mrs Sheridan made her appearance, her oblique expression and the state of her toilette being those of a person who, after trying unsuccessfully to sleep on one side, has got up to look for burglars.
2573_178450_000010_000000	"Papa!" she exclaimed, drowsily.	"Papa!" she exclaimed, drowsily.
2573_178450_000010_000001	"Why'n't you go to bed?	"Why'n't you go to bed?
2573_178450_000011_000001	"What's the matter?" she asked, sleep and anxiety striving sluggishly with each other in her voice.	"What's the matter?" she asked, sleep and anxiety striving sluggishly with each other in her voice.
2573_178450_000011_000003	You got something new on your mind besides Jim's bein' taken away like he was.	You got something new on your mind besides Jim's bein' taken away like he was.
2573_178450_000011_000004	What's worryin' you now, papa?"	What's worryin' you now, papa?"
2573_178450_000012_000000	"Nothin'."	"Nothin'."
2573_178450_000013_000000	She jeered feebly.	She jeered feebly.
2573_178450_000015_000000	"Just the same as he did before?"	"Just the same as he did before?"
2573_178450_000018_000000	"Until he KNOWS something!"	"Until he KNOWS something!"
2573_178450_000018_000002	"He'll go back to the machine he couldn't learn to tend properly in the six months he was there, and he'll stick to it till he DOES learn it!	"He'll go back to the machine he couldn't learn to tend properly in the six months he was there, and he'll stick to it till he DOES learn it!
2573_178450_000018_000003	Do you suppose that lummix ever asked himself WHY I want him to learn it?	Do you suppose that lummix ever asked himself WHY I want him to learn it?
2573_178450_000018_000004	No!	No!
2573_178450_000018_000005	And I ain't a-goin' to tell him, either!	And I ain't a goin' to tell him, either!
2573_178450_000018_000008	I sent him there to make him THOROUGH.	I sent him there to make him THOROUGH.
2573_178450_000018_000010	He didn't LIKE it!	He didn't LIKE it!
2573_178450_000018_000012	I don't know what it is, but it's got to be worked out of him.	I don't know what it is, but it's got to be worked out of him.
2573_178450_000018_000013	Now, labor ain't any more a simple question than what it was when we were young.	Now, labor ain't any more a simple question than what it was when we were young.
2573_178450_000018_000015	That's what he did, and the balk's lasted close on to three years.	That's what he did, and the balk's lasted close on to three years.
2573_178450_000019_000000	"I knew there was something else," said Mrs. Sheridan, blinking over a yawn.	"I knew there was something else," said mrs Sheridan, blinking over a yawn.
2573_178450_000020_000000	"Suppose something happened to Roscoe," he said.	"Suppose something happened to Roscoe," he said.
2573_178450_000020_000001	"THEN what'd I have to look forward to?	"THEN what'd I have to look forward to?
2573_178450_000020_000002	THEN what could I depend on to hold things together?	THEN what could I depend on to hold things together?
2573_178450_000020_000003	A lummix!	A lummix!
2573_178450_000020_000004	A lummix that hasn't learned how to push a strip o' zinc along a groove!"	A lummix that hasn't learned how to push a strip o' zinc along a groove!"
2573_178450_000021_000001	"You needn't worry about Roscoe, papa.	"You needn't worry about Roscoe, papa.
2573_178450_000021_000002	He's the strongest child we had.	He's the strongest child we had.
2573_178450_000021_000003	I never did know anybody keep better health than he does.	I never did know anybody keep better health than he does.
2573_178450_000021_000004	I don't believe he's even had a cold in five years.	I don't believe he's even had a cold in five years.
2573_178450_000021_000005	You better go up to bed, papa."	You better go up to bed, papa."
