3289_171108_000001_000000	CHAPTER 3.	CHAPTER three.
3289_171108_000003_000000	1.	one.
3289_171108_000003_000001	For after the death of their father, the elder of them, Aristobulus, changed the government into a kingdom, and was the first that put a diadem upon his head, four hundred seventy and one years and three months after our people came down into this country, when they were set free from the Babylonian slavery.	For after the death of their father, the elder of them, Aristobulus, changed the government into a kingdom, and was the first that put a diadem upon his head, four hundred seventy and one years and three months after our people came down into this country, when they were set free from the Babylonian slavery.
3289_171108_000003_000003	He also put his mother in bonds, for her contesting the government with him; for John had left her to be the governess of public affairs.	He also put his mother in bonds, for her contesting the government with him; for john had left her to be the governess of public affairs.
3289_171108_000003_000004	He also proceeded to that degree of barbarity as to cause her to be pined to death in prison.	He also proceeded to that degree of barbarity as to cause her to be pined to death in prison.
3289_171108_000004_000001	But vengeance circumvented him in the affair of his brother Antigonus, whom he loved, and whom he made his partner in the kingdom; for he slew him by the means of the calumnies which ill men about the palace contrived against him.	But vengeance circumvented him in the affair of his brother Antigonus, whom he loved, and whom he made his partner in the kingdom; for he slew him by the means of the calumnies which ill men about the palace contrived against him.
3289_171108_000005_000000	3.	three.
3289_171108_000007_000000	5.	five.
3289_171108_000007_000001	And truly any one would be surprised at Judas upon this occasion.	And truly any one would be surprised at Judas upon this occasion.
3289_171108_000007_000002	He was of the sect of the Essens, and had never failed or deceived men in his predictions before.	He was of the sect of the Essens, and had never failed or deceived men in his predictions before.
3289_171108_000008_000000	6.	six.
3289_171108_000008_000001	Hereupon Aristobulus repented of the great crime he had been guilty of, and this gave occasion to the increase of his distemper.	Hereupon Aristobulus repented of the great crime he had been guilty of, and this gave occasion to the increase of his distemper.
3289_171108_000008_000005	O thou most impudent body!	O thou most impudent body!
3289_171108_000008_000007	How long shall I myself spend my blood drop by drop? let them take it all at once; and let their ghosts no longer be disappointed by a few parcels of my bowels offered to them." As soon as he had said these words, he presently died, when he had reigned no longer than a year.	How long shall I myself spend my blood drop by drop? let them take it all at once; and let their ghosts no longer be disappointed by a few parcels of my bowels offered to them." As soon as he had said these words, he presently died, when he had reigned no longer than a year.
3289_171108_000009_000000	CHAPTER 4.	CHAPTER four.
3289_171108_000010_000000	What Actions Were Done By Alexander Janneus, Who Reigned Twenty-Seven Years.	What Actions Were Done By Alexander Janneus, Who Reigned Twenty Seven Years.
3289_171108_000011_000000	1.	one.
3289_171108_000011_000001	And now the king's wife loosed the king's brethren, and made Alexander king, who appeared both elder in age, and more moderate in his temper than the rest; who, when he came to the government, slew one of his brethren, as affecting to govern himself; but had the other of them in great esteem, as loving a quiet life, without meddling with public affairs.	And now the king's wife loosed the king's brethren, and made Alexander king, who appeared both elder in age, and more moderate in his temper than the rest; who, when he came to the government, slew one of his brethren, as affecting to govern himself; but had the other of them in great esteem, as loving a quiet life, without meddling with public affairs.
3289_171108_000012_000003	Whereupon Theodopus marched against him, and took what belonged to himself as well as the king's baggage, and slew ten thousand of the Jews.	Whereupon Theodopus marched against him, and took what belonged to himself as well as the king's baggage, and slew ten thousand of the Jews.
3289_171108_000012_000004	However, Alexander recovered this blow, and turned his force towards the maritime parts, and took Raphia and Gaza, with Anthedon also, which was afterwards called Agrippias by king Herod.	However, Alexander recovered this blow, and turned his force towards the maritime parts, and took Raphia and Gaza, with Anthedon also, which was afterwards called Agrippias by king Herod.
3289_171108_000013_000000	3.	three.
3289_171108_000014_000001	However, when he fought with Obodas, king of the Arabians, who had laid an ambush for him near Golan, and a plot against him, he lost his entire army, which was crowded together in a deep valley, and broken to pieces by the multitude of camels.	However, when he fought with Obodas, king of the Arabians, who had laid an ambush for him near Golan, and a plot against him, he lost his entire army, which was crowded together in a deep valley, and broken to pieces by the multitude of camels.
3289_171108_000014_000002	And when he had made his escape to Jerusalem, he provoked the multitude, which hated him before, to make an insurrection against him, and this on account of the greatness of the calamity that he was under.	And when he had made his escape to Jerusalem, he provoked the multitude, which hated him before, to make an insurrection against him, and this on account of the greatness of the calamity that he was under.
3289_171108_000014_000003	However, he was then too hard for them; and, in the several battles that were fought on both sides, he slew not fewer than fifty thousand of the Jews in the interval of six years.	However, he was then too hard for them; and, in the several battles that were fought on both sides, he slew not fewer than fifty thousand of the Jews in the interval of six years.
3289_171108_000014_000005	But this mutability and irregularity of his conduct made them hate him still more.	But this mutability and irregularity of his conduct made them hate him still more.
3289_171108_000014_000006	And when he asked them why they so hated him, and what he should do in order to appease them, they said, by killing himself; for that it would be then all they could do to be reconciled to him, who had done such tragical things to them, even when he was dead.	And when he asked them why they so hated him, and what he should do in order to appease them, they said, by killing himself; for that it would be then all they could do to be reconciled to him, who had done such tragical things to them, even when he was dead.
3289_171108_000015_000003	Now, before they joined battle, the kings made proclamation, and endeavored to draw off each other's soldiers, and make them revolt; while Demetrius hoped to induce Alexander's mercenaries to leave him, and Alexander hoped to induce the Jews that were with Demetrius to leave him.	Now, before they joined battle, the kings made proclamation, and endeavored to draw off each other's soldiers, and make them revolt; while Demetrius hoped to induce Alexander's mercenaries to leave him, and Alexander hoped to induce the Jews that were with Demetrius to leave him.
3289_171108_000015_000004	But since neither the Jews would leave off their rage, nor the Greeks prove unfaithful, they came to an engagement, and to a close fight with their weapons.	But since neither the Jews would leave off their rage, nor the Greeks prove unfaithful, they came to an engagement, and to a close fight with their weapons.
3289_171108_000015_000005	In which battle Demetrius was the conqueror, although Alexander's mercenaries showed the greatest exploits, both in soul and body.	In which battle Demetrius was the conqueror, although Alexander's mercenaries showed the greatest exploits, both in soul and body.
3289_171108_000015_000006	Yet did the upshot of this battle prove different from what was expected, as to both of them; for neither did those that invited Demetrius to come to them continue firm to him, though he was conqueror; and six thousand Jews, out of pity to the change of Alexander's condition, when he was fled to the mountains, came over to him.	Yet did the upshot of this battle prove different from what was expected, as to both of them; for neither did those that invited Demetrius to come to them continue firm to him, though he was conqueror; and six thousand Jews, out of pity to the change of Alexander's condition, when he was fled to the mountains, came over to him.
3289_171108_000015_000007	Yet could not Demetrius bear this turn of affairs; but supposing that Alexander was already become a match for him again, and that all the nation would [at length] run to him, he left the country, and went his way.	Yet could not Demetrius bear this turn of affairs; but supposing that Alexander was already become a match for him again, and that all the nation would [at length] run to him, he left the country, and went his way.
3289_171108_000016_000001	However, the rest of the [Jewish] multitude did not lay aside their quarrels with him, when the [foreign] auxiliaries were gone; but they had a perpetual war with Alexander, until he had slain the greatest part of them, and driven the rest into the city Berneselis; and when he had demolished that city, he carried the captives to Jerusalem.	However, the rest of the [Jewish] multitude did not lay aside their quarrels with him, when the [foreign] auxiliaries were gone; but they had a perpetual war with Alexander, until he had slain the greatest part of them, and driven the rest into the city Berneselis; and when he had demolished that city, he carried the captives to Jerusalem.
3289_171108_000016_000002	Nay, his rage was grown so extravagant, that his barbarity proceeded to the degree of impiety; for when he had ordered eight hundred to be hung upon crosses in the midst of the city, he had the throats of their wives and children cut before their eyes; and these executions he saw as he was drinking and lying down with his concubines.	Nay, his rage was grown so extravagant, that his barbarity proceeded to the degree of impiety; for when he had ordered eight hundred to be hung upon crosses in the midst of the city, he had the throats of their wives and children cut before their eyes; and these executions he saw as he was drinking and lying down with his concubines.
3289_171108_000016_000003	Upon which so deep a surprise seized on the people, that eight thousand of his opposers fled away the very next night, out of all Judea, whose flight was only terminated by Alexander's death; so at last, though not till late, and with great difficulty, he, by such actions, procured quiet to his kingdom, and left off fighting any more.	Upon which so deep a surprise seized on the people, that eight thousand of his opposers fled away the very next night, out of all Judea, whose flight was only terminated by Alexander's death; so at last, though not till late, and with great difficulty, he, by such actions, procured quiet to his kingdom, and left off fighting any more.
3289_171108_000017_000000	7.	seven.
3289_171108_000017_000003	But still he was not able to exclude Antiochus, for he burnt the towers, and filled up the trenches, and marched on with his army.	But still he was not able to exclude Antiochus, for he burnt the towers, and filled up the trenches, and marched on with his army.
3289_171108_000018_000000	8.	eight.
3289_171108_000018_000001	About this time it was that the people of Damascus, out of their hatred to Ptolemy, the son of Menhens, invited Aretas [to take the government], and made him king of Celesyria.	About this time it was that the people of Damascus, out of their hatred to Ptolemy, the son of Menhens, invited Aretas [to take the government], and made him king of Celesyria.
3289_171108_000018_000002	This man also made an expedition against Judea, and beat Alexander in battle; but afterwards retired by mutual agreement.	This man also made an expedition against Judea, and beat Alexander in battle; but afterwards retired by mutual agreement.
