7730_304541_000000_000000	Yes, I _know_ God answers prayer.	Yes, I underscore know underscore God answers prayer.	false	1.02	9.27	23.075993
7730_304541_000001_000000	IX	IX	false	9.27	10.62	24.19589
7730_304541_000002_000000	TO HIS PRAISE!	TO HIS PRAISE!	true	10.62	11.95	25.810429
7730_304541_000003_000000	"They shall abundantly utter the memory of thy great goodness."	"They shall abundantly utter the memory of thy great goodness."	true	12.74	16.3	21.32234
7730_304541_000004_000000	THIS chapter is written more than seven years later than the foregoing, in further testimony and praise.	THIS chapter is written more than seven years later than the foregoing, in further testimony and praise.	true	17.84	23.89	17
7730_304541_000005_000000	Returning to Canada at the time of the Great War, we came face to face with a serious financial crisis.	Returning to Canada at the time of the Great War, we came face to face with a serious financial crisis.	true	24.11	30.43	18
7730_304541_000005_000001	Only two ways seemed open to us.	Only two ways seemed open to us.	true	30.89	33.49	23.915262
7730_304541_000005_000002	One was to lay our affairs frankly before the Board, showing that our salary was quite insufficient, with war conditions and prices, to meet our requirements.	One was to lay our affairs frankly before the Board, showing that our salary was quite insufficient, with war conditions and prices, to meet our requirements.	true	33.65	43.18	18
7730_304541_000005_000003	The other course was to just go forward, get a suitable home and whatever we required, and trust our Father to supply what was needed above our income.	The other course was to just go forward, get a suitable home and whatever we required, and trust our Father to supply what was needed above our income.	true	43.37	52.485	17
7730_304541_000005_000004	We decided on the latter course.	We decided on the latter course.	true	52.485	54.61	22.749636
7730_304541_000006_000000	A dear daughter felt indignant that we should have a salary insufficient for our needs; but we assured her that to trust God for what was lacking was not begging.	A dear daughter felt indignant that we should have a salary insufficient for our needs; but we assured her that to trust God for what was lacking was not begging.	true	54.83	64.27	19
7730_304541_000006_000001	The day came when this child and myself took possession of our new home.	The day came when this child and myself took possession of our new home.	true	64.49	68.59	21.25045
7730_304541_000006_000002	As we entered the dining-room we found a large mail from China on the table.	As we entered the dining room we found a large mail from China on the table.	true	68.72	73.36	18
7730_304541_000007_000000	One letter was forwarded from the lady in Australia whose gifts, in the past, seemed always to have met some felt need.	One letter was forwarded from the lady in Australia whose gifts, in the past, seemed always to have met some felt need.	false	73.43	81.46	21
7730_304541_000007_000001	Her letter enclosed fifty pounds, with the expressed wish that thirty pounds should be used for work in China, but twenty pounds was to be used to meet some personal need.	Her letter enclosed fifty pounds, with the expressed wish that thirty pounds should be used for work in China, but twenty pounds was to be used to meet some personal need.	true	81.53	91.78	19
7730_304541_000007_000002	I handed the letter to my daughter, saying: "Shall we not believe that God will undertake for us?	I handed the letter to my daughter, saying: "Shall we not believe that God will undertake for us?	true	91.88	97.3	16
7730_304541_000007_000003	It seems to me as if our Father were beside us saying, 'My child, take this hundred dollars as an earnest of what I am going to do for you.'"	It seems to me as if our Father were beside us saying, 'My child, take this hundred dollars as an earnest of what I am going to do for you.'"	true	97.58	106.68	18
7730_304541_000008_000000	Tears stood in her eyes as my daughter gave the letter back, saying: "Mother, we don't trust God half enough!"	Tears stood in her eyes as my daughter gave the letter back, saying: "Mother, we don't trust God half enough!"	true	106.68	113.92	23
7730_304541_000009_000000	Were I to attempt to write the history of the months that followed, a long chapter would be required; but my testimony along this line is surely sufficient.	Were I to attempt to write the history of the months that followed, a long chapter would be required; but my testimony along this line is surely sufficient.	true	114.47	123.49	20
7730_304541_000010_000000	It was on this same furlough that I came to have an enlarged vision of my Heavenly Father's willingness to undertake in what some might term the minor details of everyday life.	It was on this same furlough that I came to have an enlarged vision of my Heavenly Father's willingness to undertake in what some might term the minor details of everyday life.	false	124.04	134.98	16
7730_304541_000010_000001	Missionaries, especially we missionary women, know only too well how we are criticized in the matter of dress, when in the homeland and when traveling.	Missionaries, especially we missionary women, know only too well how we are criticized in the matter of dress, when in the homeland and when traveling.	true	135.11	145.47	19.811502
