6120_56179_000000_000000	XXIV	twenty four	true	23.085	24.1	25.163378
6120_56179_000001_000000	AN EVENING'S FUN	AN EVENING'S FUN	true	24.53	25.84	23.760004
6120_56179_000002_000000	Mrs. Blair had said that all the preparations for the Bazaar must be completed on Tuesday, the day before it was to open.	mrs Blair had said that all the preparations for the Bazaar must be completed on Tuesday, the day before it was to open.	true	26.3	34.2	24.557297
6120_56179_000002_000001	She knew the ways of girls too well to think that it would be safe to have anything left for Wednesday morning.	She knew the ways of girls too well to think that it would be safe to have anything left for Wednesday morning.	true	34.2	40.39	25.74683
6120_56179_000002_000002	The flower table, of course had to be arranged on that day, and some things for the refreshment table.	The flower table, of course had to be arranged on that day, and some things for the refreshment table.	true	41.03	46.75	27.618055
6120_56179_000002_000003	But so definite had she been in expressing her wishes, that the girls felt that it was due her for lending her house to pay all deference to what she said.	But so definite had she been in expressing her wishes, that the girls felt that it was due her for lending her house to pay all deference to what she said.	true	47	56.38	24.630388
6120_56179_000002_000004	On the Monday therefore after Easter they went to work with a will to gather in the promised contributions.	On the Monday therefore after Easter they went to work with a will to gather in the promised contributions.	true	56.69	63.7	28.361376
6120_56179_000002_000005	There were naturally some disappointments, but on the whole the fancy articles bestowed upon them were numerous and beautiful, and many were the "ohs and ahs" from the Four and their assistants, when on Tuesday they fell to the task of opening the parcels and arranging their contents on the tables.	There were naturally some disappointments, but on the whole the fancy articles bestowed upon them were numerous and beautiful, and many were the "ohs and ahs" from the Four and their assistants, when on Tuesday they fell to the task of opening the parcels and arranging their contents on the tables.	false	63.77	82.48	24.402597
6120_56179_000002_000006	Tuesday was rainy, and at dusk gave little promise of a bright sky for the following day.	Tuesday was rainy, and at dusk gave little promise of a bright sky for the following day.	true	82.61	88.54	24.181742
6120_56179_000002_000007	Brenda was in a tremor of excitement.	Brenda was in a tremor of excitement.	true	88.55	90.91	22.525948
6120_56179_000002_000008	"Oh, dear, how dreadful if to-morrow should be stormy!	"Oh, dear, how dreadful if to morrow should be stormy!	false	91.01	94.48	23.968033
6120_56179_000002_000009	I am sure it will be, and what _shall_ we do?" with great emphasis on the "shall."	I am sure it will be, and what underscore shall underscore we do?" with great emphasis on the "shall."	false	94.52	100.12	26.633081
6120_56179_000003_000000	"Full many a cloudy morning turns out a sunny day," sang Nora, while Edith patted Brenda on the back and said, "Well, we can't do anything to change the weather, and we might as well hope for the best.	"Full many a cloudy morning turns out a sunny day," sang Nora, while Edith patted Brenda on the back and said, "Well, we can't do anything to change the weather, and we might as well hope for the best.	false	100.28	114.4	24.07433
6120_56179_000003_000001	I know that a lot of people will come even if it rains, and perhaps they'll be good and buy three times as much as they would in fine weather."	I know that a lot of people will come even if it rains, and perhaps they'll be good and buy three times as much as they would in fine weather."	true	114.53	122.47	25.50883
6120_56179_000004_000000	Just then Julia came in with the evening paper in her hand.	Just then Julia came in with the evening paper in her hand.	true	122.63	126.19	21.479036
6120_56179_000004_000001	"See, or rather hear the news.	"See, or rather hear the news.	true	126.32	129.04	24.18909
6120_56179_000004_000002	Old Probability says, 'clear and fair Wednesday.' Mrs. Blair sent this paper up from the library to cheer you.	Old Probability says, 'clear and fair Wednesday.' mrs Blair sent this paper up from the library to cheer you.	false	129.11	136.78	23.617538
6120_56179_000004_000003	There was a large patch of blue in the west when the sun went down----"	There was a large patch of blue in the west when the sun went down----"	true	136.82	140.35	25.694809
6120_56179_000005_000000	"The sun!" exclaimed the others derisively.	"The sun!" exclaimed the others derisively.	true	140.66	144.19	21.378864
6120_56179_000006_000000	"In the place where the sun should have gone down," she responded with a smile.	"In the place where the sun should have gone down," she responded with a smile.	true	144.62	149.26	23
6120_56179_000006_000001	"Why, how well the rooms look!	"Why, how well the rooms look!	true	149.45	152.2	20.945993
6120_56179_000006_000002	there won't be a thing for the boys to do this evening."	there won't be a thing for the boys to do this evening."	true	152.21	155.1	27.806944
6120_56179_000007_000000	For Philip and Will Hardon and one or two others were to come in the evening to see what they could do to help, and in view of their coming Mrs. Blair had invited the girls to stay to dinner.	For Philip and Will Hardon and one or two others were to come in the evening to see what they could do to help, and in view of their coming mrs Blair had invited the girls to stay to dinner.	false	155.1	166.03	22.75139
6120_56179_000008_000000	"Oh, no, there really isn't a thing for them to do, but perhaps when they see how hard we have worked they will make up their minds to spend any amount of money to-morrow.	"Oh, no, there really isn't a thing for them to do, but perhaps when they see how hard we have worked they will make up their minds to spend any amount of money to morrow.	false	166.31	175.72	27.258656
6120_56179_000008_000001	I think it's a rather good idea to have them come to-night, so that they can make a lot of other boys come to-morrow."	I think it's a rather good idea to have them come to night, so that they can make a lot of other boys come to morrow."	false	175.94	182.56	26.854576
6120_56179_000009_000000	"Boys are not so fond of spending money at fairs, I can tell you that," said Nora, rather decidedly, "and besides most of them are so much in debt that they haven't anything to spend."	"Boys are not so fond of spending money at fairs, I can tell you that," said Nora, rather decidedly, "and besides most of them are so much in debt that they haven't anything to spend."	true	183.17	194.98	24.114054
6120_56179_000010_000000	"Oh, well, Philip's friends are not like that," said Belle, rather sharply.	"Oh, well, Philip's friends are not like that," said Belle, rather sharply.	false	195.23	199.87	24.769781
6120_56179_000010_000001	"I know several who have more money than they know what to do with.	"I know several who have more money than they know what to do with.	true	200.03	203.32	20.355162
