882_123267_000000_000000	CHAPTER XIV.	CHAPTER fourteen.	false	0	1.74	1
882_123267_000001_000000	BUT ARCTICS CAN BE INHOSPITABLE, TOO	BUT a r c t i c s CAN BE INHOSPITABLE, TOO	false	1.74	35.89	24.349146
882_123267_000002_000000	Stapi is a village consisting of about thirty huts, built of lava, at the south side of the base of the volcano.	Stapi is a village consisting of about thirty huts, built of lava, at the south side of the base of the volcano.	false	36.89	43.09	21
882_123267_000002_000001	It extends along the inner edge of a small fiord, inclosed between basaltic walls of the strangest construction.	It extends along the inner edge of a small fiord, inclosed between basaltic walls of the strangest construction.	true	43.37	50.17	22.185902
882_123267_000003_000000	Basalt is a brownish rock of igneous origin.	Basalt is a brownish rock of igneous origin.	true	50.48	53.29	21.950592
882_123267_000003_000001	It assumes regular forms, the arrangement of which is often very surprising.	It assumes regular forms, the arrangement of which is often very surprising.	true	53.51	57.69	17
882_123267_000003_000002	Here nature had done her work geometrically, with square and compass and plummet. Everywhere else her art consists alone in throwing down huge masses together in disorder.	Here nature had done her work geometrically, with square and compass and plummet. Everywhere else her art consists alone in throwing down huge masses together in disorder.	true	57.69	67.48	22.268282
882_123267_000003_000003	You see cones imperfectly formed, irregular pyramids, with a fantastic disarrangement of lines; but here, as if to exhibit an example of regularity, though in advance of the very earliest architects, she has created a severely simple order of architecture, never surpassed either by the splendours of Babylon or the wonders of Greece.	You see cones imperfectly formed, irregular pyramids, with a fantastic disarrangement of lines; but here, as if to exhibit an example of regularity, though in advance of the very earliest architects, she has created a severely simple order of architecture, never surpassed either by the splendours of Babylon or the wonders of Greece.	false	67.85	86.83	21
882_123267_000004_000000	I had heard of the Giant's Causeway in Ireland, and Fingal's Cave in Staffa, one of the Hebrides; but I had never yet seen a basaltic formation.	I had heard of the Giant's Causeway in Ireland, and Fingal's Cave in Staffa, one of the Hebrides; but I had never yet seen a basaltic formation.	true	87.47	95.62	22
882_123267_000005_000000	At Stapi I beheld this phenomenon in all its beauty.	At Stapi I beheld this phenomenon in all its beauty.	true	95.63	98.79	22
882_123267_000006_000000	The wall that confined the fiord, like all the coast of the peninsula, was composed of a series of vertical columns thirty feet high.	The wall that confined the fiord, like all the coast of the peninsula, was composed of a series of vertical columns thirty feet high.	true	98.79	106.12	22
882_123267_000006_000001	These straight shafts, of fair proportions, supported an architrave of horizontal slabs, the overhanging portion of which formed a semi-arch over the sea.	These straight shafts, of fair proportions, supported an architrave of horizontal slabs, the overhanging portion of which formed a semi arch over the sea.	true	106.61	116.17	22
882_123267_000006_000002	At intervals, under this natural shelter, there spread out vaulted entrances in beautiful curves, into which the waves came dashing with foam and spray.	At intervals, under this natural shelter, there spread out vaulted entrances in beautiful curves, into which the waves came dashing with foam and spray.	true	117.41	126.19	22
882_123267_000006_000003	A few shafts of basalt, torn from their hold by the fury of tempests, lay along the soil like remains of an ancient temple, in ruins for ever fresh, and over which centuries passed without leaving a trace of age upon them.	A few shafts of basalt, torn from their hold by the fury of tempests, lay along the soil like remains of an ancient temple, in ruins for ever fresh, and over which centuries passed without leaving a trace of age upon them.	true	126.59	140.74	21.314383
882_123267_000007_000000	This was our last stage upon the earth.	This was our last stage upon the earth.	true	141.68	143.94	21
882_123267_000007_000001	Hans had exhibited great intelligence, and it gave me some little comfort to think then that he was not going to leave us.	Hans had exhibited great intelligence, and it gave me some little comfort to think then that he was not going to leave us.	true	143.94	150.46	20
882_123267_000008_000000	On arriving at the door of the rector's house, which was not different from the others, I saw a man shoeing a horse, hammer in hand, and with a leathern apron on.	On arriving at the door of the rector's house, which was not different from the others, I saw a man shoeing a horse, hammer in hand, and with a leathern apron on.	false	151.31	159.81	21.415112
882_123267_000009_000000	"_Saellvertu,_" said the hunter.	"underscore Saellvertu,underscore" said the hunter.	false	159.81	162.66	20.587317
882_123267_000010_000000	"_God dag,_" said the blacksmith in good Danish.	"underscore God dag,underscore" said the blacksmith in good Danish.	false	162.66	166.14	27.381416
882_123267_000011_000000	"_Kyrkoherde,_" said Hans, turning round to my uncle.	"underscore Kyrkoherde,underscore" said Hans, turning round to my uncle.	false	166.14	169.42	24.552614
882_123267_000012_000000	"The rector," repeated the Professor.	"The rector," repeated the Professor.	true	169.94	171.97	27.897152
882_123267_000012_000001	"It seems, Axel, that this good man is the rector."	"It seems, Axel, that this good man is the rector."	true	171.98	175.09	28.369398
882_123267_000013_000000	Our guide in the meanwhile was making the 'kyrkoherde' aware of the position of things; when the latter, suspending his labours for a moment, uttered a sound no doubt understood between horses and farriers, and immediately a tall and ugly hag appeared from the hut. She must have been six feet at the least.	Our guide in the meanwhile was making the 'kyrkoherde' aware of the position of things; when the latter, suspending his labours for a moment, uttered a sound no doubt understood between horses and farriers, and immediately a tall and ugly hag appeared from the hut. She must have been six feet at the least.	false	175.22	192.76	22.41121
882_123267_000013_000001	I was in great alarm lest she should treat me to the Icelandic kiss; but there was no occasion to fear, nor did she do the honours at all too gracefully.	I was in great alarm lest she should treat me to the Icelandic kiss; but there was no occasion to fear, nor did she do the honours at all too gracefully.	true	193.43	201.34	20.785677
882_123267_000014_000000	The visitors' room seemed to me the worst in the whole cabin.	The visitors' room seemed to me the worst in the whole cabin.	true	201.8	205.03	17
882_123267_000014_000001	It was close, dirty, and evil smelling.	It was close, dirty, and evil smelling.	true	205.19	207.87	21.633598
882_123267_000014_000002	But we had to be content.	But we had to be content.	false	207.87	209.68	24.011806
882_123267_000014_000003	The rector did not to go in for antique hospitality.	The rector did not to go in for antique hospitality.	false	209.9	212.895	22
882_123267_000014_000004	Very far from it.	Very far from it.	true	212.895	214.15	22.807299
882_123267_000014_000005	Before the day was over I saw that we had to do with a blacksmith, a fisherman, a hunter, a joiner, but not at all with a minister of the Gospel.	Before the day was over I saw that we had to do with a blacksmith, a fisherman, a hunter, a joiner, but not at all with a minister of the Gospel.	true	214.31	222.46	22.854864
882_123267_000014_000006	To be sure, it was a week-day; perhaps on a Sunday he made amends.	To be sure, it was a week day; perhaps on a Sunday he made amends.	false	222.56	226.36	19.508505
882_123267_000015_000000	I don't mean to say anything against these poor priests, who after all are very wretched.	I don't mean to say anything against these poor priests, who after all are very wretched.	true	227	231.82	19.573387
882_123267_000015_000001	They receive from the Danish Government a ridiculously small pittance, and they get from the parish the fourth part of the tithe, which does not come to sixty marks a year (about L4).	They receive from the Danish Government a ridiculously small pittance, and they get from the parish the fourth part of the tithe, which does not come to sixty marks a year (about l four).	false	232.04	243.09	23.848686
882_123267_000015_000002	Hence the necessity to work for their livelihood; but after fishing, hunting, and shoeing horses for any length of time, one soon gets into the ways and manners of fishermen, hunters, and farriers, and other rather rude and uncultivated people; and that evening I found out that temperance was not among the virtues that distinguished my host.	Hence the necessity to work for their livelihood; but after fishing, hunting, and shoeing horses for any length of time, one soon gets into the ways and manners of fishermen, hunters, and farriers, and other rather rude and uncultivated people; and that evening I found out that temperance was not among the virtues that distinguished my host.	true	243.09	261.34	21
882_123267_000016_000000	My uncle soon discovered what sort of a man he had to do with; instead of a good and learned man he found a rude and coarse peasant. He therefore resolved to commence the grand expedition at once, and to leave this inhospitable parsonage.	My uncle soon discovered what sort of a man he had to do with; instead of a good and learned man he found a rude and coarse peasant. He therefore resolved to commence the grand expedition at once, and to leave this inhospitable parsonage.	false	261.71	274.81	20.144684
882_123267_000016_000001	He cared nothing about fatigue, and resolved to spend some days upon the mountain.	He cared nothing about fatigue, and resolved to spend some days upon the mountain.	true	275.3	279.285	15
882_123267_000017_000000	The preparations for our departure were therefore made the very day after our arrival at Stapi.	The preparations for our departure were therefore made the very day after our arrival at Stapi.	true	279.285	284.05	16
882_123267_000017_000001	Hans hired the services of three Icelanders to do the duty of the horses in the transport of the burdens; but as soon as we had arrived at the crater these natives were to turn back and leave us to our own devices.	Hans hired the services of three Icelanders to do the duty of the horses in the transport of the burdens; but as soon as we had arrived at the crater these natives were to turn back and leave us to our own devices.	true	284.27	295.48	19
882_123267_000017_000002	This was to be clearly understood.	This was to be clearly understood.	true	295.64	297.82	25.266787
882_123267_000018_000000	My uncle now took the opportunity to explain to Hans that it was his intention to explore the interior of the volcano to its farthest limits.	My uncle now took the opportunity to explain to Hans that it was his intention to explore the interior of the volcano to its farthest limits.	true	299.18	306.4	18
882_123267_000019_000000	Hans merely nodded.	Hans merely nodded.	true	306.92	308.32	21.038582
882_123267_000019_000001	There or elsewhere, down in the bowels of the earth, or anywhere on the surface, all was alike to him.	There or elsewhere, down in the bowels of the earth, or anywhere on the surface, all was alike to him.	false	308.48	314.35	22.56646
882_123267_000019_000002	For my own part the incidents of the journey had hitherto kept me amused, and made me forgetful of coming evils; but now my fears again were beginning to get the better of me.	For my own part the incidents of the journey had hitherto kept me amused, and made me forgetful of coming evils; but now my fears again were beginning to get the better of me.	true	314.69	324.43	23.654747
882_123267_000019_000003	But what could I do?	But what could I do?	true	325.91	327.19	26.47381
882_123267_000019_000004	The place to resist the Professor would have been Hamburg, not the foot of Snaefell.	The place to resist the Professor would have been Hamburg, not the foot of Snaefell.	true	327.38	331.48	23.931305
882_123267_000020_000000	One thought, above all others, harassed and alarmed me; it was one calculated to shake firmer nerves than mine.	One thought, above all others, harassed and alarmed me; it was one calculated to shake firmer nerves than mine.	true	331.7	338.77	20.2488
882_123267_000021_000000	Now, thought I, here we are, about to climb Snaefell.	Now, thought I, here we are, about to climb Snaefell.	true	339.14	342.345	25.199976
882_123267_000021_000001	Very good.	Very good.	true	342.345	343.33	23.703405
882_123267_000021_000002	We will explore the crater.	We will explore the crater.	true	343.34	344.86	28.47738
882_123267_000021_000003	Very good, too, others have done as much without dying for it.	Very good, too, others have done as much without dying for it.	true	344.9	348.4	24.137281
882_123267_000021_000004	But that is not all.	But that is not all.	true	348.47	349.75	22.638021
882_123267_000021_000005	If there is a way to penetrate into the very bowels of the island, if that ill-advised Saknussemm has told a true tale, we shall lose our way amidst the deep subterranean passages of this volcano.	If there is a way to penetrate into the very bowels of the island, if that ill advised Saknussemm has told a true tale, we shall lose our way amidst the deep subterranean passages of this volcano.	false	349.91	361.27	23.31514
882_123267_000021_000006	Now, there is no proof that Snaefell is extinct.	Now, there is no proof that Snaefell is extinct.	true	361.61	364.54	26.120987
882_123267_000021_000007	Who can assure us that an eruption is not brewing at this very moment?	Who can assure us that an eruption is not brewing at this very moment?	true	364.79	368.8	22.719854
882_123267_000021_000008	Does it follow that because the monster has slept since 1229 he must therefore never awake again?	Does it follow that because the monster has slept since twelve twenty nine he must therefore never awake again?	true	368.81	374.89	24
882_123267_000021_000009	And if he wakes up presently, where shall we be?	And if he wakes up presently, where shall we be?	true	375.08	377.77	22.538065
882_123267_000022_000000	It was worth while debating this question, and I did debate it.	It was worth while debating this question, and I did debate it.	true	378.14	381.49	20
882_123267_000022_000001	I could not sleep for dreaming about eruptions.	I could not sleep for dreaming about eruptions.	true	381.62	384.13	24.040304
882_123267_000022_000002	Now, the part of ejected scoriae and ashes seemed to my mind a very rough one to act.	Now, the part of ejected scoriae and ashes seemed to my mind a very rough one to act.	true	384.41	389.77	19
882_123267_000023_000000	So, at last, when I could hold out no longer, I resolved to lay the case before my uncle, as prudently and as cautiously as possible, just under the form of an almost impossible hypothesis.	So, at last, when I could hold out no longer, I resolved to lay the case before my uncle, as prudently and as cautiously as possible, just under the form of an almost impossible hypothesis.	true	390.32	400.96	20
882_123267_000024_000000	I went to him.	I went to him.	true	401.63	402.7	24.55143
882_123267_000024_000001	I communicated my fears to him, and drew back a step to give him room for the explosion which I knew must follow.	I communicated my fears to him, and drew back a step to give him room for the explosion which I knew must follow.	true	402.8	408.7	23
882_123267_000024_000002	But I was mistaken.	But I was mistaken.	true	408.92	410.2	23.67235
882_123267_000025_000000	"I was thinking of that," he replied with great simplicity.	"I was thinking of that," he replied with great simplicity.	true	410.6	413.8	25
882_123267_000026_000000	What could those words mean?--Was he actually going to listen to reason?	What could those words mean?--Was he actually going to listen to reason?	true	414.14	418.29	20.695469
882_123267_000026_000001	Was he contemplating the abandonment of his plans?	Was he contemplating the abandonment of his plans?	false	418.29	420.97	18
882_123267_000026_000002	This was too good to be true.	This was too good to be true.	true	421.13	422.92	25.027079
882_123267_000027_000000	After a few moments' silence, during which I dared not question him, he resumed:	After a few moments' silence, during which I dared not question him, he resumed:	true	423.68	428.14	23
882_123267_000028_000000	"I was thinking of that.	"I was thinking of that.	true	428.63	429.94	21.29544
882_123267_000028_000001	Ever since we arrived at Stapi I have been occupied with the important question you have just opened, for we must not be guilty of imprudence."	Ever since we arrived at Stapi I have been occupied with the important question you have just opened, for we must not be guilty of imprudence."	false	430.07	438.67	22.948555
882_123267_000029_000000	"No, indeed!" I replied with forcible emphasis.	"No, indeed!" I replied with forcible emphasis.	true	438.74	442.03	26.760714
882_123267_000030_000000	"For six hundred years Snaefell has been dumb; but he may speak again. Now, eruptions are always preceded by certain well-known phenomena.	"For six hundred years Snaefell has been dumb; but he may speak again. Now, eruptions are always preceded by certain well-known phenomena.	false	443.66	452.05	21.091965
882_123267_000030_000001	I have therefore examined the natives, I have studied external appearances, and I can assure you, Axel, that there will be no eruption."	I have therefore examined the natives, I have studied external appearances, and I can assure you, Axel, that there will be no eruption."	true	452.06	459.4	22.76529
882_123267_000031_000000	At this positive affirmation I stood amazed and speechless.	At this positive affirmation I stood amazed and speechless.	true	460.7	464.44	22
882_123267_000032_000000	"You don't doubt my word?" said my uncle.	"You don't doubt my word?" said my uncle.	true	465.26	467.56	23.33798
882_123267_000032_000001	"Well, follow me."	"Well, follow me."	true	467.57	469.03	27.345575
882_123267_000033_000000	I obeyed like an automaton.	I obeyed like an automaton.	true	469.79	471.67	21.52327
882_123267_000033_000001	Coming out from the priest's house, the Professor took a straight road, which, through an opening in the basaltic wall, led away from the sea.	Coming out from the priest's house, the Professor took a straight road, which, through an opening in the basaltic wall, led away from the sea.	true	471.89	478.9	23
882_123267_000033_000002	We were soon in the open country, if one may give that name to a vast extent of mounds of volcanic products.	We were soon in the open country, if one may give that name to a vast extent of mounds of volcanic products.	true	479.21	485.11	20.038923
882_123267_000033_000003	This tract seemed crushed under a rain of enormous ejected rocks of trap, basalt, granite, and all kinds of igneous rocks.	This tract seemed crushed under a rain of enormous ejected rocks of trap, basalt, granite, and all kinds of igneous rocks.	true	485.78	493.18	23.845314
882_123267_000034_000000	Here and there I could see puffs and jets of steam curling up into the air, called in Icelandic 'reykir,' issuing from thermal springs, and indicating by their motion the volcanic energy underneath.	Here and there I could see puffs and jets of steam curling up into the air, called in Icelandic 'reykir,' issuing from thermal springs, and indicating by their motion the volcanic energy underneath.	true	493.7	505	21
882_123267_000034_000001	This seemed to justify my fears: But I fell from the height of my new-born hopes when my uncle said:	This seemed to justify my fears: But I fell from the height of my new born hopes when my uncle said:	true	505.22	510.85	20.890799
882_123267_000035_000000	"You see all these volumes of steam, Axel; well, they demonstrate that we have nothing to fear from the fury of a volcanic eruption."	"You see all these volumes of steam, Axel; well, they demonstrate that we have nothing to fear from the fury of a volcanic eruption."	true	511.52	518.17	21.687489
882_123267_000036_000000	"Am I to believe that?" I cried.	"Am I to believe that?" I cried.	true	518.69	521.44	25.99478
882_123267_000037_000000	"Understand this clearly," added the Professor.	"Understand this clearly," added the Professor.	true	522.23	524.92	23.869823
882_123267_000037_000001	"At the approach of an eruption these jets would redouble their activity, but disappear altogether during the period of the eruption.	"At the approach of an eruption these jets would redouble their activity, but disappear altogether during the period of the eruption.	true	524.93	531.7	24
882_123267_000037_000002	For the elastic fluids, being no longer under pressure, go off by way of the crater instead of escaping by their usual passages through the fissures in the soil. Therefore, if these vapours remain in their usual condition, if they display no augmentation of force, and if you add to this the observation that the wind and rain are not ceasing and being replaced by a still and heavy atmosphere, then you may affirm that no eruption is preparing."	For the elastic fluids, being no longer under pressure, go off by way of the crater instead of escaping by their usual passages through the fissures in the soil. Therefore, if these vapours remain in their usual condition, if they display no augmentation of force, and if you add to this the observation that the wind and rain are not ceasing and being replaced by a still and heavy atmosphere, then you may affirm that no eruption is preparing."	false	532.01	556.81	21.9326
882_123267_000038_000000	"But--"	"But-"	true	557.36	557.955	32.138786
882_123267_000039_000000	'No more; that is sufficient.	'No more; that is sufficient.	true	557.955	560.07	22.848639
882_123267_000039_000001	When science has uttered her voice, let babblers hold their peace.'	When science has uttered her voice, let babblers hold their peace.'	false	560.07	563.62	17
882_123267_000040_000000	I returned to the parsonage, very crestfallen.	I returned to the parsonage, very crestfallen.	true	564.47	567.28	25.976284
882_123267_000040_000001	My uncle had beaten me with the weapons of science.	My uncle had beaten me with the weapons of science.	true	567.53	570.1	21
882_123267_000040_000002	Still I had one hope left, and this was, that when we had reached the bottom of the crater it would be impossible, for want of a passage, to go deeper, in spite of all the Saknussemm's in Iceland.	Still I had one hope left, and this was, that when we had reached the bottom of the crater it would be impossible, for want of a passage, to go deeper, in spite of all the Saknussemm's in Iceland.	true	570.26	581.05	23
882_123267_000041_000000	I spent that whole night in one constant nightmare; in the heart of a volcano, and from the deepest depths of the earth I saw myself tossed up amongst the interplanetary spaces under the form of an eruptive rock.	I spent that whole night in one constant nightmare; in the heart of a volcano, and from the deepest depths of the earth I saw myself tossed up amongst the interplanetary spaces under the form of an eruptive rock.	true	581.69	593.98	23
882_123267_000042_000000	The next day, June 23, Hans was awaiting us with his companions carrying provisions, tools, and instruments; two iron pointed sticks, two rifles, and two shot belts were for my uncle and myself.	The next day, june twenty third, Hans was awaiting us with his companions carrying provisions, tools, and instruments; two iron pointed sticks, two rifles, and two shot belts were for my uncle and myself.	true	594.5	607.02	21.886978
882_123267_000042_000001	Hans, as a cautious man, had added to our luggage a leathern bottle full of water, which, with that in our flasks, would ensure us a supply of water for eight days.	Hans, as a cautious man, had added to our luggage a leathern bottle full of water, which, with that in our flasks, would ensure us a supply of water for eight days.	true	607.02	616.21	22.917824
882_123267_000043_000000	It was nine in the morning.	It was nine in the morning.	true	616.7	618.19	16.35071
882_123267_000043_000001	The priest and his tall Megaera were awaiting us at the door.	The priest and his tall Megaera were awaiting us at the door.	true	618.26	621.61	22.115347
882_123267_000043_000002	We supposed they were standing there to bid us a kind farewell.	We supposed they were standing there to bid us a kind farewell.	true	621.8	624.735	17
