699_132864_000000_000000	"Even if it were wrong," said Mrs. Wilkins, "it would only be for a month."	"Even if it were wrong," said mrs Wilkins, "it would only be for a month."	false	0	3.66	16.653406
699_132864_000001_000000	"That--" began Mrs. Arbuthnot, quite clear as to the reprehensibleness of such a point of view; but Mrs. Wilkins stopped her before she could finish.	"That-" began mrs Arbuthnot, quite clear as to the reprehensibleness of such a point of view; but mrs Wilkins stopped her before she could finish.	false	3.66	6.09	18.077389
699_132864_000002_000000	"Anyhow," said Mrs. Wilkins, stopping her, "I'm sure it's wrong to go on being good for too long, till one gets miserable.	"Anyhow," said mrs Wilkins, stopping her, "I'm sure it's wrong to go on being good for too long, till one gets miserable.	false	6.09	6.45	16
699_132864_000002_000001	And I can see you've been good for years and years, because you look so unhappy"-- Mrs. Arbuthnot opened her mouth to protest--"and I--I've done nothing but duties, things for other people, ever since I was a girl, and I don't believe anybody loves me a bit--a bit--the b-better--and I long-- oh, I long--for something else--something else--"	And I can see you've been good for years and years, because you look so unhappy"-- mrs Arbuthnot opened her mouth to protest-"and I-I've done nothing but duties, things for other people, ever since I was a girl, and I don't believe anybody loves me a bit-a bit-the b better-and I long- oh, I long-for something else-something else-"	false	6.45	9.99	20.337402
699_132864_000003_000000	Was she going to cry?	Was she going to cry?	false	9.99	10.53	4
699_132864_000003_000001	Mrs. Arbuthnot became acutely uncomfortable and sympathetic.	mrs Arbuthnot became acutely uncomfortable and sympathetic.	false	10.53	11.28	21
699_132864_000003_000002	She hoped she wasn't going to cry.	She hoped she wasn't going to cry.	false	11.28	11.37	2
699_132864_000003_000003	Not there.	Not there.	false	11.37	11.4	-20
699_132864_000003_000004	Not in that unfriendly room, with strangers coming and going.	Not in that unfriendly room, with strangers coming and going.	false	11.4	11.52	15
699_132864_000004_000000	But Mrs. Wilkins, after tugging agitatedly at a handkerchief that wouldn't come out of her pocket, did succeed at last in merely apparently blowing her nose with it, and then, blinking her eyes very quickly once or twice, looked at Mrs. Arbuthnot with a quivering air of half humble, half frightened apology, and smiled.	But mrs Wilkins, after tugging agitatedly at a handkerchief that wouldn't come out of her pocket, did succeed at last in merely apparently blowing her nose with it, and then, blinking her eyes very quickly once or twice, looked at mrs Arbuthnot with a quivering air of half humble, half frightened apology, and smiled.	false	11.52	19.14	19.203762
699_132864_000005_000000	"Will you believe," she whispered, trying to steady her mouth, evidently dreadfully ashamed of herself, "that I've never spoken to any one before in my life like this?	"Will you believe," she whispered, trying to steady her mouth, evidently dreadfully ashamed of herself, "that I've never spoken to any one before in my life like this?	false	19.14	21.15	13.4145355
699_132864_000005_000001	I can't think, I simply don't know, what has come over me."	I can't think, I simply don't know, what has come over me."	false	21.15	21.99	-20
699_132864_000006_000000	"It's the advertisement," said Mrs. Arbuthnot, nodding gravely.	"It's the advertisement," said mrs Arbuthnot, nodding gravely.	false	21.99	25.14	19.683943
699_132864_000007_000000	"Yes," said Mrs. Wilkins, dabbing furtively at her eyes, "and us both being so--"--she blew her nose again a little--"miserable."	"Yes," said mrs Wilkins, dabbing furtively at her eyes, "and us both being so-"--she blew her nose again a little-"miserable."	false	25.14	26.79	14.383217
699_132864_000008_000000	Chapter 2	Chapter two	true	26.79	27.7	22
699_132864_000009_000000	Of Course Mrs. Arbuthnot was not miserable--how could she be, she asked herself, when God was taking care of her?--but she let that pass for the moment unrepudiated, because of her conviction that here was another fellow-creature in urgent need of her help; and not just boots and blankets and better sanitary arrangements this time, but the more delicate help of comprehension, of finding the exact right words.	Of Course mrs Arbuthnot was not miserable-how could she be, she asked herself, when God was taking care of her?--but she let that pass for the moment unrepudiated, because of her conviction that here was another fellow creature in urgent need of her help; and not just boots and blankets and better sanitary arrangements this time, but the more delicate help of comprehension, of finding the exact right words.	true	30.62	64.15	20.481628
