2368_157066_000000_000000	"What course shall we pursue?" asked Kennedy.	"What course shall we pursue?" asked Kennedy.	false	0	3.51	19.105839
2368_157066_000001_000000	"Alight as soon as possible, Dick, and then wait."	"Alight as soon as possible, Dick, and then wait."	false	3.51	7.41	20.102057
2368_157066_000002_000000	After a sweep of some sixty miles the Victoria halted on a desert shore, on the north of the lake.	After a sweep of some sixty miles the Victoria halted on a desert shore, on the north of the lake.	false	7.41	18.6	19.155844
2368_157066_000002_000001	The anchors caught in a low tree and the sportsman fastened it securely.	The anchors caught in a low tree and the sportsman fastened it securely.	false	18.6	24.24	17.977526
2368_157066_000002_000002	Night came, but neither Ferguson nor Kennedy could find one moment's sleep.	Night came, but neither Ferguson nor Kennedy could find one moment's sleep.	false	24.24	29.535	18.174206
2368_157066_000003_000000	CHAPTER THIRTY-THIRD.	CHAPTER THIRTY THIRD.	false	29.535	31.53	20.682182
2368_157066_000004_000000	Conjectures.--Reestablishment of the Victoria's Equilibrium.--Dr. Ferguson's New Calculations.--Kennedy's Hunt.--A Complete Exploration of Lake Tchad.--Tangalia.--The Return.--Lari.	Conjectures.--Reestablishment of the Victoria's Equilibrium.--dr Ferguson's New Calculations.--Kennedy's Hunt.--A Complete Exploration of Lake Tchad.--Tangalia.--The Return.--Lari.	false	31.53	46.87	20.163652
2368_157066_000005_000000	On the morrow, the 13th of May, our travellers, for the first time, reconnoitred the part of the coast on which they had landed.	On the morrow, the thirteenth of May, our travellers, for the first time, reconnoitred the part of the coast on which they had landed.	false	48.35	55.03	18
2368_157066_000005_000001	It was a sort of island of solid ground in the midst of an immense marsh.	It was a sort of island of solid ground in the midst of an immense marsh.	true	55.19	58.87	15
2368_157066_000005_000002	Around this fragment of terra firma grew reeds as lofty as trees are in Europe, and stretching away out of sight.	Around this fragment of terra firma grew reeds as lofty as trees are in Europe, and stretching away out of sight.	true	58.88	65.38	17
2368_157066_000006_000000	These impenetrable swamps gave security to the position of the balloon. It was necessary to watch only the borders of the lake.	These impenetrable swamps gave security to the position of the balloon. It was necessary to watch only the borders of the lake.	false	65.81	72.16	17
2368_157066_000006_000001	The vast stretch of water broadened away from the spot, especially toward the east, and nothing could be seen on the horizon, neither mainland nor islands.	The vast stretch of water broadened away from the spot, especially toward the east, and nothing could be seen on the horizon, neither mainland nor islands.	true	72.17	80.02	16
2368_157066_000007_000000	The two friends had not yet ventured to speak of their recent companion. Kennedy first imparted his conjectures to the doctor.	The two friends had not yet ventured to speak of their recent companion. Kennedy first imparted his conjectures to the doctor.	false	80.27	86.92	21
2368_157066_000008_000000	"Perhaps Joe is not lost after all," he said.	"Perhaps Joe is not lost after all," he said.	true	87.41	89.92	21
2368_157066_000008_000001	"He was a skilful lad, and had few equals as a swimmer.	"He was a skilful lad, and had few equals as a swimmer.	true	90.02	92.92	16
2368_157066_000008_000002	He would find no difficulty in swimming across the Firth of Forth at Edinburgh.	He would find no difficulty in swimming across the Firth of Forth at Edinburgh.	true	92.99	96.67	16
2368_157066_000008_000003	We shall see him again--but how and where I know not.	We shall see him again-but how and where I know not.	true	96.89	100.09	19.900257
2368_157066_000008_000004	Let us omit nothing on our part to give him the chance of rejoining us."	Let us omit nothing on our part to give him the chance of rejoining us."	true	100.43	104.23	13
