2368_157066_000008_000000	"Perhaps Joe is not lost after all," he said.	"Perhaps Joe is not lost after all," he said.
2368_157066_000016_000000	"Oh, he's just the lad to get safely out of the scrape, I repeat.	"Oh, he's just the lad to get safely out of the scrape, I repeat.
2368_157066_000017_000000	"I hope so.	"I hope so.
2368_157066_000020_000001	He found that there were still left some thirty pounds of pemmican, a supply of tea and coffee, about a gallon and a half of brandy, and one empty water-tank.	He found that there were still left some thirty pounds of pemmican, a supply of tea and coffee, about a gallon and a half of brandy, and one empty water tank.
2368_157066_000020_000002	All the dried meat had disappeared.	All the dried meat had disappeared.
2368_157066_000021_000003	The dilating apparatus appeared to be in good condition, and neither the battery nor the spiral had been injured.	The dilating apparatus appeared to be in good condition, and neither the battery nor the spiral had been injured.
2368_157066_000026_000000	"At the first streak of day, the doctor aroused Kennedy.	"At the first streak of day, the doctor aroused Kennedy.
2368_157066_000028_000001	Speak!"	Speak!"
2368_157066_000040_000000	"Let us set out, then!" said the hunter.	"Let us set out, then!" said the hunter.
2368_157066_000045_000001	We cannot be far away from the scene of our accident."	We cannot be far away from the scene of our accident."
2368_157066_000049_000000	"We must absolutely come to a halt," said he, "and even alight.	"We must absolutely come to a halt," said he, "and even alight.
2368_157066_000052_000001	One horrible thought glanced across the minds of both Kennedy and the doctor: caymans swarm in these waters!	One horrible thought glanced across the minds of both Kennedy and the doctor: caymans swarm in these waters!
