3923_153309_000002_000000	XVII.	seventeen.
3923_153309_000002_000001	SWEETWATER IN A NEW ROLE	SWEETWATER IN A NEW ROLE
3923_153309_000003_000000	A few days later three men were closeted in the district attorney's office.	A few days later three men were closeted in the district attorney's office.
3923_153309_000003_000001	Two of them were officials--the district attorney himself, and our old friend, the inspector.	Two of them were officials-the district attorney himself, and our old friend, the inspector.
3923_153309_000003_000002	The third was the detective, Sweetwater, chosen by them to keep watch on Mr. Grey.	The third was the detective, Sweetwater, chosen by them to keep watch on mr Grey.
3923_153309_000004_000000	Sweetwater had just come to town,--this was evident from the gripsack he had set down in a corner on entering, also from a certain tousled appearance which bespoke hasty rising and but few facilities for proper attention to his person.	Sweetwater had just come to town,--this was evident from the gripsack he had set down in a corner on entering, also from a certain tousled appearance which bespoke hasty rising and but few facilities for proper attention to his person.
3923_153309_000004_000001	These details counted little, however, in the astonishment created by his manner.	These details counted little, however, in the astonishment created by his manner.
3923_153309_000004_000002	For a hardy chap he looked strangely nervous and indisposed, so much so that, after the first short greeting, the inspector asked him what was up, and if he had had another Fairbrother-house experience.	For a hardy chap he looked strangely nervous and indisposed, so much so that, after the first short greeting, the inspector asked him what was up, and if he had had another Fairbrother house experience.
3923_153309_000005_000000	He replied with a decided no; that it was not his adventure which had upset him, but the news he had to bring.	He replied with a decided no; that it was not his adventure which had upset him, but the news he had to bring.
3923_153309_000006_000000	Here he glanced at every door and window; and then, leaning forward over the table at which the two officials sat, he brought his head as nearly to them as possible and whispered five words.	Here he glanced at every door and window; and then, leaning forward over the table at which the two officials sat, he brought his head as nearly to them as possible and whispered five words.
3923_153309_000007_000000	They produced a most unhappy sensation.	They produced a most unhappy sensation.
3923_153309_000007_000001	Both the men, hardened as they were by duties which soon sap the sensibilities, started and turned as pale as the speaker himself.	Both the men, hardened as they were by duties which soon sap the sensibilities, started and turned as pale as the speaker himself.
3923_153309_000007_000002	Then the district attorney, with one glance at the inspector, rose and locked the door.	Then the district attorney, with one glance at the inspector, rose and locked the door.
3923_153309_000008_000000	It was a prelude to this tale which I give, not as it came from his mouth, but as it was afterward related to me.	It was a prelude to this tale which I give, not as it came from his mouth, but as it was afterward related to me.
3923_153309_000009_000000	The detective had just been with Mr. Grey to the coast of Maine. Why there, will presently appear.	The detective had just been with mr Grey to the coast of Maine. Why there, will presently appear.
3923_153309_000009_000001	His task had been to follow this gentleman, and follow him he did.	His task had been to follow this gentleman, and follow him he did.
3923_153309_000010_000000	Mr. Grey was a very stately man, difficult of approach, and was absorbed, besides, by some overwhelming care.	mr Grey was a very stately man, difficult of approach, and was absorbed, besides, by some overwhelming care.
3923_153309_000011_000000	This was a great stroke of luck, he thought, but he little knew how big a stroke or into what a series of adventures it was going to lead him.	This was a great stroke of luck, he thought, but he little knew how big a stroke or into what a series of adventures it was going to lead him.
3923_153309_000012_000000	Once on the platform of the small station at which Mr. Grey had bidden him to stop, he noticed two things: the utter helplessness of the man in all practical matters, and his extreme anxiety to see all that was going on about him without being himself seen.	Once on the platform of the small station at which mr Grey had bidden him to stop, he noticed two things: the utter helplessness of the man in all practical matters, and his extreme anxiety to see all that was going on about him without being himself seen.
3923_153309_000012_000002	Women did not interest him in the least. They could pass and repass without arousing his attention, but the moment a man stepped his way, he shrank from him only to betray the greatest curiosity concerning him the moment he felt it safe to turn and observe him.	Women did not interest him in the least. They could pass and repass without arousing his attention, but the moment a man stepped his way, he shrank from him only to betray the greatest curiosity concerning him the moment he felt it safe to turn and observe him.
3923_153309_000012_000003	All of which convinced Sweetwater that the Englishman's errand was in connection with a man whom he equally dreaded and desired to meet.	All of which convinced Sweetwater that the Englishman's errand was in connection with a man whom he equally dreaded and desired to meet.
3923_153309_000013_000000	Of this he was made absolutely certain a little later.	Of this he was made absolutely certain a little later.
3923_153309_000014_000000	"I want you to get me a room at a very quiet hotel.	"I want you to get me a room at a very quiet hotel.
3923_153309_000014_000002	Do this and you will earn a week's salary in one day."	Do this and you will earn a week's salary in one day."
3923_153309_000015_000001	Not till he had found what he wished, and installed the Englishman in his room, did he venture to open the precious memorandum and read the name he had been speculating over for an hour.	Not till he had found what he wished, and installed the Englishman in his room, did he venture to open the precious memorandum and read the name he had been speculating over for an hour.
3923_153309_000015_000002	It was not the one he had anticipated, but it came near to it. It was that of James Wellgood.	It was not the one he had anticipated, but it came near to it. It was that of james Wellgood.
3923_153309_000017_000001	The train on which he had just come had been a mail-train, and he calculated that he would find half the town there.	The train on which he had just come had been a mail train, and he calculated that he would find half the town there.
3923_153309_000018_000000	His calculation was a correct one.	His calculation was a correct one.
3923_153309_000019_000000	The man behind the boxes was used to the name and reached out a hand toward a box unusually well stacked, but stopped half-way there and gave Sweetwater a sharp look.	The man behind the boxes was used to the name and reached out a hand toward a box unusually well stacked, but stopped half-way there and gave Sweetwater a sharp look.
3923_153309_000020_000000	"Who are you?" he asked.	"Who are you?" he asked.
3923_153309_000021_000000	"A stranger," that young man put in volubly, "looking for James Wellgood.	"A stranger," that young man put in volubly, "looking for james Wellgood.
3923_153309_000021_000001	I thought, perhaps, you could tell me where to find him.	I thought, perhaps, you could tell me where to find him.
3923_153309_000021_000002	I see that his letters pass through this office."	I see that his letters pass through this office."
3923_153309_000022_000000	"You're taking up another man's time," complained the postmaster.	"You're taking up another man's time," complained the postmaster.
3923_153309_000022_000002	"Ask Dick over there; he knows him."	"Ask Dick over there; he knows him."
3923_153309_000023_000000	The detective was glad enough to escape and ask Dick.	The detective was glad enough to escape and ask Dick.
3923_153309_000023_000001	But he was better pleased yet when Dick--a fellow with a squint whose hand was always in the sugar--told him that Mr. Wellgood would probably be in for his mail in a few moments.	But he was better pleased yet when Dick-a fellow with a squint whose hand was always in the sugar-told him that mr Wellgood would probably be in for his mail in a few moments.
3923_153309_000023_000002	"That is his buggy standing before the drug-store on the opposite side of the way."	"That is his buggy standing before the drug store on the opposite side of the way."
3923_153309_000024_000000	So! he had netted Jones' quondam waiter at the first cast!	So! he had netted Jones' quondam waiter at the first cast!
3923_153309_000024_000001	"Lucky!" was what he said to himself, "still lucky!"	"Lucky!" was what he said to himself, "still lucky!"
3923_153309_000025_000000	Sauntering to the door, he watched for the owner of that buggy.	Sauntering to the door, he watched for the owner of that buggy.
3923_153309_000025_000001	He had learned, as such fellows do, that there was a secret hue and cry after this very man by the New York police; that he was supposed by some to be Sears himself.	He had learned, as such fellows do, that there was a secret hue and cry after this very man by the New York police; that he was supposed by some to be Sears himself.
3923_153309_000025_000002	In this way he would soon be looking upon the very man whose steps he had followed through the Fairbrother house a few nights before, and through whose resolute action he had very nearly run the risk of a lingering death from starvation.	In this way he would soon be looking upon the very man whose steps he had followed through the Fairbrother house a few nights before, and through whose resolute action he had very nearly run the risk of a lingering death from starvation.
3923_153309_000026_000000	"A dangerous customer," thought he.	"A dangerous customer," thought he.
3923_153309_000026_000001	"I wonder if my instinct will go so far as to make me recognize his presence.	"I wonder if my instinct will go so far as to make me recognize his presence.
3923_153309_000028_000001	It was enough.	It was enough.
3923_153309_000028_000002	The man was commonplace,--commonplace in feature, dress and manner, but his eye gave him away.	The man was commonplace,--commonplace in feature, dress and manner, but his eye gave him away.
3923_153309_000029_000000	He had taken in Sweetwater as he passed, but Sweetwater was of a commonplace type, too, and woke no corresponding dread in the other's mind; for he went whistling into the store, from which he presently reissued with a bundle of mail in his hand.	He had taken in Sweetwater as he passed, but Sweetwater was of a commonplace type, too, and woke no corresponding dread in the other's mind; for he went whistling into the store, from which he presently reissued with a bundle of mail in his hand.
3923_153309_000029_000002	But how, with the conditions laid on him by Mr. Grey, was this to be done?	But how, with the conditions laid on him by mr Grey, was this to be done?
3923_153309_000029_000003	He knew nothing of the man's circumstances or of his position in the town.	He knew nothing of the man's circumstances or of his position in the town.
3923_153309_000029_000004	How, then, go to work to secure his cooperation in a scheme possibly as mysterious to him as it was to himself?	How, then, go to work to secure his cooperation in a scheme possibly as mysterious to him as it was to himself?
3923_153309_000029_000005	He could stop this stranger in mid-street, with some plausible excuse, but it did not follow that he would succeed in luring him to the hotel where Mr. Grey could see him.	He could stop this stranger in mid street, with some plausible excuse, but it did not follow that he would succeed in luring him to the hotel where mr Grey could see him.
3923_153309_000029_000006	Wellgood, or, as he believed, Sears, knew too much of life to be beguiled by any open clap-trap, and Sweetwater was obliged to see him drive off without having made the least advance in the purpose engrossing him.	Wellgood, or, as he believed, Sears, knew too much of life to be beguiled by any open clap trap, and Sweetwater was obliged to see him drive off without having made the least advance in the purpose engrossing him.
3923_153309_000030_000000	But that was nothing.	But that was nothing.
3923_153309_000030_000001	He had all the evening before him, and reentering the store, he took up his stand near the sugar barrel.	He had all the evening before him, and reentering the store, he took up his stand near the sugar barrel.
3923_153309_000030_000002	He had perceived that in the pauses of weighing and tasting, Dick talked; if he were guided with suitable discretion, why should he not talk of Wellgood?	He had perceived that in the pauses of weighing and tasting, Dick talked; if he were guided with suitable discretion, why should he not talk of Wellgood?
3923_153309_000031_000000	He was guided, and he did talk and to some effect.	He was guided, and he did talk and to some effect.
3923_153309_000031_000001	That is, he gave information of the man which surprised Sweetwater.	That is, he gave information of the man which surprised Sweetwater.
