5400_34479_000001_000000	Chapter 4	Chapter four
5400_34479_000002_000001	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.	Once in a previous year he had gone to look at the mowing, and being made very angry by the bailiff he had recourse to his favorite means for regaining his temper,--he took a scythe from a peasant and began mowing.
5400_34479_000004_000000	"I must have physical exercise, or my temper'll certainly be ruined," he thought, and he determined he would go mowing, however awkward he might feel about it with his brother or the peasants.	"I must have physical exercise, or my temper'll certainly be ruined," he thought, and he determined he would go mowing, however awkward he might feel about it with his brother or the peasants.
5400_34479_000005_000000	Towards evening Konstantin Levin went to his counting house, gave directions as to the work to be done, and sent about the village to summon the mowers for the morrow, to cut the hay in Kalinov meadow, the largest and best of his grass lands.	Towards evening Konstantin Levin went to his counting house, gave directions as to the work to be done, and sent about the village to summon the mowers for the morrow, to cut the hay in Kalinov meadow, the largest and best of his grass lands.
5400_34479_000006_000001	I shall maybe do some mowing myself too," he said, trying not to be embarrassed.	I shall maybe do some mowing myself too," he said, trying not to be embarrassed.
5400_34479_000007_000000	The bailiff smiled and said: "Yes, sir."	The bailiff smiled and said: "Yes, sir."
5400_34479_000008_000000	At tea the same evening Levin said to his brother:	At tea the same evening Levin said to his brother:
5400_34479_000009_000001	Tomorrow I shall start mowing."	Tomorrow I shall start mowing."
5400_34479_000010_000000	"I'm so fond of that form of field labor," said Sergey Ivanovitch.	"I'm so fond of that form of field labor," said Sergey Ivanovitch.
5400_34479_000011_000000	"I'm awfully fond of it.	"I'm awfully fond of it.
5400_34479_000013_000001	Just like one of the peasants, all day long?"	Just like one of the peasants, all day long?"
5400_34479_000014_000000	"Yes, it's very pleasant," said Levin.	"Yes, it's very pleasant," said Levin.
5400_34479_000015_000000	"It's splendid as exercise, only you'll hardly be able to stand it," said Sergey Ivanovitch, without a shade of irony.	"It's splendid as exercise, only you'll hardly be able to stand it," said Sergey Ivanovitch, without a shade of irony.
5400_34479_000016_000000	"I've tried it.	"I've tried it.
5400_34479_000016_000001	It's hard work at first, but you get into it.	It's hard work at first, but you get into it.
5400_34479_000016_000002	I dare say I shall manage to keep it up..."	I dare say I shall manage to keep it up..."
5400_34479_000017_000000	"Really! what an idea!	"Really! what an idea!
5400_34479_000017_000001	But tell me, how do the peasants look at it?	But tell me, how do the peasants look at it?
5400_34479_000017_000002	I suppose they laugh in their sleeves at their master's being such a queer fish?"	I suppose they laugh in their sleeves at their master's being such a queer fish?"
5400_34479_000018_000000	"No, I don't think so; but it's so delightful, and at the same time such hard work, that one has no time to think about it."	"No, I don't think so; but it's so delightful, and at the same time such hard work, that one has no time to think about it."
5400_34479_000020_000000	"No, I'll simply come home at the time of their noonday rest."	"No, I'll simply come home at the time of their noonday rest."
5400_34479_000022_000000	From the uplands he could get a view of the shaded cut part of the meadow below, with its grayish ridges of cut grass, and the black heaps of coats, taken off by the mowers at the place from which they had started cutting.	From the uplands he could get a view of the shaded cut part of the meadow below, with its grayish ridges of cut grass, and the black heaps of coats, taken off by the mowers at the place from which they had started cutting.
5400_34479_000023_000001	He counted forty-two of them.	He counted forty two of them.
5400_34479_000025_000000	Levin got off his mare, and fastening her up by the roadside went to meet Tit, who took a second scythe out of a bush and gave it to him.	Levin got off his mare, and fastening her up by the roadside went to meet Tit, who took a second scythe out of a bush and gave it to him.
5400_34479_000026_000000	"It's ready, sir; it's like a razor, cuts of itself," said Tit, taking off his cap with a smile and giving him the scythe.	"It's ready, sir; it's like a razor, cuts of itself," said Tit, taking off his cap with a smile and giving him the scythe.
5400_34479_000031_000000	Tit made room, and Levin started behind him.	Tit made room, and Levin started behind him.
5400_34479_000031_000001	The grass was short close to the road, and Levin, who had not done any mowing for a long while, and was disconcerted by the eyes fastened upon him, cut badly for the first moments, though he swung his scythe vigorously.	The grass was short close to the road, and Levin, who had not done any mowing for a long while, and was disconcerted by the eyes fastened upon him, cut badly for the first moments, though he swung his scythe vigorously.
5400_34479_000032_000000	"It's not set right; handle's too high; see how he has to stoop to it," said one.	"It's not set right; handle's too high; see how he has to stoop to it," said one.
5400_34479_000034_000000	"Never mind, he'll get on all right," the old man resumed.	"Never mind, he'll get on all right," the old man resumed.
5400_34479_000035_000000	"He's made a start....	"He's made a start....
