4899_32637_000001_000000	III	three
4899_32637_000002_000000	July 16.	july sixteenth.
4899_32637_000003_000000	My school-days are over!	My school days are over!
4899_32637_000003_000001	I have come off with flying colors, and mother is pleased at my success.	I have come off with flying colors, and mother is pleased at my success.
4899_32637_000003_000002	I said to her today that I should now have time to draw and practice to my heart's content.	I said to her today that I should now have time to draw and practice to my heart's content.
4899_32637_000004_000000	"You will not find your heart content with either," she said.	"You will not find your heart content with either," she said.
4899_32637_000005_000000	"Why, mother!" I cried, "I thought you liked to see me happy!"	"Why, mother!" I cried, "I thought you liked to see me happy!"
4899_32637_000006_000000	"And so I do," she said, quietly.	"And so I do," she said, quietly.
4899_32637_000007_000000	"I am sure I hope so," I returned.	"I am sure I hope so," I returned.
4899_32637_000007_000001	"On the whole, I haven't got much so far."	"On the whole, I haven't got much so far."
4899_32637_000008_000000	Amelia is now on such terms with Jenny Underhill that I can hardly see one without seeing the other After the way in which I have loved her, this seems rather hard.	Amelia is now on such terms with Jenny Underhill that I can hardly see one without seeing the other After the way in which I have loved her, this seems rather hard.
4899_32637_000008_000001	Sometimes I am angry about it, and sometimes grieved.	Sometimes I am angry about it, and sometimes grieved.
4899_32637_000008_000002	However, I find Jenny quite nice.	However, I find Jenny quite nice.
4899_32637_000008_000003	She buys all the new books and lends them to me.	She buys all the new books and lends them to me.
4899_32637_000008_000004	I wish I liked more solid reading; but I don't.	I wish I liked more solid reading; but I don't.
4899_32637_000008_000005	And I wish I were not so fond of novels; but I am.	And I wish I were not so fond of novels; but I am.
4899_32637_000008_000006	If it were not for mother I should read nothing else.	If it were not for mother I should read nothing else.
4899_32637_000008_000007	And I am sure I often feel quite stirred up by a really good novel, and admire and want to imitate every high-minded, noble character it describes.	And I am sure I often feel quite stirred up by a really good novel, and admire and want to imitate every high minded, noble character it describes.
4899_32637_000009_000000	Jenny has a miniature of her brother "Charley" in a locket, which she always wears, and often shows me.	Jenny has a miniature of her brother "Charley" in a locket, which she always wears, and often shows me.
4899_32637_000009_000001	According to her, he is exactly like the heroes I most admire in books.	According to her, he is exactly like the heroes I most admire in books.
4899_32637_000009_000002	She says she knows he would like me if we should meet.	She says she knows he would like me if we should meet.
4899_32637_000009_000003	But that is not probable.	But that is not probable.
4899_32637_000009_000004	Very few like me.	Very few like me.
4899_32637_000009_000005	Amelia says it is because I say just what I think.	Amelia says it is because I say just what I think.
4899_32637_000012_000000	"Dear me!" I said, "so then I have some virtues after all!"	"Dear me!" I said, "so then I have some virtues after all!"
4899_32637_000013_000000	And I really think I must have, for Jenny's brother, who has come here for the sake of being near her, seems to like me very much. Nobody ever liked me so much before, not even Amelia.	And I really think I must have, for Jenny's brother, who has come here for the sake of being near her, seems to like me very much. Nobody ever liked me so much before, not even Amelia.
4899_32637_000013_000001	But how foolish to write that down!	But how foolish to write that down!
4899_32637_000014_000000	Thursday.-Jenny's brother has been here all evening.	Thursday.-Jenny's brother has been here all evening.
4899_32637_000014_000001	He has the most perfect manners I ever saw.	He has the most perfect manners I ever saw.
4899_32637_000014_000002	I am sure that mother, who thinks so much of such things, would be charmed with him but she happened to be out, Mrs. Jones having sent for her to see about her baby.	I am sure that mother, who thinks so much of such things, would be charmed with him but she happened to be out, mrs Jones having sent for her to see about her baby.
4899_32637_000014_000003	He gave me an account of his mother's death, and how he and Jenny nursed her day and night.	He gave me an account of his mother's death, and how he and Jenny nursed her day and night.
4899_32637_000014_000004	He has a great deal of feeling.	He has a great deal of feeling.
4899_32637_000014_000005	I was going to tell him about my father's death, sorrow seems to bring people together so, but I could not.	I was going to tell him about my father's death, sorrow seems to bring people together so, but I could not.
4899_32637_000015_000000	Sunday, Aug. 5.-Jenny's brother has been at our church all day.	sunday august fifth.-Jenny's brother has been at our church all day.
4899_32637_000015_000001	He walked home with me this afternoon.	He walked home with me this afternoon.
4899_32637_000015_000002	Mother, after being up all night with Mrs. Jones and her baby, was not able to go out.	Mother, after being up all night with mrs Jones and her baby, was not able to go out.
4899_32637_000016_000000	Dr Cabot preaches as if we had all got to die pretty soon, or else have something almost as bad happen to us.	Dr Cabot preaches as if we had all got to die pretty soon, or else have something almost as bad happen to us.
4899_32637_000016_000001	How can old people always try to make young people feel uncomfortable, and as if things couldn't last?	How can old people always try to make young people feel uncomfortable, and as if things couldn't last?
4899_32637_000017_000001	I suppose mother would say my head was turned by my good fortune, but it is not.	I suppose mother would say my head was turned by my good fortune, but it is not.
4899_32637_000017_000002	I am getting quite sober and serious.	I am getting quite sober and serious.
4899_32637_000017_000003	It is a great thing to be--to be--well--liked.	It is a great thing to be-to be-well-liked.
4899_32637_000017_000005	I could not like a man who did not possess such sentiments as his.	I could not like a man who did not possess such sentiments as his.
4899_32637_000018_000000	Perhaps mother would think I ought not to put such things into my journal.	Perhaps mother would think I ought not to put such things into my journal.
4899_32637_000019_000002	She and her brother are so much alike!	She and her brother are so much alike!
4899_32637_000019_000003	The plan is for us three girls, Jenny, Amelia and myself, to form ourselves into a little class to read and to study together.	The plan is for us three girls, Jenny, Amelia and myself, to form ourselves into a little class to read and to study together.
4899_32637_000019_000004	She says "Charley" will direct our readings and help us with our studies.	She says "Charley" will direct our readings and help us with our studies.
4899_32637_000019_000005	It is perfectly delightful.	It is perfectly delightful.
4899_32637_000020_000000	September 1.-Somehow I forgot to tell mother that Mr. Underhill was to be our teacher.	september first.-Somehow I forgot to tell mother that mr Underhill was to be our teacher.
