329_861_000000_000000	CHAPTER IX: THE SIEGE OF HENNEBON	CHAPTER nine: THE SIEGE OF h e n n e b o n	false	1.38	28.245	21.524273
329_861_000001_000000	The besiegers of Hennebon were greatly discouraged at the success of the enterprise of the countess.	The besiegers of Hennebon were greatly discouraged at the success of the enterprise of the countess.	true	28.245	34.24	17
329_861_000001_000001	They had already attempted several desperate assaults, but had each time been repulsed with very heavy loss.	They had already attempted several desperate assaults, but had each time been repulsed with very heavy loss.	false	34.55	41.11	21
329_861_000001_000002	They now sent to Rennes for twelve of the immense machines used in battering walls, which had been left behind there on a false report of the weakness of Hennebon.	They now sent to Rennes for twelve of the immense machines used in battering walls, which had been left behind there on a false report of the weakness of Hennebon.	true	41.78	51.82	19
329_861_000001_000003	Pending the arrival of these, Charles of Blois, with one division of the army, marched away to attack Auray, leaving Don Louis to carry on the siege with a force considered amply sufficient to compel its surrender after the arrival of the battering machines.	Pending the arrival of these, Charles of Blois, with one division of the army, marched away to attack Auray, leaving Don Louis to carry on the siege with a force considered amply sufficient to compel its surrender after the arrival of the battering machines.	false	52.16	69.49	19
329_861_000002_000000	In a few days these arrived and were speedily set to work, and immense masses of stone were hurled at the walls.	In a few days these arrived and were speedily set to work, and immense masses of stone were hurled at the walls.	true	70.1	77.44	20
329_861_000003_000000	Walter continued to act as the countess's especial squire.	Walter continued to act as the countess's especial squire.	true	78.35	82.39	24.299765
329_861_000003_000001	She had informed Sir William Caddoudal and Sir John Powis that it was at his suggestion that she had made the sudden attack upon the French camp, and he had gained great credit thereby.	She had informed Sir William Caddoudal and Sir john Powis that it was at his suggestion that she had made the sudden attack upon the French camp, and he had gained great credit thereby.	true	82.49	94.72	19
329_861_000004_000000	The effect of the new machines was speedily visible.	The effect of the new machines was speedily visible.	true	95.03	98.11	20.17791
329_861_000004_000001	The walls crumbled under the tremendous blows, and although the archers harassed by their arrows the men working them, the French speedily erected screens which sheltered them from their fire.	The walls crumbled under the tremendous blows, and although the archers harassed by their arrows the men working them, the French speedily erected screens which sheltered them from their fire.	true	98.27	109.54	17
329_861_000004_000002	The spirits of the defenders began to sink rapidly, as they saw that in a very short time great breaches would be made in the walls, and that all the horrors and disasters of a city taken by assault awaited them.	The spirits of the defenders began to sink rapidly, as they saw that in a very short time great breaches would be made in the walls, and that all the horrors and disasters of a city taken by assault awaited them.	true	109.79	122.14	14
