3361_1133_000000_000000	Chapter 23	Chapter twenty three
3361_1133_000001_000000	Elizabeth was sitting with her mother and sisters, reflecting on what she had heard, and doubting whether she was authorised to mention it, when Sir William Lucas himself appeared, sent by his daughter, to announce her engagement to the family.	Elizabeth was sitting with her mother and sisters, reflecting on what she had heard, and doubting whether she was authorised to mention it, when Sir William Lucas himself appeared, sent by his daughter, to announce her engagement to the family.
3361_1133_000001_000001	With many compliments to them, and much self-gratulation on the prospect of a connection between the houses, he unfolded the matter--to an audience not merely wondering, but incredulous; for Mrs. Bennet, with more perseverance than politeness, protested he must be entirely mistaken; and Lydia, always unguarded and often uncivil, boisterously exclaimed:	With many compliments to them, and much self gratulation on the prospect of a connection between the houses, he unfolded the matter-to an audience not merely wondering, but incredulous; for mrs Bennet, with more perseverance than politeness, protested he must be entirely mistaken; and Lydia, always unguarded and often uncivil, boisterously exclaimed:
3361_1133_000002_000000	"Good Lord!	"Good Lord!
3361_1133_000002_000001	Sir William, how can you tell such a story?	Sir William, how can you tell such a story?
3361_1133_000002_000002	Do not you know that Mr. Collins wants to marry Lizzy?"	Do not you know that mr Collins wants to marry Lizzy?"
3361_1133_000005_000000	Mrs. Bennet was in fact too much overpowered to say a great deal while Sir William remained; but no sooner had he left them than her feelings found a rapid vent.	mrs Bennet was in fact too much overpowered to say a great deal while Sir William remained; but no sooner had he left them than her feelings found a rapid vent.
3361_1133_000005_000001	In the first place, she persisted in disbelieving the whole of the matter; secondly, she was very sure that Mr. Collins had been taken in; thirdly, she trusted that they would never be happy together; and fourthly, that the match might be broken off.	In the first place, she persisted in disbelieving the whole of the matter; secondly, she was very sure that mr Collins had been taken in; thirdly, she trusted that they would never be happy together; and fourthly, that the match might be broken off.
3361_1133_000005_000002	Two inferences, however, were plainly deduced from the whole: one, that Elizabeth was the real cause of the mischief; and the other that she herself had been barbarously misused by them all; and on these two points she principally dwelt during the rest of the day.	Two inferences, however, were plainly deduced from the whole: one, that Elizabeth was the real cause of the mischief; and the other that she herself had been barbarously misused by them all; and on these two points she principally dwelt during the rest of the day.
3361_1133_000005_000003	Nothing could console and nothing could appease her.	Nothing could console and nothing could appease her.
3361_1133_000005_000004	Nor did that day wear out her resentment.	Nor did that day wear out her resentment.
