5126_34483_000001_000000	Chapter 8	Chapter eight
5126_34483_000002_000000	Towards the end of May, when everything had been more or less satisfactorily arranged, she received her husband's answer to her complaints of the disorganized state of things in the country.	Towards the end of May, when everything had been more or less satisfactorily arranged, she received her husband's answer to her complaints of the disorganized state of things in the country.
5126_34483_000002_000001	He wrote begging her forgiveness for not having thought of everything before, and promised to come down at the first chance.	He wrote begging her forgiveness for not having thought of everything before, and promised to come down at the first chance.
5126_34483_000002_000002	This chance did not present itself, and till the beginning of June Darya Alexandrovna stayed alone in the country.	This chance did not present itself, and till the beginning of June Darya Alexandrovna stayed alone in the country.
5126_34483_000003_000001	Darya Alexandrovna in her intimate, philosophical talks with her sister, her mother, and her friends very often astonished them by the freedom of her views in regard to religion.	Darya Alexandrovna in her intimate, philosophical talks with her sister, her mother, and her friends very often astonished them by the freedom of her views in regard to religion.
5126_34483_000003_000002	She had a strange religion of transmigration of souls all her own, in which she had firm faith, troubling herself little about the dogmas of the Church.	She had a strange religion of transmigration of souls all her own, in which she had firm faith, troubling herself little about the dogmas of the Church.
5126_34483_000003_000003	But in her family she was strict in carrying out all that was required by the Church--and not merely in order to set an example, but with all her heart in it.	But in her family she was strict in carrying out all that was required by the Church-and not merely in order to set an example, but with all her heart in it.
5126_34483_000003_000004	The fact that the children had not been at the sacrament for nearly a year worried her extremely, and with the full approval and sympathy of Marya Philimonovna she decided that this should take place now in the summer.	The fact that the children had not been at the sacrament for nearly a year worried her extremely, and with the full approval and sympathy of Marya Philimonovna she decided that this should take place now in the summer.
5126_34483_000004_000002	One dress, Tanya's, which the English governess had undertaken, cost Darya Alexandrovna much loss of temper.	One dress, Tanya's, which the English governess had undertaken, cost Darya Alexandrovna much loss of temper.
5126_34483_000004_000004	It was so narrow on Tanya's shoulders that it was quite painful to look at her.	It was so narrow on Tanya's shoulders that it was quite painful to look at her.
5126_34483_000004_000005	But Marya Philimonovna had the happy thought of putting in gussets, and adding a little shoulder-cape.	But Marya Philimonovna had the happy thought of putting in gussets, and adding a little shoulder cape.
5126_34483_000004_000006	The dress was set right, but there was nearly a quarrel with the English governess.	The dress was set right, but there was nearly a quarrel with the English governess.
5126_34483_000004_000007	On the morning, however, all was happily arranged, and towards ten o'clock--the time at which they had asked the priest to wait for them for the mass--the children in their new dresses, with beaming faces, stood on the step before the carriage waiting for their mother.	On the morning, however, all was happily arranged, and towards ten o'clock-the time at which they had asked the priest to wait for them for the mass-the children in their new dresses, with beaming faces, stood on the step before the carriage waiting for their mother.
5126_34483_000006_000000	Darya Alexandrovna had done her hair, and dressed with care and excitement.	Darya Alexandrovna had done her hair, and dressed with care and excitement.
5126_34483_000006_000001	In the old days she had dressed for her own sake to look pretty and be admired.	In the old days she had dressed for her own sake to look pretty and be admired.
